YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,1.19E+05,8.13E+04,1.69E+05,1.24E+04,2.26E+04,,,,,,
1985,2,2.07E+05,1.41E+05,2.95E+05,2.10E+04,3.94E+04,,,,,,
1985,3,8.65E+04,6.27E+04,1.16E+05,8.70E+03,1.38E+04,,,,,,
1985,4,5.23E+04,3.83E+04,6.97E+04,5.24E+03,8.03E+03,,,,,,
1985,5,9.74E+04,6.72E+04,1.37E+05,9.45E+03,1.78E+04,,,,,,
1985,6,3.87E+04,2.82E+04,5.19E+04,3.79E+03,6.04E+03,,,,,,
1985,7,3.58E+04,2.55E+04,4.88E+04,3.45E+03,5.98E+03,,,,,,
1985,8,2.49E+05,1.36E+05,4.18E+05,2.50E+04,7.27E+04,,,,,,
1985,9,3.30E+04,2.41E+04,4.40E+04,3.12E+03,5.11E+03,,,,,,
1985,10,3.73E+04,2.69E+04,5.05E+04,3.46E+03,6.06E+03,,,,,,
1985,11,3.00E+06,1.37E+06,5.73E+06,4.19E+05,1.13E+06,,,,,,
1985,12,2.05E+05,1.30E+05,3.07E+05,1.85E+04,4.53E+04,,,,,,
1986,1,4.79E+04,3.57E+04,6.29E+04,4.29E+03,6.96E+03,,,,,,
1986,2,9.94E+04,7.32E+04,1.32E+05,8.49E+03,1.50E+04,,,,,,
1986,3,1.60E+05,1.04E+05,2.35E+05,1.31E+04,3.37E+04,,,,,,
1986,4,4.48E+04,3.35E+04,5.88E+04,3.80E+03,6.45E+03,,,,,,
1986,5,5.29E+04,3.80E+04,7.17E+04,4.33E+03,8.61E+03,,,,,,
1986,6,2.45E+04,1.82E+04,3.24E+04,2.13E+03,3.63E+03,,,,,,
1986,7,2.14E+04,1.59E+04,2.81E+04,1.91E+03,3.11E+03,,,,,,
1986,8,2.79E+04,2.05E+04,3.71E+04,2.29E+03,4.26E+03,,,,,,
1986,9,2.77E+04,2.06E+04,3.66E+04,2.25E+03,4.09E+03,,,,,,
1986,10,1.93E+04,1.44E+04,2.55E+04,1.78E+03,2.84E+03,,,,,,
1986,11,3.46E+04,2.59E+04,4.55E+04,2.71E+03,5.01E+03,,,,,,
1986,12,1.81E+05,1.18E+05,2.66E+05,1.35E+04,3.78E+04,,,,,,
1987,1,9.92E+04,7.13E+04,1.34E+05,7.19E+03,1.61E+04,,,,,,
1987,2,1.23E+05,9.14E+04,1.61E+05,8.68E+03,1.79E+04,,,,,,
1987,3,2.97E+05,1.86E+05,4.51E+05,2.11E+04,6.81E+04,,,,,,
1987,4,1.36E+06,7.99E+05,2.17E+06,1.30E+05,3.53E+05,,,,,,
1987,5,1.19E+05,8.85E+04,1.56E+05,8.10E+03,1.74E+04,,,,,,
1987,6,4.35E+04,3.27E+04,5.68E+04,3.03E+03,6.15E+03,,,,,,
1987,7,2.71E+04,2.06E+04,3.51E+04,1.94E+03,3.72E+03,,,,,,
1987,8,1.68E+04,1.26E+04,2.19E+04,1.43E+03,2.38E+03,,,,,,
1987,9,4.79E+05,2.06E+05,9.58E+05,4.22E+04,1.96E+05,,,,,,
1987,10,2.82E+04,2.16E+04,3.63E+04,1.94E+03,3.76E+03,,,,,,
1987,11,6.40E+04,3.78E+04,1.02E+05,4.08E+03,1.64E+04,,,,,,
1987,12,9.69E+04,7.15E+04,1.28E+05,6.24E+03,1.45E+04,,,,,,
1988,1,1.03E+05,7.41E+04,1.40E+05,6.28E+03,1.68E+04,,,,,,
1988,2,5.73E+04,4.35E+04,7.42E+04,3.57E+03,7.84E+03,,,,,,
1988,3,3.80E+04,2.84E+04,4.99E+04,2.41E+03,5.48E+03,,,,,,
1988,4,4.40E+04,3.38E+04,5.63E+04,2.70E+03,5.76E+03,,,,,,
1988,5,9.30E+04,6.94E+04,1.22E+05,5.44E+03,1.35E+04,,,,,,
1988,6,2.71E+04,2.06E+04,3.48E+04,1.70E+03,3.63E+03,,,,,,
1988,7,2.21E+04,1.66E+04,2.90E+04,1.43E+03,3.17E+03,,,,,,
1988,8,1.75E+04,1.31E+04,2.28E+04,1.25E+03,2.46E+03,,,,,,
1988,9,2.11E+04,1.60E+04,2.73E+04,1.35E+03,2.89E+03,,,,,,
1988,10,1.68E+04,1.27E+04,2.16E+04,1.25E+03,2.28E+03,,,,,,
1988,11,3.34E+04,2.52E+04,4.34E+04,1.95E+03,4.65E+03,,,,,,
1988,12,2.57E+04,1.96E+04,3.31E+04,1.60E+03,3.45E+03,,,,,,
1989,1,4.34E+04,3.23E+04,5.72E+04,2.45E+03,6.35E+03,,,,,,
1989,2,4.31E+04,3.20E+04,5.68E+04,2.36E+03,6.33E+03,,,,,,
1989,3,1.35E+05,9.62E+04,1.84E+05,6.56E+03,2.25E+04,,,,,,
1989,4,8.14E+04,5.62E+04,1.14E+05,4.00E+03,1.48E+04,,,,,,
