YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1988,1,2.35E+07,1.19E+07,4.18E+07,2.50E+06,7.72E+06,,,,,,
1988,2,6.52E+06,4.13E+06,9.80E+06,7.15E+05,1.46E+06,,,,,,
1988,3,3.74E+06,1.87E+06,6.74E+06,3.99E+05,1.26E+06,,,,,,
1988,4,4.66E+06,3.09E+06,6.77E+06,4.99E+05,9.43E+05,,,,,,
1988,5,2.86E+07,1.67E+07,4.57E+07,2.86E+06,7.45E+06,,,,,,
1988,6,1.68E+06,1.03E+06,2.59E+06,1.80E+05,4.00E+05,,,,,,
1988,7,1.15E+06,5.29E+05,2.20E+06,1.17E+05,4.34E+05,,,,,,
1988,8,3.82E+05,1.54E+05,7.95E+05,4.13E+04,1.67E+05,,,,,,
1988,9,6.06E+05,3.24E+05,1.04E+06,6.36E+04,1.84E+05,,,,,,
1988,10,1.62E+05,1.02E+05,2.47E+05,2.22E+04,3.72E+04,,,,,,
1988,11,2.08E+06,1.16E+06,3.46E+06,2.00E+05,5.92E+05,,,,,,
1988,12,9.17E+05,5.39E+05,1.46E+06,9.42E+04,2.37E+05,,,,,,
1989,1,4.61E+06,2.33E+06,8.24E+06,4.22E+05,1.53E+06,,,,,,
1989,2,5.58E+06,3.20E+06,9.07E+06,5.00E+05,1.51E+06,,,,,,
1989,3,4.98E+07,2.59E+07,8.69E+07,4.08E+06,1.57E+07,,,,,,
1989,4,2.95E+07,1.29E+07,5.84E+07,2.39E+06,1.18E+07,,,,,,
1989,5,5.03E+08,2.53E+08,9.02E+08,5.16E+07,1.68E+08,,,,,,
1989,6,3.69E+07,2.16E+07,5.90E+07,3.20E+06,9.61E+06,,,,,,
1989,7,4.96E+07,2.32E+07,9.33E+07,4.46E+06,1.81E+07,,,,,,
1989,8,1.09E+07,6.80E+06,1.65E+07,9.66E+05,2.48E+06,,,,,,
1989,9,1.25E+08,6.29E+07,2.25E+08,1.18E+07,4.18E+07,,,,,,
1989,10,1.66E+08,8.53E+07,2.92E+08,1.52E+07,5.33E+07,,,,,,
1989,11,4.17E+07,1.78E+07,8.36E+07,3.43E+06,1.71E+07,,,,,,
1989,12,5.29E+06,3.55E+06,7.59E+06,4.32E+05,1.03E+06,,,,,,
1990,1,8.86E+07,4.37E+07,1.61E+08,6.68E+06,3.03E+07,,,,,,
1990,2,4.79E+07,3.11E+07,7.07E+07,3.46E+06,1.01E+07,,,,,,
1990,3,2.49E+07,1.55E+07,3.81E+07,1.78E+06,5.81E+06,,,,,,
1990,4,3.59E+07,2.35E+07,5.24E+07,2.54E+06,7.41E+06,,,,,,
1990,5,1.27E+08,5.79E+07,2.42E+08,9.57E+06,4.78E+07,,,,,,
1990,6,3.03E+07,1.44E+07,5.67E+07,2.27E+06,1.10E+07,,,,,,
1990,7,4.58E+06,2.41E+06,7.93E+06,3.57E+05,1.42E+06,,,,,,
1990,8,1.66E+06,8.99E+05,2.83E+06,1.29E+05,4.97E+05,,,,,,
1990,9,3.82E+05,2.46E+05,5.67E+05,3.66E+04,8.23E+04,,,,,,
1990,10,1.84E+08,7.00E+07,3.97E+08,1.61E+07,8.57E+07,,,,,,
1990,11,6.67E+06,3.47E+06,1.17E+07,5.00E+05,2.11E+06,,,,,,
1990,12,3.30E+07,1.70E+07,5.80E+07,2.28E+06,1.06E+07,,,,,,
1991,1,1.78E+08,9.16E+07,3.14E+08,1.29E+07,5.73E+07,,,,,,
1991,2,8.95E+06,5.72E+06,1.34E+07,6.20E+05,1.96E+06,,,,,,
1991,3,1.39E+08,7.67E+07,2.31E+08,8.82E+06,3.98E+07,,,,,,
1991,4,4.90E+07,2.67E+07,8.29E+07,3.02E+06,1.45E+07,,,,,,
