YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,5.19E+03,4.19E+03,6.35E+03,3.64E+02,5.53E+02,,,,,,
1985,2,2.09E+04,1.29E+04,3.21E+04,3.09E+03,4.94E+03,,,,,,
1985,3,6.24E+03,5.05E+03,7.62E+03,4.18E+02,6.57E+02,,,,,,
1985,4,3.62E+03,2.98E+03,4.35E+03,2.41E+02,3.48E+02,,,,,,
1985,5,8.13E+03,6.14E+03,1.06E+04,6.27E+02,1.13E+03,,,,,,
1985,6,4.65E+03,3.35E+03,6.28E+03,3.55E+02,7.50E+02,,,,,,
1985,7,5.76E+03,4.32E+03,7.53E+03,4.59E+02,8.20E+02,,,,,,
1985,8,1.83E+03,1.47E+03,2.26E+03,1.22E+02,2.02E+02,,,,,,
1985,9,8.66E+03,4.35E+03,1.55E+04,1.55E+03,2.89E+03,,,,,,
1985,10,3.27E+03,2.47E+03,4.25E+03,2.31E+02,4.53E+02,,,,,,
1985,11,9.18E+03,6.89E+03,1.20E+04,7.55E+02,1.31E+03,,,,,,
1985,12,3.76E+03,3.08E+03,4.54E+03,2.33E+02,3.75E+02,,,,,,
1986,1,6.83E+03,4.88E+03,9.31E+03,4.97E+02,1.13E+03,,,,,,
1986,2,9.92E+03,7.93E+03,1.23E+04,6.21E+02,1.11E+03,,,,,,
1986,3,5.61E+03,4.66E+03,6.70E+03,3.20E+02,5.22E+02,,,,,,
1986,4,7.28E+03,5.93E+03,8.84E+03,4.23E+02,7.43E+02,,,,,,
1986,5,3.13E+03,2.62E+03,3.72E+03,1.76E+02,2.83E+02,,,,,,
1986,6,2.25E+03,1.79E+03,2.78E+03,1.26E+02,2.53E+02,,,,,,
1986,7,4.47E+03,3.04E+03,6.35E+03,3.75E+02,8.47E+02,,,,,,
1986,8,5.96E+03,4.03E+03,8.49E+03,5.40E+02,1.14E+03,,,,,,
1986,9,1.02E+03,8.29E+02,1.23E+03,5.65E+01,1.03E+02,,,,,,
1986,10,1.74E+03,1.35E+03,2.21E+03,9.81E+01,2.21E+02,,,,,,
1986,11,8.47E+03,6.76E+03,1.05E+04,5.59E+02,9.55E+02,,,,,,
1986,12,2.12E+04,1.44E+04,3.03E+04,2.63E+03,4.06E+03,,,,,,
1987,1,9.74E+03,7.33E+03,1.27E+04,6.44E+02,1.37E+03,,,,,,
1987,2,7.95E+03,6.65E+03,9.43E+03,4.01E+02,7.12E+02,,,,,,
1987,3,1.21E+04,8.48E+03,1.67E+04,1.07E+03,2.10E+03,,,,,,
1987,4,1.29E+04,9.38E+03,1.72E+04,1.03E+03,2.01E+03,,,,,,
1987,5,8.13E+03,6.28E+03,1.04E+04,4.90E+02,1.04E+03,,,,,,
1987,6,6.84E+03,4.72E+03,9.60E+03,5.42E+02,1.25E+03,,,,,,
1987,7,2.26E+03,1.84E+03,2.75E+03,1.12E+02,2.33E+02,,,,,,
1987,8,1.12E+03,9.21E+02,1.34E+03,5.34E+01,1.08E+02,,,,,,
1987,9,1.70E+04,1.11E+04,2.50E+04,2.38E+03,3.55E+03,,,,,,
1987,10,4.43E+03,3.17E+03,6.03E+03,2.92E+02,7.32E+02,,,,,,
1987,11,1.03E+04,6.96E+03,1.46E+04,9.58E+02,1.96E+03,,,,,,
1987,12,5.92E+03,4.92E+03,7.06E+03,2.84E+02,5.46E+02,,,,,,
1988,1,9.96E+03,6.90E+03,1.39E+04,7.91E+02,1.80E+03,,,,,,
1988,2,1.19E+04,9.70E+03,1.44E+04,6.13E+02,1.21E+03,,,,,,
1988,3,9.17E+03,7.29E+03,1.14E+04,4.73E+02,1.05E+03,,,,,,
1988,4,6.77E+03,5.54E+03,8.18E+03,3.05E+02,6.72E+02,,,,,,
1988,5,2.05E+04,1.59E+04,2.61E+04,1.73E+03,2.63E+03,,,,,,
1988,6,2.90E+03,2.44E+03,3.42E+03,1.25E+02,2.49E+02,,,,,,
