YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,3.08E+04,9.65E+03,7.47E+04,5.51E+03,1.72E+04,,,,,,
1985,2,8.16E+06,4.73E+05,3.94E+07,4.81E+06,1.31E+07,,,,,,
1985,3,3.78E+04,1.07E+04,9.72E+04,6.39E+03,2.31E+04,,,,,,
1985,4,1.43E+04,6.40E+03,2.78E+04,2.33E+03,5.56E+03,,,,,,
1985,5,2.12E+05,2.36E+04,8.35E+05,5.47E+04,2.41E+05,,,,,,
1985,6,1.22E+05,1.15E+04,5.10E+05,2.99E+04,1.52E+05,,,,,,
1985,7,1.68E+05,2.10E+04,6.31E+05,4.05E+04,1.78E+05,,,,,,
1985,8,1.64E+04,6.20E+03,3.54E+04,2.60E+03,7.65E+03,,,,,,
1985,9,7.82E+06,4.39E+05,3.81E+07,4.27E+06,1.27E+07,,,,,,
1985,10,5.39E+04,1.01E+04,1.71E+05,1.05E+04,4.45E+04,,,,,,
1985,11,3.50E+05,6.78E+04,1.09E+06,8.79E+04,2.84E+05,,,,,,
1985,12,2.43E+04,7.91E+03,5.78E+04,3.83E+03,1.32E+04,,,,,,
1986,1,2.39E+05,1.77E+04,1.08E+06,6.98E+04,3.38E+05,,,,,,
1986,2,1.36E+05,2.72E+04,4.18E+05,2.64E+04,1.07E+05,,,,,,
1986,3,2.91E+04,1.01E+04,6.67E+04,4.15E+03,1.49E+04,,,,,,
1986,4,6.43E+04,1.89E+04,1.62E+05,9.77E+03,3.80E+04,,,,,,
1986,5,1.64E+04,7.41E+03,3.18E+04,2.23E+03,6.32E+03,,,,,,
1986,6,1.86E+04,4.54E+03,5.20E+04,2.56E+03,1.28E+04,,,,,,
1986,7,2.63E+05,2.41E+04,1.11E+06,7.18E+04,3.32E+05,,,,,,
1986,8,6.62E+05,4.61E+04,3.04E+06,2.26E+05,9.67E+05,,,,,,
1986,9,9.62E+03,4.14E+03,1.92E+04,1.28E+03,3.91E+03,,,,,,
1986,10,1.95E+04,5.05E+03,5.26E+04,2.76E+03,1.28E+04,,,,,,
1986,11,1.78E+05,5.46E+04,4.36E+05,3.30E+04,1.01E+05,,,,,,
1986,12,5.76E+06,5.44E+05,2.40E+07,2.73E+06,7.15E+06,,,,,,
1987,1,4.02E+05,3.34E+04,1.75E+06,1.20E+05,5.35E+05,,,,,,
1987,2,5.72E+04,2.34E+04,1.18E+05,7.60E+03,2.46E+04,,,,,,
1987,3,1.02E+06,8.52E+04,4.43E+06,3.83E+05,1.36E+06,,,,,,
