YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,2.21E+04,1.70E+04,2.83E+04,1.67E+03,2.89E+03,,,,,,
1985,2,9.59E+04,6.40E+04,1.38E+05,7.16E+03,1.91E+04,,,,,,
1985,3,5.40E+04,3.99E+04,7.15E+04,3.87E+03,8.08E+03,,,,,,
1985,4,3.20E+04,2.34E+04,4.26E+04,2.28E+03,4.92E+03,,,,,,
1985,5,3.05E+04,2.10E+04,4.30E+04,2.18E+03,5.63E+03,,,,,,
1985,6,6.71E+03,4.91E+03,8.96E+03,4.77E+02,1.03E+03,,,,,,
1985,7,3.04E+04,1.53E+04,5.45E+04,2.39E+03,1.01E+04,,,,,,
1985,8,8.45E+03,6.25E+03,1.12E+04,6.02E+02,1.26E+03,,,,,,
1985,9,4.06E+03,2.79E+03,5.71E+03,2.73E+02,7.50E+02,,,,,,
1985,10,5.11E+03,4.10E+03,6.30E+03,3.34E+02,5.64E+02,,,,,,
1985,11,1.61E+05,1.24E+05,2.04E+05,1.05E+04,2.06E+04,,,,,,
1985,12,7.60E+04,5.83E+04,9.72E+04,4.85E+03,9.94E+03,,,,,,
1986,1,1.48E+04,1.18E+04,1.84E+04,9.58E+02,1.69E+03,,,,,,
1986,2,1.33E+05,1.02E+05,1.71E+05,8.22E+03,1.75E+04,,,,,,
1986,3,9.37E+04,6.64E+04,1.29E+05,5.71E+03,1.59E+04,,,,,,
1986,4,4.35E+04,3.19E+04,5.78E+04,2.58E+03,6.61E+03,,,,,,
1986,5,1.15E+04,8.59E+03,1.52E+04,6.82E+02,1.69E+03,,,,,,
1986,6,7.88E+03,5.06E+03,1.17E+04,4.74E+02,1.71E+03,,,,,,
1986,7,3.84E+03,2.24E+03,6.16E+03,2.34E+02,1.01E+03,,,,,,
1986,8,3.54E+03,2.55E+03,4.79E+03,2.09E+02,5.73E+02,,,,,,
1986,9,9.21E+02,7.24E+02,1.15E+03,5.58E+01,1.10E+02,,,,,,
1986,10,2.03E+03,1.52E+03,2.66E+03,1.13E+02,2.91E+02,,,,,,
1986,11,4.03E+04,2.94E+04,5.39E+04,2.18E+03,6.27E+03,,,,,,
1986,12,1.53E+05,1.12E+05,2.04E+05,8.08E+03,2.36E+04,,,,,,
1987,1,7.71E+04,6.07E+04,9.65E+04,4.08E+03,9.16E+03,,,,,,
1987,2,4.41E+04,3.50E+04,5.47E+04,2.34E+03,5.04E+03,,,,,,
1987,3,6.33E+04,4.27E+04,9.05E+04,3.24E+03,1.22E+04,,,,,,
1987,4,7.40E+04,5.82E+04,9.27E+04,3.65E+03,8.81E+03,,,,,,
1987,5,2.77E+04,2.21E+04,3.41E+04,1.38E+03,3.06E+03,,,,,,
1987,6,7.70E+03,6.16E+03,9.52E+03,3.87E+02,8.60E+02,,,,,,
1987,7,1.17E+04,8.94E+03,1.49E+04,6.16E+02,1.54E+03,,,,,,
1987,8,8.01E+02,6.56E+02,9.69E+02,4.45E+01,7.99E+01,,,,,,
1987,9,5.38E+04,3.96E+04,7.13E+04,2.91E+03,8.11E+03,,,,,,
1987,10,1.10E+04,7.36E+03,1.57E+04,5.06E+02,2.14E+03,,,,,,
1987,11,1.10E+05,7.18E+04,1.61E+05,4.99E+03,2.30E+04,,,,,,
