YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,5.63E+03,4.22E+03,7.36E+03,5.72E+02,8.02E+02,,,,,,
1985,2,3.98E+04,1.83E+04,7.59E+04,7.01E+03,1.50E+04,,,,,,
1985,3,8.65E+03,6.25E+03,1.17E+04,8.42E+02,1.39E+03,,,,,,
1985,4,7.27E+03,5.32E+03,9.71E+03,6.96E+02,1.12E+03,,,,,,
1985,5,7.09E+03,5.29E+03,9.29E+03,6.69E+02,1.02E+03,,,,,,
1985,6,4.32E+03,3.31E+03,5.54E+03,4.06E+02,5.70E+02,,,,,,
1985,7,7.06E+03,4.74E+03,1.01E+04,6.83E+02,1.38E+03,,,,,,
1985,8,5.01E+03,3.83E+03,6.44E+03,4.63E+02,6.66E+02,,,,,,
1985,9,4.30E+03,3.26E+03,5.58E+03,3.95E+02,5.92E+02,,,,,,
1985,10,4.65E+03,3.59E+03,5.94E+03,4.21E+02,6.01E+02,,,,,,
1985,11,2.75E+04,1.93E+04,3.81E+04,2.99E+03,4.81E+03,,,,,,
1985,12,1.56E+04,1.15E+04,2.08E+04,1.48E+03,2.39E+03,,,,,,
1986,1,4.55E+03,3.50E+03,5.80E+03,4.02E+02,5.88E+02,,,,,,
1986,2,2.27E+04,1.59E+04,3.15E+04,2.26E+03,3.97E+03,,,,,,
1986,3,2.19E+04,1.35E+04,3.38E+04,2.32E+03,5.21E+03,,,,,,
1986,4,1.03E+04,7.54E+03,1.37E+04,8.51E+02,1.59E+03,,,,,,
1986,5,4.94E+03,3.84E+03,6.25E+03,4.02E+02,6.17E+02,,,,,,
1986,6,3.86E+03,3.00E+03,4.89E+03,3.14E+02,4.84E+02,,,,,,
1986,7,3.67E+03,2.84E+03,4.66E+03,3.05E+02,4.63E+02,,,,,,
1986,8,3.85E+03,3.01E+03,4.84E+03,3.15E+02,4.66E+02,,,,,,
1986,9,3.66E+03,2.86E+03,4.61E+03,3.01E+02,4.47E+02,,,,,,
1986,10,3.22E+03,2.49E+03,4.10E+03,2.96E+02,4.12E+02,,,,,,
1986,11,6.97E+03,5.30E+03,9.01E+03,5.51E+02,9.49E+02,,,,,,
1986,12,3.16E+04,1.95E+04,4.86E+04,3.48E+03,7.49E+03,,,,,,
1987,1,1.39E+04,1.01E+04,1.86E+04,1.09E+03,2.18E+03,,,,,,
1987,2,8.33E+03,6.42E+03,1.06E+04,6.12E+02,1.07E+03,,,,,,
1987,3,1.63E+04,1.06E+04,2.41E+04,1.45E+03,3.47E+03,,,,,,
1987,4,1.96E+04,1.45E+04,2.58E+04,1.52E+03,2.90E+03,,,,,,
1987,5,9.52E+03,7.41E+03,1.20E+04,6.74E+02,1.18E+03,,,,,,
1987,6,5.67E+03,4.45E+03,7.13E+03,4.00E+02,6.86E+02,,,,,,
1987,7,8.84E+03,6.66E+03,1.15E+04,6.64E+02,1.24E+03,,,,,,
1987,8,3.51E+03,2.76E+03,4.39E+03,2.75E+02,4.15E+02,,,,,,
1987,9,1.16E+04,8.52E+03,1.53E+04,9.64E+02,1.74E+03,,,,,,
1987,10,5.19E+03,4.07E+03,6.52E+03,3.56E+02,6.26E+02,,,,,,
1987,11,4.54E+04,1.89E+04,9.23E+04,7.53E+03,1.91E+04,,,,,,
1987,12,1.32E+04,1.01E+04,1.71E+04,9.52E+02,1.79E+03,,,,,,
1988,1,1.50E+04,9.46E+03,2.27E+04,1.24E+03,3.39E+03,,,,,,
1988,2,1.36E+04,1.05E+04,1.74E+04,9.13E+02,1.76E+03,,,,,,
1988,3,7.50E+03,5.79E+03,9.55E+03,4.79E+02,9.60E+02,,,,,,
1988,4,5.77E+03,4.57E+03,7.19E+03,3.69E+02,6.69E+02,,,,,,
1988,5,6.70E+04,3.75E+04,1.11E+05,9.01E+03,1.89E+04,,,,,,
1988,6,5.85E+03,4.66E+03,7.26E+03,3.71E+02,6.66E+02,,,,,,
1988,7,4.72E+03,3.77E+03,5.83E+03,2.93E+02,5.28E+02,,,,,,
1988,8,4.11E+03,3.30E+03,5.07E+03,2.60E+02,4.52E+02,,,,,,
1988,9,3.92E+03,3.13E+03,4.86E+03,2.52E+02,4.43E+02,,,,,,
1988,10,3.58E+03,2.85E+03,4.43E+03,2.46E+02,4.03E+02,,,,,,
