YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,7.53E+05,6.16E+05,9.11E+05,3.35E+04,7.52E+04,,,,,,
1985,2,1.86E+06,1.47E+06,2.32E+06,8.04E+04,2.18E+05,,,,,,
1985,3,1.22E+06,1.00E+06,1.47E+06,5.13E+04,1.19E+05,,,,,,
1985,4,9.23E+05,7.40E+05,1.14E+06,3.79E+04,1.01E+05,,,,,,
1985,5,7.26E+05,5.89E+05,8.86E+05,2.92E+04,7.59E+04,,,,,,
1985,6,5.22E+05,4.15E+05,6.48E+05,2.10E+04,5.95E+04,,,,,,
1985,7,2.28E+05,1.82E+05,2.81E+05,8.78E+03,2.54E+04,,,,,,
1985,8,1.64E+05,1.36E+05,1.97E+05,6.07E+03,1.57E+04,,,,,,
1985,9,8.57E+04,7.00E+04,1.04E+05,3.10E+03,8.68E+03,,,,,,
1985,10,3.07E+05,2.32E+05,3.98E+05,1.17E+04,4.25E+04,,,,,,
1985,11,4.00E+06,3.17E+06,4.98E+06,1.78E+05,4.64E+05,,,,,,
1985,12,2.20E+06,1.80E+06,2.67E+06,8.60E+04,2.22E+05,,,,,,
1986,1,5.66E+05,4.69E+05,6.76E+05,2.21E+04,5.30E+04,,,,,,
1986,2,2.55E+06,2.07E+06,3.10E+06,9.48E+04,2.65E+05,,,,,,
1986,3,2.36E+06,1.89E+06,2.90E+06,8.78E+04,2.57E+05,,,,,,
1986,4,1.03E+06,8.53E+05,1.24E+06,3.63E+04,9.89E+04,,,,,,
1986,5,5.16E+05,4.25E+05,6.21E+05,1.77E+04,4.99E+04,,,,,,
1986,6,1.48E+05,1.22E+05,1.78E+05,4.97E+03,1.44E+04,,,,,,
1986,7,8.32E+04,6.89E+04,9.97E+04,2.74E+03,7.87E+03,,,,,,
1986,8,6.10E+04,5.05E+04,7.30E+04,1.99E+03,5.74E+03,,,,,,
1986,9,3.21E+04,2.65E+04,3.86E+04,1.20E+03,3.10E+03,,,,,,
1986,10,4.18E+04,3.48E+04,4.98E+04,1.61E+03,3.82E+03,,,,,,
1986,11,3.65E+05,2.99E+05,4.41E+05,1.21E+04,3.64E+04,,,,,,
1986,12,1.66E+06,1.36E+06,2.02E+06,5.64E+04,1.69E+05,,,,,,
1987,1,1.45E+06,1.18E+06,1.77E+06,4.80E+04,1.50E+05,,,,,,
1987,2,1.42E+06,1.16E+06,1.72E+06,4.65E+04,1.42E+05,,,,,,
1987,3,1.79E+06,1.45E+06,2.18E+06,5.67E+04,1.87E+05,,,,,,
1987,4,3.87E+06,3.18E+06,4.66E+06,1.39E+05,3.76E+05,,,,,,
1987,5,1.43E+06,1.19E+06,1.71E+06,4.45E+04,1.32E+05,,,,,,
1987,6,3.91E+05,3.22E+05,4.71E+05,1.16E+04,3.79E+04,,,,,,
1987,7,3.38E+05,2.62E+05,4.29E+05,1.03E+04,4.26E+04,,,,,,
1987,8,3.84E+04,3.21E+04,4.55E+04,1.30E+03,3.43E+03,,,,,,
