YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,5.77E+04,4.70E+04,7.01E+04,4.32E+03,5.91E+03,,,,,,
1985,2,1.37E+05,1.09E+05,1.70E+05,1.04E+04,1.55E+04,,,,,,
1985,3,5.90E+04,4.85E+04,7.11E+04,4.22E+03,5.76E+03,,,,,,
1985,4,2.91E+04,2.40E+04,3.51E+04,2.05E+03,2.83E+03,,,,,,
1985,5,3.62E+04,2.98E+04,4.36E+04,2.53E+03,3.54E+03,,,,,,
1985,6,4.70E+04,3.66E+04,5.94E+04,3.37E+03,5.85E+03,,,,,,
1985,7,9.89E+03,8.22E+03,1.18E+04,6.79E+02,9.15E+02,,,,,,
1985,8,9.67E+03,8.01E+03,1.16E+04,6.56E+02,9.08E+02,,,,,,
1985,9,7.64E+03,6.31E+03,9.16E+03,5.24E+02,7.27E+02,,,,,,
1985,10,2.65E+04,2.06E+04,3.34E+04,1.83E+03,3.27E+03,,,,,,
1985,11,3.39E+05,2.46E+05,4.57E+05,3.05E+04,5.41E+04,,,,,,
1985,12,9.60E+04,7.93E+04,1.15E+05,6.54E+03,9.17E+03,,,,,,
1986,1,2.77E+04,2.32E+04,3.28E+04,1.76E+03,2.44E+03,,,,,,
1986,2,1.02E+05,8.39E+04,1.22E+05,6.42E+03,9.76E+03,,,,,,
1986,3,1.37E+05,1.11E+05,1.68E+05,8.71E+03,1.47E+04,,,,,,
1986,4,5.69E+04,4.78E+04,6.73E+04,3.43E+03,4.98E+03,,,,,,
1986,5,2.76E+04,2.31E+04,3.27E+04,1.63E+03,2.44E+03,,,,,,
1986,6,1.13E+04,9.48E+03,1.34E+04,6.78E+02,1.01E+03,,,,,,
1986,7,7.89E+03,6.62E+03,9.33E+03,4.79E+02,6.93E+02,,,,,,
1986,8,5.78E+03,4.84E+03,6.84E+03,3.63E+02,5.12E+02,,,,,,
1986,9,4.65E+03,3.87E+03,5.55E+03,3.06E+02,4.27E+02,,,,,,
1986,10,6.38E+03,5.31E+03,7.61E+03,4.07E+02,5.85E+02,,,,,,
1986,11,1.46E+04,1.22E+04,1.72E+04,8.45E+02,1.25E+03,,,,,,
1986,12,5.53E+04,4.49E+04,6.75E+04,3.14E+03,5.78E+03,,,,,,
1987,1,7.49E+04,6.03E+04,9.19E+04,4.14E+03,8.07E+03,,,,,,
1987,2,8.65E+04,7.20E+04,1.03E+05,4.68E+03,7.89E+03,,,,,,
1987,3,1.21E+05,9.86E+04,1.46E+05,6.52E+03,1.21E+04,,,,,,
1987,4,3.04E+05,2.46E+05,3.73E+05,1.90E+04,3.25E+04,,,,,,
1987,5,1.24E+05,1.04E+05,1.47E+05,6.76E+03,1.11E+04,,,,,,
1987,6,3.26E+04,2.75E+04,3.84E+04,1.68E+03,2.78E+03,,,,,,
1987,7,1.33E+04,1.13E+04,1.55E+04,6.76E+02,1.06E+03,,,,,,
1987,8,9.07E+03,7.72E+03,1.06E+04,4.75E+02,7.32E+02,,,,,,
1987,9,1.10E+05,8.85E+04,1.34E+05,6.57E+03,1.17E+04,,,,,,
1987,10,2.30E+04,1.96E+04,2.68E+04,1.16E+03,1.83E+03,,,,,,
1987,11,3.80E+04,3.13E+04,4.58E+04,1.93E+03,3.70E+03,,,,,,
1987,12,1.04E+05,8.71E+04,1.23E+05,5.40E+03,9.22E+03,,,,,,
1988,1,1.14E+05,9.48E+04,1.35E+05,5.60E+03,1.02E+04,,,,,,
1988,2,7.67E+04,6.47E+04,9.03E+04,3.63E+03,6.53E+03,,,,,,
1988,3,3.90E+04,3.34E+04,4.53E+04,1.82E+03,3.03E+03,,,,,,
1988,4,4.85E+04,4.08E+04,5.71E+04,2.21E+03,4.17E+03,,,,,,
1988,5,2.17E+05,1.78E+05,2.62E+05,1.15E+04,2.14E+04,,,,,,
1988,6,3.04E+04,2.58E+04,3.57E+04,1.38E+03,2.53E+03,,,,,,
1988,7,1.02E+04,8.78E+03,1.19E+04,4.85E+02,7.90E+02,,,,,,
1988,8,8.36E+03,7.14E+03,9.72E+03,4.05E+02,6.57E+02,,,,,,
1988,9,1.03E+04,8.81E+03,1.20E+04,4.86E+02,8.05E+02,,,,,,
1988,10,8.61E+03,7.34E+03,1.00E+04,4.43E+02,6.89E+02,,,,,,
1988,11,1.09E+04,9.26E+03,1.27E+04,5.54E+02,8.79E+02,,,,,,
1988,12,9.97E+03,8.45E+03,1.17E+04,5.53E+02,8.24E+02,,,,,,
1989,1,1.55E+04,1.31E+04,1.81E+04,7.82E+02,1.26E+03,,,,,,
1989,2,1.52E+04,1.28E+04,1.78E+04,7.54E+02,1.28E+03,,,,,,
1989,3,7.57E+04,6.35E+04,8.96E+04,3.16E+03,6.67E+03,,,,,,
1989,4,3.54E+04,3.04E+04,4.11E+04,1.49E+03,2.72E+03,,,,,,
1989,5,2.00E+05,1.68E+05,2.36E+05,9.19E+03,1.73E+04,,,,,,
1989,6,6.41E+04,5.46E+04,7.48E+04,2.81E+03,5.18E+03,,,,,,
1989,7,7.48E+04,6.27E+04,8.85E+04,3.46E+03,6.58E+03,,,,,,
1989,8,5.12E+04,4.37E+04,5.96E+04,2.35E+03,4.05E+03,,,,,,
1989,9,5.37E+04,4.51E+04,6.35E+04,2.52E+03,4.72E+03,,,,,,
1989,10,9.98E+04,8.32E+04,1.19E+05,4.88E+03,9.06E+03,,,,,,
1989,11,1.01E+05,8.20E+04,1.24E+05,4.69E+03,1.07E+04,,,,,,
1989,12,4.18E+04,3.60E+04,4.83E+04,1.78E+03,3.13E+03,,,,,,
1990,1,1.44E+05,1.19E+05,1.74E+05,6.11E+03,1.40E+04,,,,,,
1990,2,1.16E+05,9.96E+04,1.35E+05,4.71E+03,8.95E+03,,,,,,
