YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,7.73E+05,4.19E+05,1.31E+06,1.49E+05,2.30E+05,,,,,,
1985,2,1.01E+07,2.87E+06,2.60E+07,2.93E+06,6.18E+06,,,,,,
1985,3,8.91E+05,5.14E+05,1.44E+06,1.63E+05,2.38E+05,,,,,,
1985,4,3.67E+05,2.20E+05,5.76E+05,6.63E+04,9.14E+04,,,,,,
1985,5,1.04E+06,5.80E+05,1.72E+06,1.88E+05,2.94E+05,,,,,,
1985,6,5.22E+05,3.05E+05,8.37E+05,9.14E+04,1.37E+05,,,,,,
1985,7,3.73E+05,1.75E+05,7.03E+05,6.48E+04,1.37E+05,,,,,,
1985,8,3.84E+06,1.29E+06,8.97E+06,9.22E+05,2.02E+06,,,,,,
1985,9,1.87E+05,1.12E+05,2.93E+05,3.17E+04,4.64E+04,,,,,,
1985,10,2.01E+05,1.07E+05,3.45E+05,3.42E+04,6.14E+04,,,,,,
1985,11,1.40E+10,1.13E+09,6.16E+10,1.69E+10,1.90E+10,,,,,,
1985,12,5.20E+06,2.21E+06,1.05E+07,1.12E+06,2.14E+06,,,,,,
1986,1,2.00E+05,1.24E+05,3.04E+05,3.46E+04,4.61E+04,,,,,,
1986,2,7.23E+05,4.35E+05,1.13E+06,1.17E+05,1.79E+05,,,,,,
1986,3,4.95E+06,1.86E+06,1.08E+07,1.04E+06,2.33E+06,,,,,,
1986,4,8.11E+05,4.92E+05,1.26E+06,1.27E+05,1.98E+05,,,,,,
1986,5,4.30E+05,2.67E+05,6.57E+05,6.52E+04,1.00E+05,,,,,,
1986,6,2.03E+05,1.27E+05,3.10E+05,3.06E+04,4.71E+04,,,,,,
1986,7,1.19E+05,7.41E+04,1.82E+05,2.04E+04,2.77E+04,,,,,,
1986,8,1.07E+05,6.63E+04,1.64E+05,1.87E+04,2.51E+04,,,,,,
1986,9,1.03E+05,6.39E+04,1.58E+05,1.73E+04,2.41E+04,,,,,,
1986,10,5.36E+04,3.13E+04,8.61E+04,1.16E+04,1.41E+04,,,,,,
1986,11,6.27E+04,3.82E+04,9.73E+04,1.16E+04,1.52E+04,,,,,,
1986,12,1.07E+06,4.07E+05,2.33E+06,1.77E+05,5.03E+05,,,,,,
1987,1,6.98E+05,3.62E+05,1.22E+06,1.02E+05,2.22E+05,,,,,,
1987,2,8.73E+05,5.20E+05,1.38E+06,1.25E+05,2.21E+05,,,,,,
1987,3,5.20E+06,2.15E+06,1.06E+07,1.01E+06,2.21E+06,,,,,,
1987,4,8.58E+08,1.26E+08,3.03E+09,6.65E+08,8.30E+08,,,,,,
1987,5,4.51E+06,2.67E+06,7.16E+06,7.09E+05,1.15E+06,,,,,,
1987,6,6.75E+05,4.13E+05,1.04E+06,9.53E+04,1.62E+05,,,,,,
1987,7,2.28E+05,1.48E+05,3.36E+05,2.96E+04,4.81E+04,,,,,,
1987,8,1.23E+05,7.98E+04,1.81E+05,1.80E+04,2.59E+04,,,,,,
1987,9,1.54E+07,4.13E+06,4.08E+07,4.55E+06,9.81E+06,,,,,,
1987,10,1.68E+05,1.09E+05,2.47E+05,2.30E+04,3.55E+04,,,,,,
1987,11,4.50E+05,1.26E+05,1.17E+06,6.94E+04,2.78E+05,,,,,,
1987,12,1.67E+06,7.60E+05,3.21E+06,2.64E+05,6.37E+05,,,,,,
1988,1,1.06E+06,5.88E+05,1.75E+06,1.42E+05,3.00E+05,,,,,,
1988,2,3.57E+05,2.29E+05,5.31E+05,4.82E+04,7.73E+04,,,,,,
1988,3,1.97E+05,1.29E+05,2.89E+05,2.71E+04,4.10E+04,,,,,,
1988,4,3.61E+05,2.25E+05,5.49E+05,4.53E+04,8.29E+04,,,,,,
1988,5,1.02E+07,5.18E+06,1.80E+07,1.92E+06,3.32E+06,,,,,,
1988,6,2.94E+05,1.90E+05,4.35E+05,3.53E+04,6.28E+04,,,,,,
1988,7,1.13E+05,7.42E+04,1.66E+05,1.56E+04,2.36E+04,,,,,,
1988,8,1.01E+05,6.53E+04,1.48E+05,1.44E+04,2.13E+04,,,,,,
1988,9,9.45E+04,5.98E+04,1.42E+05,1.31E+04,2.11E+04,,,,,,
1988,10,4.39E+04,2.62E+04,6.91E+04,8.76E+03,1.10E+04,,,,,,
1988,11,5.41E+04,3.38E+04,8.22E+04,8.95E+03,1.24E+04,,,,,,
1988,12,3.59E+04,2.15E+04,5.64E+04,7.10E+03,8.96E+03,,,,,,
1989,1,6.22E+04,3.75E+04,9.72E+04,9.88E+03,1.53E+04,,,,,,
1989,2,5.85E+04,3.50E+04,9.19E+04,9.30E+03,1.46E+04,,,,,,
1989,3,1.78E+06,9.34E+05,3.08E+06,2.28E+05,5.54E+05,,,,,,
1989,4,4.42E+05,2.79E+05,6.66E+05,5.24E+04,9.93E+04,,,,,,
1989,5,5.61E+07,1.97E+07,1.27E+08,1.91E+07,2.83E+07,,,,,,
1989,6,2.36E+06,1.43E+06,3.67E+06,3.53E+05,5.76E+05,,,,,,
1989,7,9.72E+05,6.03E+05,1.49E+06,1.42E+05,2.27E+05,,,,,,
1989,8,6.22E+06,2.19E+06,1.41E+07,1.38E+06,3.14E+06,,,,,,
1989,9,4.27E+06,2.23E+06,7.42E+06,8.05E+05,1.34E+06,,,,,,
1989,10,9.97E+06,4.06E+06,2.06E+07,2.28E+06,4.31E+06,,,,,,
1989,11,9.20E+05,4.82E+05,1.60E+06,1.33E+05,2.89E+05,,,,,,
1989,12,1.95E+05,1.28E+05,2.85E+05,2.59E+04,4.02E+04,,,,,,
1990,1,2.47E+06,9.47E+05,5.29E+06,4.14E+05,1.14E+06,,,,,,
1990,2,1.34E+06,8.51E+05,2.01E+06,1.61E+05,2.98E+05,,,,,,
1990,3,5.22E+05,3.44E+05,7.60E+05,6.20E+04,1.07E+05,,,,,,
1990,4,1.32E+06,8.41E+05,1.97E+06,1.55E+05,2.90E+05,,,,,,
1990,5,5.27E+06,1.61E+06,1.30E+07,1.17E+06,3.02E+06,,,,,,
1990,6,1.36E+06,6.03E+05,2.65E+06,1.91E+05,5.32E+05,,,,,,
1990,7,3.12E+05,1.95E+05,4.73E+05,3.71E+04,7.15E+04,,,,,,
1990,8,4.89E+05,2.46E+05,8.76E+05,7.11E+04,1.63E+05,,,,,,
1990,9,1.80E+05,1.13E+05,2.74E+05,2.19E+04,4.15E+04,,,,,,
1990,10,3.27E+07,9.96E+06,8.08E+07,1.12E+07,1.88E+07,,,,,,
1990,11,3.60E+05,2.27E+05,5.42E+05,4.93E+04,8.07E+04,,,,,,
1990,12,1.81E+06,5.28E+05,4.58E+06,3.29E+05,1.08E+06,,,,,,
1991,1,1.09E+07,5.35E+06,2.00E+07,2.34E+06,3.78E+06,,,,,,
1991,2,2.74E+05,1.80E+05,4.00E+05,3.49E+04,5.65E+04,,,,,,
1991,3,7.30E+06,3.31E+06,1.41E+07,1.44E+06,2.79E+06,,,,,,
1991,4,1.30E+06,7.70E+05,2.07E+06,1.52E+05,3.34E+05,,,,,,
1991,5,2.90E+05,1.96E+05,4.13E+05,3.37E+04,5.57E+04,,,,,,
1991,6,2.02E+05,1.34E+05,2.93E+05,2.26E+04,4.08E+04,,,,,,
1991,7,1.33E+06,5.11E+05,2.87E+06,2.23E+05,6.16E+05,,,,,,
1991,8,5.49E+05,2.85E+05,9.62E+05,7.78E+04,1.75E+05,,,,,,
1991,9,7.70E+04,5.04E+04,1.13E+05,1.05E+04,1.60E+04,,,,,,
1991,10,4.78E+04,3.01E+04,7.22E+04,7.98E+03,1.08E+04,,,,,,
1991,11,3.96E+04,2.46E+04,6.04E+04,6.85E+03,9.18E+03,,,,,,
1991,12,1.20E+05,7.03E+04,1.91E+05,1.57E+04,3.09E+04,,,,,,
1992,1,1.70E+06,6.56E+05,3.64E+06,2.85E+05,7.79E+05,,,,,,
1992,2,7.72E+05,2.82E+05,1.71E+06,1.08E+05,3.74E+05,,,,,,
1992,3,1.26E+06,8.05E+05,1.87E+06,1.47E+05,2.74E+05,,,,,,
1992,4,1.58E+08,2.93E+07,5.02E+08,9.58E+07,1.31E+08,,,,,,
1992,5,2.25E+06,1.39E+06,3.46E+06,2.98E+05,5.33E+05,,,,,,
1992,6,9.54E+06,2.95E+06,2.33E+07,2.45E+06,5.40E+06,,,,,,
1992,7,2.89E+05,1.86E+05,4.29E+05,3.46E+04,6.22E+04,,,,,,
1992,8,1.41E+05,9.52E+04,2.02E+05,1.66E+04,2.74E+04,,,,,,
1992,9,1.03E+06,4.04E+05,2.18E+06,1.74E+05,4.65E+05,,,,,,
1992,10,1.17E+05,7.68E+04,1.72E+05,1.49E+04,2.44E+04,,,,,,
1992,11,3.22E+06,1.05E+06,7.64E+06,6.75E+05,1.74E+06,,,,,,
1992,12,3.33E+06,1.68E+06,5.94E+06,5.52E+05,1.10E+06,,,,,,
1993,1,1.13E+06,7.31E+05,1.67E+06,1.43E+05,2.42E+05,,,,,,
1993,2,5.30E+05,2.97E+05,8.77E+05,6.33E+04,1.49E+05,,,,,,
1993,3,1.55E+08,2.83E+07,5.00E+08,9.43E+07,1.31E+08,,,,,,
1993,4,2.57E+07,9.95E+06,5.48E+07,7.21E+06,1.17E+07,,,,,,
1993,5,1.19E+06,7.76E+05,1.75E+06,1.49E+05,2.49E+05,,,,,,
1993,6,2.55E+05,1.71E+05,3.68E+05,3.00E+04,5.04E+04,,,,,,
1993,7,1.55E+05,1.03E+05,2.22E+05,1.78E+04,3.04E+04,,,,,,
1993,8,1.06E+05,7.07E+04,1.53E+05,1.31E+04,2.12E+04,,,,,,
1993,9,8.90E+04,5.92E+04,1.29E+05,1.15E+04,1.78E+04,,,,,,
1993,10,7.03E+04,4.63E+04,1.03E+05,9.84E+03,1.44E+04,,,,,,
1993,11,1.34E+06,3.91E+05,3.40E+06,2.58E+05,8.00E+05,,,,,,
1993,12,2.48E+06,8.14E+05,5.87E+06,4.97E+05,1.34E+06,,,,,,
1994,1,5.32E+06,1.88E+06,1.20E+07,1.25E+06,2.66E+06,,,,,,
1994,2,1.53E+07,4.85E+06,3.71E+07,4.91E+06,8.53E+06,,,,,,
1994,3,7.57E+07,2.63E+07,1.73E+08,3.08E+07,3.85E+07,,,,,,
1994,4,3.62E+06,1.85E+06,6.43E+06,5.43E+05,1.18E+06,,,,,,
1994,5,2.27E+06,1.15E+06,4.03E+06,3.20E+05,7.43E+05,,,,,,
1994,6,1.80E+05,1.21E+05,2.56E+05,2.11E+04,3.46E+04,,,,,,
1994,7,2.51E+05,1.62E+05,3.71E+05,3.01E+04,5.36E+04,,,,,,
1994,8,4.09E+06,1.25E+06,1.01E+07,9.14E+05,2.35E+06,,,,,,
1994,9,1.06E+05,7.05E+04,1.54E+05,1.31E+04,2.13E+04,,,,,,
1994,10,5.20E+04,3.35E+04,7.73E+04,8.09E+03,1.13E+04,,,,,,
1994,11,5.43E+04,3.47E+04,8.09E+04,8.21E+03,1.18E+04,,,,,,
1994,12,6.28E+04,4.03E+04,9.36E+04,9.54E+03,1.37E+04,,,,,,
1995,1,1.82E+07,4.41E+06,5.08E+07,7.25E+06,1.25E+07,,,,,,
1995,2,1.47E+05,9.49E+04,2.18E+05,2.06E+04,3.16E+04,,,,,,
