YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,2.88E+03,2.30E+03,3.55E+03,2.38E+02,3.19E+02,,,,,,
1985,2,7.03E+03,4.55E+03,1.04E+04,1.10E+03,1.50E+03,,,,,,
1985,3,3.79E+03,3.04E+03,4.66E+03,3.01E+02,4.14E+02,,,,,,
1985,4,4.10E+03,3.29E+03,5.05E+03,3.21E+02,4.49E+02,,,,,,
1985,5,4.19E+03,3.37E+03,5.14E+03,3.28E+02,4.54E+02,,,,,,
1985,6,3.58E+03,2.88E+03,4.41E+03,2.79E+02,3.89E+02,,,,,,
1985,7,3.72E+03,2.99E+03,4.57E+03,2.86E+02,4.04E+02,,,,,,
1985,8,3.87E+03,3.12E+03,4.75E+03,2.95E+02,4.14E+02,,,,,,
1985,9,3.05E+03,2.47E+03,3.73E+03,2.28E+02,3.24E+02,,,,,,
1985,10,2.92E+03,2.37E+03,3.57E+03,2.15E+02,3.05E+02,,,,,,
1985,11,5.96E+03,4.71E+03,7.45E+03,4.93E+02,7.00E+02,,,,,,
1985,12,5.90E+03,4.73E+03,7.27E+03,4.67E+02,6.48E+02,,,,,,
1986,1,3.13E+03,2.55E+03,3.81E+03,2.23E+02,3.21E+02,,,,,,
1986,2,5.26E+03,4.19E+03,6.52E+03,3.87E+02,5.95E+02,,,,,,
1986,3,7.39E+03,5.88E+03,9.17E+03,5.83E+02,8.40E+02,,,,,,
1986,4,5.26E+03,4.29E+03,6.39E+03,3.56E+02,5.36E+02,,,,,,
1986,5,4.36E+03,3.56E+03,5.28E+03,2.94E+02,4.40E+02,,,,,,
1986,6,4.11E+03,3.34E+03,5.00E+03,2.77E+02,4.24E+02,,,,,,
1986,7,3.51E+03,2.88E+03,4.24E+03,2.33E+02,3.48E+02,,,,,,
1986,8,3.32E+03,2.73E+03,4.01E+03,2.17E+02,3.28E+02,,,,,,
1986,9,2.75E+03,2.24E+03,3.33E+03,1.86E+02,2.77E+02,,,,,,
1986,10,2.55E+03,2.08E+03,3.09E+03,1.76E+02,2.57E+02,,,,,,
1986,11,2.72E+03,2.23E+03,3.28E+03,1.70E+02,2.68E+02,,,,,,
1986,12,3.66E+03,2.99E+03,4.43E+03,2.32E+02,3.67E+02,,,,,,
1987,1,3.45E+03,2.83E+03,4.15E+03,2.15E+02,3.36E+02,,,,,,
1987,2,2.92E+03,2.39E+03,3.53E+03,1.80E+02,2.90E+02,,,,,,
1987,3,4.21E+03,3.47E+03,5.07E+03,2.48E+02,4.09E+02,,,,,,
1987,4,7.65E+03,6.10E+03,9.47E+03,5.67E+02,8.63E+02,,,,,,
1987,5,4.47E+03,3.70E+03,5.36E+03,2.66E+02,4.25E+02,,,,,,
1987,6,3.72E+03,3.07E+03,4.47E+03,2.22E+02,3.57E+02,,,,,,
1987,7,3.89E+03,3.22E+03,4.66E+03,2.30E+02,3.69E+02,,,,,,
