YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,9.66E+04,8.68E+04,1.07E+05,3.86E+03,5.21E+03,,,,,,
1985,2,2.46E+05,2.17E+05,2.78E+05,9.69E+03,1.56E+04,,,,,,
1985,3,1.79E+05,1.60E+05,1.99E+05,6.81E+03,1.00E+04,,,,,,
1985,4,2.00E+05,1.78E+05,2.24E+05,7.58E+03,1.15E+04,,,,,,
1985,5,1.61E+05,1.43E+05,1.79E+05,6.04E+03,9.11E+03,,,,,,
1985,6,6.61E+04,5.96E+04,7.31E+04,2.41E+03,3.45E+03,,,,,,
1985,7,5.40E+04,4.87E+04,5.99E+04,1.94E+03,2.86E+03,,,,,,
1985,8,5.39E+04,4.85E+04,5.97E+04,1.92E+03,2.85E+03,,,,,,
1985,9,3.99E+04,3.60E+04,4.41E+04,1.43E+03,2.07E+03,,,,,,
1985,10,5.14E+04,4.63E+04,5.69E+04,1.82E+03,2.71E+03,,,,,,
1985,11,4.44E+05,3.95E+05,4.97E+05,1.72E+04,2.59E+04,,,,,,
1985,12,2.93E+05,2.63E+05,3.25E+05,1.07E+04,1.59E+04,,,,,,
1986,1,1.06E+05,9.54E+04,1.17E+05,3.62E+03,5.41E+03,,,,,,
1986,2,3.67E+05,3.28E+05,4.09E+05,1.25E+04,2.06E+04,,,,,,
1986,3,4.01E+05,3.57E+05,4.49E+05,1.35E+04,2.34E+04,,,,,,
1986,4,2.01E+05,1.81E+05,2.23E+05,6.58E+03,1.05E+04,,,,,,
1986,5,1.30E+05,1.17E+05,1.44E+05,4.20E+03,6.84E+03,,,,,,
1986,6,6.42E+04,5.82E+04,7.05E+04,2.03E+03,3.14E+03,,,,,,
1986,7,4.95E+04,4.50E+04,5.44E+04,1.54E+03,2.38E+03,,,,,,
1986,8,4.42E+04,4.02E+04,4.84E+04,1.36E+03,2.10E+03,,,,,,
1986,9,3.20E+04,2.91E+04,3.52E+04,1.03E+03,1.56E+03,,,,,,
1986,10,3.45E+04,3.13E+04,3.79E+04,1.12E+03,1.67E+03,,,,,,
1986,11,9.39E+04,8.43E+04,1.04E+05,2.84E+03,5.12E+03,,,,,,
1986,12,2.38E+05,2.15E+05,2.63E+05,7.35E+03,1.22E+04,,,,,,
1987,1,1.86E+05,1.69E+05,2.05E+05,5.49E+03,9.17E+03,,,,,,
1987,2,1.38E+05,1.25E+05,1.52E+05,3.97E+03,6.74E+03,,,,,,
1987,3,1.80E+05,1.63E+05,1.98E+05,5.07E+03,9.15E+03,,,,,,
1987,4,3.69E+05,3.33E+05,4.09E+05,1.06E+04,1.96E+04,,,,,,
1987,5,1.28E+05,1.17E+05,1.40E+05,3.63E+03,5.99E+03,,,,,,
1987,6,7.93E+04,7.23E+04,8.69E+04,2.20E+03,3.73E+03,,,,,,
1987,7,6.00E+04,5.46E+04,6.58E+04,1.63E+03,2.87E+03,,,,,,
1987,8,3.24E+04,2.96E+04,3.55E+04,9.18E+02,1.48E+03,,,,,,
1987,9,7.66E+04,6.91E+04,8.46E+04,2.04E+03,3.94E+03,,,,,,
1987,10,5.26E+04,4.81E+04,5.74E+04,1.37E+03,2.38E+03,,,,,,
1987,11,1.08E+05,9.63E+04,1.22E+05,2.83E+03,6.43E+03,,,,,,
1987,12,1.62E+05,1.48E+05,1.78E+05,4.24E+03,7.57E+03,,,,,,
1988,1,1.82E+05,1.63E+05,2.03E+05,4.58E+03,1.00E+04,,,,,,
1988,2,1.98E+05,1.80E+05,2.17E+05,4.92E+03,9.31E+03,,,,,,
1988,3,1.37E+05,1.25E+05,1.49E+05,3.35E+03,6.32E+03,,,,,,
1988,4,1.05E+05,9.54E+04,1.15E+05,2.58E+03,4.92E+03,,,,,,
1988,5,4.18E+05,3.74E+05,4.66E+05,1.14E+04,2.35E+04,,,,,,
1988,6,1.06E+05,9.64E+04,1.16E+05,2.68E+03,4.99E+03,,,,,,
1988,7,4.56E+04,4.18E+04,4.96E+04,1.10E+03,1.99E+03,,,,,,
1988,8,4.23E+04,3.88E+04,4.61E+04,9.96E+02,1.86E+03,,,,,,
1988,9,5.97E+04,5.40E+04,6.58E+04,1.35E+03,3.01E+03,,,,,,
1988,10,3.41E+04,3.13E+04,3.72E+04,8.70E+02,1.50E+03,,,,,,
1988,11,9.63E+04,8.60E+04,1.08E+05,2.17E+03,5.53E+03,,,,,,
1988,12,6.17E+04,5.65E+04,6.73E+04,1.45E+03,2.75E+03,,,,,,
1989,1,1.41E+05,1.28E+05,1.54E+05,3.10E+03,6.68E+03,,,,,,
1989,2,1.01E+05,9.19E+04,1.10E+05,2.22E+03,4.66E+03,,,,,,
1989,3,2.55E+05,2.33E+05,2.78E+05,5.51E+03,1.13E+04,,,,,,
1989,4,1.61E+05,1.47E+05,1.77E+05,3.55E+03,7.47E+03,,,,,,
1989,5,4.40E+05,3.99E+05,4.84E+05,1.07E+04,2.17E+04,,,,,,
1989,6,1.95E+05,1.77E+05,2.14E+05,4.87E+03,9.50E+03,,,,,,
1989,7,3.59E+05,3.24E+05,3.97E+05,9.87E+03,1.86E+04,,,,,,
1989,8,1.27E+05,1.16E+05,1.40E+05,3.06E+03,6.18E+03,,,,,,
1989,9,5.34E+04,4.92E+04,5.79E+04,1.07E+03,2.21E+03,,,,,,
1989,10,9.54E+04,8.62E+04,1.05E+05,1.96E+03,4.88E+03,,,,,,
1989,11,1.23E+05,1.12E+05,1.35E+05,2.52E+03,5.98E+03,,,,,,
1989,12,5.73E+04,5.26E+04,6.22E+04,1.24E+03,2.44E+03,,,,,,
1990,1,1.91E+05,1.71E+05,2.13E+05,3.61E+03,1.07E+04,,,,,,
1990,2,1.93E+05,1.77E+05,2.11E+05,3.75E+03,8.70E+03,,,,,,
1990,3,8.06E+04,7.42E+04,8.74E+04,1.71E+03,3.37E+03,,,,,,
1990,4,1.09E+05,9.98E+04,1.19E+05,2.22E+03,4.77E+03,,,,,,
1990,5,1.44E+05,1.32E+05,1.58E+05,3.10E+03,6.50E+03,,,,,,
1990,6,9.45E+04,8.64E+04,1.03E+05,2.03E+03,4.30E+03,,,,,,
1990,7,6.47E+04,5.93E+04,7.06E+04,1.32E+03,2.90E+03,,,,,,
1990,8,1.01E+05,9.11E+04,1.12E+05,2.20E+03,5.44E+03,,,,,,
1990,9,5.24E+04,4.83E+04,5.67E+04,9.59E+02,2.14E+03,,,,,,
1990,10,3.47E+05,3.10E+05,3.87E+05,8.12E+03,1.95E+04,,,,,,
1990,11,1.32E+05,1.22E+05,1.44E+05,2.53E+03,5.61E+03,,,,,,
