YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,2.77E+03,2.11E+03,3.55E+03,2.64E+02,3.68E+02,,,,,,
1985,2,5.76E+03,4.09E+03,7.88E+03,5.38E+02,9.69E+02,,,,,,
1985,3,4.17E+03,3.15E+03,5.41E+03,3.79E+02,5.79E+02,,,,,,
1985,4,5.07E+03,3.81E+03,6.62E+03,4.58E+02,7.18E+02,,,,,,
1985,5,5.02E+03,3.80E+03,6.51E+03,4.51E+02,6.93E+02,,,,,,
1985,6,3.25E+03,2.51E+03,4.14E+03,2.85E+02,4.17E+02,,,,,,
1985,7,3.55E+03,2.74E+03,4.52E+03,3.08E+02,4.54E+02,,,,,,
1985,8,3.88E+03,3.00E+03,4.93E+03,3.34E+02,4.94E+02,,,,,,
1985,9,3.29E+03,2.55E+03,4.19E+03,2.86E+02,4.20E+02,,,,,,
1985,10,3.30E+03,2.56E+03,4.19E+03,2.82E+02,4.17E+02,,,,,,
1985,11,1.45E+04,1.07E+04,1.91E+04,1.33E+03,2.15E+03,,,,,,
1985,12,7.62E+03,5.78E+03,9.86E+03,6.62E+02,1.04E+03,,,,,,
1986,1,2.73E+03,2.12E+03,3.46E+03,2.24E+02,3.41E+02,,,,,,
1986,2,8.03E+03,5.99E+03,1.06E+04,6.50E+02,1.17E+03,,,,,,
1986,3,1.01E+04,7.06E+03,1.40E+04,8.18E+02,1.79E+03,,,,,,
1986,4,4.84E+03,3.71E+03,6.19E+03,3.78E+02,6.33E+02,,,,,,
1986,5,4.03E+03,3.10E+03,5.15E+03,3.13E+02,5.24E+02,,,,,,
1986,6,2.98E+03,2.34E+03,3.75E+03,2.27E+02,3.60E+02,,,,,,
1986,7,3.17E+03,2.49E+03,3.97E+03,2.39E+02,3.78E+02,,,,,,
1986,8,3.30E+03,2.60E+03,4.14E+03,2.47E+02,3.91E+02,,,,,,
1986,9,2.82E+03,2.21E+03,3.55E+03,2.19E+02,3.42E+02,,,,,,
1986,10,2.63E+03,2.07E+03,3.31E+03,2.06E+02,3.18E+02,,,,,,
1986,11,3.41E+03,2.65E+03,4.31E+03,2.46E+02,4.24E+02,,,,,,
1986,12,5.77E+03,4.46E+03,7.34E+03,4.25E+02,7.35E+02,,,,,,
1987,1,3.93E+03,3.07E+03,4.95E+03,2.77E+02,4.79E+02,,,,,,
1987,2,2.78E+03,2.17E+03,3.49E+03,1.92E+02,3.37E+02,,,,,,
1987,3,3.66E+03,2.84E+03,4.63E+03,2.47E+02,4.59E+02,,,,,,
1987,4,8.96E+03,6.71E+03,1.17E+04,6.17E+02,1.28E+03,,,,,,
1987,5,3.64E+03,2.88E+03,4.53E+03,2.47E+02,4.19E+02,,,,,,
1987,6,3.17E+03,2.51E+03,3.95E+03,2.12E+02,3.67E+02,,,,,,
