YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,1.07E+05,9.63E+04,1.19E+05,4.30E+03,5.91E+03,,,,,,
1985,2,3.15E+05,2.75E+05,3.58E+05,1.24E+04,2.12E+04,,,,,,
1985,3,2.21E+05,1.97E+05,2.47E+05,8.46E+03,1.29E+04,,,,,,
1985,4,2.58E+05,2.29E+05,2.90E+05,9.82E+03,1.55E+04,,,,,,
1985,5,2.10E+05,1.86E+05,2.35E+05,7.88E+03,1.24E+04,,,,,,
1985,6,8.09E+04,7.28E+04,8.97E+04,2.96E+03,4.32E+03,,,,,,
1985,7,6.59E+04,5.91E+04,7.32E+04,2.38E+03,3.60E+03,,,,,,
1985,8,6.51E+04,5.84E+04,7.24E+04,2.33E+03,3.57E+03,,,,,,
1985,9,4.57E+04,4.11E+04,5.07E+04,1.65E+03,2.43E+03,,,,,,
1985,10,5.81E+04,5.22E+04,6.45E+04,2.06E+03,3.15E+03,,,,,,
1985,11,6.06E+05,5.38E+05,6.81E+05,2.32E+04,3.64E+04,,,,,,
1985,12,3.70E+05,3.31E+05,4.12E+05,1.34E+04,2.07E+04,,,,,,
1986,1,1.18E+05,1.06E+05,1.31E+05,4.06E+03,6.23E+03,,,,,,
1986,2,4.79E+05,4.27E+05,5.37E+05,1.63E+04,2.81E+04,,,,,,
1986,3,5.39E+05,4.76E+05,6.08E+05,1.82E+04,3.38E+04,,,,,,
1986,4,2.58E+05,2.32E+05,2.87E+05,8.43E+03,1.41E+04,,,,,,
1986,5,1.66E+05,1.48E+05,1.84E+05,5.33E+03,9.16E+03,,,,,,
1986,6,7.78E+04,7.05E+04,8.57E+04,2.45E+03,3.89E+03,,,,,,
1986,7,5.92E+04,5.37E+04,6.52E+04,1.84E+03,2.92E+03,,,,,,
1986,8,5.18E+04,4.70E+04,5.69E+04,1.60E+03,2.52E+03,,,,,,
1986,9,3.56E+04,3.23E+04,3.92E+04,1.14E+03,1.77E+03,,,,,,
1986,10,3.72E+04,3.37E+04,4.09E+04,1.20E+03,1.83E+03,,,,,,
1986,11,1.09E+05,9.77E+04,1.22E+05,3.30E+03,6.27E+03,,,,,,
1986,12,2.92E+05,2.62E+05,3.23E+05,8.93E+03,1.56E+04,,,,,,
1987,1,2.19E+05,1.98E+05,2.42E+05,6.45E+03,1.12E+04,,,,,,
1987,2,1.60E+05,1.45E+05,1.76E+05,4.60E+03,8.04E+03,,,,,,
1987,3,2.19E+05,1.97E+05,2.42E+05,6.16E+03,1.17E+04,,,,,,
1987,4,5.03E+05,4.51E+05,5.61E+05,1.44E+04,2.81E+04,,,,,,
1987,5,1.60E+05,1.46E+05,1.76E+05,4.46E+03,7.64E+03,,,,,,
1987,6,9.78E+04,8.88E+04,1.07E+05,2.67E+03,4.71E+03,,,,,,
1987,7,7.31E+04,6.62E+04,8.05E+04,1.96E+03,3.64E+03,,,,,,
1987,8,3.68E+04,3.35E+04,4.02E+04,1.02E+03,1.71E+03,,,,,,
1987,9,9.35E+04,8.39E+04,1.04E+05,2.48E+03,5.10E+03,,,,,,
1987,10,5.88E+04,5.36E+04,6.43E+04,1.52E+03,2.73E+03,,,,,,
1987,11,1.29E+05,1.13E+05,1.46E+05,3.35E+03,8.40E+03,,,,,,
1987,12,1.90E+05,1.72E+05,2.08E+05,4.91E+03,9.18E+03,,,,,,
1988,1,2.18E+05,1.93E+05,2.44E+05,5.43E+03,1.31E+04,,,,,,
1988,2,2.36E+05,2.14E+05,2.59E+05,5.82E+03,1.15E+04,,,,,,
1988,3,1.60E+05,1.45E+05,1.75E+05,3.89E+03,7.68E+03,,,,,,
1988,4,1.24E+05,1.13E+05,1.37E+05,3.00E+03,6.06E+03,,,,,,
1988,5,6.11E+05,5.42E+05,6.85E+05,1.62E+04,3.65E+04,,,,,,
1988,6,1.34E+05,1.22E+05,1.47E+05,3.27E+03,6.48E+03,,,,,,
1988,7,5.35E+04,4.90E+04,5.83E+04,1.25E+03,2.38E+03,,,,,,
1988,8,4.90E+04,4.48E+04,5.35E+04,1.12E+03,2.21E+03,,,,,,
1988,9,7.10E+04,6.37E+04,7.89E+04,1.59E+03,3.87E+03,,,,,,
1988,10,3.64E+04,3.33E+04,3.97E+04,8.94E+02,1.63E+03,,,,,,
1988,11,1.13E+05,9.97E+04,1.28E+05,2.52E+03,7.10E+03,,,,,,
1988,12,6.53E+04,5.97E+04,7.14E+04,1.50E+03,2.99E+03,,,,,,
1989,1,1.61E+05,1.46E+05,1.78E+05,3.49E+03,8.03E+03,,,,,,
1989,2,1.13E+05,1.02E+05,1.24E+05,2.44E+03,5.41E+03,,,,,,
1989,3,3.17E+05,2.89E+05,3.46E+05,6.66E+03,1.45E+04,,,,,,
1989,4,1.98E+05,1.80E+05,2.18E+05,4.20E+03,9.52E+03,,,,,,
1989,5,6.27E+05,5.66E+05,6.93E+05,1.45E+04,3.24E+04,,,,,,
1989,6,2.62E+05,2.37E+05,2.89E+05,6.16E+03,1.33E+04,,,,,,
1989,7,5.22E+05,4.69E+05,5.79E+05,1.35E+04,2.82E+04,,,,,,
1989,8,1.66E+05,1.50E+05,1.83E+05,3.80E+03,8.41E+03,,,,,,
1989,9,6.13E+04,5.64E+04,6.66E+04,1.18E+03,2.60E+03,,,,,,
1989,10,1.14E+05,1.02E+05,1.27E+05,2.29E+03,6.27E+03,,,,,,
1989,11,1.45E+05,1.31E+05,1.60E+05,2.88E+03,7.47E+03,,,,,,
1989,12,6.00E+04,5.50E+04,6.52E+04,1.24E+03,2.62E+03,,,,,,
1990,1,2.30E+05,2.03E+05,2.59E+05,4.22E+03,1.43E+04,,,,,,
1990,2,2.28E+05,2.08E+05,2.50E+05,4.28E+03,1.07E+04,,,,,,
1990,3,8.82E+04,8.11E+04,9.58E+04,1.79E+03,3.75E+03,,,,,,
1990,4,1.28E+05,1.17E+05,1.40E+05,2.46E+03,5.75E+03,,,,,,
