YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,7.04E+04,3.83E+04,1.19E+05,1.43E+04,2.08E+04,,,,,,
1985,2,1.77E+06,4.00E+05,5.15E+06,4.99E+05,1.29E+06,,,,,,
1985,3,7.05E+05,2.66E+05,1.53E+06,1.39E+05,3.31E+05,,,,,,
1985,4,1.30E+06,5.00E+05,2.77E+06,2.67E+05,5.93E+05,,,,,,
1985,5,1.18E+06,4.17E+05,2.65E+06,2.39E+05,5.87E+05,,,,,,
1985,6,1.87E+05,1.02E+05,3.15E+05,3.52E+04,5.48E+04,,,,,,
1985,7,1.43E+05,7.12E+04,2.58E+05,2.69E+04,4.83E+04,,,,,,
1985,8,1.21E+05,5.54E+04,2.32E+05,2.29E+04,4.58E+04,,,,,,
1985,9,4.81E+04,2.62E+04,8.11E+04,9.00E+03,1.42E+04,,,,,,
1985,10,4.85E+04,2.55E+04,8.42E+04,8.75E+03,1.51E+04,,,,,,
1985,11,4.22E+06,1.61E+06,9.08E+06,1.12E+06,1.95E+06,,,,,,
1985,12,1.02E+06,4.51E+05,2.00E+06,2.07E+05,4.03E+05,,,,,,
1986,1,1.01E+05,5.21E+04,1.78E+05,1.74E+04,3.25E+04,,,,,,
1986,2,3.48E+06,1.33E+06,7.52E+06,8.60E+05,1.62E+06,,,,,,
1986,3,9.96E+06,1.99E+06,3.06E+07,4.15E+06,7.89E+06,,,,,,
1986,4,1.39E+06,6.05E+05,2.76E+06,2.44E+05,5.60E+05,,,,,,
1986,5,8.42E+05,2.91E+05,1.93E+06,1.46E+05,4.32E+05,,,,,,
1986,6,1.91E+05,1.08E+05,3.14E+05,3.11E+04,5.32E+04,,,,,,
1986,7,1.23E+05,6.93E+04,2.02E+05,2.00E+04,3.42E+04,,,,,,
1986,8,8.23E+04,4.74E+04,1.33E+05,1.34E+04,2.21E+04,,,,,,
1986,9,3.57E+04,2.01E+04,5.88E+04,6.32E+03,9.94E+03,,,,,,
1986,10,2.59E+04,1.47E+04,4.24E+04,4.55E+03,7.13E+03,,,,,,
1986,11,1.39E+05,6.10E+04,2.73E+05,2.31E+04,5.51E+04,,,,,,
1986,12,7.18E+05,2.86E+05,1.51E+06,1.23E+05,3.19E+05,,,,,,
1987,1,3.90E+05,1.71E+05,7.69E+05,5.86E+04,1.55E+05,,,,,,
1987,2,2.35E+05,1.28E+05,3.97E+05,3.45E+04,6.93E+04,,,,,,
1987,3,7.03E+05,3.00E+05,1.41E+06,1.05E+05,2.89E+05,,,,,,
1987,4,8.18E+06,2.59E+06,1.97E+07,2.31E+06,4.53E+06,,,,,,
1987,5,5.89E+05,3.32E+05,9.68E+05,8.55E+04,1.64E+05,,,,,,
1987,6,3.10E+05,1.72E+05,5.18E+05,4.52E+04,8.91E+04,,,,,,
1987,7,2.09E+05,1.00E+05,3.86E+05,3.05E+04,7.41E+04,,,,,,
1987,8,5.34E+04,3.10E+04,8.60E+04,8.61E+03,1.42E+04,,,,,,
1987,9,2.26E+05,8.44E+04,4.93E+05,3.80E+04,1.07E+05,,,,,,
1987,10,5.57E+04,3.23E+04,8.98E+04,7.71E+03,1.48E+04,,,,,,
1987,11,3.28E+05,6.52E+04,1.01E+06,5.67E+04,2.60E+05,,,,,,
1987,12,2.82E+05,1.39E+05,5.12E+05,4.11E+04,9.66E+04,,,,,,
1988,1,8.50E+05,1.80E+05,2.54E+06,1.72E+05,6.47E+05,,,,,,
1988,2,5.67E+05,2.88E+05,1.01E+06,7.47E+04,1.86E+05,,,,,,
1988,3,3.52E+05,1.79E+05,6.27E+05,4.54E+04,1.16E+05,,,,,,
1988,4,3.42E+05,1.69E+05,6.21E+05,4.40E+04,1.17E+05,,,,,,
1988,5,3.03E+07,8.19E+06,8.02E+07,1.16E+07,1.93E+07,,,,,,
1988,6,6.21E+05,3.31E+05,1.07E+06,8.62E+04,1.89E+05,,,,,,
1988,7,1.18E+05,7.01E+04,1.86E+05,1.56E+04,2.97E+04,,,,,,
1988,8,8.74E+04,5.07E+04,1.41E+05,1.15E+04,2.32E+04,,,,,,
1988,9,1.71E+05,5.40E+04,4.14E+05,2.57E+04,9.53E+04,,,,,,
1988,10,2.80E+04,1.65E+04,4.45E+04,4.19E+03,7.21E+03,,,,,,
1988,11,2.54E+05,6.48E+04,6.93E+05,3.87E+04,1.69E+05,,,,,,
1988,12,4.35E+04,2.42E+04,7.24E+04,5.75E+03,1.24E+04,,,,,,
1989,1,2.71E+05,1.30E+05,5.02E+05,3.38E+04,9.63E+04,,,,,,
1989,2,1.63E+05,8.56E+04,2.83E+05,2.06E+04,5.09E+04,,,,,,
1989,3,1.62E+06,8.11E+05,2.92E+06,2.16E+05,5.45E+05,,,,,,
1989,4,8.68E+05,4.35E+05,1.56E+06,1.06E+05,2.90E+05,,,,,,
1989,5,2.17E+07,6.20E+06,5.55E+07,6.98E+06,1.31E+07,,,,,,
1989,6,3.07E+06,1.13E+06,6.76E+06,5.24E+05,1.48E+06,,,,,,
1989,7,1.56E+07,4.98E+06,3.73E+07,4.25E+06,8.55E+06,,,,,,
1989,8,1.02E+06,4.00E+05,2.16E+06,1.72E+05,4.58E+05,,,,,,
1989,9,9.32E+04,5.66E+04,1.45E+05,1.13E+04,2.27E+04,,,,,,
1989,10,2.77E+05,9.99E+04,6.20E+05,4.24E+04,1.36E+05,,,,,,
1989,11,2.91E+05,1.10E+05,6.30E+05,4.14E+04,1.36E+05,,,,,,
1989,12,3.91E+04,2.28E+04,6.28E+04,5.10E+03,1.03E+04,,,,,,
1990,1,1.50E+06,2.76E+05,4.78E+06,3.76E+05,1.25E+06,,,,,,
1990,2,6.11E+05,3.15E+05,1.07E+06,7.29E+04,1.96E+05,,,,,,
1990,3,1.17E+05,7.00E+04,1.83E+05,1.60E+04,2.90E+04,,,,,,
1990,4,3.62E+05,2.02E+05,6.03E+05,4.38E+04,1.03E+05,,,,,,
1990,5,1.14E+06,5.20E+05,2.19E+06,1.47E+05,4.34E+05,,,,,,
1990,6,5.55E+05,2.92E+05,9.61E+05,7.02E+04,1.72E+05,,,,,,
1990,7,2.76E+05,1.41E+05,4.90E+05,3.52E+04,9.01E+04,,,,,,
1990,8,7.88E+05,2.96E+05,1.71E+06,1.35E+05,3.71E+05,,,,,,
1990,9,9.73E+04,5.81E+04,1.53E+05,1.16E+04,2.44E+04,,,,,,
1990,10,7.49E+06,2.34E+06,1.82E+07,2.07E+06,4.20E+06,,,,,,
1990,11,2.56E+05,1.42E+05,4.27E+05,3.62E+04,7.34E+04,,,,,,
1990,12,2.53E+06,1.18E+06,4.78E+06,4.30E+05,9.35E+05,,,,,,
1991,1,3.86E+06,1.38E+06,8.67E+06,8.43E+05,1.92E+06,,,,,,
1991,2,5.08E+05,2.96E+05,8.14E+05,6.05E+04,1.33E+05,,,,,,
1991,3,1.53E+06,8.40E+05,2.57E+06,1.89E+05,4.45E+05,,,,,,
1991,4,1.14E+06,6.55E+05,1.85E+06,1.37E+05,3.08E+05,,,,,,
1991,5,5.39E+05,3.11E+05,8.72E+05,6.59E+04,1.44E+05,,,,,,
1991,6,1.19E+05,7.12E+04,1.88E+05,1.57E+04,2.99E+04,,,,,,
1991,7,1.05E+05,5.99E+04,1.72E+05,1.34E+04,2.89E+04,,,,,,
1991,8,9.89E+04,5.64E+04,1.61E+05,1.19E+04,2.70E+04,,,,,,
1991,9,5.33E+04,3.15E+04,8.47E+04,6.79E+03,1.37E+04,,,,,,
1991,10,4.85E+04,2.46E+04,8.65E+04,5.79E+03,1.60E+04,,,,,,
1991,11,3.09E+04,1.56E+04,5.53E+04,3.96E+03,1.03E+04,,,,,,
1991,12,8.59E+04,4.41E+04,1.52E+05,1.07E+04,2.77E+04,,,,,,
1992,1,6.40E+04,3.52E+04,1.07E+05,8.62E+03,1.86E+04,,,,,,
1992,2,2.23E+05,9.11E+04,4.61E+05,2.69E+04,9.64E+04,,,,,,
1992,3,2.01E+06,8.28E+05,4.12E+06,2.98E+05,8.57E+05,,,,,,
1992,4,3.21E+06,9.29E+05,8.15E+06,6.26E+05,1.92E+06,,,,,,
1992,5,6.21E+05,3.69E+05,9.81E+05,7.76E+04,1.57E+05,,,,,,
1992,6,1.17E+06,5.04E+05,2.32E+06,1.58E+05,4.72E+05,,,,,,
1992,7,1.93E+06,5.98E+05,4.73E+06,3.39E+05,1.10E+06,,,,,,
1992,8,2.62E+05,1.52E+05,4.23E+05,3.43E+04,6.97E+04,,,,,,
1992,9,2.02E+05,1.10E+05,3.40E+05,2.72E+04,5.92E+04,,,,,,
1992,10,5.08E+04,3.06E+04,7.95E+04,6.26E+03,1.26E+04,,,,,,
1992,11,8.71E+05,3.10E+05,1.96E+06,1.37E+05,4.33E+05,,,,,,
1992,12,6.23E+06,1.61E+06,1.68E+07,1.87E+06,4.09E+06,,,,,,
1993,1,8.61E+05,5.11E+05,1.36E+06,1.08E+05,2.19E+05,,,,,,
1993,2,1.55E+05,9.04E+04,2.48E+05,2.09E+04,4.05E+04,,,,,,
1993,3,3.47E+07,1.18E+07,8.03E+07,1.32E+07,1.80E+07,,,,,,
1993,4,3.76E+07,1.16E+07,9.22E+07,1.44E+07,2.14E+07,,,,,,
1993,5,1.82E+06,9.90E+05,3.09E+06,2.36E+05,5.40E+05,,,,,,
1993,6,3.54E+05,2.05E+05,5.70E+05,4.48E+04,9.39E+04,,,,,,
1993,7,4.49E+05,1.91E+05,9.04E+05,6.03E+04,1.85E+05,,,,,,
1993,8,1.68E+05,8.81E+04,2.92E+05,2.08E+04,5.26E+04,,,,,,
1993,9,4.55E+05,2.05E+05,8.79E+05,7.06E+04,1.75E+05,,,,,,
1993,10,1.38E+05,7.91E+04,2.25E+05,1.80E+04,3.75E+04,,,,,,
1993,11,1.47E+07,2.21E+06,5.12E+07,7.51E+06,1.39E+07,,,,,,
1993,12,4.33E+06,1.26E+06,1.10E+07,1.10E+06,2.58E+06,,,,,,
1994,1,5.42E+05,2.29E+05,1.09E+06,6.89E+04,2.25E+05,,,,,,
1994,2,2.45E+06,9.14E+05,5.36E+06,4.68E+05,1.16E+06,,,,,,
1994,3,3.96E+07,1.56E+07,8.35E+07,1.39E+07,1.77E+07,,,,,,
1994,4,5.36E+06,2.60E+06,9.83E+06,9.08E+05,1.87E+06,,,,,,
1994,5,5.27E+06,1.88E+06,1.19E+07,1.01E+06,2.62E+06,,,,,,
1994,6,3.56E+05,2.13E+05,5.60E+05,4.57E+04,8.92E+04,,,,,,
1994,7,3.97E+05,2.09E+05,6.87E+05,5.31E+04,1.23E+05,,,,,,
1994,8,7.00E+06,2.02E+06,1.78E+07,1.73E+06,4.20E+06,,,,,,
1994,9,2.78E+05,1.59E+05,4.53E+05,3.93E+04,7.56E+04,,,,,,
1994,10,7.95E+04,4.72E+04,1.26E+05,9.70E+03,2.02E+04,,,,,,
