YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,3.79E+05,3.40E+05,4.20E+05,1.08E+04,2.06E+04,,,,,,
1985,2,9.67E+05,8.46E+05,1.10E+06,2.56E+04,6.46E+04,,,,,,
1985,3,1.07E+06,9.50E+05,1.20E+06,2.71E+04,6.34E+04,,,,,,
1985,4,1.32E+06,1.16E+06,1.50E+06,3.37E+04,8.49E+04,,,,,,
1985,5,6.88E+05,6.12E+05,7.71E+05,1.75E+04,4.04E+04,,,,,,
1985,6,2.73E+05,2.46E+05,3.02E+05,7.09E+03,1.42E+04,,,,,,
1985,7,1.32E+05,1.20E+05,1.46E+05,3.65E+03,6.71E+03,,,,,,
1985,8,8.45E+04,7.62E+04,9.36E+04,2.61E+03,4.44E+03,,,,,,
1985,9,7.57E+04,6.80E+04,8.39E+04,2.42E+03,4.07E+03,,,,,,
1985,10,8.55E+04,7.69E+04,9.48E+04,2.71E+03,4.56E+03,,,,,,
1985,11,1.63E+06,1.43E+06,1.84E+06,4.49E+04,1.04E+05,,,,,,
1985,12,1.07E+06,9.52E+05,1.20E+06,2.73E+04,6.28E+04,,,,,,
1986,1,3.52E+05,3.14E+05,3.93E+05,8.61E+03,2.01E+04,,,,,,
1986,2,1.55E+06,1.37E+06,1.74E+06,3.56E+04,9.31E+04,,,,,,
1986,3,1.57E+06,1.38E+06,1.78E+06,3.59E+04,1.01E+05,,,,,,
1986,4,8.27E+05,7.32E+05,9.30E+05,1.75E+04,5.05E+04,,,,,,
1986,5,3.47E+05,3.12E+05,3.85E+05,7.85E+03,1.84E+04,,,,,,
1986,6,3.26E+05,2.93E+05,3.62E+05,7.50E+03,1.74E+04,,,,,,
1986,7,2.31E+05,2.09E+05,2.55E+05,5.28E+03,1.19E+04,,,,,,
1986,8,1.38E+05,1.25E+05,1.52E+05,3.25E+03,6.85E+03,,,,,,
1986,9,5.48E+04,4.91E+04,6.09E+04,1.87E+03,3.01E+03,,,,,,
1986,10,1.20E+05,1.08E+05,1.33E+05,2.91E+03,6.46E+03,,,,,,
1986,11,6.57E+05,5.85E+05,7.36E+05,1.51E+04,3.85E+04,,,,,,
1986,12,1.25E+06,1.13E+06,1.38E+06,2.85E+04,6.38E+04,,,,,,
1987,1,6.09E+05,5.52E+05,6.69E+05,1.32E+04,2.98E+04,,,,,,
1987,2,4.43E+05,4.00E+05,4.90E+05,9.44E+03,2.29E+04,,,,,,
1987,3,7.71E+05,6.95E+05,8.53E+05,1.50E+04,4.02E+04,,,,,,
1987,4,1.90E+06,1.70E+06,2.13E+06,3.82E+04,1.10E+05,,,,,,
1987,5,6.54E+05,5.91E+05,7.23E+05,1.33E+04,3.37E+04,,,,,,
1987,6,2.15E+05,1.95E+05,2.37E+05,4.61E+03,1.07E+04,,,,,,
1987,7,1.88E+05,1.69E+05,2.08E+05,3.98E+03,1.02E+04,,,,,,
