YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,2.20E+05,1.56E+05,3.02E+05,1.70E+04,3.74E+04,,,,,,
1985,2,2.55E+05,1.70E+05,3.67E+05,1.87E+04,5.05E+04,,,,,,
1985,3,4.28E+05,3.23E+05,5.55E+05,3.05E+04,5.93E+04,,,,,,
1985,4,4.39E+05,3.14E+05,5.98E+05,3.04E+04,7.25E+04,,,,,,
1985,5,1.51E+05,1.14E+05,1.95E+05,1.05E+04,2.06E+04,,,,,,
1985,6,1.11E+05,8.46E+04,1.44E+05,7.67E+03,1.51E+04,,,,,,
1985,7,6.69E+04,5.15E+04,8.53E+04,4.81E+03,8.63E+03,,,,,,
1985,8,5.36E+04,4.11E+04,6.87E+04,4.07E+03,7.05E+03,,,,,,
1985,9,6.84E+04,4.94E+04,9.23E+04,4.79E+03,1.10E+04,,,,,,
1985,10,1.02E+05,7.55E+04,1.35E+05,6.87E+03,1.53E+04,,,,,,
1985,11,6.71E+05,4.61E+05,9.44E+05,4.72E+04,1.24E+05,,,,,,
1985,12,5.49E+05,3.96E+05,7.42E+05,3.70E+04,8.87E+04,,,,,,
1986,1,2.21E+05,1.52E+05,3.13E+05,1.43E+04,4.13E+04,,,,,,
1986,2,5.30E+05,3.72E+05,7.34E+05,3.30E+04,9.26E+04,,,,,,
1986,3,1.47E+06,9.52E+05,2.16E+06,1.06E+05,3.09E+05,,,,,,
1986,4,5.40E+05,3.72E+05,7.57E+05,3.11E+04,9.84E+04,,,,,,
1986,5,1.75E+05,1.30E+05,2.30E+05,1.01E+04,2.54E+04,,,,,,
1986,6,2.41E+05,1.81E+05,3.14E+05,1.40E+04,3.42E+04,,,,,,
1986,7,1.23E+05,9.40E+04,1.57E+05,7.10E+03,1.61E+04,,,,,,
1986,8,1.45E+05,1.11E+05,1.85E+05,8.37E+03,1.90E+04,,,,,,
1986,9,4.67E+04,3.61E+04,5.95E+04,3.14E+03,5.98E+03,,,,,,
1986,10,1.12E+05,8.57E+04,1.44E+05,6.41E+03,1.50E+04,,,,,,
