YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,5.23E+06,4.63E+06,5.88E+06,1.55E+05,3.17E+05,,,,,,
1985,2,5.65E+06,4.97E+06,6.39E+06,1.56E+05,3.63E+05,,,,,,
1985,3,9.26E+06,8.35E+06,1.02E+07,2.43E+05,4.82E+05,,,,,,
1985,4,7.82E+06,6.97E+06,8.75E+06,1.98E+05,4.54E+05,,,,,,
1985,5,3.44E+06,3.09E+06,3.81E+06,8.89E+04,1.83E+05,,,,,,
1985,6,2.15E+06,1.92E+06,2.40E+06,5.52E+04,1.20E+05,,,,,,
1985,7,1.34E+06,1.21E+06,1.49E+06,3.53E+04,7.20E+04,,,,,,
1985,8,9.69E+05,8.70E+05,1.08E+06,2.70E+04,5.25E+04,,,,,,
1985,9,1.38E+06,1.22E+06,1.56E+06,3.62E+04,8.53E+04,,,,,,
1985,10,2.10E+06,1.87E+06,2.34E+06,5.52E+04,1.22E+05,,,,,,
1985,11,8.57E+06,7.55E+06,9.70E+06,2.43E+05,5.47E+05,,,,,,
1985,12,9.24E+06,8.25E+06,1.03E+07,2.46E+05,5.28E+05,,,,,,
1986,1,5.46E+06,4.84E+06,6.14E+06,1.34E+05,3.32E+05,,,,,,
1986,2,1.01E+07,8.99E+06,1.13E+07,2.26E+05,5.85E+05,,,,,,
1986,3,1.63E+07,1.44E+07,1.83E+07,3.69E+05,9.97E+05,,,,,,
1986,4,8.80E+06,7.87E+06,9.81E+06,1.79E+05,4.96E+05,,,,,,
1986,5,3.80E+06,3.43E+06,4.21E+06,8.12E+04,2.01E+05,,,,,,
1986,6,3.94E+06,3.54E+06,4.38E+06,8.59E+04,2.13E+05,,,,,,
1986,7,2.28E+06,2.06E+06,2.52E+06,4.98E+04,1.18E+05,,,,,,
1986,8,2.47E+06,2.22E+06,2.73E+06,5.56E+04,1.30E+05,,,,,,
1986,9,9.83E+05,8.80E+05,1.09E+06,2.33E+04,5.46E+04,,,,,,
1986,10,2.40E+06,2.16E+06,2.67E+06,5.52E+04,1.29E+05,,,,,,
1986,11,8.00E+06,7.07E+06,9.01E+06,1.97E+05,4.93E+05,,,,,,
1986,12,1.10E+07,9.97E+06,1.22E+07,2.57E+05,5.61E+05,,,,,,
1987,1,4.92E+06,4.45E+06,5.43E+06,1.12E+05,2.51E+05,,,,,,
1987,2,3.30E+06,2.97E+06,3.67E+06,7.63E+04,1.79E+05,,,,,,
1987,3,9.10E+06,8.23E+06,1.00E+07,1.66E+05,4.60E+05,,,,,,
1987,4,1.31E+07,1.17E+07,1.45E+07,2.23E+05,7.02E+05,,,,,,
1987,5,3.81E+06,3.45E+06,4.20E+06,7.16E+04,1.92E+05,,,,,,
1987,6,1.94E+06,1.75E+06,2.14E+06,3.73E+04,9.90E+04,,,,,,
1987,7,2.23E+06,2.01E+06,2.47E+06,4.28E+04,1.17E+05,,,,,,
1987,8,7.82E+05,7.02E+05,8.69E+05,1.82E+04,4.25E+04,,,,,,
1987,9,4.18E+06,3.74E+06,4.66E+06,9.71E+04,2.34E+05,,,,,,
1987,10,2.59E+06,2.34E+06,2.87E+06,5.47E+04,1.35E+05,,,,,,
1987,11,3.75E+06,3.38E+06,4.16E+06,8.12E+04,1.99E+05,,,,,,
1987,12,7.03E+06,6.36E+06,7.76E+06,1.50E+05,3.57E+05,,,,,,
1988,1,3.81E+06,3.42E+06,4.23E+06,8.14E+04,2.05E+05,,,,,,
1988,2,8.37E+06,7.50E+06,9.31E+06,1.47E+05,4.64E+05,,,,,,
1988,3,7.47E+06,6.78E+06,8.21E+06,1.29E+05,3.64E+05,,,,,,
1988,4,5.07E+06,4.58E+06,5.59E+06,8.83E+04,2.56E+05,,,,,,
1988,5,8.26E+06,7.40E+06,9.19E+06,1.34E+05,4.58E+05,,,,,,
1988,6,1.85E+06,1.66E+06,2.06E+06,3.30E+04,1.03E+05,,,,,,
1988,7,1.12E+06,1.00E+06,1.25E+06,2.10E+04,6.20E+04,,,,,,
1988,8,1.03E+06,9.28E+05,1.14E+06,1.98E+04,5.51E+04,,,,,,
1988,9,1.67E+06,1.50E+06,1.85E+06,3.13E+04,8.74E+04,,,,,,
1988,10,1.07E+06,9.53E+05,1.19E+06,2.30E+04,6.07E+04,,,,,,
1988,11,4.24E+06,3.82E+06,4.71E+06,8.92E+04,2.28E+05,,,,,,
1988,12,2.66E+06,2.38E+06,2.95E+06,5.64E+04,1.45E+05,,,,,,
1989,1,3.67E+06,3.31E+06,4.06E+06,7.79E+04,1.92E+05,,,,,,
1989,2,3.76E+06,3.38E+06,4.18E+06,7.66E+04,2.05E+05,,,,,,
1989,3,6.26E+06,5.64E+06,6.93E+06,1.05E+05,3.30E+05,,,,,,
1989,4,8.90E+06,7.95E+06,9.93E+06,1.26E+05,5.06E+05,,,,,,
1989,5,1.43E+07,1.29E+07,1.58E+07,2.39E+05,7.53E+05,,,,,,
1989,6,8.45E+06,7.59E+06,9.38E+06,1.60E+05,4.58E+05,,,,,,
1989,7,5.34E+06,4.84E+06,5.88E+06,1.10E+05,2.64E+05,,,,,,
1989,8,1.68E+06,1.52E+06,1.84E+06,3.04E+04,8.29E+04,,,,,,
1989,9,1.21E+06,1.08E+06,1.35E+06,2.28E+04,6.87E+04,,,,,,
1989,10,3.83E+06,3.38E+06,4.33E+06,8.14E+04,2.44E+05,,,,,,
1989,11,4.94E+06,4.45E+06,5.48E+06,1.05E+05,2.62E+05,,,,,,
1989,12,2.19E+06,1.97E+06,2.44E+06,4.78E+04,1.22E+05,,,,,,
1990,1,6.46E+06,5.76E+06,7.21E+06,1.20E+05,3.69E+05,,,,,,
1990,2,1.28E+07,1.16E+07,1.40E+07,2.08E+05,6.29E+05,,,,,,
1990,3,5.69E+06,5.17E+06,6.25E+06,1.07E+05,2.76E+05,,,,,,
1990,4,7.36E+06,6.67E+06,8.11E+06,1.20E+05,3.67E+05,,,,,,
1990,5,7.39E+06,6.70E+06,8.13E+06,1.25E+05,3.64E+05,,,,,,
1990,6,3.44E+06,3.10E+06,3.80E+06,6.35E+04,1.79E+05,,,,,,
1990,7,3.35E+06,3.01E+06,3.73E+06,6.62E+04,1.84E+05,,,,,,
1990,8,2.63E+06,2.38E+06,2.91E+06,5.33E+04,1.34E+05,,,,,,
