YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,2.51E+07,1.86E+07,3.31E+07,1.42E+06,3.71E+06,,,,,,
1985,2,3.60E+07,2.46E+07,5.09E+07,1.91E+06,6.74E+06,,,,,,
1985,3,6.09E+07,4.83E+07,7.57E+07,3.15E+06,7.00E+06,,,,,,
1985,4,7.21E+07,5.30E+07,9.60E+07,3.62E+06,1.10E+07,,,,,,
1985,5,1.71E+07,1.35E+07,2.12E+07,8.79E+05,1.97E+06,,,,,,
1985,6,1.11E+07,8.70E+06,1.39E+07,5.63E+05,1.33E+06,,,,,,
1985,7,6.54E+06,5.23E+06,8.09E+06,3.39E+05,7.30E+05,,,,,,
1985,8,4.65E+06,3.72E+06,5.75E+06,2.56E+05,5.19E+05,,,,,,
1985,9,6.99E+06,5.28E+06,9.08E+06,3.41E+05,9.72E+05,,,,,,
1985,10,1.01E+07,7.77E+06,1.29E+07,4.87E+05,1.32E+06,,,,,,
1985,11,1.12E+08,7.86E+07,1.56E+08,6.04E+06,1.97E+07,,,,,,
1985,12,8.66E+07,6.42E+07,1.14E+08,4.37E+06,1.28E+07,,,,,,
1986,1,3.14E+07,2.25E+07,4.26E+07,1.46E+06,5.13E+06,,,,,,
1986,2,1.07E+08,7.66E+07,1.46E+08,4.69E+06,1.78E+07,,,,,,
1986,3,5.20E+08,3.32E+08,7.76E+08,2.84E+07,1.14E+08,,,,,,
1986,4,1.17E+08,8.09E+07,1.65E+08,4.87E+06,2.16E+07,,,,,,
1986,5,2.36E+07,1.84E+07,2.99E+07,1.00E+06,2.95E+06,,,,,,
1986,6,3.11E+07,2.41E+07,3.93E+07,1.33E+06,3.88E+06,,,,,,
1986,7,1.37E+07,1.10E+07,1.70E+07,5.75E+05,1.53E+06,,,,,,
1986,8,1.58E+07,1.25E+07,1.96E+07,6.62E+05,1.82E+06,,,,,,
1986,9,4.67E+06,3.72E+06,5.78E+06,2.19E+05,5.27E+05,,,,,,
1986,10,1.18E+07,9.27E+06,1.49E+07,4.93E+05,1.43E+06,,,,,,
1986,11,9.85E+07,6.79E+07,1.38E+08,4.56E+06,1.80E+07,,,,,,
1986,12,9.83E+07,7.75E+07,1.23E+08,4.27E+06,1.16E+07,,,,,,
1987,1,1.95E+07,1.56E+07,2.41E+07,8.60E+05,2.18E+06,,,,,,
1987,2,1.12E+07,8.88E+06,1.40E+07,5.15E+05,1.32E+06,,,,,,
1987,3,7.35E+07,5.70E+07,9.33E+07,2.64E+06,9.28E+06,,,,,,
1987,4,2.57E+08,1.85E+08,3.48E+08,9.33E+06,4.18E+07,,,,,,
1987,5,2.26E+07,1.80E+07,2.79E+07,8.60E+05,2.53E+06,,,,,,
1987,6,1.01E+07,8.15E+06,1.24E+07,3.96E+05,1.09E+06,,,,,,
1987,7,1.44E+07,1.14E+07,1.80E+07,5.41E+05,1.67E+06,,,,,,
1987,8,4.16E+06,3.31E+06,5.15E+06,1.97E+05,4.69E+05,,,,,,
1987,9,3.77E+07,2.92E+07,4.79E+07,1.60E+06,4.80E+06,,,,,,
1987,10,1.32E+07,1.06E+07,1.62E+07,5.06E+05,1.43E+06,,,,,,
1987,11,1.89E+07,1.48E+07,2.37E+07,7.54E+05,2.26E+06,,,,,,
1987,12,4.50E+07,3.51E+07,5.68E+07,1.79E+06,5.55E+06,,,,,,
1988,1,1.49E+07,1.17E+07,1.87E+07,6.22E+05,1.79E+06,,,,,,
1988,2,7.61E+07,5.38E+07,1.05E+08,2.56E+06,1.30E+07,,,,,,
1988,3,5.04E+07,4.01E+07,6.26E+07,1.72E+06,5.75E+06,,,,,,
1988,4,3.08E+07,2.45E+07,3.82E+07,1.09E+06,3.48E+06,,,,,,
1988,5,1.57E+08,1.10E+08,2.17E+08,5.47E+06,2.74E+07,,,,,,
1988,6,1.08E+07,8.42E+06,1.36E+07,3.93E+05,1.32E+06,,,,,,
1988,7,6.46E+06,5.07E+06,8.11E+06,2.43E+05,7.77E+05,,,,,,
1988,8,5.72E+06,4.55E+06,7.10E+06,2.20E+05,6.52E+05,,,,,,
1988,9,9.34E+06,7.44E+06,1.16E+07,3.30E+05,1.06E+06,,,,,,
1988,10,4.71E+06,3.71E+06,5.89E+06,2.01E+05,5.59E+05,,,,,,
1988,11,2.44E+07,1.93E+07,3.05E+07,9.60E+05,2.88E+06,,,,,,
1988,12,1.03E+07,8.07E+06,1.29E+07,4.22E+05,1.23E+06,,,,,,
1989,1,1.41E+07,1.12E+07,1.74E+07,5.88E+05,1.59E+06,,,,,,
1989,2,1.61E+07,1.24E+07,2.05E+07,6.42E+05,2.05E+06,,,,,,
1989,3,4.76E+07,3.56E+07,6.24E+07,1.51E+06,6.86E+06,,,,,,
1989,4,1.39E+08,9.99E+07,1.89E+08,3.97E+06,2.28E+07,,,,,,
1989,5,4.49E+08,3.41E+08,5.81E+08,1.61E+07,6.13E+07,,,,,,
1989,6,1.83E+08,1.37E+08,2.39E+08,7.23E+06,2.61E+07,,,,,,
1989,7,5.89E+07,4.75E+07,7.23E+07,2.36E+06,6.34E+06,,,,,,
1989,8,1.00E+07,8.13E+06,1.23E+07,3.57E+05,1.06E+06,,,,,,
1989,9,6.66E+06,5.22E+06,8.37E+06,2.44E+05,8.06E+05,,,,,,
1989,10,3.71E+07,2.67E+07,5.03E+07,1.53E+06,6.03E+06,,,,,,
1989,11,3.28E+07,2.54E+07,4.16E+07,1.32E+06,4.14E+06,,,,,,
1989,12,8.41E+06,6.45E+06,1.08E+07,3.54E+05,1.11E+06,,,,,,
1990,1,5.03E+07,3.65E+07,6.77E+07,1.77E+06,7.99E+06,,,,,,
1990,2,1.45E+08,1.16E+08,1.79E+08,4.71E+06,1.61E+07,,,,,,
1990,3,3.14E+07,2.55E+07,3.84E+07,1.19E+06,3.29E+06,,,,,,
1990,4,6.80E+07,5.41E+07,8.44E+07,2.24E+06,7.73E+06,,,,,,
1990,5,8.97E+07,7.13E+07,1.11E+08,3.12E+06,1.03E+07,,,,,,
1990,6,2.77E+07,2.16E+07,3.49E+07,1.04E+06,3.41E+06,,,,,,
1990,7,3.40E+07,2.56E+07,4.41E+07,1.36E+06,4.73E+06,,,,,,
1990,8,1.95E+07,1.57E+07,2.40E+07,7.69E+05,2.14E+06,,,,,,
1990,9,1.25E+07,1.01E+07,1.53E+07,4.79E+05,1.33E+06,,,,,,
1990,10,2.53E+08,1.82E+08,3.44E+08,1.23E+07,4.14E+07,,,,,,
1990,11,7.46E+07,5.63E+07,9.70E+07,3.16E+06,1.04E+07,,,,,,
1990,12,1.74E+08,1.35E+08,2.20E+08,6.85E+06,2.18E+07,,,,,,
1991,1,1.44E+08,1.04E+08,1.93E+08,5.26E+06,2.28E+07,,,,,,
1991,2,5.14E+07,4.05E+07,6.44E+07,1.92E+06,6.12E+06,,,,,,
1991,3,1.43E+08,1.04E+08,1.91E+08,4.40E+06,2.23E+07,,,,,,
1991,4,7.11E+07,5.52E+07,9.03E+07,2.44E+06,8.99E+06,,,,,,
1991,5,2.79E+07,2.22E+07,3.46E+07,1.08E+06,3.15E+06,,,,,,
1991,6,4.60E+06,3.70E+06,5.66E+06,2.22E+05,5.00E+05,,,,,,
1991,7,3.56E+06,2.88E+06,4.34E+06,1.93E+05,3.73E+05,,,,,,
1991,8,3.66E+06,2.94E+06,4.50E+06,1.89E+05,3.96E+05,,,,,,
1991,9,3.27E+06,2.59E+06,4.07E+06,1.75E+05,3.79E+05,,,,,,
1991,10,3.55E+06,2.84E+06,4.38E+06,1.84E+05,3.93E+05,,,,,,
1991,11,7.38E+06,5.28E+06,1.01E+07,3.14E+05,1.22E+06,,,,,,
1991,12,1.95E+07,1.55E+07,2.42E+07,8.56E+05,2.22E+06,,,,,,
1992,1,1.63E+07,1.31E+07,2.00E+07,7.43E+05,1.76E+06,,,,,,
1992,2,1.22E+07,9.42E+06,1.56E+07,5.56E+05,1.57E+06,,,,,,
1992,3,1.08E+08,7.88E+07,1.45E+08,3.55E+06,1.70E+07,,,,,,
1992,4,9.93E+07,7.96E+07,1.22E+08,3.54E+06,1.09E+07,,,,,,
1992,5,3.04E+07,2.42E+07,3.76E+07,1.23E+06,3.40E+06,,,,,,
1992,6,2.38E+07,1.83E+07,3.04E+07,9.78E+05,3.11E+06,,,,,,
1992,7,2.02E+07,1.58E+07,2.54E+07,8.64E+05,2.45E+06,,,,,,
1992,8,2.16E+07,1.66E+07,2.77E+07,9.37E+05,2.82E+06,,,,,,
1992,9,1.74E+07,1.39E+07,2.16E+07,7.54E+05,1.98E+06,,,,,,
