YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,1.04E+06,9.10E+05,1.19E+06,4.41E+04,7.22E+04,,,,,,
1985,2,1.04E+06,8.78E+05,1.23E+06,4.29E+04,9.09E+04,,,,,,
1985,3,2.51E+06,2.22E+06,2.83E+06,9.98E+04,1.54E+05,,,,,,
1985,4,1.36E+06,1.20E+06,1.54E+06,5.28E+04,8.76E+04,,,,,,
1985,5,3.48E+05,3.10E+05,3.90E+05,1.38E+04,2.02E+04,,,,,,
1985,6,2.02E+05,1.79E+05,2.26E+05,7.97E+03,1.20E+04,,,,,,
1985,7,1.44E+05,1.28E+05,1.61E+05,5.78E+03,8.45E+03,,,,,,
1985,8,9.39E+04,8.30E+04,1.06E+05,4.15E+03,5.85E+03,,,,,,
1985,9,3.05E+05,2.48E+05,3.71E+05,1.11E+04,3.13E+04,,,,,,
1985,10,4.64E+05,4.13E+05,5.19E+05,1.64E+04,2.69E+04,,,,,,
1985,11,1.64E+06,1.43E+06,1.86E+06,6.04E+04,1.08E+05,,,,,,
1985,12,1.64E+06,1.45E+06,1.85E+06,5.94E+04,1.01E+05,,,,,,
1986,1,1.28E+06,1.10E+06,1.49E+06,4.58E+04,9.94E+04,,,,,,
1986,2,1.81E+06,1.58E+06,2.06E+06,6.25E+04,1.21E+05,,,,,,
1986,3,4.50E+06,3.95E+06,5.11E+06,1.60E+05,2.97E+05,,,,,,
1986,4,2.00E+06,1.77E+06,2.24E+06,6.43E+04,1.19E+05,,,,,,
1986,5,9.39E+05,8.27E+05,1.06E+06,2.99E+04,6.02E+04,,,,,,
1986,6,9.33E+05,8.31E+05,1.04E+06,3.02E+04,5.42E+04,,,,,,
1986,7,4.30E+05,3.85E+05,4.78E+05,1.36E+04,2.37E+04,,,,,,
1986,8,6.86E+05,6.09E+05,7.71E+05,2.21E+04,4.15E+04,,,,,,
1986,9,2.06E+05,1.84E+05,2.29E+05,6.38E+03,1.15E+04,,,,,,
1986,10,6.41E+05,5.75E+05,7.12E+05,1.96E+04,3.51E+04,,,,,,
1986,11,2.31E+06,2.03E+06,2.62E+06,7.53E+04,1.50E+05,,,,,,
1986,12,2.27E+06,2.04E+06,2.52E+06,7.08E+04,1.24E+05,,,,,,
1987,1,9.26E+05,8.33E+05,1.03E+06,2.89E+04,4.94E+04,,,,,,
1987,2,4.72E+05,4.23E+05,5.26E+05,1.54E+04,2.63E+04,,,,,,
1987,3,2.70E+06,2.42E+06,3.00E+06,7.50E+04,1.47E+05,,,,,,
1987,4,3.33E+06,2.96E+06,3.72E+06,9.17E+04,1.92E+05,,,,,,
1987,5,4.81E+05,4.32E+05,5.33E+05,1.37E+04,2.56E+04,,,,,,
1987,6,3.28E+05,2.94E+05,3.63E+05,9.21E+03,1.75E+04,,,,,,
1987,7,3.84E+05,3.45E+05,4.27E+05,1.06E+04,2.08E+04,,,,,,
1987,8,1.30E+05,1.17E+05,1.44E+05,3.98E+03,6.87E+03,,,,,,
1987,9,5.41E+05,4.80E+05,6.07E+05,1.48E+04,3.24E+04,,,,,,
1987,10,5.19E+05,4.65E+05,5.77E+05,1.36E+04,2.86E+04,,,,,,
1987,11,7.14E+05,6.45E+05,7.88E+05,1.90E+04,3.64E+04,,,,,,
1987,12,1.44E+06,1.30E+06,1.59E+06,3.84E+04,7.38E+04,,,,,,
1988,1,7.40E+05,6.68E+05,8.18E+05,2.03E+04,3.85E+04,,,,,,
1988,2,1.41E+06,1.26E+06,1.58E+06,3.56E+04,8.26E+04,,,,,,
1988,3,2.03E+06,1.82E+06,2.26E+06,4.73E+04,1.12E+05,,,,,,
1988,4,1.24E+06,1.12E+06,1.38E+06,2.95E+04,6.67E+04,,,,,,
1988,5,1.46E+06,1.30E+06,1.63E+06,3.44E+04,8.47E+04,,,,,,
1988,6,2.82E+05,2.53E+05,3.13E+05,7.08E+03,1.55E+04,,,,,,
1988,7,1.71E+05,1.53E+05,1.92E+05,4.33E+03,9.98E+03,,,,,,
1988,8,1.49E+05,1.30E+05,1.69E+05,3.74E+03,9.97E+03,,,,,,
1988,9,2.09E+05,1.87E+05,2.32E+05,4.95E+03,1.14E+04,,,,,,
1988,10,2.65E+05,2.35E+05,2.98E+05,6.17E+03,1.62E+04,,,,,,
1988,11,1.14E+06,1.03E+06,1.26E+06,2.75E+04,5.98E+04,,,,,,
1988,12,5.82E+05,5.27E+05,6.42E+05,1.41E+04,2.93E+04,,,,,,
1989,1,5.32E+05,4.82E+05,5.86E+05,1.36E+04,2.64E+04,,,,,,
1989,2,6.76E+05,6.04E+05,7.53E+05,1.62E+04,3.79E+04,,,,,,
1989,3,1.46E+06,1.28E+06,1.65E+06,2.89E+04,9.50E+04,,,,,,
1989,4,2.23E+06,1.98E+06,2.50E+06,4.37E+04,1.32E+05,,,,,,
1989,5,2.89E+06,2.58E+06,3.23E+06,6.28E+04,1.68E+05,,,,,,
1989,6,1.80E+06,1.61E+06,2.00E+06,4.27E+04,9.84E+04,,,,,,
1989,7,4.18E+05,3.78E+05,4.61E+05,9.83E+03,2.12E+04,,,,,,
1989,8,1.70E+05,1.53E+05,1.87E+05,4.00E+03,8.50E+03,,,,,,
1989,9,2.22E+05,1.98E+05,2.49E+05,4.79E+03,1.30E+04,,,,,,
1989,10,6.83E+05,5.93E+05,7.83E+05,1.52E+04,4.85E+04,,,,,,
1989,11,1.18E+06,1.06E+06,1.31E+06,2.62E+04,6.28E+04,,,,,,
1989,12,4.65E+05,4.20E+05,5.13E+05,1.05E+04,2.37E+04,,,,,,
1990,1,1.43E+06,1.28E+06,1.60E+06,2.90E+04,8.32E+04,,,,,,
1990,2,3.48E+06,3.14E+06,3.84E+06,6.77E+04,1.79E+05,,,,,,
1990,3,1.76E+06,1.60E+06,1.93E+06,3.34E+04,8.50E+04,,,,,,
1990,4,2.03E+06,1.83E+06,2.25E+06,3.66E+04,1.05E+05,,,,,,
1990,5,1.83E+06,1.65E+06,2.02E+06,3.69E+04,9.35E+04,,,,,,
1990,6,4.67E+05,4.22E+05,5.15E+05,1.05E+04,2.39E+04,,,,,,
1990,7,3.40E+05,3.08E+05,3.75E+05,7.70E+03,1.71E+04,,,,,,
1990,8,2.23E+05,2.03E+05,2.44E+05,4.89E+03,1.06E+04,,,,,,
1990,9,1.87E+05,1.70E+05,2.06E+05,4.10E+03,9.04E+03,,,,,,
1990,10,2.09E+06,1.81E+06,2.39E+06,5.44E+04,1.48E+05,,,,,,
1990,11,1.81E+06,1.62E+06,2.02E+06,4.00E+04,1.02E+05,,,,,,
1990,12,2.75E+06,2.48E+06,3.05E+06,5.78E+04,1.47E+05,,,,,,
1991,1,1.82E+06,1.63E+06,2.02E+06,3.50E+04,1.01E+05,,,,,,
1991,2,1.70E+06,1.53E+06,1.88E+06,3.12E+04,8.93E+04,,,,,,
1991,3,2.68E+06,2.40E+06,2.97E+06,4.45E+04,1.45E+05,,,,,,
1991,4,1.85E+06,1.67E+06,2.04E+06,3.23E+04,9.55E+04,,,,,,
1991,5,8.80E+05,7.94E+05,9.72E+05,1.81E+04,4.54E+04,,,,,,
