YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1989,1,2.04E+06,1.21E+06,3.24E+06,2.93E+05,5.21E+05,,,,,,
1989,2,4.30E+06,1.84E+06,8.61E+06,5.57E+05,1.76E+06,,,,,,
1989,3,5.97E+07,1.59E+07,1.59E+08,6.72E+06,3.82E+07,,,,,,
1989,4,1.26E+08,5.04E+07,2.65E+08,1.41E+07,5.61E+07,,,,,,
1989,5,4.08E+08,1.68E+08,8.38E+08,4.76E+07,1.75E+08,,,,,,
1989,6,1.72E+08,8.00E+07,3.25E+08,1.97E+07,6.36E+07,,,,,,
1989,7,7.61E+06,4.36E+06,1.24E+07,8.89E+05,2.06E+06,,,,,,
1989,8,1.81E+06,1.07E+06,2.89E+06,2.20E+05,4.67E+05,,,,,,
1989,9,3.08E+06,1.56E+06,5.47E+06,3.44E+05,1.01E+06,,,,,,
1989,10,3.32E+07,1.11E+07,7.76E+07,3.83E+06,1.75E+07,,,,,,
1989,11,3.04E+07,1.41E+07,5.77E+07,3.38E+06,1.13E+07,,,,,,
1989,12,2.91E+06,1.58E+06,4.92E+06,3.40E+05,8.61E+05,,,,,,
1990,1,2.84E+07,1.37E+07,5.24E+07,2.95E+06,1.00E+07,,,,,,
1990,2,1.60E+08,8.05E+07,2.87E+08,1.63E+07,5.34E+07,,,,,,
1990,3,3.13E+07,1.83E+07,5.01E+07,3.01E+06,8.17E+06,,,,,,
1990,4,7.89E+07,3.85E+07,1.44E+08,6.99E+06,2.74E+07,,,,,,
1990,5,1.04E+08,5.59E+07,1.77E+08,9.69E+06,3.12E+07,,,,,,
1990,6,7.47E+06,4.15E+06,1.24E+07,7.72E+05,2.13E+06,,,,,,
1990,7,5.77E+06,3.35E+06,9.28E+06,5.99E+05,1.53E+06,,,,,,
1990,8,2.87E+06,1.79E+06,4.36E+06,2.96E+05,6.60E+05,,,,,,
1990,9,1.93E+06,1.20E+06,2.94E+06,2.01E+05,4.47E+05,,,,,,
1990,10,5.70E+08,1.50E+08,1.52E+09,7.92E+07,3.68E+08,,,,,,
1990,11,1.24E+08,4.71E+07,2.68E+08,1.31E+07,5.79E+07,,,,,,
1990,12,1.58E+08,7.42E+07,2.98E+08,1.58E+07,5.80E+07,,,,,,
1991,1,6.03E+07,2.03E+07,1.40E+08,5.70E+06,3.16E+07,,,,,,
1991,2,3.49E+07,1.79E+07,6.16E+07,2.97E+06,1.13E+07,,,,,,
1991,3,1.46E+08,5.58E+07,3.16E+08,1.24E+07,6.80E+07,,,,,,
1991,4,8.35E+07,3.78E+07,1.61E+08,6.43E+06,3.20E+07,,,,,,
1991,5,1.85E+07,1.05E+07,3.05E+07,1.65E+06,5.14E+06,,,,,,
1991,6,1.59E+06,9.56E+05,2.49E+06,1.66E+05,3.94E+05,,,,,,
1991,7,6.36E+05,3.85E+05,9.90E+05,9.21E+04,1.55E+05,,,,,,
1991,8,8.41E+05,4.86E+05,1.36E+06,1.05E+05,2.25E+05,,,,,,
1991,9,5.73E+05,3.31E+05,9.28E+05,8.15E+04,1.54E+05,,,,,,
1991,10,8.70E+05,5.41E+05,1.33E+06,1.02E+05,2.02E+05,,,,,,
1991,11,7.58E+06,2.96E+06,1.61E+07,6.78E+05,3.43E+06,,,,,,
1991,12,1.38E+07,7.88E+06,2.25E+07,1.24E+06,3.75E+06,,,,,,
1992,1,1.26E+07,7.35E+06,2.02E+07,1.12E+06,3.31E+06,,,,,,
1992,2,5.74E+06,3.19E+06,9.55E+06,5.11E+05,1.64E+06,,,,,,
1992,3,1.37E+08,4.69E+07,3.16E+08,1.03E+07,7.09E+07,,,,,,
1992,4,9.50E+07,5.30E+07,1.58E+08,6.89E+06,2.69E+07,,,,,,
1992,5,3.27E+07,1.73E+07,5.64E+07,2.68E+06,1.01E+07,,,,,,
1992,6,3.86E+07,1.37E+07,8.71E+07,3.41E+06,1.93E+07,,,,,,
1992,7,1.60E+07,8.43E+06,2.76E+07,1.62E+06,4.95E+06,,,,,,
1992,8,5.07E+07,1.91E+07,1.10E+08,5.31E+06,2.39E+07,,,,,,
1992,9,1.69E+07,9.14E+06,2.88E+07,1.64E+06,5.06E+06,,,,,,
1992,10,1.92E+07,1.13E+07,3.05E+07,1.78E+06,4.94E+06,,,,,,
1992,11,1.08E+08,5.86E+07,1.84E+08,9.94E+06,3.23E+07,,,,,,
1992,12,4.46E+07,1.78E+07,9.35E+07,3.72E+06,1.98E+07,,,,,,
1993,1,8.60E+07,3.15E+07,1.90E+08,7.29E+06,4.17E+07,,,,,,
1993,2,1.67E+06,1.00E+06,2.61E+06,1.65E+05,4.14E+05,,,,,,
1993,3,7.65E+08,1.88E+08,2.12E+09,1.02E+08,5.22E+08,,,,,,
1993,4,3.29E+09,1.66E+09,5.87E+09,3.99E+08,1.09E+09,,,,,,
1993,5,2.49E+07,1.18E+07,4.63E+07,2.02E+06,8.92E+06,,,,,,
1993,6,4.08E+06,2.50E+06,6.29E+06,3.89E+05,9.75E+05,,,,,,
1993,7,1.20E+06,7.24E+05,1.88E+06,1.31E+05,2.98E+05,,,,,,
1993,8,8.64E+05,5.35E+05,1.32E+06,1.08E+05,2.02E+05,,,,,,
1993,9,1.12E+06,6.77E+05,1.75E+06,1.18E+05,2.75E+05,,,,,,
1993,10,1.46E+06,9.18E+05,2.20E+06,1.40E+05,3.29E+05,,,,,,
1993,11,9.77E+07,2.97E+07,2.41E+08,9.48E+06,5.61E+07,,,,,,
1993,12,4.96E+07,2.57E+07,8.67E+07,4.30E+06,1.57E+07,,,,,,
1994,1,6.23E+06,2.17E+06,1.42E+07,5.00E+05,3.16E+06,,,,,,
1994,2,3.55E+07,1.52E+07,7.11E+07,2.56E+06,1.45E+07,,,,,,
1994,3,5.50E+08,2.21E+08,1.15E+09,5.21E+07,2.42E+08,,,,,,
1994,4,8.27E+08,4.72E+08,1.35E+09,7.11E+07,2.25E+08,,,,,,
1994,5,1.40E+07,8.39E+06,2.19E+07,1.27E+06,3.47E+06,,,,,,
1994,6,9.48E+07,2.67E+07,2.45E+08,9.58E+06,5.82E+07,,,,,,
1994,7,1.87E+07,9.93E+06,3.22E+07,1.95E+06,5.73E+06,,,,,,
1994,8,3.15E+08,1.05E+08,7.38E+08,3.92E+07,1.67E+08,,,,,,
1994,9,1.06E+07,4.62E+06,2.10E+07,1.04E+06,4.25E+06,,,,,,
1994,10,4.00E+06,2.20E+06,6.70E+06,3.58E+05,1.16E+06,,,,,,
1994,11,2.12E+07,8.77E+06,4.33E+07,1.96E+06,9.00E+06,,,,,,
1994,12,4.20E+07,1.92E+07,8.06E+07,3.68E+06,1.59E+07,,,,,,
1995,1,6.66E+07,2.44E+07,1.47E+08,5.43E+06,3.22E+07,,,,,,
1995,2,3.40E+06,2.04E+06,5.31E+06,3.13E+05,8.39E+05,,,,,,
1995,3,4.81E+07,2.51E+07,8.40E+07,3.52E+06,1.52E+07,,,,,,
1995,4,2.09E+07,1.13E+07,3.55E+07,1.73E+06,6.24E+06,,,,,,
1995,5,4.40E+06,2.78E+06,6.62E+06,4.24E+05,9.86E+05,,,,,,
1995,6,2.77E+06,1.63E+06,4.41E+06,2.73E+05,7.15E+05,,,,,,
1995,7,8.51E+05,5.23E+05,1.31E+06,1.07E+05,2.02E+05,,,,,,
1995,8,6.35E+05,3.78E+05,1.00E+06,9.18E+04,1.60E+05,,,,,,
1995,9,4.87E+05,2.88E+05,7.75E+05,7.68E+04,1.25E+05,,,,,,
1995,10,9.15E+07,1.83E+07,2.81E+08,1.05E+07,7.22E+07,,,,,,
1995,11,3.26E+07,1.85E+07,5.36E+07,3.04E+06,9.04E+06,,,,,,
1995,12,1.23E+07,6.28E+06,2.18E+07,1.09E+06,4.00E+06,,,,,,
1996,1,1.29E+09,3.20E+08,3.56E+09,2.03E+08,8.73E+08,,,,,,
1996,2,3.90E+07,1.83E+07,7.35E+07,2.93E+06,1.43E+07,,,,,,
1996,3,4.91E+07,2.37E+07,9.05E+07,3.66E+06,1.73E+07,,,,,,
1996,4,2.70E+08,1.16E+08,5.39E+08,2.28E+07,1.10E+08,,,,,,
1996,5,5.88E+08,2.25E+08,1.27E+09,6.05E+07,2.72E+08,,,,,,
1996,6,1.30E+07,7.39E+06,2.13E+07,1.35E+06,3.58E+06,,,,,,
1996,7,1.57E+07,9.00E+06,2.56E+07,1.70E+06,4.27E+06,,,,,,
1996,8,6.45E+06,3.58E+06,1.08E+07,6.56E+05,1.85E+06,,,,,,
1996,9,6.46E+06,3.36E+06,1.13E+07,6.24E+05,2.04E+06,,,,,,
1996,10,6.44E+07,2.17E+07,1.50E+08,6.81E+06,3.37E+07,,,,,,
1996,11,5.59E+08,1.70E+08,1.38E+09,7.38E+07,3.21E+08,,,,,,
1996,12,5.58E+08,2.15E+08,1.20E+09,6.60E+07,2.57E+08,,,,,,
1997,1,1.21E+07,6.81E+06,2.00E+07,1.05E+06,3.40E+06,,,,,,
1997,2,3.71E+07,1.30E+07,8.41E+07,2.78E+06,1.87E+07,,,,,,
1997,3,9.53E+07,5.15E+07,1.62E+08,7.04E+06,2.84E+07,,,,,,
1997,4,4.85E+07,2.53E+07,8.46E+07,3.78E+06,1.53E+07,,,,,,
1997,5,3.07E+07,1.68E+07,5.15E+07,2.88E+06,8.94E+06,,,,,,
1997,6,9.27E+06,4.79E+06,1.63E+07,9.27E+05,2.97E+06,,,,,,
1997,7,1.77E+06,1.07E+06,2.77E+06,1.83E+05,4.36E+05,,,,,,
1997,8,7.18E+05,4.39E+05,1.11E+06,9.74E+04,1.72E+05,,,,,,
1997,9,6.60E+05,4.01E+05,1.03E+06,8.75E+04,1.60E+05,,,,,,
1997,10,8.06E+05,4.79E+05,1.28E+06,9.00E+04,2.05E+05,,,,,,
1997,11,6.95E+06,4.04E+06,1.12E+07,6.17E+05,1.83E+06,,,,,,
1997,12,1.06E+07,6.12E+06,1.71E+07,9.34E+05,2.83E+06,,,,,,
1998,1,5.20E+08,1.88E+08,1.16E+09,6.19E+07,2.55E+08,,,,,,
1998,2,4.58E+07,1.88E+07,9.43E+07,3.44E+06,1.97E+07,,,,,,
1998,3,2.00E+08,1.11E+08,3.33E+08,1.50E+07,5.71E+07,,,,,,
1998,4,1.27E+08,6.28E+07,2.29E+08,9.76E+06,4.30E+07,,,,,,
1998,5,1.32E+08,3.94E+07,3.28E+08,1.19E+07,7.66E+07,,,,,,
1998,6,2.46E+07,1.38E+07,4.06E+07,2.53E+06,6.91E+06,,,,,,
1998,7,8.68E+07,3.27E+07,1.89E+08,9.45E+06,4.08E+07,,,,,,
1998,8,1.28E+06,7.99E+05,1.96E+06,1.36E+05,2.97E+05,,,,,,
