YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,1.04E+05,6.94E+04,1.49E+05,7.72E+03,2.04E+04,,,,,,
1985,2,8.83E+04,4.96E+04,1.46E+05,6.24E+03,2.48E+04,,,,,,
1985,3,2.16E+05,1.55E+05,2.94E+05,1.47E+04,3.56E+04,,,,,,
1985,4,1.33E+05,9.47E+04,1.82E+05,8.80E+03,2.23E+04,,,,,,
1985,5,4.90E+04,3.65E+04,6.43E+04,3.30E+03,7.12E+03,,,,,,
1985,6,3.79E+04,2.79E+04,5.04E+04,2.51E+03,5.78E+03,,,,,,
1985,7,2.95E+04,2.20E+04,3.86E+04,1.98E+03,4.25E+03,,,,,,
1985,8,2.46E+04,1.82E+04,3.24E+04,1.72E+03,3.63E+03,,,,,,
1985,9,7.41E+04,3.97E+04,1.27E+05,5.02E+03,2.24E+04,,,,,,
1985,10,8.18E+04,5.75E+04,1.13E+05,5.34E+03,1.42E+04,,,,,,
1985,11,2.73E+05,1.81E+05,3.96E+05,1.89E+04,5.49E+04,,,,,,
1985,12,2.35E+05,1.65E+05,3.26E+05,1.56E+04,4.12E+04,,,,,,
1986,1,1.16E+05,7.27E+04,1.76E+05,7.27E+03,2.66E+04,,,,,,
1986,2,1.95E+05,1.23E+05,2.94E+05,1.17E+04,4.40E+04,,,,,,
1986,3,7.67E+05,4.75E+05,1.17E+06,5.61E+04,1.79E+05,,,,,,
1986,4,2.44E+05,1.61E+05,3.57E+05,1.35E+04,5.02E+04,,,,,,
1986,5,1.12E+05,7.55E+04,1.60E+05,6.16E+03,2.16E+04,,,,,,
1986,6,1.26E+05,9.11E+04,1.71E+05,7.25E+03,2.03E+04,,,,,,
1986,7,5.56E+04,4.17E+04,7.28E+04,3.15E+03,7.94E+03,,,,,,
1986,8,1.06E+05,7.51E+04,1.44E+05,6.28E+03,1.77E+04,,,,,,
1986,9,2.49E+04,1.86E+04,3.25E+04,1.48E+03,3.56E+03,,,,,,
1986,10,6.55E+04,4.82E+04,8.71E+04,3.69E+03,9.96E+03,,,,,,
1986,11,3.57E+05,2.30E+05,5.30E+05,2.27E+04,7.69E+04,,,,,,
1986,12,2.65E+05,1.94E+05,3.53E+05,1.53E+04,4.08E+04,,,,,,
1987,1,6.51E+04,4.87E+04,8.54E+04,3.75E+03,9.38E+03,,,,,,
1987,2,2.61E+04,1.94E+04,3.45E+04,1.64E+03,3.85E+03,,,,,,
1987,3,2.55E+05,1.81E+05,3.49E+05,1.23E+04,4.30E+04,,,,,,
1987,4,4.72E+05,3.25E+05,6.63E+05,2.41E+04,8.64E+04,,,,,,
1987,5,4.66E+04,3.49E+04,6.10E+04,2.37E+03,6.66E+03,,,,,,
1987,6,3.22E+04,2.42E+04,4.21E+04,1.64E+03,4.56E+03,,,,,,
1987,7,5.73E+04,4.18E+04,7.68E+04,2.90E+03,8.96E+03,,,,,,
1987,8,1.93E+04,1.46E+04,2.52E+04,1.11E+03,2.70E+03,,,,,,
1987,9,1.44E+05,1.02E+05,1.97E+05,8.15E+03,2.42E+04,,,,,,
1987,10,5.85E+04,4.37E+04,7.66E+04,2.92E+03,8.41E+03,,,,,,
1987,11,8.29E+04,6.23E+04,1.08E+05,4.25E+03,1.17E+04,,,,,,
1987,12,1.44E+05,1.06E+05,1.91E+05,7.31E+03,2.19E+04,,,,,,
1988,1,4.93E+04,3.65E+04,6.53E+04,2.58E+03,7.38E+03,,,,,,
1988,2,1.28E+05,8.69E+04,1.81E+05,5.85E+03,2.41E+04,,,,,,
1988,3,1.67E+05,1.19E+05,2.27E+05,7.02E+03,2.77E+04,,,,,,
1988,4,9.57E+04,7.04E+04,1.27E+05,4.20E+03,1.45E+04,,,,,,
1988,5,2.26E+05,1.51E+05,3.25E+05,9.98E+03,4.45E+04,,,,,,
1988,6,3.19E+04,2.34E+04,4.26E+04,1.47E+03,4.91E+03,,,,,,
1988,7,2.40E+04,1.74E+04,3.23E+04,1.12E+03,3.81E+03,,,,,,
1988,8,1.97E+04,1.47E+04,2.59E+04,1.01E+03,2.88E+03,,,,,,
1988,9,3.53E+04,2.56E+04,4.75E+04,1.59E+03,5.61E+03,,,,,,
1988,10,2.38E+04,1.69E+04,3.25E+04,1.15E+03,4.00E+03,,,,,,
1988,11,1.18E+05,8.67E+04,1.56E+05,5.69E+03,1.76E+04,,,,,,
1988,12,4.18E+04,3.09E+04,5.53E+04,2.01E+03,6.24E+03,,,,,,
1989,1,3.28E+04,2.48E+04,4.25E+04,1.70E+03,4.52E+03,,,,,,
1989,2,3.83E+04,2.76E+04,5.18E+04,1.86E+03,6.19E+03,,,,,,
1989,3,9.22E+04,6.16E+04,1.33E+05,3.59E+03,1.82E+04,,,,,,
1989,4,2.55E+05,1.73E+05,3.62E+05,9.88E+03,4.85E+04,,,,,,
1989,5,5.79E+05,4.03E+05,8.06E+05,2.83E+04,1.03E+05,,,,,,
