YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,7.00E+05,6.07E+05,8.03E+05,3.11E+04,5.00E+04,,,,,,
1985,2,7.40E+05,6.37E+05,8.55E+05,3.08E+04,5.55E+04,,,,,,
1985,3,1.16E+06,1.02E+06,1.31E+06,4.56E+04,7.20E+04,,,,,,
1985,4,9.12E+05,7.98E+05,1.04E+06,3.47E+04,6.12E+04,,,,,,
1985,5,3.67E+05,3.25E+05,4.13E+05,1.44E+04,2.25E+04,,,,,,
1985,6,3.05E+05,2.68E+05,3.45E+05,1.17E+04,1.95E+04,,,,,,
1985,7,1.62E+05,1.44E+05,1.83E+05,6.39E+03,9.97E+03,,,,,,
1985,8,1.21E+05,1.07E+05,1.37E+05,4.97E+03,7.63E+03,,,,,,
1985,9,1.62E+05,1.43E+05,1.83E+05,6.34E+03,1.03E+04,,,,,,
1985,10,1.31E+05,1.15E+05,1.48E+05,5.76E+03,8.35E+03,,,,,,
1985,11,1.08E+06,9.44E+05,1.24E+06,4.37E+04,7.58E+04,,,,,,
1985,12,1.01E+06,8.89E+05,1.15E+06,3.96E+04,6.57E+04,,,,,,
1986,1,7.02E+05,6.10E+05,8.03E+05,2.66E+04,4.92E+04,,,,,,
1986,2,1.05E+06,9.20E+05,1.18E+06,3.72E+04,6.70E+04,,,,,,
1986,3,1.37E+06,1.20E+06,1.55E+06,4.74E+04,9.02E+04,,,,,,
1986,4,7.89E+05,6.96E+05,8.90E+05,2.53E+04,4.96E+04,,,,,,
1986,5,3.39E+05,3.01E+05,3.80E+05,1.14E+04,2.01E+04,,,,,,
1986,6,5.04E+05,4.45E+05,5.67E+05,1.67E+04,3.11E+04,,,,,,
1986,7,3.02E+05,2.68E+05,3.39E+05,1.01E+04,1.82E+04,,,,,,
1986,8,1.92E+05,1.71E+05,2.15E+05,6.43E+03,1.10E+04,,,,,,
1986,9,1.16E+05,1.02E+05,1.31E+05,4.27E+03,7.22E+03,,,,,,
1986,10,3.48E+05,3.08E+05,3.91E+05,1.19E+04,2.13E+04,,,,,,
1986,11,1.09E+06,9.57E+05,1.25E+06,3.96E+04,7.39E+04,,,,,,
1986,12,1.19E+06,1.06E+06,1.33E+06,4.13E+04,6.98E+04,,,,,,
1987,1,5.72E+05,5.09E+05,6.41E+05,2.03E+04,3.35E+04,,,,,,
1987,2,3.25E+05,2.88E+05,3.66E+05,1.19E+04,1.98E+04,,,,,,
1987,3,8.94E+05,7.97E+05,1.00E+06,2.63E+04,5.21E+04,,,,,,
1987,4,1.12E+06,1.00E+06,1.26E+06,3.16E+04,6.63E+04,,,,,,
1987,5,4.47E+05,3.99E+05,4.99E+05,1.30E+04,2.53E+04,,,,,,
1987,6,2.58E+05,2.31E+05,2.88E+05,7.73E+03,1.45E+04,,,,,,
1987,7,3.27E+05,2.89E+05,3.69E+05,9.85E+03,2.04E+04,,,,,,
1987,8,1.18E+05,1.05E+05,1.33E+05,3.78E+03,7.01E+03,,,,,,
1987,9,4.33E+05,3.80E+05,4.91E+05,1.39E+04,2.81E+04,,,,,,
1987,10,3.97E+05,3.55E+05,4.43E+05,1.25E+04,2.24E+04,,,,,,
1987,11,4.15E+05,3.67E+05,4.67E+05,1.32E+04,2.54E+04,,,,,,
1987,12,7.98E+05,7.12E+05,8.92E+05,2.55E+04,4.59E+04,,,,,,
1988,1,4.67E+05,4.15E+05,5.22E+05,1.51E+04,2.73E+04,,,,,,
1988,2,9.30E+05,8.17E+05,1.05E+06,2.59E+04,6.01E+04,,,,,,
1988,3,8.48E+05,7.60E+05,9.44E+05,2.22E+04,4.71E+04,,,,,,
1988,4,4.62E+05,4.14E+05,5.15E+05,1.25E+04,2.58E+04,,,,,,
1988,5,6.90E+05,6.07E+05,7.81E+05,1.81E+04,4.44E+04,,,,,,
1988,6,1.51E+05,1.34E+05,1.70E+05,4.32E+03,9.05E+03,,,,,,
1988,7,7.63E+04,6.75E+04,8.58E+04,2.77E+03,4.68E+03,,,,,,
1988,8,1.68E+05,1.32E+05,2.10E+05,5.36E+03,1.98E+04,,,,,,
1988,9,1.97E+05,1.76E+05,2.21E+05,5.50E+03,1.13E+04,,,,,,
1988,10,1.53E+05,1.36E+05,1.71E+05,4.63E+03,8.91E+03,,,,,,
1988,11,5.30E+05,4.72E+05,5.94E+05,1.60E+04,3.12E+04,,,,,,
1988,12,3.52E+05,3.12E+05,3.95E+05,1.07E+04,2.11E+04,,,,,,
1989,1,4.85E+05,4.34E+05,5.40E+05,1.49E+04,2.69E+04,,,,,,
1989,2,5.59E+05,4.98E+05,6.26E+05,1.54E+04,3.29E+04,,,,,,
1989,3,7.54E+05,6.67E+05,8.49E+05,1.76E+04,4.65E+04,,,,,,
1989,4,8.78E+05,7.72E+05,9.94E+05,2.08E+04,5.68E+04,,,,,,
1989,5,1.08E+06,9.61E+05,1.21E+06,2.91E+04,6.33E+04,,,,,,
1989,6,8.22E+05,7.28E+05,9.26E+05,2.43E+04,5.05E+04,,,,,,
1989,7,3.45E+05,3.08E+05,3.85E+05,9.74E+03,1.95E+04,,,,,,
1989,8,1.05E+05,9.43E+04,1.17E+05,3.11E+03,5.83E+03,,,,,,
1989,9,1.18E+05,1.05E+05,1.32E+05,3.34E+03,6.94E+03,,,,,,
1989,10,2.78E+05,2.42E+05,3.18E+05,7.60E+03,1.95E+04,,,,,,
1989,11,4.29E+05,3.81E+05,4.81E+05,1.24E+04,2.53E+04,,,,,,
1989,12,2.58E+05,2.30E+05,2.87E+05,7.94E+03,1.44E+04,,,,,,
1990,1,7.18E+05,6.39E+05,8.04E+05,1.94E+04,4.21E+04,,,,,,
1990,2,1.23E+06,1.10E+06,1.37E+06,3.06E+04,6.97E+04,,,,,,
1990,3,5.20E+05,4.68E+05,5.76E+05,1.36E+04,2.76E+04,,,,,,
1990,4,6.89E+05,6.17E+05,7.68E+05,1.59E+04,3.84E+04,,,,,,
1990,5,5.89E+05,5.27E+05,6.55E+05,1.46E+04,3.28E+04,,,,,,
1990,6,3.43E+05,3.07E+05,3.82E+05,9.23E+03,1.90E+04,,,,,,
1990,7,4.83E+05,4.26E+05,5.46E+05,1.44E+04,3.06E+04,,,,,,
1990,8,3.21E+05,2.87E+05,3.59E+05,9.31E+03,1.83E+04,,,,,,
1990,9,3.35E+05,3.00E+05,3.73E+05,9.76E+03,1.85E+04,,,,,,
1990,10,1.11E+06,9.72E+05,1.26E+06,3.77E+04,7.24E+04,,,,,,
1990,11,6.58E+05,5.86E+05,7.35E+05,1.94E+04,3.80E+04,,,,,,
1990,12,1.27E+06,1.13E+06,1.42E+06,3.64E+04,7.34E+04,,,,,,
1991,1,1.09E+06,9.67E+05,1.22E+06,2.88E+04,6.41E+04,,,,,,
1991,2,8.17E+05,7.29E+05,9.13E+05,2.04E+04,4.70E+04,,,,,,
1991,3,1.11E+06,9.86E+05,1.24E+06,2.53E+04,6.36E+04,,,,,,
1991,4,6.27E+05,5.62E+05,6.97E+05,1.48E+04,3.43E+04,,,,,,
1991,5,3.38E+05,3.03E+05,3.76E+05,8.65E+03,1.87E+04,,,,,,
1991,6,9.30E+04,8.30E+04,1.04E+05,2.99E+03,5.32E+03,,,,,,
1991,7,7.34E+04,6.52E+04,8.25E+04,2.54E+03,4.41E+03,,,,,,
1991,8,5.37E+04,4.73E+04,6.07E+04,2.30E+03,3.41E+03,,,,,,
1991,9,6.75E+04,5.97E+04,7.61E+04,2.51E+03,4.19E+03,,,,,,
1991,10,8.83E+04,7.86E+04,9.90E+04,3.18E+03,5.21E+03,,,,,,
1991,11,1.50E+05,1.30E+05,1.72E+05,4.41E+03,1.07E+04,,,,,,
1991,12,4.11E+05,3.67E+05,4.59E+05,1.18E+04,2.36E+04,,,,,,
1992,1,5.19E+05,4.66E+05,5.77E+05,1.50E+04,2.83E+04,,,,,,
1992,2,3.82E+05,3.40E+05,4.27E+05,1.06E+04,2.24E+04,,,,,,
1992,3,8.71E+05,7.82E+05,9.67E+05,2.05E+04,4.73E+04,,,,,,
1992,4,8.41E+05,7.57E+05,9.32E+05,2.01E+04,4.46E+04,,,,,,
1992,5,3.30E+05,2.96E+05,3.67E+05,8.70E+03,1.81E+04,,,,,,
1992,6,2.23E+05,1.98E+05,2.49E+05,6.02E+03,1.30E+04,,,,,,
1992,7,3.91E+05,3.44E+05,4.43E+05,1.19E+04,2.52E+04,,,,,,
1992,8,3.80E+05,3.37E+05,4.27E+05,1.17E+04,2.31E+04,,,,,,
1992,9,3.63E+05,3.24E+05,4.07E+05,1.10E+04,2.12E+04,,,,,,
1992,10,3.27E+05,2.93E+05,3.64E+05,9.43E+03,1.80E+04,,,,,,
1992,11,8.91E+05,7.94E+05,9.97E+05,2.71E+04,5.20E+04,,,,,,
1992,12,7.56E+05,6.76E+05,8.43E+05,2.19E+04,4.27E+04,,,,,,
1993,1,1.20E+06,1.07E+06,1.34E+06,3.25E+04,6.82E+04,,,,,,
1993,2,2.90E+05,2.59E+05,3.25E+05,8.63E+03,1.69E+04,,,,,,
1993,3,9.45E+05,8.15E+05,1.09E+06,2.59E+04,6.97E+04,,,,,,
