YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,1.77E+07,7.09E+06,3.71E+07,2.19E+06,7.84E+06,,,,,,
1985,2,3.47E+07,1.19E+07,7.96E+07,4.12E+06,1.78E+07,,,,,,
1985,3,4.90E+07,2.58E+07,8.49E+07,5.51E+06,1.52E+07,,,,,,
1985,4,5.85E+07,2.49E+07,1.17E+08,6.56E+06,2.41E+07,,,,,,
1985,5,5.14E+06,3.02E+06,8.20E+06,5.53E+05,1.33E+06,,,,,,
1985,6,5.62E+06,2.82E+06,1.01E+07,5.95E+05,1.87E+06,,,,,,
1985,7,1.52E+06,8.93E+05,2.41E+06,1.65E+05,3.90E+05,,,,,,
1985,8,9.08E+05,5.29E+05,1.46E+06,1.02E+05,2.39E+05,,,,,,
1985,9,1.44E+06,7.74E+05,2.45E+06,1.55E+05,4.33E+05,,,,,,
1985,10,6.82E+05,4.11E+05,1.07E+06,8.07E+04,1.69E+05,,,,,,
1985,11,9.38E+07,3.80E+07,1.95E+08,1.12E+07,4.08E+07,,,,,,
1985,12,4.42E+07,2.04E+07,8.39E+07,4.88E+06,1.65E+07,,,,,,
1986,1,2.31E+07,8.88E+06,4.94E+07,2.41E+06,1.06E+07,,,,,,
1986,2,4.73E+07,2.20E+07,8.96E+07,4.76E+06,1.75E+07,,,,,,
1986,3,2.07E+08,6.78E+07,4.89E+08,2.48E+07,1.11E+08,,,,,,
1986,4,4.91E+07,1.87E+07,1.06E+08,4.60E+06,2.29E+07,,,,,,
1986,5,5.34E+06,2.81E+06,9.27E+06,4.81E+05,1.67E+06,,,,,,
1986,6,2.13E+07,1.10E+07,3.74E+07,1.99E+06,6.79E+06,,,,,,
1986,7,6.68E+06,3.27E+06,1.22E+07,6.36E+05,2.30E+06,,,,,,
1986,8,2.06E+06,1.25E+06,3.20E+06,1.92E+05,5.01E+05,,,,,,
1986,9,7.93E+05,4.48E+05,1.30E+06,7.80E+04,2.20E+05,,,,,,
1986,10,5.84E+06,2.76E+06,1.09E+07,5.56E+05,2.11E+06,,,,,,
1986,11,1.07E+08,3.85E+07,2.38E+08,1.16E+07,5.24E+07,,,,,,
1986,12,4.72E+07,2.61E+07,7.89E+07,4.49E+06,1.36E+07,,,,,,
1987,1,6.28E+06,3.76E+06,9.87E+06,5.98E+05,1.57E+06,,,,,,
1987,2,2.18E+06,1.31E+06,3.44E+06,2.16E+05,5.48E+05,,,,,,
1987,3,3.24E+07,1.54E+07,6.03E+07,2.64E+06,1.16E+07,,,,,,
1987,4,9.61E+07,4.63E+07,1.77E+08,7.90E+06,3.39E+07,,,,,,
1987,5,9.59E+06,5.38E+06,1.58E+07,7.39E+05,2.69E+06,,,,,,
1987,6,3.68E+06,2.15E+06,5.89E+06,2.92E+05,9.62E+05,,,,,,
1987,7,1.09E+07,4.72E+06,2.18E+07,9.37E+05,4.43E+06,,,,,,
1987,8,1.00E+06,5.45E+05,1.69E+06,8.50E+04,2.96E+05,,,,,,
1987,9,1.72E+07,7.95E+06,3.26E+07,1.61E+06,6.38E+06,,,,,,
1987,10,6.08E+06,3.66E+06,9.52E+06,5.17E+05,1.50E+06,,,,,,
1987,11,6.41E+06,2.70E+06,1.29E+07,5.33E+05,2.67E+06,,,,,,
1987,12,1.92E+07,9.52E+06,3.47E+07,1.61E+06,6.51E+06,,,,,,
1988,1,4.78E+06,2.69E+06,7.88E+06,4.09E+05,1.34E+06,,,,,,
1988,2,5.98E+07,2.05E+07,1.38E+08,5.01E+06,3.08E+07,,,,,,
1988,3,2.81E+07,1.53E+07,4.74E+07,1.97E+06,8.26E+06,,,,,,
1988,4,7.71E+06,4.54E+06,1.23E+07,5.53E+05,1.99E+06,,,,,,
1988,5,9.52E+07,2.67E+07,2.46E+08,8.65E+06,5.86E+07,,,,,,
1988,6,1.57E+06,8.51E+05,2.67E+06,1.14E+05,4.68E+05,,,,,,
1988,7,5.11E+05,2.95E+05,8.26E+05,4.76E+04,1.36E+05,,,,,,
1988,8,2.48E+07,3.64E+06,8.77E+07,2.71E+06,2.40E+07,,,,,,
1988,9,2.41E+06,1.28E+06,4.13E+06,1.83E+05,7.35E+05,,,,,,
1988,10,1.05E+06,6.12E+05,1.70E+06,8.18E+04,2.79E+05,,,,,,
1988,11,1.03E+07,5.62E+06,1.73E+07,8.09E+05,3.00E+06,,,,,,
1988,12,3.46E+06,1.82E+06,6.02E+06,2.72E+05,1.08E+06,,,,,,
1989,1,4.66E+06,2.88E+06,7.15E+06,3.79E+05,1.09E+06,,,,,,
1989,2,9.99E+06,4.90E+06,1.82E+07,7.20E+05,3.43E+06,,,,,,
1989,3,5.23E+07,1.53E+07,1.32E+08,3.64E+06,3.10E+07,,,,,,
1989,4,1.08E+08,3.47E+07,2.59E+08,8.60E+06,5.93E+07,,,,,,
1989,5,1.64E+08,7.82E+07,3.05E+08,1.28E+07,5.88E+07,,,,,,
1989,6,1.28E+08,5.42E+07,2.58E+08,1.14E+07,5.30E+07,,,,,,
1989,7,9.20E+06,5.05E+06,1.54E+07,6.94E+05,2.68E+06,,,,,,
1989,8,8.05E+05,4.93E+05,1.24E+06,6.34E+04,1.93E+05,,,,,,
1989,9,9.19E+05,5.25E+05,1.50E+06,6.80E+04,2.50E+05,,,,,,
1989,10,7.43E+06,2.30E+06,1.82E+07,5.84E+05,4.20E+06,,,,,,
1989,11,7.21E+06,3.57E+06,1.31E+07,5.39E+05,2.46E+06,,,,,,
1989,12,1.60E+06,9.67E+05,2.48E+06,1.26E+05,3.90E+05,,,,,,
1990,1,1.77E+07,9.29E+06,3.08E+07,1.26E+06,5.54E+06,,,,,,
1990,2,7.09E+07,3.77E+07,1.22E+08,4.78E+06,2.17E+07,,,,,,
1990,3,7.27E+06,4.50E+06,1.11E+07,5.09E+05,1.71E+06,,,,,,
1990,4,2.76E+07,1.34E+07,5.08E+07,1.61E+06,9.67E+06,,,,,,
1990,5,2.73E+07,1.33E+07,4.99E+07,1.71E+06,9.46E+06,,,,,,
1990,6,7.75E+06,4.54E+06,1.24E+07,5.31E+05,2.02E+06,,,,,,
1990,7,3.71E+07,1.60E+07,7.38E+07,3.14E+06,1.50E+07,,,,,,
1990,8,7.83E+06,4.36E+06,1.30E+07,6.26E+05,2.23E+06,,,,,,
1990,9,6.06E+06,3.75E+06,9.29E+06,4.71E+05,1.42E+06,,,,,,
1990,10,1.94E+08,7.97E+07,3.99E+08,1.99E+07,8.32E+07,,,,,,
1990,11,1.98E+07,9.75E+06,3.60E+07,1.51E+06,6.78E+06,,,,,,
1990,12,8.35E+07,4.49E+07,1.42E+08,6.27E+06,2.51E+07,,,,,,
1991,1,7.18E+07,2.40E+07,1.68E+08,5.52E+06,3.80E+07,,,,,,
1991,2,2.70E+07,1.31E+07,4.95E+07,1.78E+06,9.40E+06,,,,,,
1991,3,9.79E+07,3.44E+07,2.22E+08,6.98E+06,4.93E+07,,,,,,
1991,4,2.18E+07,1.11E+07,3.87E+07,1.30E+06,7.13E+06,,,,,,
1991,5,5.96E+06,3.46E+06,9.58E+06,3.87E+05,1.57E+06,,,,,,
1991,6,6.16E+05,3.79E+05,9.49E+05,5.24E+04,1.46E+05,,,,,,
1991,7,5.06E+05,2.85E+05,8.34E+05,4.49E+04,1.41E+05,,,,,,
1991,8,2.99E+05,1.79E+05,4.69E+05,3.43E+04,7.45E+04,,,,,,
1991,9,3.76E+05,2.21E+05,5.98E+05,3.69E+04,9.69E+04,,,,,,
1991,10,4.39E+05,2.68E+05,6.80E+05,4.17E+04,1.06E+05,,,,,,
1991,11,1.34E+06,5.34E+05,2.80E+06,9.64E+04,5.91E+05,,,,,,
1991,12,5.14E+06,2.58E+06,9.21E+06,3.83E+05,1.71E+06,,,,,,
1992,1,5.90E+06,3.62E+06,9.08E+06,4.59E+05,1.40E+06,,,,,,
1992,2,4.45E+06,2.27E+06,7.89E+06,3.31E+05,1.45E+06,,,,,,
1992,3,3.67E+07,1.85E+07,6.56E+07,2.24E+06,1.22E+07,,,,,,
1992,4,3.64E+07,2.19E+07,5.70E+07,2.23E+06,9.01E+06,,,,,,
1992,5,5.47E+06,3.23E+06,8.70E+06,3.70E+05,1.41E+06,,,,,,
1992,6,3.70E+06,2.01E+06,6.26E+06,2.59E+05,1.10E+06,,,,,,
1992,7,2.28E+07,1.03E+07,4.39E+07,1.95E+06,8.70E+06,,,,,,
1992,8,1.59E+07,7.24E+06,3.06E+07,1.37E+06,6.05E+06,,,,,,
