YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,2.76E+04,1.50E+04,4.68E+04,4.98E+03,8.18E+03,,,,,,
1985,2,2.83E+04,1.16E+04,5.84E+04,5.06E+03,1.22E+04,,,,,,
1985,3,7.76E+03,4.10E+03,1.34E+04,1.24E+03,2.40E+03,,,,,,
1985,4,4.45E+03,2.62E+03,7.07E+03,8.80E+02,1.14E+03,,,,,,
1985,5,4.43E+03,2.54E+03,7.21E+03,9.67E+02,1.20E+03,,,,,,
1985,6,1.56E+04,9.43E+03,2.42E+04,2.58E+03,3.80E+03,,,,,,
1985,7,9.25E+03,5.87E+03,1.39E+04,1.42E+03,2.05E+03,,,,,,
1985,8,1.05E+04,6.70E+03,1.57E+04,1.59E+03,2.32E+03,,,,,,
1985,9,1.06E+04,6.78E+03,1.60E+04,1.59E+03,2.36E+03,,,,,,
1985,10,1.08E+04,6.91E+03,1.61E+04,1.59E+03,2.35E+03,,,,,,
1985,11,9.60E+03,6.14E+03,1.43E+04,1.40E+03,2.10E+03,,,,,,
1985,12,8.73E+03,5.61E+03,1.30E+04,1.27E+03,1.89E+03,,,,,,
1986,1,7.95E+03,5.11E+03,1.18E+04,1.15E+03,1.72E+03,,,,,,
1986,2,1.12E+04,6.31E+03,1.83E+04,1.58E+03,3.10E+03,,,,,,
1986,3,2.94E+04,1.83E+04,4.48E+04,4.71E+03,6.79E+03,,,,,,
1986,4,3.36E+04,1.69E+04,6.04E+04,4.83E+03,1.12E+04,,,,,,
1986,5,9.69E+03,6.03E+03,1.48E+04,1.31E+03,2.24E+03,,,,,,
1986,6,7.65E+03,4.91E+03,1.14E+04,1.09E+03,1.66E+03,,,,,,
1986,7,9.40E+03,6.12E+03,1.38E+04,1.28E+03,1.98E+03,,,,,,
1986,8,1.03E+04,6.71E+03,1.51E+04,1.38E+03,2.15E+03,,,,,,
1986,9,1.07E+04,7.00E+03,1.57E+04,1.40E+03,2.24E+03,,,,,,
1986,10,1.09E+04,7.12E+03,1.59E+04,1.40E+03,2.24E+03,,,,,,
1986,11,1.03E+04,6.72E+03,1.52E+04,1.31E+03,2.17E+03,,,,,,
1986,12,2.08E+04,9.09E+03,4.09E+04,2.80E+03,8.27E+03,,,,,,
1987,1,6.11E+04,3.39E+04,1.02E+05,8.97E+03,1.75E+04,,,,,,
1987,2,6.91E+03,4.46E+03,1.02E+04,9.07E+02,1.48E+03,,,,,,
1987,3,2.14E+04,1.36E+04,3.23E+04,2.96E+03,4.81E+03,,,,,,
1987,4,8.04E+04,3.97E+04,1.46E+05,1.29E+04,2.74E+04,,,,,,
1987,5,2.53E+04,1.61E+04,3.79E+04,3.46E+03,5.57E+03,,,,,,
1987,6,9.23E+03,6.09E+03,1.34E+04,1.13E+03,1.88E+03,,,,,,
1987,7,2.66E+04,1.66E+04,4.03E+04,3.62E+03,6.07E+03,,,,,,
1987,8,1.21E+04,8.09E+03,1.75E+04,1.41E+03,2.40E+03,,,,,,
1987,9,6.80E+04,4.04E+04,1.07E+05,1.06E+04,1.72E+04,,,,,,
1987,10,1.39E+04,8.98E+03,2.05E+04,1.56E+03,2.96E+03,,,,,,
1987,11,1.24E+04,8.14E+03,1.82E+04,1.39E+03,2.58E+03,,,,,,
1987,12,4.48E+04,2.66E+04,7.09E+04,6.11E+03,1.14E+04,,,,,,
1988,1,6.70E+04,4.07E+04,1.04E+05,8.80E+03,1.63E+04,,,,,,
1988,2,9.92E+04,5.99E+04,1.55E+05,1.33E+04,2.44E+04,,,,,,
1988,3,5.60E+04,2.91E+04,9.78E+04,7.41E+03,1.77E+04,,,,,,
1988,4,4.16E+04,2.46E+04,6.60E+04,4.82E+03,1.07E+04,,,,,,
1988,5,1.78E+05,9.60E+04,3.04E+05,3.37E+04,5.35E+04,,,,,,
1988,6,2.36E+04,1.50E+04,3.56E+04,2.84E+03,5.28E+03,,,,,,
1988,7,1.16E+04,7.83E+03,1.66E+04,1.27E+03,2.26E+03,,,,,,
1988,8,1.38E+04,9.32E+03,1.97E+04,1.45E+03,2.65E+03,,,,,,
1988,9,1.32E+04,8.86E+03,1.88E+04,1.39E+03,2.55E+03,,,,,,
1988,10,1.32E+04,8.94E+03,1.88E+04,1.38E+03,2.53E+03,,,,,,
1988,11,1.17E+04,7.88E+03,1.67E+04,1.23E+03,2.27E+03,,,,,,
1988,12,1.11E+04,7.51E+03,1.59E+04,1.18E+03,2.14E+03,,,,,,
1989,1,9.85E+03,6.63E+03,1.41E+04,1.08E+03,1.91E+03,,,,,,
1989,2,8.16E+03,5.39E+03,1.19E+04,9.24E+02,1.66E+03,,,,,,
1989,3,5.69E+04,3.60E+04,8.57E+04,6.47E+03,1.27E+04,,,,,,
1989,4,5.21E+04,3.41E+04,7.64E+04,6.15E+03,1.09E+04,,,,,,
1989,5,4.37E+05,1.09E+05,1.20E+06,2.20E+05,2.95E+05,,,,,,
1989,6,2.00E+05,9.84E+04,3.62E+05,4.17E+04,6.82E+04,,,,,,
1989,7,8.60E+04,5.58E+04,1.27E+05,1.17E+04,1.83E+04,,,,,,
1989,8,1.08E+05,6.90E+04,1.61E+05,1.55E+04,2.35E+04,,,,,,
1989,9,3.74E+04,1.92E+04,6.59E+04,4.62E+03,1.21E+04,,,,,,
1989,10,2.84E+04,1.39E+04,5.21E+04,3.27E+03,9.88E+03,,,,,,
1989,11,7.50E+04,3.04E+04,1.56E+05,1.31E+04,3.26E+04,,,,,,
1989,12,2.58E+04,1.67E+04,3.80E+04,3.10E+03,5.48E+03,,,,,,
1990,1,2.41E+04,1.23E+04,4.25E+04,2.42E+03,7.80E+03,,,,,,
1990,2,5.59E+04,3.54E+04,8.41E+04,6.47E+03,1.25E+04,,,,,,
1990,3,4.98E+04,3.04E+04,7.71E+04,5.36E+03,1.20E+04,,,,,,
1990,4,8.71E+04,4.99E+04,1.41E+05,1.06E+04,2.35E+04,,,,,,
1990,5,8.77E+04,4.68E+04,1.50E+05,1.20E+04,2.67E+04,,,,,,
1990,6,4.16E+04,2.33E+04,6.89E+04,4.58E+03,1.18E+04,,,,,,
1990,7,1.34E+04,9.08E+03,1.90E+04,1.36E+03,2.55E+03,,,,,,
