YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,4.02E+03,2.99E+03,5.30E+03,2.59E+02,5.89E+02,,,,,,
1985,2,1.37E+04,8.52E+03,2.09E+04,9.19E+02,3.19E+03,,,,,,
1985,3,4.24E+03,3.28E+03,5.41E+03,2.65E+02,5.44E+02,,,,,,
1985,4,3.56E+03,2.75E+03,4.53E+03,2.23E+02,4.55E+02,,,,,,
1985,5,6.73E+03,5.02E+03,8.82E+03,4.03E+02,9.72E+02,,,,,,
1985,6,5.93E+03,4.44E+03,7.77E+03,3.51E+02,8.50E+02,,,,,,
1985,7,4.75E+03,3.62E+03,6.11E+03,2.76E+02,6.35E+02,,,,,,
1985,8,3.79E+03,2.94E+03,4.82E+03,2.25E+02,4.81E+02,,,,,,
1985,9,9.63E+03,5.16E+03,1.65E+04,6.13E+02,2.91E+03,,,,,,
1985,10,5.31E+03,4.06E+03,6.82E+03,2.90E+02,7.06E+02,,,,,,
1985,11,7.85E+03,5.79E+03,1.04E+04,4.34E+02,1.18E+03,,,,,,
1985,12,4.99E+03,3.75E+03,6.50E+03,2.69E+02,7.03E+02,,,,,,
1986,1,4.26E+03,3.03E+03,5.83E+03,2.29E+02,7.17E+02,,,,,,
1986,2,6.50E+03,4.91E+03,8.44E+03,3.42E+02,9.01E+02,,,,,,
1986,3,5.26E+03,4.11E+03,6.62E+03,2.75E+02,6.41E+02,,,,,,
1986,4,6.70E+03,4.94E+03,8.88E+03,3.42E+02,1.01E+03,,,,,,
1986,5,3.22E+03,2.55E+03,4.01E+03,1.71E+02,3.75E+02,,,,,,
1986,6,2.76E+03,2.12E+03,3.53E+03,1.50E+02,3.61E+02,,,,,,
1986,7,2.89E+03,2.21E+03,3.70E+03,1.55E+02,3.80E+02,,,,,,
1986,8,3.74E+03,2.86E+03,4.80E+03,1.85E+02,4.96E+02,,,,,,
1986,9,1.76E+03,1.36E+03,2.24E+03,1.23E+02,2.24E+02,,,,,,
1986,10,1.99E+03,1.54E+03,2.52E+03,1.22E+02,2.50E+02,,,,,,
1986,11,5.81E+03,4.36E+03,7.59E+03,2.76E+02,8.26E+02,,,,,,
1986,12,1.15E+04,7.78E+03,1.65E+04,5.72E+02,2.23E+03,,,,,,
1987,1,7.76E+03,5.84E+03,1.01E+04,3.59E+02,1.09E+03,,,,,,
1987,2,3.84E+03,2.98E+03,4.88E+03,1.79E+02,4.85E+02,,,,,,
1987,3,6.09E+03,4.17E+03,8.61E+03,2.70E+02,1.14E+03,,,,,,
1987,4,7.92E+03,6.11E+03,1.01E+04,3.56E+02,1.02E+03,,,,,,
1987,5,5.77E+03,4.31E+03,7.55E+03,2.57E+02,8.28E+02,,,,,,
1987,6,4.09E+03,3.07E+03,5.34E+03,1.80E+02,5.80E+02,,,,,,
1987,7,4.37E+03,3.36E+03,5.59E+03,1.93E+02,5.71E+02,,,,,,
1987,8,2.11E+03,1.66E+03,2.64E+03,1.14E+02,2.50E+02,,,,,,
1987,9,1.15E+04,8.09E+03,1.59E+04,5.91E+02,2.01E+03,,,,,,
