YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,2.80E+04,2.47E+04,3.17E+04,1.27E+03,1.80E+03,,,,,,
1985,2,5.11E+04,4.48E+04,5.80E+04,2.27E+03,3.36E+03,,,,,,
1985,3,2.35E+04,2.08E+04,2.65E+04,1.05E+03,1.46E+03,,,,,,
1985,4,1.54E+04,1.36E+04,1.74E+04,6.86E+02,9.61E+02,,,,,,
1985,5,9.79E+03,8.62E+03,1.11E+04,4.28E+02,6.22E+02,,,,,,
1985,6,1.49E+04,1.30E+04,1.71E+04,6.28E+02,1.05E+03,,,,,,
1985,7,4.14E+03,3.63E+03,4.70E+03,1.73E+02,2.74E+02,,,,,,
1985,8,3.16E+04,2.69E+04,3.68E+04,1.37E+03,2.54E+03,,,,,,
1985,9,8.68E+03,7.35E+03,1.02E+04,3.50E+02,7.18E+02,,,,,,
1985,10,3.57E+04,3.07E+04,4.11E+04,1.48E+03,2.66E+03,,,,,,
1985,11,6.66E+04,5.83E+04,7.57E+04,2.77E+03,4.46E+03,,,,,,
1985,12,4.62E+04,4.05E+04,5.24E+04,1.80E+03,3.06E+03,,,,,,
1986,1,2.34E+04,2.08E+04,2.63E+04,8.93E+02,1.39E+03,,,,,,
1986,2,3.54E+04,3.15E+04,3.96E+04,1.32E+03,2.06E+03,,,,,,
1986,3,2.92E+04,2.60E+04,3.26E+04,1.08E+03,1.69E+03,,,,,,
1986,4,2.28E+04,2.03E+04,2.54E+04,8.36E+02,1.32E+03,,,,,,
1986,5,1.89E+04,1.66E+04,2.15E+04,6.74E+02,1.25E+03,,,,,,
1986,6,3.69E+03,3.26E+03,4.16E+03,1.38E+02,2.31E+02,,,,,,
1986,7,5.05E+03,4.49E+03,5.67E+03,1.79E+02,2.99E+02,,,,,,
1986,8,8.04E+03,7.05E+03,9.13E+03,2.78E+02,5.30E+02,,,,,,
1986,9,2.92E+03,2.59E+03,3.28E+03,1.01E+02,1.76E+02,,,,,,
1986,10,3.13E+03,2.75E+03,3.55E+03,1.07E+02,2.04E+02,,,,,,
1986,11,7.15E+03,6.40E+03,7.97E+03,2.41E+02,4.02E+02,,,,,,
1986,12,3.57E+04,3.14E+04,4.05E+04,1.15E+03,2.33E+03,,,,,,
1987,1,3.41E+04,3.06E+04,3.79E+04,1.07E+03,1.86E+03,,,,,,
1987,2,3.90E+04,3.49E+04,4.34E+04,1.20E+03,2.16E+03,,,,,,
1987,3,3.92E+04,3.50E+04,4.37E+04,1.19E+03,2.23E+03,,,,,,
1987,4,8.37E+04,7.39E+04,9.45E+04,2.66E+03,5.26E+03,,,,,,
1987,5,6.21E+04,5.55E+04,6.93E+04,1.88E+03,3.53E+03,,,,,,
1987,6,3.47E+04,3.07E+04,3.92E+04,1.05E+03,2.16E+03,,,,,,
1987,7,8.81E+03,7.88E+03,9.83E+03,2.64E+02,4.98E+02,,,,,,
1987,8,3.19E+03,2.86E+03,3.55E+03,9.61E+01,1.77E+02,,,,,,
1987,9,1.03E+04,9.06E+03,1.16E+04,3.03E+02,6.58E+02,,,,,,
1987,10,5.36E+03,4.77E+03,6.00E+03,1.54E+02,3.12E+02,,,,,,
1987,11,1.66E+04,1.49E+04,1.85E+04,4.62E+02,9.16E+02,,,,,,
1987,12,3.83E+04,3.44E+04,4.25E+04,1.03E+03,2.05E+03,,,,,,
1988,1,4.10E+04,3.65E+04,4.58E+04,1.06E+03,2.39E+03,,,,,,
1988,2,3.51E+04,3.17E+04,3.88E+04,8.99E+02,1.82E+03,,,,,,
1988,3,2.22E+04,2.00E+04,2.46E+04,5.88E+02,1.18E+03,,,,,,
1988,4,2.57E+04,2.32E+04,2.83E+04,6.61E+02,1.32E+03,,,,,,
1988,5,3.94E+04,3.54E+04,4.36E+04,9.95E+02,2.09E+03,,,,,,
1988,6,9.55E+03,8.56E+03,1.06E+04,2.51E+02,5.29E+02,,,,,,
1988,7,5.70E+03,5.01E+03,6.46E+03,1.46E+02,3.72E+02,,,,,,
1988,8,4.35E+03,3.87E+03,4.87E+03,1.12E+02,2.55E+02,,,,,,
1988,9,2.60E+03,2.32E+03,2.90E+03,6.78E+01,1.46E+02,,,,,,
1988,10,2.50E+03,2.24E+03,2.78E+03,6.60E+01,1.37E+02,,,,,,
1988,11,7.91E+03,7.09E+03,8.80E+03,1.94E+02,4.35E+02,,,,,,
1988,12,1.14E+04,1.01E+04,1.27E+04,2.69E+02,6.62E+02,,,,,,
1989,1,1.09E+04,9.83E+03,1.20E+04,2.72E+02,5.46E+02,,,,,,
1989,2,1.69E+04,1.50E+04,1.89E+04,3.81E+02,1.02E+03,,,,,,
1989,3,5.05E+04,4.57E+04,5.58E+04,1.07E+03,2.59E+03,,,,,,
1989,4,3.46E+04,3.13E+04,3.81E+04,7.41E+02,1.75E+03,,,,,,
1989,5,7.06E+04,6.34E+04,7.83E+04,1.65E+03,3.81E+03,,,,,,
1989,6,2.97E+04,2.66E+04,3.30E+04,6.80E+02,1.63E+03,,,,,,
1989,7,2.31E+04,2.08E+04,2.57E+04,5.51E+02,1.25E+03,,,,,,
1989,8,1.87E+04,1.67E+04,2.08E+04,4.50E+02,1.04E+03,,,,,,
1989,9,2.94E+04,2.60E+04,3.31E+04,7.66E+02,1.82E+03,,,,,,
1989,10,2.80E+04,2.51E+04,3.11E+04,6.62E+02,1.53E+03,,,,,,
1989,11,2.40E+04,2.18E+04,2.64E+04,5.13E+02,1.17E+03,,,,,,
1989,12,1.83E+04,1.67E+04,2.01E+04,3.76E+02,8.69E+02,,,,,,
1990,1,4.79E+04,4.35E+04,5.27E+04,9.18E+02,2.36E+03,,,,,,
1990,2,4.21E+04,3.81E+04,4.63E+04,7.78E+02,2.08E+03,,,,,,
1990,3,3.08E+04,2.79E+04,3.39E+04,5.87E+02,1.51E+03,,,,,,
1990,4,4.88E+04,4.43E+04,5.37E+04,9.19E+02,2.41E+03,,,,,,
1990,5,5.68E+04,5.03E+04,6.40E+04,1.24E+03,3.51E+03,,,,,,
1990,6,4.69E+04,4.07E+04,5.39E+04,1.12E+03,3.37E+03,,,,,,
1990,7,1.24E+04,1.11E+04,1.37E+04,2.68E+02,6.50E+02,,,,,,
1990,8,1.29E+04,1.14E+04,1.46E+04,2.88E+02,8.27E+02,,,,,,
1990,9,3.68E+03,3.34E+03,4.05E+03,8.02E+01,1.81E+02,,,,,,
1990,10,7.59E+03,6.71E+03,8.55E+03,1.55E+02,4.69E+02,,,,,,
1990,11,8.97E+03,8.06E+03,9.95E+03,1.81E+02,4.84E+02,,,,,,
1990,12,1.47E+04,1.32E+04,1.62E+04,2.78E+02,7.61E+02,,,,,,
1991,1,3.96E+04,3.57E+04,4.37E+04,6.88E+02,2.04E+03,,,,,,
1991,2,1.15E+04,1.05E+04,1.27E+04,2.46E+02,5.65E+02,,,,,,
1991,3,2.30E+04,2.09E+04,2.54E+04,4.24E+02,1.15E+03,,,,,,
1991,4,2.63E+04,2.38E+04,2.91E+04,4.72E+02,1.37E+03,,,,,,
1991,5,8.49E+03,7.70E+03,9.34E+03,1.86E+02,4.18E+02,,,,,,
1991,6,2.02E+03,1.83E+03,2.23E+03,5.09E+01,1.03E+02,,,,,,
1991,7,2.16E+03,1.94E+03,2.41E+03,4.93E+01,1.21E+02,,,,,,
1991,8,1.63E+03,1.44E+03,1.84E+03,3.71E+01,1.01E+02,,,,,,
1991,9,1.05E+03,9.18E+02,1.19E+03,2.52E+01,6.87E+01,,,,,,
1991,10,1.93E+03,1.68E+03,2.22E+03,4.12E+01,1.38E+02,,,,,,
1991,11,1.75E+03,1.58E+03,1.93E+03,4.27E+01,8.85E+01,,,,,,
1991,12,1.04E+04,9.33E+03,1.15E+04,1.97E+02,5.51E+02,,,,,,
1992,1,1.35E+04,1.23E+04,1.49E+04,2.55E+02,6.84E+02,,,,,,
1992,2,9.96E+03,8.90E+03,1.11E+04,2.03E+02,5.68E+02,,,,,,
1992,3,2.94E+04,2.67E+04,3.23E+04,4.97E+02,1.44E+03,,,,,,
1992,4,1.69E+04,1.53E+04,1.86E+04,3.21E+02,8.63E+02,,,,,,
1992,5,1.22E+04,1.10E+04,1.34E+04,2.48E+02,6.00E+02,,,,,,
1992,6,1.10E+04,9.86E+03,1.23E+04,2.21E+02,6.25E+02,,,,,,
1992,7,1.30E+04,1.10E+04,1.53E+04,2.94E+02,1.08E+03,,,,,,
1992,8,1.56E+04,1.39E+04,1.74E+04,3.45E+02,9.03E+02,,,,,,
1992,9,4.92E+03,4.44E+03,5.44E+03,1.03E+02,2.55E+02,,,,,,
1992,10,5.88E+03,5.32E+03,6.49E+03,1.21E+02,2.99E+02,,,,,,
1992,11,1.16E+04,1.05E+04,1.27E+04,2.25E+02,5.56E+02,,,,,,
1992,12,2.99E+04,2.67E+04,3.34E+04,5.30E+02,1.70E+03,,,,,,
1993,1,4.02E+04,3.65E+04,4.42E+04,6.64E+02,1.97E+03,,,,,,
1993,2,2.50E+04,2.26E+04,2.76E+04,4.18E+02,1.26E+03,,,,,,
1993,3,9.61E+04,8.71E+04,1.06E+05,1.87E+03,4.74E+03,,,,,,
1993,4,8.82E+04,8.01E+04,9.68E+04,1.72E+03,4.26E+03,,,,,,
1993,5,5.12E+04,4.64E+04,5.64E+04,9.79E+02,2.53E+03,,,,,,
1993,6,1.73E+04,1.56E+04,1.92E+04,3.49E+02,9.02E+02,,,,,,
1993,7,4.70E+03,4.21E+03,5.24E+03,1.00E+02,2.63E+02,,,,,,
1993,8,5.59E+03,4.88E+03,6.39E+03,1.18E+02,3.84E+02,,,,,,
1993,9,3.21E+03,2.90E+03,3.54E+03,6.84E+01,1.64E+02,,,,,,
