YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1989,1,1.32E+05,8.81E+04,1.89E+05,1.49E+04,2.59E+04,,,,,,
1989,2,2.44E+05,1.46E+05,3.83E+05,2.54E+04,6.09E+04,,,,,,
1989,3,8.73E+05,5.76E+05,1.27E+06,8.61E+04,1.78E+05,,,,,,
1989,4,4.90E+05,3.26E+05,7.07E+05,4.88E+04,9.76E+04,,,,,,
1989,5,1.19E+06,7.72E+05,1.76E+06,1.20E+05,2.54E+05,,,,,,
1989,6,3.74E+05,2.37E+05,5.62E+05,3.70E+04,8.34E+04,,,,,,
1989,7,2.72E+05,1.75E+05,4.04E+05,2.72E+04,5.87E+04,,,,,,
1989,8,2.18E+05,1.38E+05,3.27E+05,2.17E+04,4.85E+04,,,,,,
1989,9,4.80E+05,2.95E+05,7.40E+05,4.89E+04,1.14E+05,,,,,,
1989,10,4.47E+05,2.88E+05,6.61E+05,4.26E+04,9.56E+04,,,,,,
1989,11,3.75E+05,2.58E+05,5.27E+05,3.36E+04,6.89E+04,,,,,,
1989,12,2.69E+05,1.87E+05,3.75E+05,2.37E+04,4.81E+04,,,,,,
1990,1,9.54E+05,6.50E+05,1.35E+06,7.76E+04,1.80E+05,,,,,,
1990,2,7.77E+05,5.31E+05,1.10E+06,6.21E+04,1.45E+05,,,,,,
1990,3,4.63E+05,3.15E+05,6.56E+05,3.79E+04,8.72E+04,,,,,,
1990,4,7.94E+05,5.41E+05,1.13E+06,6.28E+04,1.50E+05,,,,,,
1990,5,9.72E+05,5.68E+05,1.56E+06,8.43E+04,2.54E+05,,,,,,
1990,6,8.15E+05,4.39E+05,1.39E+06,7.59E+04,2.45E+05,,,,,,
1990,7,1.23E+05,8.07E+04,1.79E+05,1.04E+04,2.51E+04,,,,,,
1990,8,1.50E+05,8.58E+04,2.45E+05,1.28E+04,4.09E+04,,,,,,
1990,9,2.86E+04,1.97E+04,4.02E+04,2.41E+03,5.25E+03,,,,,,
1990,10,9.28E+04,5.53E+04,1.46E+05,7.27E+03,2.34E+04,,,,,,
1990,11,1.12E+05,7.26E+04,1.66E+05,8.66E+03,2.40E+04,,,,,,
1990,12,2.17E+05,1.44E+05,3.16E+05,1.58E+04,4.42E+04,,,,,,
1991,1,7.85E+05,5.22E+05,1.14E+06,5.26E+04,1.57E+05,,,,,,
1991,2,1.44E+05,1.01E+05,2.01E+05,1.17E+04,2.57E+04,,,,,,
1991,3,3.27E+05,2.23E+05,4.64E+05,2.31E+04,6.17E+04,,,,,,
1991,4,3.75E+05,2.45E+05,5.48E+05,2.55E+04,7.75E+04,,,,,,
1991,5,7.62E+04,5.27E+04,1.07E+05,6.17E+03,1.38E+04,,,,,,
1991,6,1.15E+04,7.81E+03,1.63E+04,1.11E+03,2.18E+03,,,,,,
1991,7,1.35E+04,8.58E+03,2.02E+04,1.13E+03,2.98E+03,,,,,,
1991,8,1.02E+04,6.05E+03,1.62E+04,8.59E+02,2.61E+03,,,,,,
1991,9,6.68E+03,3.75E+03,1.10E+04,5.99E+02,1.87E+03,,,,,,
1991,10,1.69E+04,8.97E+03,2.90E+04,1.24E+03,5.17E+03,,,,,,
1991,11,1.32E+04,9.01E+03,1.86E+04,1.19E+03,2.46E+03,,,,,,
1991,12,1.43E+05,9.42E+04,2.09E+05,9.54E+03,2.93E+04,,,,,,
1992,1,1.96E+05,1.32E+05,2.79E+05,1.29E+04,3.76E+04,,,,,,
1992,2,1.28E+05,8.04E+04,1.95E+05,8.92E+03,2.94E+04,,,,,,
1992,3,4.63E+05,3.19E+05,6.49E+05,2.75E+04,8.45E+04,,,,,,
1992,4,2.08E+05,1.40E+05,2.98E+05,1.38E+04,4.04E+04,,,,,,
1992,5,1.24E+05,8.56E+04,1.74E+05,8.77E+03,2.26E+04,,,,,,
1992,6,1.15E+05,7.32E+04,1.71E+05,7.87E+03,2.51E+04,,,,,,
1992,7,1.82E+05,9.06E+04,3.29E+05,1.44E+04,6.17E+04,,,,,,
1992,8,1.93E+05,1.21E+05,2.93E+05,1.48E+04,4.42E+04,,,,,,
1992,9,4.43E+04,2.99E+04,6.31E+04,3.10E+03,8.51E+03,,,,,,
1992,10,6.03E+04,4.10E+04,8.55E+04,4.15E+03,1.14E+04,,,,,,
1992,11,1.55E+05,1.09E+05,2.14E+05,1.03E+04,2.69E+04,,,,,,
1992,12,6.00E+05,3.76E+05,9.10E+05,3.66E+04,1.37E+05,,,,,,
1993,1,8.13E+05,5.59E+05,1.14E+06,4.53E+04,1.50E+05,,,,,,
1993,2,4.21E+05,2.89E+05,5.93E+05,2.35E+04,7.79E+04,,,,,,
1993,3,2.19E+06,1.51E+06,3.09E+06,1.49E+05,4.05E+05,,,,,,
1993,4,1.78E+06,1.25E+06,2.46E+06,1.17E+05,3.12E+05,,,,,,
1993,5,8.24E+05,5.67E+05,1.16E+06,5.28E+04,1.51E+05,,,,,,
1993,6,2.00E+05,1.35E+05,2.87E+05,1.36E+04,3.89E+04,,,,,,
1993,7,3.81E+04,2.45E+04,5.65E+04,2.66E+03,8.21E+03,,,,,,
1993,8,5.62E+04,3.14E+04,9.31E+04,4.00E+03,1.59E+04,,,,,,
1993,9,2.61E+04,1.77E+04,3.71E+04,1.85E+03,4.97E+03,,,,,,
1993,10,3.03E+04,2.11E+04,4.21E+04,2.13E+03,5.39E+03,,,,,,
1993,11,1.47E+05,7.12E+04,2.70E+05,9.22E+03,5.14E+04,,,,,,
1993,12,9.83E+05,6.23E+05,1.48E+06,6.89E+04,2.19E+05,,,,,,
1994,1,6.25E+05,4.47E+05,8.51E+05,3.50E+04,1.03E+05,,,,,,
1994,2,1.44E+06,9.27E+05,2.14E+06,9.35E+04,3.12E+05,,,,,,
1994,3,2.62E+06,1.72E+06,3.83E+06,2.08E+05,5.40E+05,,,,,,
1994,4,1.94E+06,1.08E+06,3.24E+06,1.75E+05,5.56E+05,,,,,,
1994,5,4.42E+05,2.88E+05,6.50E+05,2.74E+04,9.27E+04,,,,,,
1994,6,7.39E+04,5.22E+04,1.02E+05,5.25E+03,1.27E+04,,,,,,
1994,7,1.32E+05,7.93E+04,2.07E+05,9.71E+03,3.27E+04,,,,,,
1994,8,5.35E+05,3.20E+05,8.42E+05,4.73E+04,1.34E+05,,,,,,
1994,9,1.14E+05,6.49E+04,1.86E+05,8.61E+03,3.11E+04,,,,,,
1994,10,7.80E+04,5.21E+04,1.12E+05,5.44E+03,1.54E+04,,,,,,
1994,11,1.19E+05,8.00E+04,1.72E+05,8.01E+03,2.34E+04,,,,,,
1994,12,1.24E+05,8.76E+04,1.70E+05,8.33E+03,2.12E+04,,,,,,
1995,1,5.04E+05,3.32E+05,7.33E+05,2.88E+04,1.03E+05,,,,,,
1995,2,2.62E+05,1.82E+05,3.66E+05,1.63E+04,4.70E+04,,,,,,
1995,3,4.14E+05,2.54E+05,6.39E+05,2.35E+04,9.89E+04,,,,,,
1995,4,1.31E+05,8.86E+04,1.87E+05,9.05E+03,2.53E+04,,,,,,
1995,5,2.08E+05,1.42E+05,2.94E+05,1.39E+04,3.89E+04,,,,,,
1995,6,2.17E+05,1.25E+05,3.51E+05,1.57E+04,5.82E+04,,,,,,
1995,7,1.35E+05,8.95E+04,1.95E+05,9.96E+03,2.71E+04,,,,,,
1995,8,2.36E+04,1.52E+04,3.48E+04,1.71E+03,5.02E+03,,,,,,
1995,9,6.24E+03,4.03E+03,9.24E+03,6.01E+02,1.34E+03,,,,,,
1995,10,2.25E+05,1.39E+05,3.46E+05,1.70E+04,5.33E+04,,,,,,
1995,11,3.26E+05,2.18E+05,4.69E+05,2.31E+04,6.42E+04,,,,,,
1995,12,3.27E+05,2.17E+05,4.72E+05,2.07E+04,6.53E+04,,,,,,
1996,1,1.31E+06,8.07E+05,2.01E+06,9.36E+04,3.08E+05,,,,,,
1996,2,9.42E+05,6.61E+05,1.30E+06,5.48E+04,1.65E+05,,,,,,
1996,3,5.62E+05,4.00E+05,7.69E+05,3.35E+04,9.42E+04,,,,,,
1996,4,9.52E+05,6.33E+05,1.38E+06,6.04E+04,1.91E+05,,,,,,
1996,5,4.15E+05,2.90E+05,5.76E+05,2.78E+04,7.32E+04,,,,,,
1996,6,2.52E+05,1.72E+05,3.57E+05,1.84E+04,4.75E+04,,,,,,
1996,7,2.67E+05,1.76E+05,3.88E+05,2.11E+04,5.42E+04,,,,,,
1996,8,2.60E+05,1.72E+05,3.77E+05,2.14E+04,5.24E+04,,,,,,
1996,9,7.99E+05,4.30E+05,1.36E+06,8.38E+04,2.40E+05,,,,,,
1996,10,8.12E+05,5.25E+05,1.20E+06,7.15E+04,1.74E+05,,,,,,
1996,11,6.96E+05,4.50E+05,1.03E+06,5.32E+04,1.49E+05,,,,,,
1996,12,1.60E+06,1.11E+06,2.24E+06,1.22E+05,2.91E+05,,,,,,
1997,1,5.97E+05,4.29E+05,8.10E+05,3.62E+04,9.76E+04,,,,,,
1997,2,7.67E+05,5.35E+05,1.07E+06,4.50E+04,1.36E+05,,,,,,
1997,3,9.95E+05,7.04E+05,1.37E+06,5.94E+04,1.70E+05,,,,,,
1997,4,5.11E+05,3.59E+05,7.07E+05,3.20E+04,8.92E+04,,,,,,
1997,5,3.45E+05,2.25E+05,5.07E+05,2.26E+04,7.23E+04,,,,,,
1997,6,2.61E+05,1.61E+05,4.01E+05,1.85E+04,6.15E+04,,,,,,
1997,7,1.77E+05,9.71E+04,2.98E+05,1.40E+04,5.18E+04,,,,,,
1997,8,6.37E+04,4.10E+04,9.46E+04,4.68E+03,1.37E+04,,,,,,
1997,9,1.36E+04,9.40E+03,1.91E+04,1.09E+03,2.50E+03,,,,,,
1997,10,3.99E+04,2.56E+04,5.94E+04,2.79E+03,8.66E+03,,,,,,
1997,11,4.66E+05,2.95E+05,7.00E+05,3.44E+04,1.04E+05,,,,,,
1997,12,2.12E+05,1.48E+05,2.94E+05,1.40E+04,3.73E+04,,,,,,
1998,1,9.85E+05,5.87E+05,1.55E+06,6.75E+04,2.48E+05,,,,,,
1998,2,3.39E+06,2.23E+06,4.95E+06,3.09E+05,6.97E+05,,,,,,
1998,3,2.66E+06,1.79E+06,3.81E+06,2.12E+05,5.19E+05,,,,,,
1998,4,1.37E+06,9.62E+05,1.90E+06,9.12E+04,2.41E+05,,,,,,
1998,5,8.86E+05,5.90E+05,1.28E+06,6.17E+04,1.76E+05,,,,,,
1998,6,2.63E+05,1.81E+05,3.68E+05,1.90E+04,4.79E+04,,,,,,
1998,7,5.64E+04,3.81E+04,8.04E+04,4.00E+03,1.08E+04,,,,,,
1998,8,1.66E+04,1.06E+04,2.47E+04,1.24E+03,3.63E+03,,,,,,
1998,9,4.05E+03,2.69E+03,5.87E+03,4.79E+02,8.15E+02,,,,,,
1998,10,8.80E+03,5.77E+03,1.29E+04,7.83E+02,1.82E+03,,,,,,
1998,11,1.58E+04,1.10E+04,2.20E+04,1.30E+03,2.80E+03,,,,,,
1998,12,4.75E+04,3.18E+04,6.82E+04,3.42E+03,9.32E+03,,,,,,
1999,1,1.81E+05,1.20E+05,2.61E+05,1.17E+04,3.62E+04,,,,,,
1999,2,1.15E+05,7.89E+04,1.61E+05,8.27E+03,2.11E+04,,,,,,
1999,3,5.74E+05,3.86E+05,8.24E+05,3.40E+04,1.12E+05,,,,,,
1999,4,1.46E+05,1.02E+05,2.03E+05,1.02E+04,2.58E+04,,,,,,
1999,5,2.86E+04,1.95E+04,4.06E+04,2.28E+03,5.40E+03,,,,,,
1999,6,4.32E+03,2.86E+03,6.28E+03,5.16E+02,8.77E+02,,,,,,
1999,7,1.01E+04,5.99E+03,1.61E+04,7.88E+02,2.60E+03,,,,,,
1999,8,5.89E+03,3.33E+03,9.67E+03,4.90E+02,1.63E+03,,,,,,
1999,9,4.47E+05,2.22E+05,8.08E+05,4.30E+04,1.51E+05,,,,,,
1999,10,1.68E+05,1.11E+05,2.46E+05,1.22E+04,3.46E+04,,,,,,
1999,11,7.34E+04,5.11E+04,1.02E+05,4.98E+03,1.31E+04,,,,,,
1999,12,1.74E+05,1.17E+05,2.50E+05,1.13E+04,3.41E+04,,,,,,
2000,1,1.75E+05,1.23E+05,2.42E+05,1.18E+04,3.06E+04,,,,,,
2000,2,3.09E+05,2.18E+05,4.26E+05,1.99E+04,5.32E+04,,,,,,
2000,3,3.56E+05,2.42E+05,5.05E+05,2.22E+04,6.73E+04,,,,,,
2000,4,6.18E+05,4.21E+05,8.76E+05,3.87E+04,1.16E+05,,,,,,
2000,5,2.62E+05,1.57E+05,4.11E+05,1.68E+04,6.54E+04,,,,,,
2000,6,1.36E+05,9.29E+04,1.94E+05,9.56E+03,2.58E+04,,,,,,
2000,7,1.71E+05,1.13E+05,2.49E+05,1.24E+04,3.50E+04,,,,,,
2000,8,1.26E+05,7.65E+04,1.95E+05,9.31E+03,3.04E+04,,,,,,
2000,9,7.82E+04,5.05E+04,1.16E+05,5.52E+03,1.67E+04,,,,,,
2000,10,2.26E+04,1.41E+04,3.42E+04,1.58E+03,5.16E+03,,,,,,
2000,11,4.01E+04,2.52E+04,6.05E+04,2.78E+03,9.04E+03,,,,,,
2000,12,1.84E+05,1.07E+05,2.98E+05,1.18E+04,4.91E+04,,,,,,
2001,1,2.24E+05,1.39E+05,3.45E+05,1.44E+04,5.29E+04,,,,,,
2001,2,1.64E+05,1.14E+05,2.28E+05,1.20E+04,2.92E+04,,,,,,
2001,3,3.50E+05,2.27E+05,5.18E+05,2.28E+04,7.46E+04,,,,,,
2001,4,5.88E+05,3.75E+05,8.79E+05,3.80E+04,1.29E+05,,,,,,
2001,5,2.35E+05,1.36E+05,3.79E+05,1.62E+04,6.25E+04,,,,,,
2001,6,2.32E+05,1.47E+05,3.48E+05,1.66E+04,5.15E+04,,,,,,
2001,7,2.07E+04,1.27E+04,3.18E+04,1.52E+03,4.89E+03,,,,,,
2001,8,5.30E+04,3.50E+04,7.70E+04,3.79E+03,1.08E+04,,,,,,
2001,9,1.04E+04,6.85E+03,1.52E+04,8.82E+02,2.13E+03,,,,,,
2001,10,4.22E+03,2.82E+03,6.08E+03,5.34E+02,8.34E+02,,,,,,
2001,11,9.24E+03,6.25E+03,1.32E+04,9.26E+02,1.77E+03,,,,,,
2001,12,3.06E+04,2.05E+04,4.40E+04,2.57E+03,6.01E+03,,,,,,
2002,1,5.97E+04,4.08E+04,8.43E+04,5.07E+03,1.11E+04,,,,,,
2002,2,3.15E+04,2.12E+04,4.53E+04,3.03E+03,6.18E+03,,,,,,
2002,3,6.77E+04,4.63E+04,9.57E+04,6.07E+03,1.27E+04,,,,,,
