YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,1.39E+04,1.10E+04,1.72E+04,1.04E+03,1.58E+03,,,,,,
1985,2,2.50E+04,1.97E+04,3.13E+04,1.85E+03,2.95E+03,,,,,,
1985,3,1.13E+04,9.11E+03,1.38E+04,8.26E+02,1.21E+03,,,,,,
1985,4,7.66E+03,6.19E+03,9.37E+03,5.55E+02,8.12E+02,,,,,,
1985,5,7.53E+03,6.04E+03,9.29E+03,5.28E+02,8.29E+02,,,,,,
1985,6,7.07E+03,5.60E+03,8.80E+03,4.86E+02,8.16E+02,,,,,,
1985,7,4.99E+03,3.88E+03,6.31E+03,3.38E+02,6.23E+02,,,,,,
1985,8,2.80E+04,2.04E+04,3.76E+04,2.14E+03,4.41E+03,,,,,,
1985,9,4.70E+03,3.70E+03,5.89E+03,3.11E+02,5.61E+02,,,,,,
1985,10,1.17E+04,8.94E+03,1.51E+04,7.78E+02,1.56E+03,,,,,,
1985,11,4.27E+04,3.33E+04,5.40E+04,3.00E+03,5.29E+03,,,,,,
1985,12,2.11E+04,1.66E+04,2.64E+04,1.36E+03,2.50E+03,,,,,,
1986,1,1.27E+04,1.03E+04,1.54E+04,8.02E+02,1.30E+03,,,,,,
1986,2,1.97E+04,1.62E+04,2.38E+04,1.22E+03,1.96E+03,,,,,,
1986,3,1.79E+04,1.47E+04,2.16E+04,1.08E+03,1.75E+03,,,,,,
1986,4,1.20E+04,9.78E+03,1.46E+04,7.19E+02,1.24E+03,,,,,,
1986,5,1.05E+04,8.47E+03,1.30E+04,6.16E+02,1.15E+03,,,,,,
1986,6,3.43E+03,2.79E+03,4.17E+03,2.08E+02,3.52E+02,,,,,,
1986,7,5.33E+03,4.32E+03,6.51E+03,3.05E+02,5.60E+02,,,,,,
1986,8,8.06E+03,6.20E+03,1.03E+04,4.64E+02,1.05E+03,,,,,,
1986,9,2.98E+03,2.46E+03,3.58E+03,1.71E+02,2.86E+02,,,,,,
1986,10,2.88E+03,2.37E+03,3.48E+03,1.66E+02,2.82E+02,,,,,,
1986,11,4.87E+03,4.03E+03,5.84E+03,2.73E+02,4.62E+02,,,,,,
1986,12,1.82E+04,1.45E+04,2.26E+04,9.69E+02,2.06E+03,,,,,,
