YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,4.96E+04,4.20E+04,5.83E+04,2.69E+03,4.18E+03,,,,,,
1985,2,9.75E+04,8.18E+04,1.15E+05,5.21E+03,8.57E+03,,,,,,
1985,3,3.40E+04,2.91E+04,3.94E+04,1.79E+03,2.62E+03,,,,,,
1985,4,2.16E+04,1.85E+04,2.49E+04,1.12E+03,1.64E+03,,,,,,
1985,5,2.23E+04,1.90E+04,2.61E+04,1.12E+03,1.81E+03,,,,,,
1985,6,2.23E+04,1.88E+04,2.62E+04,1.10E+03,1.88E+03,,,,,,
1985,7,1.65E+04,1.36E+04,1.97E+04,8.02E+02,1.56E+03,,,,,,
1985,8,1.59E+05,1.25E+05,2.00E+05,9.03E+03,1.92E+04,,,,,,
1985,9,1.65E+04,1.38E+04,1.96E+04,7.89E+02,1.50E+03,,,,,,
1985,10,5.01E+04,4.08E+04,6.10E+04,2.42E+03,5.15E+03,,,,,,
1985,11,2.29E+05,1.89E+05,2.76E+05,1.20E+04,2.21E+04,,,,,,
1985,12,8.84E+04,7.34E+04,1.06E+05,4.13E+03,8.21E+03,,,,,,
1986,1,4.06E+04,3.50E+04,4.69E+04,1.85E+03,3.04E+03,,,,,,
1986,2,6.47E+04,5.62E+04,7.42E+04,2.87E+03,4.60E+03,,,,,,
1986,3,5.47E+04,4.75E+04,6.27E+04,2.39E+03,3.87E+03,,,,,,
1986,4,3.48E+04,2.99E+04,4.03E+04,1.49E+03,2.65E+03,,,,,,
1986,5,3.16E+04,2.69E+04,3.70E+04,1.33E+03,2.59E+03,,,,,,
1986,6,9.10E+03,7.86E+03,1.05E+04,3.97E+02,6.69E+02,,,,,,
1986,7,1.63E+04,1.40E+04,1.89E+04,6.72E+02,1.26E+03,,,,,,
1986,8,2.98E+04,2.43E+04,3.61E+04,1.25E+03,3.02E+03,,,,,,
1986,9,9.01E+03,7.86E+03,1.03E+04,3.73E+02,6.18E+02,,,,,,
1986,10,8.66E+03,7.53E+03,9.92E+03,3.59E+02,6.09E+02,,,,,,
1986,11,1.47E+04,1.29E+04,1.68E+04,5.95E+02,9.97E+02,,,,,,
1986,12,6.81E+04,5.71E+04,8.05E+04,2.62E+03,5.98E+03,,,,,,
1987,1,5.26E+04,4.58E+04,6.00E+04,2.00E+03,3.63E+03,,,,,,
1987,2,7.87E+04,6.79E+04,9.08E+04,2.88E+03,5.83E+03,,,,,,
1987,3,6.90E+04,5.85E+04,8.08E+04,2.49E+03,5.70E+03,,,,,,
1987,4,2.07E+05,1.75E+05,2.43E+05,8.21E+03,1.71E+04,,,,,,
1987,5,9.71E+04,8.35E+04,1.12E+05,3.45E+03,7.35E+03,,,,,,
1987,6,5.45E+04,4.53E+04,6.51E+04,1.94E+03,5.05E+03,,,,,,
1987,7,1.46E+04,1.23E+04,1.71E+04,5.11E+02,1.22E+03,,,,,,
1987,8,5.30E+03,4.65E+03,6.01E+03,2.14E+02,3.48E+02,,,,,,
1987,9,4.09E+04,3.43E+04,4.84E+04,1.50E+03,3.61E+03,,,,,,
1987,10,1.24E+04,1.07E+04,1.43E+04,4.25E+02,9.08E+02,,,,,,
1987,11,3.80E+04,3.25E+04,4.41E+04,1.28E+03,2.94E+03,,,,,,
1987,12,1.01E+05,8.67E+04,1.17E+05,3.33E+03,7.81E+03,,,,,,
1988,1,8.67E+04,7.34E+04,1.02E+05,2.72E+03,7.23E+03,,,,,,
1988,2,6.46E+04,5.63E+04,7.38E+04,1.98E+03,4.48E+03,,,,,,
1988,3,3.98E+04,3.43E+04,4.59E+04,1.21E+03,2.96E+03,,,,,,
1988,4,3.82E+04,3.37E+04,4.32E+04,1.17E+03,2.43E+03,,,,,,
1988,5,8.50E+04,7.30E+04,9.84E+04,2.57E+03,6.48E+03,,,,,,
1988,6,1.70E+04,1.49E+04,1.93E+04,5.23E+02,1.11E+03,,,,,,
1988,7,1.23E+04,1.07E+04,1.41E+04,3.77E+02,8.55E+02,,,,,,
1988,8,8.51E+03,7.37E+03,9.79E+03,2.65E+02,6.17E+02,,,,,,
1988,9,5.50E+03,4.85E+03,6.22E+03,1.91E+02,3.51E+02,,,,,,
1988,10,6.01E+03,5.29E+03,6.79E+03,2.05E+02,3.83E+02,,,,,,
1988,11,1.88E+04,1.58E+04,2.22E+04,5.42E+02,1.64E+03,,,,,,
1988,12,1.50E+04,1.32E+04,1.71E+04,4.53E+02,1.00E+03,,,,,,
1989,1,1.61E+04,1.43E+04,1.82E+04,4.95E+02,1.00E+03,,,,,,
1989,2,3.95E+04,3.35E+04,4.63E+04,1.03E+03,3.29E+03,,,,,,
1989,3,1.16E+05,1.01E+05,1.32E+05,2.93E+03,8.10E+03,,,,,,
1989,4,6.21E+04,5.42E+04,7.07E+04,1.57E+03,4.23E+03,,,,,,
1989,5,1.57E+05,1.35E+05,1.82E+05,4.45E+03,1.20E+04,,,,,,
1989,6,6.81E+04,5.86E+04,7.88E+04,1.91E+03,5.14E+03,,,,,,
1989,7,1.01E+05,8.45E+04,1.21E+05,3.19E+03,9.26E+03,,,,,,
1989,8,3.36E+04,2.90E+04,3.87E+04,9.88E+02,2.49E+03,,,,,,
1989,9,4.32E+04,3.71E+04,5.00E+04,1.29E+03,3.28E+03,,,,,,
1989,10,4.91E+04,4.20E+04,5.69E+04,1.39E+03,3.80E+03,,,,,,
1989,11,6.12E+04,5.36E+04,6.95E+04,1.66E+03,4.05E+03,,,,,,
1989,12,3.76E+04,3.34E+04,4.20E+04,9.84E+02,2.20E+03,,,,,,
1990,1,1.25E+05,1.09E+05,1.42E+05,2.89E+03,8.36E+03,,,,,,
1990,2,7.85E+04,6.89E+04,8.91E+04,1.75E+03,5.17E+03,,,,,,
1990,3,6.12E+04,5.35E+04,6.96E+04,1.37E+03,4.10E+03,,,,,,
1990,4,1.00E+05,8.78E+04,1.13E+05,2.23E+03,6.52E+03,,,,,,
1990,5,1.43E+05,1.18E+05,1.72E+05,4.12E+03,1.39E+04,,,,,,
1990,6,8.99E+04,7.15E+04,1.12E+05,2.57E+03,1.02E+04,,,,,,
1990,7,1.28E+04,1.13E+04,1.43E+04,3.33E+02,7.72E+02,,,,,,
1990,8,1.43E+04,1.25E+04,1.63E+04,3.72E+02,9.75E+02,,,,,,
1990,9,6.65E+03,5.89E+03,7.48E+03,1.88E+02,4.05E+02,,,,,,
1990,10,2.58E+04,2.08E+04,3.17E+04,6.48E+02,2.78E+03,,,,,,
1990,11,2.67E+04,2.24E+04,3.17E+04,6.48E+02,2.38E+03,,,,,,
