YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,4.35E+03,3.17E+03,5.83E+03,4.21E+02,6.81E+02,,,,,,
1985,2,8.66E+03,6.20E+03,1.18E+04,8.27E+02,1.43E+03,,,,,,
1985,3,2.63E+03,1.98E+03,3.43E+03,2.47E+02,3.71E+02,,,,,,
1985,4,1.62E+03,1.23E+03,2.11E+03,1.51E+02,2.26E+02,,,,,,
1985,5,1.69E+03,1.25E+03,2.23E+03,1.52E+02,2.51E+02,,,,,,
1985,6,1.73E+03,1.26E+03,2.30E+03,1.53E+02,2.66E+02,,,,,,
1985,7,1.37E+03,9.64E+02,1.88E+03,1.19E+02,2.35E+02,,,,,,
1985,8,1.70E+04,1.06E+04,2.59E+04,1.74E+03,3.93E+03,,,,,,
1985,9,1.52E+03,1.09E+03,2.08E+03,1.30E+02,2.54E+02,,,,,,
1985,10,4.94E+03,3.33E+03,7.07E+03,4.28E+02,9.59E+02,,,,,,
1985,11,2.61E+04,1.78E+04,3.68E+04,2.48E+03,4.87E+03,,,,,,
1985,12,8.86E+03,6.15E+03,1.24E+04,7.44E+02,1.59E+03,,,,,,
1986,1,3.55E+03,2.69E+03,4.60E+03,2.88E+02,4.88E+02,,,,,,
1986,2,5.49E+03,4.22E+03,7.02E+03,4.35E+02,7.16E+02,,,,,,
1986,3,4.40E+03,3.38E+03,5.63E+03,3.43E+02,5.74E+02,,,,,,
1986,4,2.70E+03,2.03E+03,3.53E+03,2.07E+02,3.84E+02,,,,,,
1986,5,2.47E+03,1.82E+03,3.28E+03,1.85E+02,3.75E+02,,,,,,
1986,6,7.47E+02,5.71E+02,9.61E+02,5.85E+01,9.96E+01,,,,,,
1986,7,1.38E+03,1.04E+03,1.79E+03,1.01E+02,1.94E+02,,,,,,
1986,8,2.72E+03,1.85E+03,3.86E+03,2.04E+02,5.14E+02,,,,,,
1986,9,8.67E+02,6.74E+02,1.10E+03,6.42E+01,1.08E+02,,,,,,
1986,10,8.65E+02,6.68E+02,1.10E+03,6.42E+01,1.10E+02,,,,,,
1986,11,1.42E+03,1.10E+03,1.79E+03,1.02E+02,1.75E+02,,,,,,
1986,12,6.75E+03,4.79E+03,9.25E+03,4.65E+02,1.14E+03,,,,,,
1987,1,4.76E+03,3.67E+03,6.06E+03,3.23E+02,6.11E+02,,,,,,
1987,2,7.03E+03,5.31E+03,9.14E+03,4.59E+02,9.80E+02,,,,,,
1987,3,6.03E+03,4.36E+03,8.14E+03,3.89E+02,9.67E+02,,,,,,
1987,4,1.94E+04,1.41E+04,2.61E+04,1.40E+03,3.08E+03,,,,,,
1987,5,8.16E+03,6.11E+03,1.07E+04,5.19E+02,1.17E+03,,,,,,
1987,6,4.63E+03,3.23E+03,6.43E+03,2.95E+02,8.19E+02,,,,,,
1987,7,1.25E+03,9.23E+02,1.66E+03,7.86E+01,1.90E+02,,,,,,
1987,8,5.29E+02,4.16E+02,6.65E+02,3.82E+01,6.36E+01,,,,,,
1987,9,3.96E+03,2.83E+03,5.39E+03,2.59E+02,6.54E+02,,,,,,
1987,10,1.24E+03,9.44E+02,1.59E+03,7.61E+01,1.65E+02,,,,,,
1987,11,3.76E+03,2.80E+03,4.94E+03,2.27E+02,5.46E+02,,,,,,
1987,12,1.05E+04,7.77E+03,1.39E+04,6.21E+02,1.56E+03,,,,,,
1988,1,8.61E+03,6.20E+03,1.17E+04,4.85E+02,1.40E+03,,,,,,
1988,2,5.84E+03,4.48E+03,7.48E+03,3.20E+02,7.65E+02,,,,,,
1988,3,3.36E+03,2.52E+03,4.37E+03,1.83E+02,4.72E+02,,,,,,
1988,4,3.09E+03,2.44E+03,3.86E+03,1.70E+02,3.64E+02,,,,,,
1988,5,7.30E+03,5.43E+03,9.59E+03,3.96E+02,1.06E+03,,,,,,
1988,6,1.41E+03,1.11E+03,1.77E+03,7.79E+01,1.69E+02,,,,,,
1988,7,1.10E+03,8.55E+02,1.40E+03,6.06E+01,1.40E+02,,,,,,
1988,8,8.26E+02,6.35E+02,1.06E+03,4.61E+01,1.08E+02,,,,,,
1988,9,5.83E+02,4.61E+02,7.27E+02,3.62E+01,6.81E+01,,,,,,
1988,10,6.50E+02,5.14E+02,8.11E+02,3.97E+01,7.58E+01,,,,,,
1988,11,1.92E+03,1.38E+03,2.59E+03,9.90E+01,3.11E+02,,,,,,
1988,12,1.48E+03,1.16E+03,1.87E+03,7.99E+01,1.82E+02,,,,,,
1989,1,1.51E+03,1.20E+03,1.88E+03,8.27E+01,1.73E+02,,,,,,
1989,2,3.62E+03,2.63E+03,4.87E+03,1.68E+02,5.73E+02,,,,,,
1989,3,1.07E+04,8.20E+03,1.38E+04,4.91E+02,1.44E+03,,,,,,
1989,4,5.30E+03,4.09E+03,6.77E+03,2.42E+02,6.85E+02,,,,,,
1989,5,1.47E+04,1.10E+04,1.94E+04,7.55E+02,2.16E+03,,,,,,
1989,6,6.00E+03,4.49E+03,7.86E+03,3.00E+02,8.61E+02,,,,,,
1989,7,9.97E+03,6.95E+03,1.39E+04,5.64E+02,1.77E+03,,,,,,
1989,8,3.15E+03,2.39E+03,4.07E+03,1.65E+02,4.30E+02,,,,,,
1989,9,4.35E+03,3.27E+03,5.69E+03,2.33E+02,6.19E+02,,,,,,
1989,10,5.11E+03,3.80E+03,6.74E+03,2.61E+02,7.52E+02,,,,,,
1989,11,6.36E+03,4.95E+03,8.05E+03,3.10E+02,7.94E+02,,,,,,
1989,12,3.73E+03,3.00E+03,4.58E+03,1.75E+02,4.04E+02,,,,,,
1990,1,1.31E+04,1.01E+04,1.67E+04,5.48E+02,1.67E+03,,,,,,
1990,2,7.54E+03,5.86E+03,9.55E+03,3.02E+02,9.42E+02,,,,,,
1990,3,5.49E+03,4.25E+03,6.98E+03,2.21E+02,7.00E+02,,,,,,
1990,4,9.04E+03,7.05E+03,1.14E+04,3.63E+02,1.12E+03,,,,,,
1990,5,1.44E+04,9.66E+03,2.07E+04,7.74E+02,2.83E+03,,,,,,
1990,6,8.99E+03,5.65E+03,1.36E+04,4.73E+02,2.04E+03,,,,,,
1990,7,1.18E+03,9.46E+02,1.46E+03,5.53E+01,1.32E+02,,,,,,
1990,8,1.40E+03,1.09E+03,1.78E+03,6.53E+01,1.75E+02,,,,,,
1990,9,7.23E+02,5.77E+02,8.94E+02,3.65E+01,8.09E+01,,,,,,
1990,10,2.83E+03,1.86E+03,4.11E+03,1.28E+02,5.77E+02,,,,,,
1990,11,2.87E+03,2.04E+03,3.93E+03,1.25E+02,4.84E+02,,,,,,
1990,12,4.55E+03,3.43E+03,5.93E+03,1.85E+02,6.40E+02,,,,,,
1991,1,1.18E+04,8.77E+03,1.54E+04,4.54E+02,1.71E+03,,,,,,
1991,2,2.23E+03,1.79E+03,2.75E+03,9.87E+01,2.46E+02,,,,,,
1991,3,4.96E+03,3.75E+03,6.45E+03,1.85E+02,6.91E+02,,,,,,
1991,4,4.05E+03,2.99E+03,5.36E+03,1.55E+02,6.07E+02,,,,,,
1991,5,1.13E+03,9.05E+02,1.40E+03,5.29E+01,1.27E+02,,,,,,
1991,6,6.68E+02,5.20E+02,8.46E+02,3.37E+01,8.34E+01,,,,,,
1991,7,4.20E+03,2.99E+03,5.74E+03,2.02E+02,7.03E+02,,,,,,
1991,8,1.14E+03,8.82E+02,1.45E+03,5.14E+01,1.45E+02,,,,,,
1991,9,5.28E+02,4.18E+02,6.59E+02,3.01E+01,6.15E+01,,,,,,
1991,10,5.34E+02,4.21E+02,6.67E+02,3.13E+01,6.28E+01,,,,,,
1991,11,6.11E+02,4.86E+02,7.58E+02,3.42E+01,6.96E+01,,,,,,
1991,12,2.42E+03,1.81E+03,3.16E+03,9.95E+01,3.46E+02,,,,,,
1992,1,2.35E+03,1.86E+03,2.94E+03,1.01E+02,2.75E+02,,,,,,
1992,2,2.94E+03,2.01E+03,4.15E+03,1.07E+02,5.49E+02,,,,,,
1992,3,5.92E+03,4.69E+03,7.37E+03,2.18E+02,6.86E+02,,,,,,
1992,4,3.09E+03,2.36E+03,3.98E+03,1.23E+02,4.15E+02,,,,,,
1992,5,2.76E+03,2.17E+03,3.47E+03,1.18E+02,3.31E+02,,,,,,
1992,6,3.15E+03,2.39E+03,4.07E+03,1.40E+02,4.29E+02,,,,,,
1992,7,1.72E+03,1.32E+03,2.22E+03,7.87E+01,2.31E+02,,,,,,
1992,8,1.18E+03,9.31E+02,1.47E+03,5.35E+01,1.38E+02,,,,,,
1992,9,1.77E+03,1.18E+03,2.55E+03,7.97E+01,3.51E+02,,,,,,
1992,10,1.05E+03,8.28E+02,1.30E+03,4.75E+01,1.21E+02,,,,,,
1992,11,2.28E+03,1.79E+03,2.85E+03,1.00E+02,2.70E+02,,,,,,
1992,12,1.17E+04,8.38E+03,1.60E+04,4.74E+02,1.95E+03,,,,,,
1993,1,1.23E+04,9.44E+03,1.58E+04,4.48E+02,1.64E+03,,,,,,
1993,2,5.66E+03,4.40E+03,7.17E+03,2.07E+02,7.09E+02,,,,,,
1993,3,3.06E+04,2.35E+04,3.92E+04,1.41E+03,4.00E+03,,,,,,
1993,4,1.96E+04,1.51E+04,2.50E+04,8.16E+02,2.54E+03,,,,,,
1993,5,8.41E+03,6.36E+03,1.09E+04,3.50E+02,1.17E+03,,,,,,
1993,6,2.57E+03,2.00E+03,3.25E+03,1.16E+02,3.17E+02,,,,,,
1993,7,8.11E+02,6.49E+02,1.00E+03,3.98E+01,8.94E+01,,,,,,
1993,8,7.33E+02,5.68E+02,9.32E+02,3.63E+01,9.29E+01,,,,,,
1993,9,5.06E+02,4.01E+02,6.30E+02,3.05E+01,5.85E+01,,,,,,
1993,10,6.77E+02,5.42E+02,8.35E+02,3.62E+01,7.48E+01,,,,,,
1993,11,6.28E+03,3.23E+03,1.11E+04,3.18E+02,2.02E+03,,,,,,
1993,12,2.08E+04,1.44E+04,2.92E+04,1.03E+03,3.78E+03,,,,,,
1994,1,9.94E+03,7.81E+03,1.25E+04,3.64E+02,1.19E+03,,,,,,
1994,2,2.22E+04,1.66E+04,2.90E+04,9.46E+02,3.16E+03,,,,,,
1994,3,3.85E+04,2.78E+04,5.20E+04,2.28E+03,6.19E+03,,,,,,
1994,4,1.72E+04,1.16E+04,2.46E+04,8.41E+02,3.33E+03,,,,,,
