YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1989,1,2.15E+05,1.22E+05,3.52E+05,2.93E+04,5.92E+04,,,,,,
1989,2,1.44E+06,5.92E+05,2.96E+06,1.72E+05,6.18E+05,,,,,,
1989,3,5.97E+06,3.12E+06,1.04E+07,7.02E+05,1.87E+06,,,,,,
1989,4,2.46E+06,1.27E+06,4.32E+06,2.85E+05,7.87E+05,,,,,,
1989,5,9.89E+06,4.99E+06,1.76E+07,1.20E+06,3.27E+06,,,,,,
1989,6,3.21E+06,1.51E+06,6.04E+06,3.74E+05,1.17E+06,,,,,,
1989,7,6.52E+06,2.65E+06,1.35E+07,8.16E+05,2.82E+06,,,,,,
1989,8,1.07E+06,4.84E+05,2.07E+06,1.27E+05,4.13E+05,,,,,,
1989,9,1.71E+06,8.11E+05,3.19E+06,2.01E+05,6.15E+05,,,,,,
1989,10,2.03E+06,8.91E+05,3.99E+06,2.28E+05,8.05E+05,,,,,,
1989,11,2.45E+06,1.30E+06,4.21E+06,2.65E+05,7.50E+05,,,,,,
1989,12,9.70E+05,5.99E+05,1.49E+06,1.05E+05,2.29E+05,,,,,,
1990,1,6.73E+06,3.71E+06,1.13E+07,6.63E+05,1.94E+06,,,,,,
1990,2,3.46E+06,1.91E+06,5.80E+06,3.33E+05,1.00E+06,,,,,,
1990,3,2.36E+06,1.21E+06,4.15E+06,2.24E+05,7.60E+05,,,,,,
1990,4,4.93E+06,2.76E+06,8.16E+06,4.62E+05,1.39E+06,,,,,,
1990,5,9.42E+06,3.69E+06,2.00E+07,1.10E+06,4.26E+06,,,,,,
1990,6,5.72E+06,1.83E+06,1.37E+07,6.62E+05,3.14E+06,,,,,,
1990,7,1.38E+05,7.94E+04,2.24E+05,1.41E+04,3.72E+04,,,,,,
1990,8,2.21E+05,1.07E+05,4.07E+05,2.20E+04,7.75E+04,,,,,,
1990,9,3.47E+04,1.99E+04,5.64E+04,3.99E+03,9.39E+03,,,,,,
1990,10,1.07E+06,3.08E+05,2.73E+06,1.05E+05,6.46E+05,,,,,,
1990,11,8.94E+05,2.97E+05,2.10E+06,8.27E+04,4.74E+05,,,,,,
1990,12,1.58E+06,7.13E+05,3.05E+06,1.34E+05,6.05E+05,,,,,,
1991,1,5.83E+06,2.89E+06,1.05E+07,4.88E+05,1.98E+06,,,,,,
1991,2,4.73E+05,2.95E+05,7.21E+05,4.42E+04,1.09E+05,,,,,,
1991,3,2.06E+06,9.36E+05,3.96E+06,1.62E+05,7.84E+05,,,,,,
1991,4,1.60E+06,6.43E+05,3.34E+06,1.26E+05,7.03E+05,,,,,,
1991,5,1.48E+05,8.53E+04,2.40E+05,1.40E+04,3.99E+04,,,,,,
1991,6,5.51E+04,2.40E+04,1.09E+05,5.24E+03,2.21E+04,,,,,,
1991,7,2.08E+06,8.41E+05,4.33E+06,2.03E+05,9.11E+05,,,,,,
1991,8,1.51E+05,6.45E+04,3.02E+05,1.36E+04,6.19E+04,,,,,,
1991,9,1.58E+04,8.68E+03,2.65E+04,1.93E+03,4.59E+03,,,,,,
1991,10,1.60E+04,7.78E+03,2.94E+04,1.89E+03,5.59E+03,,,,,,
1991,11,2.14E+04,1.27E+04,3.39E+04,2.56E+03,5.47E+03,,,,,,
1991,12,6.06E+05,2.56E+05,1.22E+06,4.85E+04,2.52E+05,,,,,,
1992,1,4.82E+05,2.63E+05,8.14E+05,3.96E+04,1.42E+05,,,,,,
1992,2,1.11E+06,3.60E+05,2.63E+06,7.67E+04,5.99E+05,,,,,,
1992,3,2.46E+06,1.43E+06,3.96E+06,1.77E+05,6.51E+05,,,,,,
1992,4,1.07E+06,4.90E+05,2.04E+06,8.02E+04,4.01E+05,,,,,,
1992,5,8.25E+05,4.38E+05,1.42E+06,6.65E+04,2.53E+05,,,,,,
1992,6,1.12E+06,5.10E+05,2.16E+06,9.45E+04,4.27E+05,,,,,,
1992,7,3.79E+05,1.72E+05,7.30E+05,3.40E+04,1.45E+05,,,,,,
1992,8,1.28E+05,6.66E+04,2.25E+05,1.12E+04,4.08E+04,,,,,,
1992,9,5.05E+05,1.08E+05,1.50E+06,4.86E+04,3.82E+05,,,,,,
1992,10,8.30E+04,3.91E+04,1.56E+05,7.15E+03,3.02E+04,,,,,,
1992,11,4.14E+05,2.24E+05,7.03E+05,3.42E+04,1.23E+05,,,,,,
1992,12,5.74E+06,2.54E+06,1.12E+07,4.57E+05,2.26E+06,,,,,,
1993,1,5.88E+06,3.14E+06,1.01E+07,4.12E+05,1.79E+06,,,,,,
1993,2,2.24E+06,1.22E+06,3.79E+06,1.54E+05,6.62E+05,,,,,,
1993,3,1.82E+07,1.05E+07,2.94E+07,1.57E+06,4.87E+06,,,,,,
1993,4,1.21E+07,6.78E+06,1.99E+07,9.62E+05,3.38E+06,,,,,,
1993,5,4.50E+06,2.22E+06,8.18E+06,3.60E+05,1.54E+06,,,,,,
1993,6,7.31E+05,3.86E+05,1.26E+06,6.16E+04,2.26E+05,,,,,,
1993,7,5.04E+04,3.01E+04,7.95E+04,4.88E+03,1.27E+04,,,,,,
1993,8,5.21E+04,1.77E+04,1.21E+05,4.55E+03,2.71E+04,,,,,,
1993,9,1.13E+04,6.67E+03,1.80E+04,1.50E+03,2.91E+03,,,,,,
1993,10,2.21E+04,1.34E+04,3.43E+04,2.50E+03,5.36E+03,,,,,,
1993,11,3.13E+06,6.63E+05,9.39E+06,3.28E+05,2.39E+06,,,,,,
1993,12,1.08E+07,4.68E+06,2.15E+07,1.06E+06,4.36E+06,,,,,,
1994,1,4.29E+06,2.44E+06,7.02E+06,3.00E+05,1.18E+06,,,,,,
1994,2,1.22E+07,6.51E+06,2.10E+07,1.00E+06,3.72E+06,,,,,,
1994,3,2.17E+07,1.10E+07,3.84E+07,2.40E+06,7.08E+06,,,,,,
1994,4,9.54E+06,3.96E+06,1.95E+07,9.16E+05,4.04E+06,,,,,,
1994,5,2.36E+06,1.24E+06,4.10E+06,1.86E+05,7.38E+05,,,,,,
1994,6,2.90E+05,1.82E+05,4.39E+05,2.47E+04,6.58E+04,,,,,,
1994,7,2.16E+06,7.28E+05,5.03E+06,2.22E+05,1.13E+06,,,,,,
1994,8,5.21E+06,1.98E+06,1.12E+07,5.78E+05,2.42E+06,,,,,,
1994,9,1.22E+06,4.36E+05,2.73E+06,1.24E+05,6.02E+05,,,,,,
1994,10,2.22E+05,1.25E+05,3.64E+05,1.92E+04,6.14E+04,,,,,,
1994,11,3.33E+05,1.65E+05,6.02E+05,2.79E+04,1.13E+05,,,,,,
1994,12,4.12E+05,2.53E+05,6.36E+05,3.42E+04,9.83E+04,,,,,,
1995,1,3.25E+06,1.53E+06,6.09E+06,2.33E+05,1.18E+06,,,,,,
1995,2,8.51E+05,4.97E+05,1.36E+06,6.63E+04,2.23E+05,,,,,,
1995,3,4.50E+06,1.75E+06,9.61E+06,3.59E+05,2.06E+06,,,,,,
1995,4,4.82E+05,2.80E+05,7.75E+05,3.92E+04,1.27E+05,,,,,,
1995,5,1.27E+06,7.03E+05,2.13E+06,1.05E+05,3.67E+05,,,,,,
1995,6,4.64E+06,1.32E+06,1.19E+07,5.09E+05,2.82E+06,,,,,,
1995,7,5.75E+06,1.94E+06,1.34E+07,6.34E+05,3.02E+06,,,,,,
1995,8,8.60E+04,4.89E+04,1.41E+05,7.86E+03,2.36E+04,,,,,,
1995,9,1.39E+04,8.20E+03,2.22E+04,1.75E+03,3.60E+03,,,,,,
1995,10,3.10E+06,1.25E+06,6.45E+06,3.09E+05,1.36E+06,,,,,,
1995,11,2.03E+06,9.88E+05,3.71E+06,1.83E+05,7.03E+05,,,,,,
1995,12,2.32E+06,1.05E+06,4.48E+06,1.84E+05,8.90E+05,,,,,,
1996,1,1.22E+07,5.99E+06,2.22E+07,1.12E+06,4.20E+06,,,,,,
1996,2,5.95E+06,3.41E+06,9.66E+06,4.31E+05,1.61E+06,,,,,,
1996,3,3.49E+06,1.78E+06,6.20E+06,2.57E+05,1.14E+06,,,,,,
1996,4,4.46E+06,2.32E+06,7.79E+06,3.41E+05,1.41E+06,,,,,,
1996,5,2.36E+06,1.42E+06,3.69E+06,2.04E+05,5.83E+05,,,,,,
1996,6,1.53E+06,7.84E+05,2.71E+06,1.44E+05,4.96E+05,,,,,,
1996,7,1.48E+06,6.90E+05,2.80E+06,1.50E+05,5.46E+05,,,,,,
1996,8,1.23E+06,6.54E+05,2.11E+06,1.26E+05,3.74E+05,,,,,,
1996,9,1.75E+07,7.12E+06,3.63E+07,2.37E+06,7.60E+06,,,,,,
1996,10,9.03E+06,4.22E+06,1.70E+07,9.71E+05,3.32E+06,,,,,,
1996,11,5.07E+06,2.37E+06,9.54E+06,4.69E+05,1.86E+06,,,,,,
1996,12,1.45E+07,8.16E+06,2.40E+07,1.32E+06,4.07E+06,,,,,,
1997,1,3.39E+06,2.08E+06,5.24E+06,2.64E+05,8.12E+05,,,,,,
1997,2,4.69E+06,2.64E+06,7.73E+06,3.46E+05,1.31E+06,,,,,,
1997,3,7.27E+06,4.13E+06,1.19E+07,5.46E+05,1.99E+06,,,,,,
1997,4,2.85E+06,1.50E+06,4.94E+06,2.26E+05,8.87E+05,,,,,,
1997,5,1.19E+06,6.80E+05,1.95E+06,1.01E+05,3.27E+05,,,,,,
1997,6,6.82E+05,3.06E+05,1.32E+06,6.06E+04,2.64E+05,,,,,,
1997,7,1.43E+06,4.10E+05,3.64E+06,1.51E+05,8.60E+05,,,,,,
1997,8,9.58E+04,5.45E+04,1.57E+05,8.64E+03,2.63E+04,,,,,,
1997,9,8.81E+04,3.22E+04,1.95E+05,7.81E+03,4.28E+04,,,,,,
1997,10,1.63E+05,7.75E+04,3.03E+05,1.41E+04,5.84E+04,,,,,,
1997,11,5.86E+06,2.41E+06,1.20E+07,5.70E+05,2.51E+06,,,,,,
1997,12,1.01E+06,5.85E+05,1.63E+06,8.39E+04,2.69E+05,,,,,,
1998,1,1.37E+07,6.39E+06,2.57E+07,1.39E+06,5.01E+06,,,,,,
1998,2,2.89E+07,1.66E+07,4.70E+07,3.08E+06,7.83E+06,,,,,,
1998,3,2.09E+07,1.08E+07,3.65E+07,2.23E+06,6.61E+06,,,,,,
1998,4,7.67E+06,4.19E+06,1.29E+07,6.19E+05,2.25E+06,,,,,,
1998,5,6.32E+06,2.93E+06,1.20E+07,5.57E+05,2.34E+06,,,,,,
1998,6,1.10E+06,6.48E+05,1.75E+06,1.00E+05,2.84E+05,,,,,,
1998,7,1.40E+05,7.59E+04,2.38E+05,1.21E+04,4.18E+04,,,,,,
1998,8,2.62E+04,1.58E+04,4.10E+04,2.91E+03,6.47E+03,,,,,,
1998,9,6.68E+03,3.95E+03,1.06E+04,1.04E+03,1.72E+03,,,,,,
1998,10,1.47E+04,8.65E+03,2.34E+04,1.83E+03,3.79E+03,,,,,,
1998,11,4.08E+04,2.54E+04,6.23E+04,4.13E+03,9.46E+03,,,,,,
1998,12,7.26E+04,4.11E+04,1.19E+05,6.67E+03,2.01E+04,,,,,,
1999,1,8.26E+05,3.47E+05,1.67E+06,6.28E+04,3.45E+05,,,,,,
1999,2,2.68E+05,1.55E+05,4.32E+05,2.26E+04,7.13E+04,,,,,,
1999,3,4.60E+06,2.11E+06,8.81E+06,3.53E+05,1.74E+06,,,,,,
1999,4,4.99E+05,3.05E+05,7.72E+05,4.09E+04,1.20E+05,,,,,,
1999,5,8.74E+04,5.38E+04,1.34E+05,8.17E+03,2.06E+04,,,,,,
1999,6,1.31E+04,7.71E+03,2.09E+04,1.79E+03,3.40E+03,,,,,,
1999,7,5.70E+04,1.56E+04,1.49E+05,4.75E+03,3.57E+04,,,,,,
1999,8,3.50E+04,1.18E+04,8.12E+04,3.05E+03,1.83E+04,,,,,,
1999,9,3.79E+06,1.16E+06,9.33E+06,4.16E+05,2.17E+06,,,,,,
1999,10,1.65E+06,5.69E+05,3.78E+06,1.62E+05,8.44E+05,,,,,,
1999,11,3.55E+05,1.70E+05,6.58E+05,2.90E+04,1.26E+05,,,,,,
1999,12,1.42E+06,5.82E+05,2.91E+06,1.12E+05,6.07E+05,,,,,,
2000,1,9.66E+05,5.49E+05,1.58E+06,7.72E+04,2.65E+05,,,,,,
2000,2,2.19E+06,1.30E+06,3.47E+06,1.70E+05,5.57E+05,,,,,,
2000,3,2.31E+06,1.24E+06,3.96E+06,1.77E+05,7.03E+05,,,,,,
2000,4,6.37E+06,3.27E+06,1.12E+07,5.22E+05,2.06E+06,,,,,,
2000,5,1.14E+06,6.17E+05,1.93E+06,9.36E+04,3.39E+05,,,,,,
