landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A10001,0,0.056,0.972,0.101,0.014,0.313,0.285,0.5,0.041,0.05,0,0,0.471,0.028,0.233,0.233,1.504,1.945,0,0.045,0.4,0.25,0.04,0.377,0.022
A10003,0,0.056,0.972,0.101,0.014,0.235,0.285,0.483,0.041,0.034,0,0,0.455,0.023,0.475,0.475,1.252,1.945,0,0.045,0.387,0.188,0.027,0.364,0.019
A10005,0,0.056,0.972,0.101,0.015,0.325,0.285,0.561,0.041,0.06,0,0,0.528,0.028,0.35,0.35,1.505,1.945,0,0.045,0.449,0.26,0.048,0.423,0.023
A11001,0,0.056,0.972,0.101,0.015,0.186,0.285,0.49,0.041,0.037,0,0,0.461,0.009,0.232,0.231,0.512,1.945,0,0.045,0.392,0.149,0.03,0.369,0.008
A24001,0,0.056,0.972,0.101,0.011,0.217,0.285,0.719,0.041,0.067,0,0,0.678,0.012,0.242,0.242,0.66,1.945,0,0.045,0.575,0.173,0.053,0.543,0.01
A24003,0,0.056,0.972,0.101,0.014,0.191,0.285,0.488,0.041,0.044,0,0,0.46,0.016,0.452,0.452,0.881,1.945,0,0.045,0.39,0.152,0.036,0.368,0.013
A24005,0,0.056,0.972,0.101,0.014,0.239,0.285,0.534,0.041,0.07,0,0,0.504,0.019,0.293,0.292,1.024,1.945,0,0.045,0.427,0.191,0.056,0.403,0.015
A24009,0,0.056,0.972,0.101,0.013,0.225,0.285,0.526,0.041,0.049,0,0,0.496,0.013,0.276,0.276,0.721,1.945,0,0.045,0.421,0.18,0.039,0.396,0.011
A24011,0,0.056,0.972,0.101,0.014,0.256,0.285,0.602,0.041,0.057,0,0,0.567,0.024,0.471,0.472,1.29,1.945,0,0.045,0.482,0.205,0.045,0.454,0.019
A24013,0,0.056,0.972,0.101,0.014,0.294,0.285,0.562,0.041,0.063,0,0,0.53,0.021,0.3,0.3,1.138,1.945,0,0.045,0.45,0.235,0.051,0.424,0.017
A24015,0,0.056,0.972,0.101,0.014,0.236,0.285,0.569,0.041,0.072,0,0,0.536,0.02,0.276,0.276,1.092,1.945,0,0.045,0.455,0.188,0.058,0.429,0.016
A24017,0,0.056,0.972,0.101,0.013,0.188,0.285,0.499,0.041,0.041,0,0,0.47,0.015,0.316,0.316,0.8,1.945,0,0.045,0.399,0.15,0.033,0.376,0.012
A24019,0,0.056,0.972,0.101,0.012,0.246,0.285,0.486,0.041,0.054,0,0,0.457,0.017,0.438,0.439,0.918,1.945,0,0.045,0.389,0.196,0.043,0.366,0.014
A24021,0,0.056,0.972,0.101,0.014,0.218,0.285,0.575,0.041,0.056,0,0,0.542,0.024,0.289,0.289,1.288,1.945,0,0.045,0.46,0.175,0.045,0.434,0.019
A24023,0,0.056,0.972,0.101,0.014,0.224,0.285,0.65,0.041,0.061,0,0,0.614,0.015,0.544,0.545,0.825,1.945,0,0.045,0.52,0.179,0.049,0.491,0.012
A24025,0,0.056,0.972,0.101,0.014,0.238,0.285,0.544,0.041,0.061,0,0,0.513,0.02,0.369,0.369,1.057,1.945,0,0.045,0.435,0.191,0.049,0.41,0.016
A24027,0,0.056,0.972,0.101,0.014,0.186,0.285,0.54,0.041,0.071,0,0,0.51,0.019,0.305,0.305,1.001,1.945,0,0.045,0.432,0.149,0.057,0.408,0.015
A24029,0,0.056,0.972,0.101,0.014,0.217,0.285,0.588,0.041,0.04,0,0,0.554,0.019,0.44,0.441,1.041,1.945,0,0.045,0.47,0.174,0.032,0.443,0.016
A24031,0,0.056,0.972,0.101,0.014,0.181,0.285,0.491,0.041,0.064,0,0,0.463,0.019,0.253,0.253,1.032,1.945,0,0.045,0.393,0.145,0.051,0.37,0.015
A24033,0,0.056,0.972,0.101,0.014,0.217,0.285,0.54,0.041,0.046,0,0,0.509,0.018,0.259,0.259,0.948,1.945,0,0.045,0.432,0.174,0.037,0.407,0.014
