landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A10001,0,0.2475,0.375,0.443,0.104,1.2215,1.0125,0.3703,0.18,0.0736,0,0,0.3707,0.2028,0.0994,0.0993,22.3534,8.505,0,0.198,0.2963,0.9772,0.0589,0.2965,0.1623
A10003,0,0.2475,0.375,0.443,0.1109,0.7824,1.0125,0.3602,0.18,0.0556,0,0,0.3606,0.1706,0.1904,0.1904,18.7952,8.505,0,0.198,0.2882,0.6259,0.0445,0.2885,0.1364
A10005,0,0.2475,0.375,0.443,0.1186,1.3255,1.0125,0.4185,0.18,0.0887,0,0,0.4188,0.2023,0.1581,0.1581,22.2978,8.505,0,0.198,0.3348,1.0604,0.0709,0.335,0.1619
A11001,0,0.2475,0.375,0.443,0.1275,0.6356,1.0125,0.3752,0.18,0.0597,0,0,0.3743,0.0749,0.0941,0.0939,8.2586,8.505,0,0.198,0.3001,0.5085,0.0478,0.2995,0.06
A24001,0,0.2475,0.375,0.443,0.0774,0.7189,1.0125,0.5716,0.18,0.1206,0,0,0.5715,0.0924,0.0865,0.0864,10.185,8.505,0,0.198,0.4573,0.5751,0.0965,0.4572,0.0739
A24003,0,0.2475,0.375,0.443,0.1159,0.6102,1.0125,0.369,0.18,0.071,0,0,0.3693,0.1219,0.1799,0.1799,13.4364,8.505,0,0.198,0.2952,0.4881,0.0568,0.2954,0.0975
A24005,0,0.2475,0.375,0.443,0.1142,0.8217,1.0125,0.4122,0.18,0.1342,0,0,0.4124,0.1411,0.1284,0.1284,15.5477,8.505,0,0.198,0.3297,0.6573,0.1074,0.3299,0.1129
A24009,0,0.2475,0.375,0.443,0.0992,0.7409,1.0125,0.4,0.18,0.0764,0,0,0.4002,0.101,0.1125,0.1125,11.1267,8.505,0,0.198,0.32,0.5927,0.0611,0.3202,0.0808
A24011,0,0.2475,0.375,0.443,0.1152,0.9002,1.0125,0.4511,0.18,0.0841,0,0,0.4512,0.1739,0.1882,0.1882,19.1689,8.505,0,0.198,0.3609,0.7201,0.0673,0.361,0.1392
A24013,0,0.2475,0.375,0.443,0.1094,1.1315,1.0125,0.4369,0.18,0.1285,0,0,0.4371,0.1561,0.1203,0.1202,17.2058,8.505,0,0.198,0.3496,0.9052,0.1028,0.3497,0.1249
A24015,0,0.2475,0.375,0.443,0.1089,0.8029,1.0125,0.4288,0.18,0.1321,0,0,0.4291,0.1493,0.1132,0.1131,16.4535,8.505,0,0.198,0.3431,0.6423,0.1057,0.3432,0.1194
A24017,0,0.2475,0.375,0.443,0.0964,0.6105,1.0125,0.3736,0.18,0.0656,0,0,0.3739,0.1106,0.1174,0.1173,12.1894,8.505,0,0.198,0.2989,0.4884,0.0525,0.2991,0.0885
A24019,0,0.2475,0.375,0.443,0.0895,0.8552,1.0125,0.3497,0.18,0.0799,0,0,0.35,0.1243,0.1626,0.1626,13.7033,8.505,0,0.198,0.2797,0.6842,0.0639,0.28,0.0995
A24021,0,0.2475,0.375,0.443,0.1062,0.7276,1.0125,0.4502,0.18,0.1247,0,0,0.4504,0.1768,0.1155,0.1155,19.4838,8.505,0,0.198,0.3602,0.582,0.0997,0.3603,0.1414
A24023,0,0.2475,0.375,0.443,0.1037,0.7624,1.0125,0.5455,0.18,0.1228,0,0,0.5454,0.1148,0.2093,0.2092,12.6468,8.505,0,0.198,0.4364,0.6099,0.0982,0.4363,0.0918
A24025,0,0.2475,0.375,0.443,0.1087,0.8282,1.0125,0.4213,0.18,0.1264,0,0,0.4215,0.1454,0.1568,0.1568,16.0242,8.505,0,0.198,0.337,0.6626,0.1011,0.3372,0.1163
A24027,0,0.2475,0.375,0.443,0.1149,0.59,1.0125,0.4195,0.18,0.1337,0,0,0.4198,0.138,0.127,0.127,15.2053,8.505,0,0.198,0.3356,0.472,0.107,0.3358,0.1104
