landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A10001,34.9225,0.0334,0.3231,0.1722,0.0031,0.119,0.0321,0.0792,0.0189,0.083,0.0934,0.0934,0.0807,0.076,0.0133,0.0133,0.9228,4.1962,0.0934,0.0301,0.2908,0.155,0.0028,0.1071,0.0289
A10003,17.0412,0.0334,0.3231,0.1722,0.0031,0.1266,0.0321,0.0752,0.0189,0.0246,0.0984,0.0984,0.0766,0.0598,0.0303,0.0301,0.7256,4.1962,0.0984,0.0301,0.2908,0.155,0.0028,0.114,0.0289
A10005,119.8412,0.0334,0.3231,0.1722,0.0031,0.1148,0.0321,0.0871,0.0189,0.0994,0.097,0.097,0.0887,0.0776,0.0182,0.0182,0.942,4.1962,0.097,0.0301,0.2908,0.155,0.0028,0.1033,0.0289
A11001,0.3736,0.0334,0.3231,0.1722,0.0031,0.0944,0.0321,0.0709,0.0189,0.0293,0.0895,0.0895,0.0721,0.0176,0.0144,0.0143,0.2133,4.1962,0.0895,0.0301,0.2908,0.155,0.0028,0.0849,0.0289
A24001,1.5044,0.0334,0.3231,0.1722,0.0031,0.119,0.0321,0.0946,0.0189,0.0288,0.0823,0.0823,0.0964,0.0273,0.0197,0.0195,0.331,4.1962,0.0823,0.0301,0.2908,0.155,0.0028,0.1071,0.0289
A24003,4.1536,0.0334,0.3231,0.1722,0.0031,0.1166,0.0321,0.0728,0.0189,0.0357,0.095,0.095,0.0743,0.0387,0.0291,0.029,0.4704,4.1962,0.095,0.0301,0.2908,0.155,0.0028,0.105,0.0289
A24005,2.0685,0.0334,0.3231,0.1722,0.0031,0.1184,0.0321,0.0755,0.0189,0.025,0.0934,0.0934,0.077,0.0459,0.016,0.0159,0.5572,4.1962,0.0934,0.0301,0.2908,0.155,0.0028,0.1065,0.0289
A24009,1.4684,0.0334,0.3231,0.1722,0.0031,0.1258,0.0321,0.0773,0.0189,0.0436,0.0951,0.0951,0.0788,0.0299,0.017,0.0169,0.3635,4.1962,0.0951,0.0301,0.2908,0.155,0.0028,0.1132,0.0289
A24011,77.1818,0.0334,0.3231,0.1722,0.0031,0.1202,0.0321,0.0924,0.0189,0.098,0.0977,0.0977,0.0942,0.0652,0.0303,0.0303,0.7913,4.1962,0.0977,0.0301,0.2908,0.155,0.0028,0.1082,0.0289
A24013,4.3928,0.0334,0.3231,0.1722,0.0031,0.115,0.0321,0.0782,0.0189,0.0196,0.0915,0.0915,0.0797,0.0522,0.019,0.019,0.6334,4.1962,0.0915,0.0301,0.2908,0.155,0.0028,0.1035,0.0289
A24015,14.9371,0.0334,0.3231,0.1722,0.0031,0.1199,0.0321,0.0858,0.0189,0.0299,0.0953,0.0953,0.0874,0.051,0.0169,0.0168,0.6192,4.1962,0.0953,0.0301,0.2908,0.155,0.0028,0.1079,0.0289
A24017,2.4029,0.0334,0.3231,0.1722,0.0031,0.1099,0.0321,0.0765,0.0189,0.0347,0.0893,0.0893,0.078,0.0354,0.0234,0.0232,0.4298,4.1962,0.0893,0.0301,0.2908,0.155,0.0028,0.0989,0.0289
A24019,112.2218,0.0334,0.3231,0.1722,0.0031,0.1183,0.0321,0.0838,0.0189,0.0965,0.0971,0.0971,0.0854,0.0454,0.0326,0.0326,0.5516,4.1962,0.0971,0.0301,0.2908,0.155,0.0028,0.1065,0.0289
A24021,3.3868,0.0334,0.3231,0.1722,0.0031,0.1185,0.0321,0.0785,0.0189,0.0146,0.0875,0.0875,0.0801,0.0591,0.0186,0.0185,0.7172,4.1962,0.0875,0.0301,0.2908,0.155,0.0028,0.1066,0.0289
A24023,2.5117,0.0334,0.3231,0.1722,0.0031,0.1148,0.0321,0.0757,0.0189,0.019,0.1074,0.1074,0.0772,0.0354,0.0376,0.0375,0.4296,4.1962,0.1074,0.0301,0.2908,0.155,0.0028,0.1034,0.0289
A24025,1.4465,0.0334,0.3231,0.1722,0.0031,0.1154,0.0321,0.0762,0.0189,0.018,0.0981,0.0981,0.0777,0.0477,0.0212,0.0211,0.5795,4.1962,0.0981,0.0301,0.2908,0.155,0.0028,0.1038,0.0289
A24027,1.5041,0.0334,0.3231,0.1722,0.0031,0.1167,0.0321,0.0753,0.0189,0.0272,0.0923,0.0923,0.0767,0.0449,0.0182,0.0181,0.5446,4.1962,0.0923,0.0301,0.2908,0.155,0.0028,0.105,0.0289
A24029,58.3707,0.0334,0.3231,0.1722,0.0031,0.1073,0.0321,0.0818,0.0189,0.049,0.0968,0.0968,0.0834,0.0494,0.0273,0.0272,0.5998,4.1962,0.0968,0.0301,0.2908,0.155,0.0028,0.0965,0.0289
A24031,1.7709,0.0334,0.3231,0.1722,0.0031,0.1167,0.0321,0.0737,0.0189,0.0204,0.0876,0.0876,0.0752,0.0465,0.0148,0.0148,0.5647,4.1962,0.0876,0.0301,0.2908,0.155,0.0028,0.105,0.0289
A24033,5.4205,0.0334,0.3231,0.1722,0.0031,0.115,0.0321,0.0759,0.0189,0.0367,0.0894,0.0894,0.0774,0.0431,0.0167,0.0167,0.5228,4.1962,0.0894,0.0301,0.2908,0.155,0.0028,0.1035,0.0289
A24035,37.5224,0.0334,0.3231,0.1722,0.0031,0.1136,0.0321,0.0815,0.0189,0.0332,0.0954,0.0954,0.0831,0.0525,0.0187,0.0187,0.6369,4.1962,0.0954,0.0301,0.2908,0.155,0.0028,0.1022,0.0289
A24037,3.6717,0.0334,0.3231,0.1722,0.0031,0.1091,0.0321,0.0783,0.0189,0.0337,0.092,0.092,0.0798,0.0424,0.02,0.0199,0.5151,4.1962,0.092,0.0301,0.2908,0.155,0.0028,0.0982,0.0289
A24039,115.8552,0.0334,0.3231,0.1722,0.0031,0.1172,0.0321,0.0791,0.0189,0.101,0.1008,0.1008,0.0807,0.0611,0.0349,0.035,0.7413,4.1962,0.1008,0.0301,0.2908,0.155,0.0028,0.1055,0.0289
A24041,49.8535,0.0334,0.3231,0.1722,0.0031,0.1116,0.0321,0.0801,0.0189,0.0511,0.0976,0.0976,0.0817,0.0492,0.0296,0.0295,0.5973,4.1962,0.0976,0.0301,0.2908,0.155,0.0028,0.1005,0.0289
A24043,6.326,0.0334,0.3231,0.1722,0.0031,0.1186,0.0321,0.0753,0.0189,0.0165,0.0837,0.0837,0.0768,0.051,0.0082,0.0081,0.6189,4.1962,0.0837,0.0301,0.2908,0.155,0.0028,0.1067,0.0289
A24045,108.1227,0.0334,0.3231,0.1722,0.0031,0.1215,0.0321,0.0861,0.0189,0.0956,0.0983,0.0983,0.0878,0.0819,0.0244,0.0243,0.9948,4.1962,0.0983,0.0301,0.2908,0.155,0.0028,0.1093,0.0289
A24047,115.1497,0.0334,0.3231,0.1722,0.0031,0.1179,0.0321,0.075,0.0189,0.1073,0.0975,0.0975,0.0765,0.0498,0.0246,0.0246,0.6046,4.1962,0.0975,0.0301,0.2908,0.155,0.0028,0.1061,0.0289
A24510,0.3736,0.0334,0.3231,0.1722,0.0031,0.1281,0.0321,0.0753,0.0189,0.0292,0.0959,0.0959,0.0766,0.0176,0.0251,0.025,0.2133,4.1962,0.0959,0.0301,0.2908,0.155,0.0028,0.1153,0.0289
A36003,9.7282,0.0334,0.3231,0.1722,0.0031,0.1161,0.0321,0.0817,0.0189,0.0192,0.0825,0.0825,0.0832,0.0307,0.0257,0.0254,0.3724,4.1962,0.0825,0.0301,0.2908,0.155,0.0028,0.1045,0.0289
A36007,10.3522,0.0334,0.3231,0.1722,0.0031,0.1277,0.0321,0.0864,0.0189,0.0245,0.0877,0.0877,0.088,0.0304,0.0274,0.0273,0.3689,4.1962,0.0877,0.0301,0.2908,0.155,0.0028,0.1149,0.0289
A36015,8.1811,0.0334,0.3231,0.1722,0.0031,0.1217,0.0321,0.0757,0.0189,0.0287,0.0794,0.0794,0.077,0.0277,0.023,0.0227,0.3362,4.1962,0.0794,0.0301,0.2908,0.155,0.0028,0.1095,0.0289
A36017,13.988,0.0334,0.3231,0.1722,0.0031,0.116,0.0321,0.088,0.0189,0.0185,0.0958,0.0958,0.0897,0.0312,0.0318,0.0316,0.3786,4.1962,0.0958,0.0301,0.2908,0.155,0.0028,0.1044,0.0289
A36023,16.6781,0.0334,0.3231,0.1722,0.0031,0.1161,0.0321,0.085,0.0189,0.0105,0.0961,0.0961,0.0866,0.0324,0.0292,0.0288,0.393,4.1962,0.0961,0.0301,0.2908,0.155,0.0028,0.1045,0.0289
A36025,12.8134,0.0334,0.3231,0.1722,0.0031,0.1192,0.0321,0.096,0.0189,0.0192,0.091,0.091,0.0992,0.0293,0.0273,0.027,0.3554,4.1962,0.091,0.0301,0.2908,0.155,0.0028,0.1073,0.0289
