landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A10001,0,0.5625,9.7159,1.0131,0.1353,3.1302,2.8466,5,0.4091,0.4954,0,0,4.7098,0.2811,2.3279,2.3286,15.0376,19.4523,0,0.45,4,2.5042,0.3964,3.7679,0.2249
A10003,0,0.5625,9.7159,1.0131,0.1401,2.3451,2.8466,4.8324,0.4091,0.3422,0,0,4.5535,0.2335,4.7497,4.749,12.5189,19.4523,0,0.45,3.8659,1.8761,0.2737,3.6428,0.1868
A10005,0,0.5625,9.7159,1.0131,0.1452,3.2513,2.8466,5.6102,0.4091,0.5968,0,0,5.2842,0.2815,3.4974,3.501,15.0497,19.4523,0,0.45,4.4882,2.601,0.4774,4.2274,0.2252
A11001,0,0.5625,9.7159,1.0131,0.1509,1.8615,2.8466,4.901,0.4091,0.3726,0,0,4.6076,0.0941,2.3178,2.3094,5.1214,19.4523,0,0.45,3.9208,1.4892,0.2981,3.6861,0.0753
A24001,0,0.5625,9.7159,1.0131,0.1143,2.1672,2.8466,7.1903,0.4091,0.6659,0,0,6.7837,0.1223,2.4248,2.4222,6.5965,19.4523,0,0.45,5.7523,1.7338,0.5327,5.427,0.0979
A24003,0,0.5625,9.7159,1.0131,0.1435,1.9052,2.8466,4.8775,0.4091,0.4444,0,0,4.5982,0.1638,4.5161,4.5177,8.8126,19.4523,0,0.45,3.902,1.5242,0.3555,3.6786,0.1311
A24005,0,0.5625,9.7159,1.0131,0.1423,2.3863,2.8466,5.339,0.4091,0.6982,0,0,5.0356,0.1905,2.9271,2.9247,10.2359,19.4523,0,0.45,4.2712,1.9091,0.5586,4.0285,0.1524
A24009,0,0.5625,9.7159,1.0131,0.1318,2.2481,2.8466,5.2567,0.4091,0.4855,0,0,4.9556,0.1338,2.7565,2.7564,7.2131,19.4523,0,0.45,4.2054,1.7985,0.3884,3.9645,0.107
A24011,0,0.5625,9.7159,1.0131,0.143,2.558,2.8466,6.0222,0.4091,0.5672,0,0,5.672,0.2411,4.7136,4.7216,12.8952,19.4523,0,0.45,4.8178,2.0464,0.4538,4.5376,0.1929
A24013,0,0.5625,9.7159,1.0131,0.1391,2.9433,2.8466,5.622,0.4091,0.6314,0,0,5.303,0.2119,2.9953,2.9956,11.3761,19.4523,0,0.45,4.4976,2.3546,0.5051,4.2424,0.1695
A24015,0,0.5625,9.7159,1.0131,0.1388,2.3555,2.8466,5.6894,0.4091,0.7204,0,0,5.3606,0.2035,2.7586,2.7573,10.9165,19.4523,0,0.45,4.5515,1.8844,0.5763,4.2884,0.1628
A24017,0,0.5625,9.7159,1.0131,0.1297,1.8792,2.8466,4.9875,0.4091,0.4135,0,0,4.7,0.1488,3.1571,3.1552,8.0038,19.4523,0,0.45,3.99,1.5034,0.3308,3.76,0.1191
A24019,0,0.5625,9.7159,1.0131,0.1244,2.4553,2.8466,4.8566,0.4091,0.5401,0,0,4.5707,0.1716,4.385,4.3904,9.1846,19.4523,0,0.45,3.8853,1.9642,0.4321,3.6565,0.1372
A24021,0,0.5625,9.7159,1.0131,0.1368,2.1842,2.8466,5.7502,0.4091,0.5633,0,0,5.425,0.2399,2.8938,2.8926,12.8822,19.4523,0,0.45,4.6001,1.7474,0.4506,4.34,0.1919
A24023,0,0.5625,9.7159,1.0131,0.1351,2.2419,2.8466,6.4975,0.4091,0.6066,0,0,6.1436,0.1533,5.4432,5.4458,8.253,19.4523,0,0.45,5.198,1.7935,0.4853,4.9149,0.1226
A24025,0,0.5625,9.7159,1.0131,0.1386,2.3825,2.8466,5.4369,0.4091,0.6092,0,0,5.1283,0.1966,3.6887,3.688,10.5651,19.4523,0,0.45,4.3495,1.906,0.4873,4.1026,0.1573
A24027,0,0.5625,9.7159,1.0131,0.1428,1.8567,2.8466,5.4017,0.4091,0.7106,0,0,5.0956,0.1863,3.0501,3.0509,10.0097,19.4523,0,0.45,4.3213,1.4854,0.5685,4.0765,0.149
A24029,0,0.5625,9.7159,1.0131,0.1382,2.1736,2.8466,5.8774,0.4091,0.3964,0,0,5.5432,0.1942,4.4036,4.4058,10.4133,19.4523,0,0.45,4.7019,1.7388,0.3171,4.4345,0.1554
A24031,0,0.5625,9.7159,1.0131,0.1415,1.8146,2.8466,4.9069,0.4091,0.6386,0,0,4.6255,0.1921,2.5258,2.525,10.3213,19.4523,0,0.45,3.9255,1.4517,0.5109,3.7004,0.1537
A24033,0,0.5625,9.7159,1.0131,0.1398,2.1702,2.8466,5.3988,0.4091,0.4565,0,0,5.0923,0.1764,2.5906,2.5909,9.4769,19.4523,0,0.45,4.3191,1.7361,0.3652,4.0738,0.1411
A24035,0,0.5625,9.7159,1.0131,0.1364,2.6751,2.8466,5.3927,0.4091,0.369,0,0,5.0816,0.207,3.2653,3.2707,11.1027,19.4523,0,0.45,4.3142,2.1401,0.2952,4.0653,0.1656
A24037,0,0.5625,9.7159,1.0131,0.1247,2.0087,2.8466,5.0674,0.4091,0.3654,0,0,4.7747,0.1682,2.7529,2.7498,9.0197,19.4523,0,0.45,4.0539,1.607,0.2923,3.8197,0.1345
A24039,0,0.5625,9.7159,1.0131,0.134,2.4272,2.8466,4.6474,0.4091,0.5188,0,0,4.3751,0.2209,4.8146,4.8262,11.8065,19.4523,0,0.45,3.7179,1.9418,0.4151,3.5001,0.1767
A24041,0,0.5625,9.7159,1.0131,0.131,2.4023,2.8466,5.1627,0.4091,0.4527,0,0,4.8639,0.1942,4.4306,4.4319,10.4136,19.4523,0,0.45,4.1302,1.9218,0.3622,3.8911,0.1553
A24043,0,0.5625,9.7159,1.0131,0.1312,2.1642,2.8466,5.8358,0.4091,0.5551,0,0,5.5102,0.2075,1.8752,1.869,11.1396,19.4523,0,0.45,4.6686,1.7313,0.4441,4.4081,0.166
A24045,0,0.5625,9.7159,1.0131,0.1393,2.3256,2.8466,5.3367,0.4091,0.5034,0,0,5.0249,0.2875,3.4996,3.5035,15.3501,19.4523,0,0.45,4.2693,1.8605,0.4027,4.0199,0.23
A24047,0,0.5625,9.7159,1.0131,0.1292,2.3363,2.8466,4.7743,0.4091,0.5882,0,0,4.4984,0.1873,3.4115,3.4157,10.0269,19.4523,0,0.45,3.8194,1.8691,0.4705,3.5987,0.1499
A24510,0,0.5625,9.7159,1.0131,0.1541,2.4196,2.8466,5.4707,0.4091,0.7662,0,0,5.1467,0.0945,4.4103,4.4075,5.142,19.4523,0,0.45,4.3766,1.9357,0.6129,4.1173,0.0756
A36003,0,0.5625,9.7159,1.0131,0.1208,2.5668,2.8466,7.4656,0.4091,0.2988,0,0,7.065,0.1352,3.2375,3.2308,7.2835,19.4523,0,0.45,5.9725,2.0535,0.239,5.652,0.1081
A36007,0,0.5625,9.7159,1.0131,0.1208,2.3388,2.8466,7.9376,0.4091,0.3431,0,0,7.5114,0.1345,3.8523,3.849,7.2463,19.4523,0,0.45,6.3501,1.871,0.2745,6.0091,0.1076
A36015,0,0.5625,9.7159,1.0131,0.1179,2.3816,2.8466,6.9117,0.4091,0.3739,0,0,6.3673,0.1249,2.9044,2.8938,6.7397,19.4523,0,0.45,5.5294,1.9053,0.2991,5.0939,0.1
A36017,0,0.5625,9.7159,1.0131,0.1202,2.5677,2.8466,8.0591,0.4091,0.2983,0,0,7.6256,0.1377,4.5528,4.5483,7.422,19.4523,0,0.45,6.4472,2.0541,0.2387,6.1005,0.1102
A36023,0,0.5625,9.7159,1.0131,0.1256,2.253,2.8466,7.9121,0.4091,0.2227,0,0,7.4891,0.1422,4.5254,4.514,7.6613,19.4523,0,0.45,6.3296,1.8024,0.1782,5.9913,0.1138
A36025,0,0.5625,9.7159,1.0131,0.1168,2.2658,2.8466,8.4877,0.4091,0.3169,0,0,8.1768,0.1308,3.8688,3.8584,7.0514,19.4523,0,0.45,6.7902,1.8126,0.2535,6.5414,0.1046
A36043,0,0.5625,9.7159,1.0131,0.1134,2.5154,2.8466,7.5151,0.4091,0.2822,0,0,7.1162,0.1444,4.3493,4.3504,7.7769,19.4523,0,0.45,6.0121,2.0123,0.2258,5.6929,0.1155
A36051,0,0.5625,9.7159,1.0131,0.1226,2.5766,2.8466,7.0267,0.4091,0.3272,0,0,6.6589,0.1555,3.4303,3.4311,8.3691,19.4523,0,0.45,5.6213,2.0613,0.2618,5.3271,0.1244
A36053,0,0.5625,9.7159,1.0131,0.1276,2.0809,2.8466,7.2424,0.4091,0.2923,0,0,6.8555,0.1531,4.0411,4.0344,8.2429,19.4523,0,0.45,5.7939,1.6648,0.2338,5.4844,0.1225
A36065,0,0.5625,9.7159,1.0131,0.1206,3.1365,2.8466,6.977,0.4091,0.2658,0,0,6.6045,0.1445,4.2046,4.2049,7.781,19.4523,0,0.45,5.5816,2.5092,0.2126,5.2836,0.1156
A36067,0,0.5625,9.7159,1.0131,0.1324,2.1887,2.8466,6.8291,0.4091,0.3029,0,0,6.4617,0.1815,4.4451,4.4443,9.7506,19.4523,0,0.45,5.4633,1.7509,0.2424,5.1694,0.1452
A36069,0,0.5625,9.7159,1.0131,0.1263,2.6607,2.8466,6.7369,0.4091,0.4056,0,0,6.3764,0.1694,3.0941,3.0944,9.1047,19.4523,0,0.45,5.3895,2.1285,0.3245,5.1012,0.1355
A36077,0,0.5625,9.7159,1.0131,0.1186,2.3273,2.8466,7.0891,0.4091,0.3149,0,0,6.7171,0.1344,4.0739,4.0712,7.2433,19.4523,0,0.45,5.6713,1.8619,0.2519,5.3737,0.1075
A36095,0,0.5625,9.7159,1.0131,0.1172,2.2125,2.8466,7.0864,0.4091,0.3305,0,0,6.7147,0.1393,4.0621,4.0581,7.5044,19.4523,0,0.45,5.6692,1.77,0.2644,5.3717,0.1115
A36097,0,0.5625,9.7159,1.0131,0.121,2.3401,2.8466,7.1622,0.4091,0.3835,0,0,6.778,0.1283,3.2649,3.2603,6.9204,19.4523,0,0.45,5.7298,1.8721,0.3068,5.4224,0.1027
A36101,0,0.5625,9.7159,1.0131,0.1167,2.1326,2.8466,6.7753,0.4091,0.3242,0,0,6.4134,0.1272,2.4905,2.4849,6.8572,19.4523,0,0.45,5.4202,1.706,0.2593,5.1307,0.1017
