landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A10001,425.9199539,0.165,0.75,0.6563,0.052,4.0717,0.225,0.6172,0.12,0.2944,5.8015,5.8015,0.5066,0.5409,0.1987,0.1987,25.6935,12.6,5.8015,0.132,0.4938,3.2573,0.2355,0.4053,0.4327
A10003,203.5320438,0.165,0.75,0.6563,0.0554,2.608,0.225,0.6004,0.12,0.2223,6.5035,6.5035,0.4928,0.4548,0.3809,0.3808,21.6037,12.6,6.5035,0.132,0.4803,2.0864,0.1778,0.3942,0.3639
A10005,1394.81818,0.165,0.75,0.6563,0.0593,4.4184,0.225,0.6976,0.12,0.3547,6.8416,6.8416,0.5723,0.5396,0.3161,0.3161,25.6297,12.6,6.8416,0.132,0.5581,3.5347,0.2837,0.4579,0.4317
A11001,4.5,0.165,0.75,0.6563,0.0637,2.1187,0.225,0.6253,0.12,0.2388,6.765,6.7649,0.5116,0.1998,0.1883,0.1879,9.4926,12.6,6.765,0.132,0.5002,1.695,0.191,0.4093,0.1599
A24001,17.69705767,0.165,0.75,0.6563,0.0387,2.3963,0.225,0.9527,0.12,0.4824,3.8296,3.8296,0.7811,0.2465,0.173,0.1729,11.707,12.6,3.8296,0.132,0.7622,1.917,0.3859,0.6249,0.1972
A24003,55.49508962,0.165,0.75,0.6563,0.058,2.0339,0.225,0.6149,0.12,0.2839,6.5548,6.5548,0.5047,0.3251,0.3599,0.3598,15.4442,12.6,6.5548,0.132,0.4919,1.6271,0.2271,0.4038,0.2601
A24005,26.06010017,0.165,0.75,0.6563,0.0571,2.7389,0.225,0.687,0.12,0.5369,6.3515,6.3515,0.5636,0.3762,0.2569,0.2568,17.871,12.6,6.3515,0.132,0.5496,2.1911,0.4295,0.4509,0.301
A24009,20.21807965,0.165,0.75,0.6563,0.0496,2.4697,0.225,0.6666,0.12,0.3056,5.6419,5.6419,0.547,0.2692,0.225,0.225,12.7893,12.6,5.6419,0.132,0.5333,1.9757,0.2444,0.4376,0.2154
A24011,906.5437527,0.165,0.75,0.6563,0.0576,3.0005,0.225,0.7518,0.12,0.3363,6.6999,6.6998,0.6167,0.4639,0.3765,0.3765,22.0332,12.6,6.6999,0.132,0.6015,2.4004,0.269,0.4934,0.3711
A24013,45,0.165,0.75,0.6563,0.0547,3.7716,0.225,0.7282,0.12,0.5139,5.9699,5.9699,0.5974,0.4164,0.2405,0.2405,19.7767,12.6,5.9699,0.132,0.5826,3.0173,0.4111,0.4779,0.3331
A24015,143.4004565,0.165,0.75,0.6563,0.0545,2.6764,0.225,0.7147,0.12,0.5285,6.1943,6.1943,0.5864,0.3981,0.2264,0.2263,18.9121,12.6,6.1943,0.132,0.5718,2.1412,0.4228,0.4691,0.3185
A24017,28.31880551,0.165,0.75,0.6563,0.0482,2.0349,0.225,0.6226,0.12,0.2625,5.1525,5.1525,0.511,0.295,0.2348,0.2346,14.0108,12.6,5.1525,0.132,0.4981,1.6279,0.21,0.4088,0.236
A24019,1287.455922,0.165,0.75,0.6563,0.0448,2.8506,0.225,0.5828,0.12,0.3196,5.2239,5.2239,0.4784,0.3316,0.3253,0.3253,15.7509,12.6,5.2239,0.132,0.4662,2.2805,0.2556,0.3827,0.2653
A24021,40.8703089,0.165,0.75,0.6563,0.0531,2.4252,0.225,0.7503,0.12,0.4987,5.5381,5.5381,0.6155,0.4715,0.2311,0.231,22.3952,12.6,5.5381,0.132,0.6003,1.9401,0.3989,0.4924,0.3772
A24023,31.81530025,0.165,0.75,0.6563,0.0519,2.5414,0.225,0.9091,0.12,0.4911,6.6787,6.6787,0.7454,0.306,0.4185,0.4185,14.5365,12.6,6.6787,0.132,0.7273,2.0332,0.3929,0.5963,0.2448
A24025,19.07991625,0.165,0.75,0.6563,0.0543,2.7607,0.225,0.7021,0.12,0.5055,6.3655,6.3656,0.576,0.3878,0.3136,0.3136,18.4186,12.6,6.3655,0.132,0.5617,2.2086,0.4044,0.4608,0.3102
A24027,19.39506571,0.165,0.75,0.6563,0.0574,1.9668,0.225,0.6992,0.12,0.5348,6.31,6.31,0.5737,0.3679,0.2541,0.2541,17.4774,12.6,6.31,0.132,0.5594,1.5734,0.4278,0.459,0.2944
A24029,659.6933823,0.165,0.75,0.6563,0.0541,2.4996,0.225,0.7612,0.12,0.2411,6.2436,6.2436,0.6243,0.3787,0.3585,0.3585,17.99,12.6,6.2436,0.132,0.6089,1.9997,0.1929,0.4995,0.303
A24031,23.71890081,0.165,0.75,0.6563,0.0565,1.9094,0.225,0.6173,0.12,0.5135,5.8918,5.8919,0.5066,0.379,0.212,0.2119,18.0027,12.6,5.8918,0.132,0.4938,1.5275,0.4108,0.4053,0.3032
A24033,69.20875698,0.165,0.75,0.6563,0.0552,2.4294,0.225,0.6963,0.12,0.2916,5.8759,5.8759,0.5712,0.3474,0.2063,0.2062,16.5034,12.6,5.8759,0.132,0.557,1.9435,0.2332,0.457,0.278
A24035,458.8100766,0.165,0.75,0.6563,0.0528,3.2847,0.225,0.6769,0.12,0.2322,6.0147,6.0146,0.5554,0.4041,0.2786,0.2786,19.1954,12.6,6.0147,0.132,0.5415,2.6277,0.1858,0.4443,0.3233
A24037,37.45685294,0.165,0.75,0.6563,0.045,2.2292,0.225,0.6311,0.12,0.2292,4.9691,4.9691,0.5179,0.3286,0.2066,0.2065,15.6067,12.6,4.9691,0.132,0.5049,1.7833,0.1834,0.4143,0.2629
A24039,1361.236889,0.165,0.75,0.6563,0.0511,2.8159,0.225,0.56,0.12,0.3054,6.1629,6.1629,0.4598,0.4231,0.3615,0.3616,20.096,12.6,6.1629,0.132,0.448,2.2528,0.2443,0.3678,0.3385
A24041,594.6567911,0.165,0.75,0.6563,0.049,2.8317,0.225,0.6419,0.12,0.2778,5.7345,5.7345,0.5267,0.379,0.3464,0.3464,18.0047,12.6,5.7345,0.132,0.5135,2.2654,0.2222,0.4214,0.3032
A24043,75.45896071,0.165,0.75,0.6563,0.0492,2.3942,0.225,0.7797,0.12,0.4602,4.9172,4.9172,0.6395,0.4079,0.1914,0.1914,19.3734,12.6,4.9172,0.132,0.6237,1.9154,0.3682,0.5116,0.3263
A24045,1249.290082,0.165,0.75,0.6563,0.0549,2.6173,0.225,0.6545,0.12,0.2968,6.4377,6.4377,0.5371,0.5473,0.2681,0.2681,25.9948,12.6,6.4377,0.132,0.5236,2.0938,0.2374,0.4297,0.4378
A24047,1338.54098,0.165,0.75,0.6563,0.0479,2.6633,0.225,0.5911,0.12,0.3476,5.5951,5.5951,0.4852,0.3618,0.2569,0.2569,17.1833,12.6,5.5951,0.132,0.4728,2.1306,0.2781,0.3881,0.2894
A24510,4.5,0.165,0.75,0.6563,0.0663,2.7093,0.225,0.7115,0.12,0.5768,7.5373,7.5372,0.5821,0.2009,0.3774,0.3773,9.5407,12.6,7.5373,0.132,0.5692,2.1675,0.4615,0.4657,0.1607
A36003,134.7753342,0.165,0.75,0.6563,0.0426,3.0617,0.225,1.0782,0.12,0.1979,4.2103,4.2103,0.8838,0.2711,0.2332,0.233,12.8759,12.6,4.2103,0.132,0.8626,2.4493,0.1583,0.707,0.2169
A36007,145.7406769,0.165,0.75,0.6563,0.0426,2.5907,0.225,1.1496,0.12,0.2231,4.4847,4.4847,0.9421,0.2699,0.2918,0.2917,12.821,12.6,4.4847,0.132,0.9197,2.0725,0.1785,0.7537,0.2159
A36015,114.0237,0.165,0.75,0.6563,0.0408,2.7021,0.225,0.9976,0.12,0.2404,3.8892,3.8892,0.7864,0.2521,0.2092,0.2089,11.9756,12.6,3.8892,0.132,0.798,2.1617,0.1923,0.6291,0.2017
A36017,200.3484011,0.165,0.75,0.6563,0.0422,3.0642,0.225,1.1651,0.12,0.1988,4.8698,4.8698,0.9548,0.2763,0.3483,0.3482,13.1265,12.6,4.8698,0.132,0.9321,2.4514,0.1591,0.7639,0.2211
A36023,238.2834415,0.165,0.75,0.6563,0.0455,2.5482,0.225,1.1535,0.12,0.1578,5.2525,5.2525,0.9453,0.2849,0.3608,0.3606,13.5347,12.6,5.2525,0.132,0.9228,2.0386,0.1263,0.7562,0.228
