landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A10001,8618.176,0.563,9.716,1.013,1.353,3.13,2.847,5,0.409,0.495,11.238,11.238,3.862,2.811,2.328,2.329,15.038,19.452,11.238,0.45,4,2.504,0.396,3.09,2.249
A10003,4142.027,0.563,9.716,1.013,1.401,2.345,2.847,4.832,0.409,0.342,12.46,12.46,3.734,2.335,4.75,4.749,12.519,19.452,12.46,0.45,3.866,1.876,0.274,2.987,1.868
A10005,28585.284,0.563,9.716,1.013,1.452,3.251,2.847,5.61,0.409,0.597,12.953,12.953,4.333,2.815,3.497,3.501,15.05,19.452,12.953,0.45,4.488,2.601,0.477,3.466,2.252
A11001,91.364,0.563,9.716,1.013,1.509,1.862,2.847,4.901,0.409,0.373,12.639,12.639,3.778,0.941,2.318,2.309,5.121,19.452,12.639,0.45,3.921,1.489,0.298,3.023,0.753
A24001,361.641,0.563,9.716,1.013,1.143,2.167,2.847,7.19,0.409,0.666,7.765,7.765,5.563,1.223,2.425,2.422,6.596,19.452,7.765,0.45,5.752,1.734,0.533,4.45,0.979
A24003,1094.458,0.563,9.716,1.013,1.435,1.905,2.847,4.877,0.409,0.444,12.462,12.462,3.771,1.638,4.516,4.518,8.813,19.452,12.462,0.45,3.902,1.524,0.356,3.016,1.311
A24005,522.577,0.563,9.716,1.013,1.423,2.386,2.847,5.339,0.409,0.698,12.107,12.107,4.129,1.905,2.927,2.925,10.236,19.452,12.107,0.45,4.271,1.909,0.559,3.303,1.524
A24009,395.286,0.563,9.716,1.013,1.318,2.248,2.847,5.257,0.409,0.485,11.015,11.015,4.064,1.338,2.757,2.756,7.213,19.452,11.015,0.45,4.205,1.799,0.388,3.251,1.07
A24011,18532.871,0.563,9.716,1.013,1.43,2.558,2.847,6.022,0.409,0.567,12.751,12.751,4.651,2.411,4.714,4.722,12.895,19.452,12.751,0.45,4.818,2.046,0.454,3.721,1.929
A24013,953.559,0.563,9.716,1.013,1.391,2.943,2.847,5.622,0.409,0.631,11.466,11.466,4.348,2.119,2.995,2.996,11.376,19.452,11.466,0.45,4.498,2.355,0.505,3.479,1.695
A24015,3088.335,0.563,9.716,1.013,1.388,2.356,2.847,5.689,0.409,0.72,11.904,11.904,4.396,2.035,2.759,2.757,10.916,19.452,11.904,0.45,4.552,1.884,0.576,3.517,1.628
A24017,578.404,0.563,9.716,1.013,1.297,1.879,2.847,4.987,0.409,0.413,10.107,10.107,3.854,1.488,3.157,3.155,8.004,19.452,10.107,0.45,3.99,1.503,0.331,3.083,1.191
A24019,26487.377,0.563,9.716,1.013,1.244,2.455,2.847,4.857,0.409,0.54,10.364,10.364,3.748,1.716,4.385,4.39,9.185,19.452,10.364,0.45,3.885,1.964,0.432,2.998,1.372
A24021,829.391,0.563,9.716,1.013,1.368,2.184,2.847,5.75,0.409,0.563,10.694,10.694,4.448,2.399,2.894,2.893,12.882,19.452,10.694,0.45,4.6,1.747,0.451,3.559,1.919
A24023,637.015,0.563,9.716,1.013,1.351,2.242,2.847,6.497,0.409,0.607,12.935,12.935,5.038,1.533,5.443,5.446,8.253,19.452,12.935,0.45,5.198,1.794,0.485,4.03,1.226
A24025,377.674,0.563,9.716,1.013,1.386,2.382,2.847,5.437,0.409,0.609,12.238,12.238,4.205,1.966,3.689,3.688,10.565,19.452,12.238,0.45,4.35,1.906,0.487,3.364,1.573
A24027,386.389,0.563,9.716,1.013,1.428,1.857,2.847,5.402,0.409,0.711,12.016,12.016,4.178,1.863,3.05,3.051,10.01,19.452,12.016,0.45,4.321,1.485,0.569,3.343,1.49
A24029,13626.553,0.563,9.716,1.013,1.382,2.174,2.847,5.877,0.409,0.396,12.015,12.015,4.545,1.942,4.404,4.406,10.413,19.452,12.015,0.45,4.702,1.739,0.317,3.636,1.554
A24031,467.448,0.563,9.716,1.013,1.415,1.815,2.847,4.907,0.409,0.639,11.254,11.254,3.793,1.921,2.526,2.525,10.321,19.452,11.254,0.45,3.926,1.452,0.511,3.034,1.537
A24033,1382.635,0.563,9.716,1.013,1.398,2.17,2.847,5.399,0.409,0.456,11.269,11.269,4.176,1.764,2.591,2.591,9.477,19.452,11.269,0.45,4.319,1.736,0.365,3.341,1.411
A24035,9277.083,0.563,9.716,1.013,1.364,2.675,2.847,5.393,0.409,0.369,11.621,11.621,4.167,2.07,3.265,3.271,11.103,19.452,11.621,0.45,4.314,2.14,0.295,3.334,1.656
A24037,794.554,0.563,9.716,1.013,1.247,2.009,2.847,5.067,0.409,0.365,9.851,9.851,3.915,1.682,2.753,2.75,9.02,19.452,9.851,0.45,4.054,1.607,0.292,3.132,1.345
A24039,27825.859,0.563,9.716,1.013,1.34,2.427,2.847,4.647,0.409,0.519,11.972,11.972,3.588,2.209,4.815,4.826,11.806,19.452,11.972,0.45,3.718,1.942,0.415,2.87,1.767
A24041,12105.986,0.563,9.716,1.013,1.31,2.402,2.847,5.163,0.409,0.453,11.215,11.215,3.988,1.942,4.431,4.432,10.414,19.452,11.215,0.45,4.13,1.922,0.362,3.191,1.553
A24043,1536.177,0.563,9.716,1.013,1.312,2.164,2.847,5.836,0.409,0.555,9.616,9.616,4.518,2.075,1.875,1.869,11.14,19.452,9.616,0.45,4.669,1.731,0.444,3.615,1.66
A24045,25653.132,0.563,9.716,1.013,1.393,2.326,2.847,5.337,0.409,0.503,12.356,12.356,4.12,2.875,3.5,3.504,15.35,19.452,12.356,0.45,4.269,1.861,0.403,3.296,2.3
A24047,27441.189,0.563,9.716,1.013,1.292,2.336,2.847,4.774,0.409,0.588,10.984,10.984,3.689,1.873,3.412,3.416,10.027,19.452,10.984,0.45,3.819,1.869,0.471,2.951,1.499
A24510,91.364,0.563,9.716,1.013,1.541,2.42,2.847,5.471,0.409,0.766,13.973,13.973,4.22,0.945,4.41,4.408,5.142,19.452,13.973,0.45,4.377,1.936,0.613,3.376,0.756
A36003,2630.248,0.563,9.716,1.013,1.208,2.567,2.847,7.466,0.409,0.299,8.421,8.421,5.793,1.352,3.237,3.231,7.284,19.452,8.421,0.45,5.973,2.053,0.239,4.635,1.081
A36007,2830.92,0.563,9.716,1.013,1.208,2.339,2.847,7.938,0.409,0.343,8.967,8.967,6.159,1.345,3.852,3.849,7.246,19.452,8.967,0.45,6.35,1.871,0.274,4.927,1.076
