landseg,alf,hom,hwm,hyw,lwm,nal,nhi,nho,nhy,nlo,npa,pas,trp,bar,ext,for,hvf,hyo,puh,pul,urs,afo,imh,iml,wat,css
A10001,179.571,79.117,104.757,122.694,104.757,202.445,109.317,75.39,127.395,109.317,0,181.362,0,0,0,0,0,105.117,221.851,221.851,105.412,0,0,0,0,0
A10003,185.218,116.418,108.764,129.219,108.764,166.957,110.751,133.206,122.305,110.751,0,138.672,0,0,0,0,0,103.142,207.832,207.832,105.412,0,0,0,0,0
A10005,184.897,72.791,98.994,111.513,98.994,192.072,94.287,75.37,112.398,94.287,0,180.695,0,0,0,0,0,105.235,218.204,218.204,105.412,0,0,0,0,0
A11001,0,0,0,0,0,0,0,0,0,0,0,12.256,0,0,0,0,0,0,211.569,211.569,0,0,0,0,0,0
A24001,134.819,129.366,91.456,110.349,91.456,124.539,100.446,123.017,114.722,100.446,120.591,35.369,108.024,0,0,0,0,84.411,188.424,188.424,105.412,0,0,0,0,0
A24003,139.984,109.235,100.77,107.974,100.77,142.331,105.958,120.716,109.672,105.958,118.476,74.378,114.646,0,0,0,0,100.39,180.814,180.814,105.412,0,0,0,0,0
A24005,171.324,93.948,106.014,129.973,106.014,164.524,106.7,95.96,133.314,106.7,129.616,99.709,124.691,0,0,0,0,95.815,202.872,202.872,105.412,0,0,0,0,0
A24009,117.903,67.414,84.361,95.75,84.361,123.607,89.662,79.18,97.721,89.662,116.043,46.666,112.553,0,0,0,0,101.958,171.959,171.959,105.412,0,0,0,0,0
A24011,185.691,75.243,104.254,118.307,104.254,201.467,112.212,77.966,114.413,112.212,131.713,143.155,122.147,0,0,0,0,99.684,223.753,223.753,105.412,0,0,0,0,0
A24013,169.428,96.316,99.926,140.936,99.926,159.025,100.827,94.578,145.455,100.827,128.668,119.602,126.353,0,0,0,0,96.468,216.778,216.778,105.412,0,0,0,0,0
A24015,189.005,139.257,111.122,133.181,111.122,184.406,115.244,143.32,128.079,115.244,134.104,110.576,129.835,0,0,0,0,99.131,207.266,207.266,105.412,0,0,0,0,0
