TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,QSO,VQO,SQO,POTFW,ACQOP,SQOLIM,WSQOP
A10001,1,0,1,0,13.28012,0.500000,1.328013,13.28012,0.500000
A10003,1,0,1,0,13.13206,0.500000,1.313207,13.13206,0.500000
A10005,1,0,1,0,13.18041,0.500000,1.318041,13.18041,0.500000
A11001,1,0,1,0,13.48635,0.500000,1.348635,13.48635,0.500000
A24001,1,0,1,0,13.69009,0.500000,1.369010,13.69009,0.500000
A24003,1,0,1,0,13.24836,0.500000,1.324836,13.24836,0.500000
A24005,1,0,1,0,13.28465,0.500000,1.328465,13.28465,0.500000
A24009,1,0,1,0,13.22854,0.500000,1.322855,13.22854,0.500000
A24011,1,0,1,0,12.97488,0.500000,1.297489,12.97488,0.500000
A24013,1,0,1,0,13.26729,0.500000,1.326729,13.26729,0.500000
A24015,1,0,1,0,13.25276,0.500000,1.325276,13.25276,0.500000
A24017,1,0,1,0,13.40367,0.500000,1.340367,13.40367,0.500000
A24019,1,0,1,0,13.09915,0.500000,1.309916,13.09915,0.500000
A24021,1,0,1,0,13.49919,0.500000,1.349920,13.49919,0.500000
A24023,1,0,1,0,12.10442,0.500000,1.210442,12.10442,0.500000
A24025,1,0,1,0,13.16437,0.500000,1.316437,13.16437,0.500000
A24027,1,0,1,0,13.42561,0.500000,1.342561,13.42561,0.500000
A24029,1,0,1,0,13.19649,0.500000,1.319650,13.19649,0.500000
A24031,1,0,1,0,13.54840,0.500000,1.354840,13.54840,0.500000
A24033,1,0,1,0,13.45262,0.500000,1.345262,13.45262,0.500000
A24035,1,0,1,0,13.21228,0.500000,1.321228,13.21228,0.500000
A24037,1,0,1,0,13.32869,0.500000,1.332869,13.32869,0.500000
A24039,1,0,1,0,13.27021,0.500000,1.327022,13.27021,0.500000
A24041,1,0,1,0,13.08027,0.500000,1.308028,13.08027,0.500000
A24043,1,0,1,0,13.57548,0.500000,1.357548,13.57548,0.500000
A24045,1,0,1,0,13.40605,0.500000,1.340605,13.40605,0.500000
A24047,1,0,1,0,13.42342,0.500000,1.342343,13.42342,0.500000
A24510,1,0,1,0,13.28512,0.500000,1.328512,13.28512,0.500000
A36003,1,0,1,0,13.44711,0.500000,1.344711,13.44711,0.500000
A36007,1,0,1,0,12.98215,0.500000,1.298215,12.98215,0.500000
A36011,1,0,1,0,0.08,0,0.08,0.8,0.64
A36015,1,0,1,0,13.67011,0.500000,1.367012,13.67011,0.500000
A36017,1,0,1,0,12.65908,0.500000,1.265908,12.65908,0.500000
A36023,1,0,1,0,12.65371,0.500000,1.265371,12.65371,0.500000
A36025,1,0,1,0,12.98455,0.500000,1.298456,12.98455,0.500000
A36043,1,0,1,0,12.60736,0.500000,1.260737,12.60736,0.500000
A36051,1,0,1,0,13.37413,0.500000,1.337413,13.37413,0.500000
A36053,1,0,1,0,12.79929,0.500000,1.279930,12.79929,0.500000
A36065,1,0,1,0,12.66479,0.500000,1.266479,12.66479,0.500000
A36067,1,0,1,0,12.80103,0.500000,1.280103,12.80103,0.500000
A36069,1,0,1,0,13.53176,0.500000,1.353176,13.53176,0.500000
A36077,1,0,1,0,12.82395,0.500000,1.282395,12.82395,0.500000
A36095,1,0,1,0,12.84301,0.500000,1.284301,12.84301,0.500000
A36097,1,0,1,0,13.51188,0.500000,1.351189,13.51188,0.500000
A36101,1,0,1,0,13.95502,0.500000,1.395502,13.95502,0.500000
A36107,1,0,1,0,13.28209,0.500000,1.328209,13.28209,0.500000
A36109,1,0,1,0,12.92952,0.500000,1.292952,12.92952,0.500000
A36123,1,0,1,0,13.54712,0.500000,1.354712,13.54712,0.500000
A37001,1,0,1,0,57.47691,0.500000,5.747693,57.47691,0.500000
A37005,1,0,1,0,49.71664,0.500000,4.971663,49.71664,0.500000
A37009,1,0,1,0,31.14378,0.500000,3.114378,31.14378,0.500000
A37033,1,0,1,0,16.05458,0.500000,1.605458,16.05458,0.500000
A37067,1,0,1,0,34.82695,0.500000,3.482695,34.82695,0.500000
A37077,1,0,1,0,24.50023,0.500000,2.450022,24.50023,0.500000
A37081,1,0,1,0,30.58327,0.500000,3.058327,30.58327,0.500000
A37131,1,0,1,0,27.88563,0.500000,2.788563,27.88563,0.500000
A37135,1,0,1,0,49.99916,0.500000,4.999918,49.99916,0.500000
A37145,1,0,1,0,13.96681,0.500000,1.396680,13.96681,0.500000
A37157,1,0,1,0,18.83190,0.500000,1.883190,18.83190,0.500000
A37169,1,0,1,0,27.76633,0.500000,2.776632,27.76633,0.500000
A37171,1,0,1,0,32.20329,0.500000,3.220328,32.20329,0.500000
A37181,1,0,1,0,30.38699,0.500000,3.038699,30.38699,0.500000
A37185,1,0,1,0,27.37100,0.500000,2.737100,27.37100,0.500000
A37189,1,0,1,0,53.48708,0.500000,5.348708,53.48708,0.500000
