TABLE->,SLD-PARM1,SLD-PARM1,SLD-PARM1,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-STOR
VARS->,VASD,VRSD,SDOP,KEIM,JEIM,ACCSDP,REMSDP,SLDS
A10001,0,0,0,0.222047,2,0.1,0.07675,1
A10003,0,0,0,1.235579,2,0.1,0.07675,1
A10005,0,0,0,0.031254,2,0.1,0.07675,1
A11001,0,0,0,0.031432,2,0.1,0.07675,1
A24001,0,0,0,0.238993,2,0.1,0.07675,1
A24003,0,0,0,0.611454,2,0.1,0.07675,1
A24005,0,0,0,3.378320,2,0.1,0.07675,1
A24009,0,0,0,1.590719,2,0.1,0.07675,1
A24011,0,0,0,0.040691,2,0.1,0.07675,1
A24013,0,0,0,1.367606,2,0.1,0.07675,1
A24015,0,0,0,0.560897,2,0.1,0.07675,1
A24017,0,0,0,0.480241,2,0.1,0.07675,1
A24019,0,0,0,0.083766,2,0.1,0.07675,1
A24021,0,0,0,4.350819,2,0.1,0.07675,1
A24023,0,0,0,0.633327,2,0.1,0.07675,1
A24025,0,0,0,0.414321,2,0.1,0.07675,1
A24027,0,0,0,762.0055,2,0.1,0.07675,1
A24029,0,0,0,2.596797,2,0.1,0.07675,1
A24031,0,0,0,3.739250,2,0.1,0.07675,1
A24033,0,0,0,401.0971,2,0.1,0.07675,1
A24035,0,0,0,0.209202,2,0.1,0.07675,1
A24037,0,0,0,0.328619,2,0.1,0.07675,1
A24039,0,0,0,0.023827,2,0.1,0.07675,1
A24041,0,0,0,0.032550,2,0.1,0.07675,1
A24043,0,0,0,3.545262,2,0.1,0.07675,1
A24045,0,0,0,0.128234,2,0.1,0.07675,1
A24047,0,0,0,0.253148,2,0.1,0.07675,1
A24510,0,0,0,0.341354,2,0.1,0.07675,1
A36003,0,0,0,1.931508,2,0.1,0.07675,1
A36007,0,0,0,0.359384,2,0.1,0.07675,1
A36015,0,0,0,0.936987,2,0.1,0.07675,1
A36017,0,0,0,0.545449,2,0.1,0.07675,1
A36023,0,0,0,0.213829,2,0.1,0.07675,1
A36025,0,0,0,0.416999,2,0.1,0.07675,1
A36043,0,0,0,0.287539,2,0.1,0.07675,1
A36051,0,0,0,0.720152,2,0.1,0.07675,1
A36053,0,0,0,0.194230,2,0.1,0.07675,1
