TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A10001,0.009000,1,0.03,0.3,0,50,84.11200,5,0.5,2,0,550,328.1090,5,1,8,0,300,6.416000,6,0.5,1,0,100,0,0,0,0,na,na
A10003,0.003500,1,0.03,0.3,0,50,1032.155,5,0.5,2,0,550,321.2820,5,1,8,0,300,6.407500,6,0.5,1,0,100,0,0,0,0,na,na
A10005,0.032000,1,0.03,0.3,0,50,2.110000,5,0.5,2,0,550,266.0975,5,1,8,0,300,6.928500,6,0.5,1,0,100,0,0,0,0,na,na
A11001,0.005000,1,0.03,0.3,0,50,204.1540,5,0.5,2,0,550,201.1340,5,1,8,0,300,4.436500,6,0.5,1,0,100,0,0,0,0,na,na
A24001,0.,1,0.03,0.3,0,50,782.5220,5,0.5,2,0,550,274.9830,5,1,8,0,300,5.956000,6,0.5,1,0,100,0,0,0,0,na,na
A24003,0.004000,1,0.03,0.3,0,50,675.1990,5,0.5,2,0,550,309.2600,5,1,8,0,300,6.728000,6,0.5,1,0,100,0,0,0,0,na,na
A24009,0.002000,1,0.03,0.3,0,50,312.6035,5,0.5,2,0,550,351.8055,5,1,8,0,300,7.125500,6,0.5,1,0,100,0,0,0,0,na,na
A24005,0.002000,1,0.03,0.3,0,50,241.1375,5,0.5,2,0,550,380.8195,5,1,8,0,300,8.637000,6,0.5,1,0,100,0,0,0,0,na,na
A24011,0.010500,1,0.03,0.3,0,50,425.9165,5,0.5,2,0,550,352.8605,5,1,8,0,300,6.932500,6,0.5,1,0,100,0,0,0,0,na,na
A24013,0.002000,1,0.03,0.3,0,50,657.9075,5,0.5,2,0,550,329.6010,5,1,8,0,300,7.112000,6,0.5,1,0,100,0,0,0,0,na,na
A24015,0.008000,1,0.03,0.3,0,50,236.7160,5,0.5,2,0,550,343.2995,5,1,8,0,300,7.606500,6,0.5,1,0,100,0,0,0,0,na,na
A24017,0.006000,1,0.03,0.3,0,50,138.0985,5,0.5,2,0,550,45.86900,5,1,8,0,300,1.752500,6,0.5,1,0,100,0,0,0,0,na,na
A24019,0.016000,1,0.03,0.3,0,50,225.8270,5,0.5,2,0,550,181.6070,5,1,8,0,300,4.083000,6,0.5,1,0,100,0,0,0,0,na,na
A24021,0.003000,1,0.03,0.3,0,50,580.7295,5,0.5,2,0,550,305.3930,5,1,8,0,300,6.300500,6,0.5,1,0,100,0,0,0,0,na,na
A24023,0.,1,0.03,0.3,0,50,1112.734,5,0.5,2,0,550,331.5960,5,1,8,0,300,7.321000,6,0.5,1,0,100,0,0,0,0,na,na
A24025,0.003000,1,0.03,0.3,0,50,493.3745,5,0.5,2,0,550,375.1585,5,1,8,0,300,8.105499,6,0.5,1,0,100,0,0,0,0,na,na
A24027,0.002000,1,0.03,0.3,0,50,519.8620,5,0.5,2,0,550,347.8200,5,1,8,0,300,7.842500,6,0.5,1,0,100,0,0,0,0,na,na
A24029,0.004000,1,0.03,0.3,0,50,675.8130,5,0.5,2,0,550,331.1390,5,1,8,0,300,6.066000,6,0.5,1,0,100,0,0,0,0,na,na
A24031,0.002000,1,0.03,0.3,0,50,356.5165,5,0.5,2,0,550,365.2885,5,1,8,0,300,8.113000,6,0.5,1,0,100,0,0,0,0,na,na
