TABLE->,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.021197,0.412625,0,0.002119,0.021197,0.500000,0.000413,0.033641
A10003,1,0,0,1,0,1,0,1,0,0.014580,0.283813,0,0.001457,0.014580,0.500000,0.000284,0.025369
A10005,1,0,0,1,0,1,0,1,0,0.048042,0.935222,0,0.004802,0.048042,0.500000,0.000935,0.022697
A11001,1,0,0,1,0,1,0,1,0,0.039450,0.767959,0,0.003943,0.039450,0.500000,0.000768,0.050225
A24001,1,0,0,1,0,1,0,1,0,0.013917,0.270910,0,0.001391,0.013917,0.500000,0.000271,0.059995
A24003,1,0,0,1,0,1,0,1,0,0.006829,0.132941,0,0.000683,0.006829,0.500000,0.000133,0.029237
A24005,1,0,0,1,0,1,0,1,0,0.005876,0.114379,0,0.000588,0.005876,0.500000,0.000114,0.028240
A24009,1,0,0,1,0,1,0,1,0,0.003326,0.064754,0,0.000332,0.003326,0.500000,0.000065,0.033689
A24011,1,0,0,1,0,1,0,1,0,0.022943,0.446616,0,0.002293,0.022943,0.500000,0.000447,0.027291
A24013,1,0,0,1,0,1,0,1,0,0.015570,0.303093,0,0.001556,0.015570,0.500000,0.000303,0.036311
A24015,1,0,0,1,0,1,0,1,0,0.010265,0.199813,0,0.001026,0.010265,0.500000,0.000200,0.035305
A24017,1,0,0,1,0,1,0,1,0,0.004986,0.097058,0,0.000499,0.004986,0.500000,0.000097,0.045153
A24019,1,0,0,1,0,1,0,1,0,0.022047,0.429179,0,0.002204,0.022047,0.500000,0.000429,0.032867
A24021,1,0,0,1,0,1,0,1,0,0.007229,0.140723,0,0.000723,0.007229,0.500000,0.000140,0.038068
A24023,1,0,0,1,0,1,0,1,0,0.013591,0.264559,0,0.001358,0.013591,0.500000,0.000265,0.025320
A24025,1,0,0,1,0,1,0,1,0,0.010287,0.200265,0,0.001028,0.010287,0.500000,0.000200,0.024953
A24027,1,0,0,1,0,1,0,1,0,0.008856,0.172383,0,0.000886,0.008856,0.500000,0.000173,0.032556
A24029,1,0,0,1,0,1,0,1,0,0.012280,0.239049,0,0.001228,0.012280,0.500000,0.000239,0.025159
A24031,1,0,0,1,0,1,0,1,0,0.006607,0.128603,0,0.000660,0.006607,0.500000,0.000128,0.036256
A24033,1,0,0,1,0,1,0,1,0,0.003265,0.063559,0,0.000326,0.003265,0.500000,0.000064,0.044004
