TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.066112,0.500000,0,0.006612,0.066112,0.500000,0.000241,0.000153
A10003,1,0,0,1,0,1,0,1,0,0.045291,0.500000,0,0.004530,0.045291,0.500000,0.000166,0.000159
A10005,1,0,0,1,0,1,0,1,0,0.066793,0.500000,0,0.006680,0.066793,0.500000,0.000244,0.000106
A11001,1,0,0,1,0,1,0,1,0,0.075740,0.500000,0,0.007574,0.075740,0.500000,0.000277,0.000232
A24001,1,0,0,1,0,1,0,1,0,0.111680,0.500000,0,0.011168,0.111680,0.500000,0.000408,0.000318
A24003,1,0,0,1,0,1,0,1,0,0.052003,0.500000,0,0.005200,0.052003,0.500000,0.000190,0.000179
A24005,1,0,0,1,0,1,0,1,0,0.058583,0.500000,0,0.005858,0.058583,0.500000,0.000214,0.000139
A24009,1,0,0,1,0,1,0,1,0,0.055807,0.500000,0,0.005581,0.055807,0.500000,0.000204,0.000170
A24011,1,0,0,1,0,1,0,1,0,0.046745,0.500000,0,0.004675,0.046745,0.500000,0.000171,0.000160
A24013,1,0,0,1,0,1,0,1,0,0.068015,0.500000,0,0.006802,0.068015,0.500000,0.000248,0.000193
A24015,1,0,0,1,0,1,0,1,0,0.074795,0.500000,0,0.007480,0.074795,0.500000,0.000273,0.000176
A24017,1,0,0,1,0,1,0,1,0,0.045826,0.500000,0,0.004583,0.045826,0.500000,0.000167,0.000231
A24019,1,0,0,1,0,1,0,1,0,0.047035,0.500000,0,0.004704,0.047035,0.500000,0.000172,0.000182
A24021,1,0,0,1,0,1,0,1,0,0.077400,0.500000,0,0.007740,0.077400,0.500000,0.000283,0.000202
A24023,1,0,0,1,0,1,0,1,0,0.038637,0.500000,0,0.003864,0.038637,0.500000,0.000141,0.000152
A24025,1,0,0,1,0,1,0,1,0,0.048741,0.500000,0,0.004874,0.048741,0.500000,0.000178,0.000133
A24027,1,0,0,1,0,1,0,1,0,0.067631,0.500000,0,0.006764,0.067631,0.500000,0.000247,0.000171
A24029,1,0,0,1,0,1,0,1,0,0.046705,0.500000,0,0.004670,0.046705,0.500000,0.000171,0.000147
A24031,1,0,0,1,0,1,0,1,0,0.075236,0.500000,0,0.007524,0.075236,0.500000,0.000275,0.000177
A24033,1,0,0,1,0,1,0,1,0,0.091018,0.500000,0,0.009102,0.091018,0.500000,0.000332,0.000219
A24035,1,0,0,1,0,1,0,1,0,0.052412,0.500000,0,0.005241,0.052412,0.500000,0.000191,0.000135
A24037,1,0,0,1,0,1,0,1,0,0.082909,0.500000,0,0.008291,0.082909,0.500000,0.000302,0.000238
A24039,1,0,0,1,0,1,0,1,0,0.048294,0.500000,0,0.004829,0.048294,0.500000,0.000176,0.000187
A24041,1,0,0,1,0,1,0,1,0,0.043669,0.500000,0,0.004367,0.043669,0.500000,0.000159,0.000152
A24043,1,0,0,1,0,1,0,1,0,0.138474,0.500000,0,0.013848,0.138474,0.500000,0.000505,0.000101
A24045,1,0,0,1,0,1,0,1,0,0.062493,0.500000,0,0.006249,0.062493,0.500000,0.000228,0.000189
A24047,1,0,0,1,0,1,0,1,0,0.060235,0.500000,0,0.006024,0.060235,0.500000,0.000220,0.000185
A24510,1,0,0,1,0,1,0,1,0,0.048198,0.500000,0,0.004820,0.048198,0.500000,0.000176,0.000150
A36003,1,0,0,1,0,1,0,1,0,0.094754,0.500000,0,0.009476,0.094754,0.500000,0.000346,0.000307
A36007,1,0,0,1,0,1,0,1,0,0.052388,0.500000,0,0.005239,0.052388,0.500000,0.000191,0.000169
A36011,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A36015,1,0,0,1,0,1,0,1,0,0.084288,0.500000,0,0.008429,0.084288,0.500000,0.000308,0.000276
A36017,1,0,0,1,0,1,0,1,0,0.042985,0.500000,0,0.004299,0.042985,0.500000,0.000157,0.000139
A36023,1,0,0,1,0,1,0,1,0,0.039885,0.500000,0,0.003989,0.039885,0.500000,0.000146,0.000120
A36025,1,0,0,1,0,1,0,1,0,0.043239,0.500000,0,0.004324,0.043239,0.500000,0.000158,0.000152
A36043,1,0,0,1,0,1,0,1,0,0.037441,0.500000,0,0.003744,0.037441,0.500000,0.000137,0.000136
A36051,1,0,0,1,0,1,0,1,0,0.041007,0.500000,0,0.004101,0.041007,0.500000,0.000150,0.000209
A36053,1,0,0,1,0,1,0,1,0,0.037168,0.500000,0,0.003717,0.037168,0.500000,0.000136,0.000117
A36065,1,0,0,1,0,1,0,1,0,0.034489,0.500000,0,0.003449,0.034489,0.500000,0.000126,0.000122
A36067,1,0,0,1,0,1,0,1,0,0.040560,0.500000,0,0.004056,0.040560,0.500000,0.000148,0.000114
A36069,1,0,0,1,0,1,0,1,0,0.044374,0.500000,0,0.004437,0.044374,0.500000,0.000162,0.000212
A36077,1,0,0,1,0,1,0,1,0,0.042057,0.500000,0,0.004206,0.042057,0.500000,0.000154,0.000141
A36095,1,0,0,1,0,1,0,1,0,0.038629,0.500000,0,0.003863,0.038629,0.500000,0.000141,0.000139
A36097,1,0,0,1,0,1,0,1,0,0.046330,0.500000,0,0.004633,0.046330,0.500000,0.000169,0.000225
A36101,1,0,0,1,0,1,0,1,0,0.059229,0.500000,0,0.005923,0.059229,0.500000,0.000216,0.000239
A36107,1,0,0,1,0,1,0,1,0,0.062004,0.500000,0,0.006200,0.062004,0.500000,0.000226,0.000209
A36109,1,0,0,1,0,1,0,1,0,0.059471,0.500000,0,0.005947,0.059471,0.500000,0.000217,0.000216
A36123,1,0,0,1,0,1,0,1,0,0.045611,0.500000,0,0.004562,0.045611,0.500000,0.000166,0.000212
A37001,1,0,0,1,0,1,0,1,0,0.197499,0.500000,0,0.019750,0.197499,0.500000,0.000480,0.000526
A37005,1,0,0,1,0,1,0,1,0,0.079956,0.500000,0,0.007996,0.079956,0.500000,0.000194,0.000192
A37009,1,0,0,1,0,1,0,1,0,0.077070,0.500000,0,0.007707,0.077070,0.500000,0.000187,0.000167
A37033,1,0,0,1,0,1,0,1,0,0.235042,0.500000,0,0.023505,0.235042,0.500000,0.000572,0.000478
A37067,1,0,0,1,0,1,0,1,0,0.198933,0.500000,0,0.019893,0.198933,0.500000,0.000484,0.000325
