TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.051528,0.114351,0,0.005153,0.051528,0.500000,0.000114,0.494E-05
A10003,1,0,0,1,0,1,0,1,0,0.034019,0.075496,0,0.003402,0.034019,0.500000,0.000076,0.443E-05
A10005,1,0,0,1,0,1,0,1,0,0.049833,0.110588,0,0.004983,0.049833,0.500000,0.000110,0.337E-05
A11001,1,0,0,1,0,1,0,1,0,0.051508,0.114305,0,0.005150,0.051508,0.500000,0.000114,0.761E-05
A24001,1,0,0,1,0,1,0,1,0,0.058482,0.129783,0,0.005848,0.058482,0.500000,0.000130,0.982E-05
A24003,1,0,0,1,0,1,0,1,0,0.037064,0.082252,0,0.003707,0.037064,0.500000,0.000082,0.503E-05
A24005,1,0,0,1,0,1,0,1,0,0.047743,0.105950,0,0.004774,0.047743,0.500000,0.000106,0.425E-05
A24009,1,0,0,1,0,1,0,1,0,0.045242,0.100400,0,0.004524,0.045242,0.500000,0.000100,0.515E-05
A24011,1,0,0,1,0,1,0,1,0,0.034460,0.076474,0,0.003446,0.034460,0.500000,0.000077,0.460E-05
A24013,1,0,0,1,0,1,0,1,0,0.047138,0.104607,0,0.004713,0.047138,0.500000,0.000104,0.580E-05
A24015,1,0,0,1,0,1,0,1,0,0.050312,0.111651,0,0.005031,0.050312,0.500000,0.000112,0.542E-05
A24017,1,0,0,1,0,1,0,1,0,0.035335,0.078415,0,0.003533,0.035335,0.500000,0.000079,0.719E-05
A24019,1,0,0,1,0,1,0,1,0,0.033598,0.074560,0,0.003360,0.033598,0.500000,0.000075,0.535E-05
A24021,1,0,0,1,0,1,0,1,0,0.049629,0.110135,0,0.004962,0.049629,0.500000,0.000110,0.603E-05
A24023,1,0,0,1,0,1,0,1,0,0.030129,0.066861,0,0.003013,0.030129,0.500000,0.000067,0.432E-05
A24025,1,0,0,1,0,1,0,1,0,0.040760,0.090455,0,0.004076,0.040760,0.500000,0.000091,0.391E-05
A24027,1,0,0,1,0,1,0,1,0,0.047646,0.105735,0,0.004765,0.047646,0.500000,0.000105,0.511E-05
A24029,1,0,0,1,0,1,0,1,0,0.035786,0.079414,0,0.003578,0.035786,0.500000,0.000080,0.420E-05
A24031,1,0,0,1,0,1,0,1,0,0.052237,0.115923,0,0.005223,0.052237,0.500000,0.000115,0.552E-05
A24033,1,0,0,1,0,1,0,1,0,0.055039,0.122143,0,0.005504,0.055039,0.500000,0.000122,0.683E-05
A24035,1,0,0,1,0,1,0,1,0,0.043132,0.095717,0,0.004313,0.043132,0.500000,0.000096,0.409E-05
A24037,1,0,0,1,0,1,0,1,0,0.049070,0.108895,0,0.004907,0.049070,0.500000,0.000109,0.735E-05
A24039,1,0,0,1,0,1,0,1,0,0.034048,0.075560,0,0.003405,0.034048,0.500000,0.000076,0.548E-05
A24041,1,0,0,1,0,1,0,1,0,0.033787,0.074982,0,0.003378,0.033787,0.500000,0.000075,0.440E-05
A24043,1,0,0,1,0,1,0,1,0,0.084205,0.186867,0,0.008420,0.084205,0.500000,0.000187,0.351E-05
A24045,1,0,0,1,0,1,0,1,0,0.041879,0.092938,0,0.004188,0.041879,0.500000,0.000093,0.608E-05
A24047,1,0,0,1,0,1,0,1,0,0.041116,0.091243,0,0.004112,0.041116,0.500000,0.000091,0.587E-05
A24510,1,0,0,1,0,1,0,1,0,0.037882,0.084068,0,0.003788,0.037882,0.500000,0.000084,0.423E-05
A36003,1,0,0,1,0,1,0,1,0,0.051003,0.113185,0,0.005100,0.051003,0.500000,0.000113,0.887E-05
A36007,1,0,0,1,0,1,0,1,0,0.037873,0.084046,0,0.003787,0.037873,0.500000,0.000085,0.495E-05
A36011,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A36015,1,0,0,1,0,1,0,1,0,0.049172,0.109122,0,0.004917,0.049172,0.500000,0.000109,0.849E-05
A36017,1,0,0,1,0,1,0,1,0,0.033742,0.074880,0,0.003374,0.033742,0.500000,0.000075,0.405E-05
A36023,1,0,0,1,0,1,0,1,0,0.034375,0.076285,0,0.003437,0.034375,0.500000,0.000076,0.352E-05
A36025,1,0,0,1,0,1,0,1,0,0.035744,0.079321,0,0.003575,0.035744,0.500000,0.000080,0.448E-05
A36043,1,0,0,1,0,1,0,1,0,0.032078,0.071187,0,0.003208,0.032078,0.500000,0.000072,0.399E-05
A36051,1,0,0,1,0,1,0,1,0,0.034715,0.077038,0,0.003472,0.034715,0.500000,0.000077,0.595E-05
A36053,1,0,0,1,0,1,0,1,0,0.034938,0.077536,0,0.003494,0.034938,0.500000,0.000077,0.352E-05
A36065,1,0,0,1,0,1,0,1,0,0.031950,0.070903,0,0.003195,0.031950,0.500000,0.000071,0.364E-05
A36067,1,0,0,1,0,1,0,1,0,0.036189,0.080309,0,0.003618,0.036189,0.500000,0.000080,0.339E-05
A36069,1,0,0,1,0,1,0,1,0,0.037634,0.083517,0,0.003763,0.037634,0.500000,0.000084,0.613E-05
A36077,1,0,0,1,0,1,0,1,0,0.035134,0.077968,0,0.003513,0.035134,0.500000,0.000078,0.414E-05
A36095,1,0,0,1,0,1,0,1,0,0.033948,0.075337,0,0.003395,0.033948,0.500000,0.000075,0.408E-05
