TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.002239,0.,10.00000,0.005000,na,na,0.005000,0.002239,0.,10.00000,0.005000,na,na,0.000100,0.000457,0.010000,0.741657,0.000100,na,na,0.000100,0.000457,0.010000,0.741657,0.000100,810.8945,50000.00,0.00001,1.07,25149.78,315.8674,0.00001,1.07,91.73035,861.5469,0.00001,1.07,91.73035,861.5469,0.00001,1.07,na,na,na,na,na,na
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.000833,0.,10.00000,0.005000,na,na,0.005000,0.000833,0.,10.00000,0.005000,na,na,0.000100,0.100000,0.100E-04,0.491767,0.000100,na,na,0.000100,0.100000,0.100E-04,0.491767,0.000100,139.7706,50000.00,0.00001,1.07,50000.00,1261.000,0.00001,1.07,0.601922,1205.704,0.00001,1.07,0.601922,1205.704,0.00001,1.07,na,na,na,na,na,na
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001177,0.,10.00000,0.005000,na,na,0.005000,0.001177,0.,10.00000,0.005000,na,na,0.000100,0.000246,0.010000,0.274055,0.000100,na,na,0.000100,0.000246,0.010000,0.274055,0.000100,883.3205,50000.00,0.00001,1.07,18245.79,274.7752,0.00001,1.07,224.6501,1391.441,0.00001,1.07,224.6501,1391.441,0.00001,1.07,na,na,na,na,na,na
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001430,0.,10.00000,0.005000,na,na,0.005000,0.001430,0.,10.00000,0.005000,na,na,0.000100,0.000868,0.010000,0.425254,0.000100,na,na,0.000100,0.000868,0.010000,0.425254,0.000100,208.5438,50000.00,0.00001,1.07,44090.16,4084.444,0.00001,1.07,42.00830,621.6896,0.00001,1.07,42.00830,621.6896,0.00001,1.07,na,na,na,na,na,na
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001051,0.,10.00000,0.005000,na,na,0.005000,0.001051,0.,10.00000,0.005000,na,na,0.000100,0.007158,0.001300,1.384036,0.000100,na,na,0.000100,0.007158,0.001300,1.384036,0.000100,145.9258,50000.00,0.00001,1.07,50000.00,864.1689,0.00001,1.07,12.38854,1069.547,0.00001,1.07,12.38854,1069.547,0.00001,1.07,na,na,na,na,na,na
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.000698,0.,10.00000,0.005000,na,na,0.005000,0.000698,0.,10.00000,0.005000,na,na,0.000100,0.039735,0.000488,0.308719,0.000100,na,na,0.000100,0.039735,0.000488,0.308719,0.000100,36.50282,50000.00,0.00001,1.07,50000.00,4112.718,0.00001,1.07,2.379877,1253.976,0.00001,1.07,2.379877,1253.976,0.00001,1.07,na,na,na,na,na,na
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.002151,0.,10.00000,0.005000,na,na,0.005000,0.002151,0.,10.00000,0.005000,na,na,0.000100,0.000461,0.010000,0.512695,0.000100,na,na,0.000100,0.000461,0.010000,0.512695,0.000100,168.2028,10352.39,0.00001,1.07,44861.38,50000.00,0.00001,1.07,130.3092,1198.889,0.00001,1.07,130.3092,1198.889,0.00001,1.07,na,na,na,na,na,na
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001401,0.,10.00000,0.005000,na,na,0.005000,0.001401,0.,10.00000,0.005000,na,na,0.000100,0.001496,0.008393,1.155825,0.000100,na,na,0.000100,0.001496,0.008393,1.155825,0.000100,297.2082,50000.00,0.00001,1.07,36308.80,3404.111,0.00001,1.07,44.38586,912.6622,0.00001,1.07,44.38586,912.6622,0.00001,1.07,na,na,na,na,na,na
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.000476,0.,10.00000,0.005000,na,na,0.005000,0.000476,0.,10.00000,0.005000,na,na,0.000100,0.100000,0.100E-04,0.528980,0.000100,na,na,0.000100,0.100000,0.100E-04,0.528980,0.000100,134.7990,49951.45,0.00001,1.07,50000.00,1078.558,0.00001,1.07,0.767692,1136.709,0.00001,1.07,0.767692,1136.709,0.00001,1.07,na,na,na,na,na,na
