TABLE->,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.000078,0.004109,0,0.789E-05,0.000078,0.500000,0.411E-05,0.202E-05
A10003,1,0,0,1,0,1,0,1,0,0.000028,0.001398,0,0.285E-05,0.000028,0.500000,0.140E-05,0.139E-05
A10005,1,0,0,1,0,1,0,1,0,0.000071,0.003253,0,0.709E-05,0.000071,0.500000,0.325E-05,0.151E-05
A11001,1,0,0,1,0,1,0,1,0,0.000099,0.004262,0,0.995E-05,0.000099,0.500000,0.426E-05,0.361E-05
A24001,1,0,0,1,0,1,0,1,0,0.000032,0.002295,0,0.326E-05,0.000032,0.500000,0.229E-05,0.239E-05
A24003,1,0,0,1,0,1,0,1,0,0.000033,0.001542,0,0.330E-05,0.000033,0.500000,0.154E-05,0.167E-05
A24005,1,0,0,1,0,1,0,1,0,0.000084,0.004002,0,0.840E-05,0.000084,0.500000,0.400E-05,0.175E-05
A24009,1,0,0,1,0,1,0,1,0,0.000049,0.002680,0,0.487E-05,0.000049,0.500000,0.268E-05,0.179E-05
A24011,1,0,0,1,0,1,0,1,0,0.000028,0.001286,0,0.273E-05,0.000028,0.500000,0.128E-05,0.162E-05
A24013,1,0,0,1,0,1,0,1,0,0.000054,0.002669,0,0.539E-05,0.000054,0.500000,0.267E-05,0.211E-05
A24015,1,0,0,1,0,1,0,1,0,0.000066,0.003259,0,0.652E-05,0.000066,0.500000,0.326E-05,0.209E-05
A24017,1,0,0,1,0,1,0,1,0,0.000025,0.001409,0,0.251E-05,0.000025,0.500000,0.141E-05,0.234E-05
A24019,1,0,0,1,0,1,0,1,0,0.000014,0.000847,0,0.139E-05,0.000014,0.500000,0.845E-06,0.152E-05
A24021,1,0,0,1,0,1,0,1,0,0.000051,0.002617,0,0.513E-05,0.000051,0.500000,0.262E-05,0.210E-05
A24023,1,0,0,1,0,1,0,1,0,0.000020,0.001015,0,0.193E-05,0.000020,0.500000,0.101E-05,0.136E-05
A24025,1,0,0,1,0,1,0,1,0,0.000048,0.002404,0,0.481E-05,0.000048,0.500000,0.240E-05,0.139E-05
A24027,1,0,0,1,0,1,0,1,0,0.000065,0.003080,0,0.653E-05,0.000065,0.500000,0.308E-05,0.198E-05
A24029,1,0,0,1,0,1,0,1,0,0.000030,0.001530,0,0.302E-05,0.000030,0.500000,0.153E-05,0.136E-05
A24031,1,0,0,1,0,1,0,1,0,0.000083,0.003972,0,0.826E-05,0.000083,0.500000,0.397E-05,0.226E-05
A24033,1,0,0,1,0,1,0,1,0,0.000066,0.003223,0,0.651E-05,0.000066,0.500000,0.323E-05,0.257E-05
A24035,1,0,0,1,0,1,0,1,0,0.000051,0.002633,0,0.511E-05,0.000051,0.500000,0.263E-05,0.148E-05
A24037,1,0,0,1,0,1,0,1,0,0.000031,0.001897,0,0.315E-05,0.000031,0.500000,0.190E-05,0.209E-05
A24039,1,0,0,1,0,1,0,1,0,0.000017,0.000917,0,0.173E-05,0.000017,0.500000,0.916E-06,0.176E-05
A24041,1,0,0,1,0,1,0,1,0,0.000021,0.001153,0,0.208E-05,0.000021,0.500000,0.115E-05,0.134E-05
A24043,1,0,0,1,0,1,0,1,0,0.000239,0.013232,0,0.000024,0.000239,0.500000,0.000013,0.162E-05
A24045,1,0,0,1,0,1,0,1,0,0.000032,0.001628,0,0.329E-05,0.000032,0.500000,0.162E-05,0.244E-05
A24047,1,0,0,1,0,1,0,1,0,0.000024,0.001392,0,0.245E-05,0.000024,0.500000,0.139E-05,0.203E-05
