TABLE->,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.280511,0.317968,0,0.028051,0.280511,0.500000,0.000318,0.050231
A10003,1,0,0,1,0,1,0,1,0,0.161244,0.182775,0,0.016124,0.161244,0.500000,0.000182,0.038029
A10005,1,0,0,1,0,1,0,1,0,0.403928,0.457865,0,0.040393,0.403928,0.500000,0.000458,0.033121
A11001,1,0,0,1,0,1,0,1,0,0.280330,0.317762,0,0.028033,0.280330,0.500000,0.000318,0.077895
A24001,1,0,0,1,0,1,0,1,0,0.132247,0.149905,0,0.013225,0.132247,0.500000,0.000150,0.094229
A24003,1,0,0,1,0,1,0,1,0,0.089121,0.101021,0,0.008912,0.089121,0.500000,0.000102,0.043832
A24005,1,0,0,1,0,1,0,1,0,0.094247,0.106832,0,0.009425,0.094247,0.500000,0.000107,0.042020
A24009,1,0,0,1,0,1,0,1,0,0.055701,0.063139,0,0.005571,0.055701,0.500000,0.000063,0.049934
A24011,1,0,0,1,0,1,0,1,0,0.204068,0.231317,0,0.020407,0.204068,0.500000,0.000231,0.040753
A24013,1,0,0,1,0,1,0,1,0,0.169412,0.192034,0,0.016941,0.169412,0.500000,0.000192,0.055315
A24015,1,0,0,1,0,1,0,1,0,0.139658,0.158306,0,0.013966,0.139658,0.500000,0.000158,0.053397
A24017,1,0,0,1,0,1,0,1,0,0.077635,0.088001,0,0.007763,0.077635,0.500000,0.000088,0.070701
A24019,1,0,0,1,0,1,0,1,0,0.180711,0.204841,0,0.018071,0.180711,0.500000,0.000205,0.049412
A24021,1,0,0,1,0,1,0,1,0,0.103227,0.117010,0,0.010323,0.103227,0.500000,0.000117,0.057806
A24023,1,0,0,1,0,1,0,1,0,0.125335,0.142071,0,0.012533,0.125335,0.500000,0.000142,0.038625
A24025,1,0,0,1,0,1,0,1,0,0.139696,0.158350,0,0.013970,0.139696,0.500000,0.000158,0.036700
A24027,1,0,0,1,0,1,0,1,0,0.122691,0.139074,0,0.012269,0.122691,0.500000,0.000139,0.049131
A24029,1,0,0,1,0,1,0,1,0,0.156312,0.177184,0,0.015631,0.156312,0.500000,0.000177,0.037166
A24031,1,0,0,1,0,1,0,1,0,0.101883,0.115487,0,0.010188,0.101883,0.500000,0.000116,0.054920
A24033,1,0,0,1,0,1,0,1,0,0.052057,0.059007,0,0.005206,0.052057,0.500000,0.000059,0.066743
A24035,1,0,0,1,0,1,0,1,0,0.220125,0.249519,0,0.022012,0.220125,0.500000,0.000250,0.039216
A24037,1,0,0,1,0,1,0,1,0,0.110537,0.125297,0,0.011054,0.110537,0.500000,0.000126,0.069657
A24039,1,0,0,1,0,1,0,1,0,0.176740,0.200340,0,0.017674,0.176740,0.500000,0.000200,0.050135
A24041,1,0,0,1,0,1,0,1,0,0.224156,0.254088,0,0.022416,0.224156,0.500000,0.000254,0.039793
A24043,1,0,0,1,0,1,0,1,0,0.191943,0.217573,0,0.019194,0.191943,0.500000,0.000218,0.038404
A24045,1,0,0,1,0,1,0,1,0,0.199839,0.226524,0,0.019984,0.199839,0.500000,0.000227,0.060458
A24047,1,0,0,1,0,1,0,1,0,0.187782,0.212856,0,0.018778,0.187782,0.500000,0.000213,0.058382
A24510,1,0,0,1,0,1,0,1,0,0.197317,0.223665,0,0.019732,0.197317,0.500000,0.000224,0.037163
A36003,1,0,0,1,0,1,0,1,0,0.136718,0.154974,0,0.013672,0.136718,0.500000,0.000155,0.080085
A36007,1,0,0,1,0,1,0,1,0,0.178665,0.202522,0,0.017866,0.178665,0.500000,0.000203,0.045388
A36011,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
