TABLE->,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1
VARS->,CSNO,RTOP,UZFG,VCS,VUZ,VNN,VIFW,VIRC,VLE,FOREST,LZSN,INFILT,LSUR,SLSUR,KVARY,AGWR,PETMAX,PETMIN,INFEXP,INFILD,DEEPFR,BASETPR,AGWETP,CEPSC,UZSN,NSUR,INTFW,IRC,LZETP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,CEPS,SURS,UZS,IFWS,LZS,AGWS,GWVS
A10001,1,1,0,1,1,1,0,0,1,0,12.00000,0.051241,523,0.008,0.,0.925911,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.110834,0.313344,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.166965066,0.166965066,0.165272165,0.169264552,0.203848689,0.235714987,0.266581212,0.279802538,0.298057463,0.316561996,0.168907575,0.166965066,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A10003,1,1,0,1,1,1,0,0,1,0,12.00000,0.051241,431,0.019,0.,0.925911,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.110834,0.313344,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.167646227,0.167646227,0.166032072,0.177049803,0.225404033,0.267566463,0.291431784,0.24242016,0.25325269,0.264333503,0.169508667,0.167646227,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A10005,1,1,0,1,1,1,0,0,1,0,8.019775,0.113856,567,0.005,0.,0.969468,40,35,2,2,0,0,0.024668,NA,0.7,NA,1.318482,0.560250,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.673661,0.673661,0.673661,0.673661,0.673661,0.785938,1.066630,1.122769,1.122769,0.898215,0.785938,0.729800,0.167640931,0.167640931,0.16589607,0.164405382,0.188096111,0.21178439,0.247924163,0.309450915,0.333375971,0.3575503,0.169635066,0.167640931,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A11001,1,1,0,1,1,1,0,0,1,0,12.00000,0.029338,275,0.076,0.,0.963073,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.725749,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.171192041,0.171192041,0.169904132,0.18756196,0.208114946,0.260945072,0.324878851,0.327433617,0.321258607,0.311896417,0.301739945,0.171192041,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24001,1,1,0,1,1,1,0,0,1,0,12.00000,0.017857,239,0.105,0.,0.920000,40,35,2,2,0,0,0.008331,NA,0.7,NA,2.000000,0.438164,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.180017217,0.180017217,0.178802729,0.201331749,0.223773748,0.257462489,0.313476538,0.335653339,0.358048629,0.357324994,0.345045061,0.180017217,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24003,1,1,0,1,1,1,0,0,1,0,12.00000,0.041111,336,0.044,0.,0.980493,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.145451,0.437647,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.168419902,0.168419902,0.167359565,0.178748831,0.196536483,0.271128859,0.340169668,0.317680192,0.275549462,0.255676099,0.248703344,0.168419902,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24005,1,1,0,1,1,1,0,0,1,0,12.00000,0.060270,281,0.073,0.,0.956668,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.197956,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.167416173,0.167416173,0.166037564,0.189764749,0.213440126,0.249238336,0.309445037,0.333092361,0.356984143,0.356233214,0.169148031,0.167416173,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24009,1,1,0,1,1,1,0,0,1,0,12.00000,0.057581,321,0.050,0.,0.920000,40,35,2,2,0,0,0.001000,NA,0.7,NA,3.077707,0.332385,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.167238063,0.167238063,0.165720048,0.16961211,0.183588487,0.27940415,0.358968464,0.31310977,0.237183479,0.207306532,0.203148634,0.167238063,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24011,1,1,0,1,1,1,0,0,1,0,9.767185,0.055283,549,0.006,0.,0.946019,40,35,2,2,0,0,0.023216,NA,0.7,NA,2.000000,0.321404,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.820444,0.820444,0.820444,0.820444,0.820444,0.957184,1.299036,1.367406,1.367406,1.093925,0.957184,0.888814,0.166921167,0.166921167,0.165458886,0.189080758,0.212690427,0.24864719,0.309700857,0.333486649,0.357517906,0.356769692,0.343632241,0.166921167,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
