TABLE->,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.000359,0.013796,0,0.000036,0.000359,0.500000,0.000013,0.519E-05
A10003,1,0,0,1,0,1,0,1,0,0.000169,0.006499,0,0.000017,0.000169,0.500000,0.650E-05,0.368E-05
A10005,1,0,0,1,0,1,0,1,0,0.000305,0.011728,0,0.000031,0.000305,0.500000,0.000012,0.350E-05
A11001,1,0,0,1,0,1,0,1,0,0.000329,0.012662,0,0.000033,0.000329,0.500000,0.000013,0.781E-05
A24001,1,0,0,1,0,1,0,1,0,0.000349,0.013429,0,0.000035,0.000349,0.500000,0.000013,0.939E-05
A24003,1,0,0,1,0,1,0,1,0,0.000182,0.007014,0,0.000018,0.000182,0.500000,0.702E-05,0.423E-05
A24005,1,0,0,1,0,1,0,1,0,0.000347,0.013360,0,0.000034,0.000347,0.500000,0.000013,0.422E-05
A24009,1,0,0,1,0,1,0,1,0,0.000276,0.010623,0,0.000028,0.000276,0.500000,0.000011,0.508E-05
A24011,1,0,0,1,0,1,0,1,0,0.000155,0.005956,0,0.000015,0.000155,0.500000,0.595E-05,0.404E-05
A24013,1,0,0,1,0,1,0,1,0,0.000284,0.010894,0,0.000028,0.000284,0.500000,0.000011,0.549E-05
A24015,1,0,0,1,0,1,0,1,0,0.000303,0.011650,0,0.000031,0.000303,0.500000,0.000012,0.533E-05
A24017,1,0,0,1,0,1,0,1,0,0.000180,0.006929,0,0.000018,0.000180,0.500000,0.693E-05,0.712E-05
A24019,1,0,0,1,0,1,0,1,0,0.000132,0.005084,0,0.000013,0.000132,0.500000,0.509E-05,0.488E-05
A24021,1,0,0,1,0,1,0,1,0,0.000285,0.010951,0,0.000029,0.000285,0.500000,0.000011,0.570E-05
A24023,1,0,0,1,0,1,0,1,0,0.000139,0.005351,0,0.000014,0.000139,0.500000,0.535E-05,0.382E-05
A24025,1,0,0,1,0,1,0,1,0,0.000246,0.009448,0,0.000024,0.000246,0.500000,0.977E-05,0.366E-05
A24027,1,0,0,1,0,1,0,1,0,0.000298,0.011448,0,0.000030,0.000298,0.500000,0.000011,0.488E-05
