TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A10001,5.056500,1,0.03,0.3,0,50,85.87550,5,0.5,2,0,550,90.33051,5,1,8,0,300,7.686000,6,0.5,1,0,100,0,0,0,0,na,na
A10003,3.977000,1,0.03,0.3,0,50,312.2585,5,0.5,2,0,550,14.00050,5,1,8,0,300,1.235500,6,0.5,1,0,100,0,0,0,0,na,na
A10005,9.961000,1,0.03,0.3,0,50,76.45500,5,0.5,2,0,550,135.3735,5,1,8,0,300,15.23450,6,0.5,1,0,100,0,0,0,0,na,na
A11001,7.990000,1,0.03,0.3,0,50,120.4080,5,0.5,2,0,550,114.6265,5,1,8,0,300,10.73000,6,0.5,1,0,100,0,0,0,0,na,na
A24001,2.115000,1,0.03,0.3,0,50,269.0265,5,0.5,2,0,550,21.77550,5,1,8,0,300,1.019500,6,0.5,1,0,100,0,0,0,0,na,na
A24003,1.898000,1,0.03,0.3,0,50,231.9515,5,0.5,2,0,550,16.64950,5,1,8,0,300,1.573000,6,0.5,1,0,100,0,0,0,0,na,na
A24009,0.804500,1,0.03,0.3,0,50,67.01900,5,0.5,2,0,550,47.37950,5,1,8,0,300,3.211000,6,0.5,1,0,100,0,0,0,0,na,na
A24005,1.891000,1,0.03,0.3,0,50,231.5745,5,0.5,2,0,550,84.69850,5,1,8,0,300,8.427000,6,0.5,1,0,100,0,0,0,0,na,na
A24011,0.293000,1,0.03,0.3,0,50,398.6545,5,0.5,2,0,550,22.11150,5,1,8,0,300,1.887500,6,0.5,1,0,100,0,0,0,0,na,na
A24013,4.816000,1,0.03,0.3,0,50,377.9120,5,0.5,2,0,550,27.50550,5,1,8,0,300,2.098500,6,0.5,1,0,100,0,0,0,0,na,na
A24015,1.590000,1,0.03,0.3,0,50,291.0535,5,0.5,2,0,550,56.01450,5,1,8,0,300,4.893500,6,0.5,1,0,100,0,0,0,0,na,na
A24017,1.341000,1,0.03,0.3,0,50,169.5870,5,0.5,2,0,550,23.46900,5,1,8,0,300,1.799500,6,0.5,1,0,100,0,0,0,0,na,na
A24019,0.028000,1,0.03,0.3,0,50,357.7535,5,0.5,2,0,550,39.27150,5,1,8,0,300,3.658500,6,0.5,1,0,100,0,0,0,0,na,na
A24021,1.937000,1,0.03,0.3,0,50,376.3025,5,0.5,2,0,550,21.73300,5,1,8,0,300,1.405500,6,0.5,1,0,100,0,0,0,0,na,na
A24023,2.509000,1,0.03,0.3,0,50,630.2180,5,0.5,2,0,550,12.56850,5,1,8,0,300,1.219000,6,0.5,1,0,100,0,0,0,0,na,na
A24025,3.469000,1,0.03,0.3,0,50,326.0605,5,0.5,2,0,550,72.00000,5,1,8,0,300,7.017000,6,0.5,1,0,100,0,0,0,0,na,na
A24027,2.779500,1,0.03,0.3,0,50,341.5170,5,0.5,2,0,550,46.78500,5,1,8,0,300,4.100000,6,0.5,1,0,100,0,0,0,0,na,na
A24029,2.326000,1,0.03,0.3,0,50,251.6605,5,0.5,2,0,550,16.55550,5,1,8,0,300,1.155000,6,0.5,1,0,100,0,0,0,0,na,na
A24031,2.241500,1,0.03,0.3,0,50,251.3140,5,0.5,2,0,550,64.57450,5,1,8,0,300,6.043500,6,0.5,1,0,100,0,0,0,0,na,na
A24033,1.172500,1,0.03,0.3,0,50,58.51350,5,0.5,2,0,550,59.30500,5,1,8,0,300,2.744500,6,0.5,1,0,100,0,0,0,0,na,na
A24035,4.908500,1,0.03,0.3,0,50,141.8235,5,0.5,2,0,550,76.08150,5,1,8,0,300,5.861000,6,0.5,1,0,100,0,0,0,0,na,na
A24037,2.369000,1,0.03,0.3,0,50,102.1820,5,0.5,2,0,550,15.06550,5,1,8,0,300,0.772500,6,0.5,1,0,100,0,0,0,0,na,na
A24039,0.042500,1,0.03,0.3,0,50,320.4920,5,0.5,2,0,550,37.83300,5,1,8,0,300,3.303000,6,0.5,1,0,100,0,0,0,0,na,na
A24041,4.330000,1,0.03,0.3,0,50,295.4485,5,0.5,2,0,550,29.66050,5,1,8,0,300,2.410500,6,0.5,1,0,100,0,0,0,0,na,na
A24043,4.273000,1,0.03,0.3,0,50,52.93500,5,0.5,2,0,550,251.8100,5,1,8,0,300,15.64800,6,0.5,1,0,100,0,0,0,0,na,na
A24045,0.279000,1,0.03,0.3,0,50,268.7880,5,0.5,2,0,550,64.55250,5,1,8,0,300,6.775000,6,0.5,1,0,100,0,0,0,0,na,na
A24047,0.482500,1,0.03,0.3,0,50,262.5270,5,0.5,2,0,550,74.24500,5,1,8,0,300,7.987000,6,0.5,1,0,100,0,0,0,0,na,na
A24510,4.374500,1,0.03,0.3,0,50,182.0585,5,0.5,2,0,550,74.95351,5,1,8,0,300,6.980500,6,0.5,1,0,100,0,0,0,0,na,na
A36003,0.,1,0.03,0.3,0,50,589.7310,5,0.5,2,0,550,9.726999,5,1,8,0,300,0.718000,6,0.5,1,0,100,0,0,0,0,na,na
A36007,0.,1,0.03,0.3,0,50,712.1910,5,0.5,2,0,550,57.28400,5,1,8,0,300,5.055000,6,0.5,1,0,100,0,0,0,0,na,na
A36015,0.,1,0.03,0.3,0,50,477.1960,5,0.5,2,0,550,8.860500,5,1,8,0,300,0.662000,6,0.5,1,0,100,0,0,0,0,na,na
A36017,0.,1,0.03,0.3,0,50,877.5795,5,0.5,2,0,550,47.57150,5,1,8,0,300,4.897500,6,0.5,1,0,100,0,0,0,0,na,na
A36023,0.194500,1,0.03,0.3,0,50,778.4045,5,0.5,2,0,550,72.77200,5,1,8,0,300,7.580500,6,0.5,1,0,100,0,0,0,0,na,na
A36025,1.242500,1,0.03,0.3,0,50,886.2125,5,0.5,2,0,550,69.71800,5,1,8,0,300,7.944500,6,0.5,1,0,100,0,0,0,0,na,na
A36043,0.004500,1,0.03,0.3,0,50,861.1110,5,0.5,2,0,550,44.39000,5,1,8,0,300,5.280500,6,0.5,1,0,100,0,0,0,0,na,na
A36051,3.251500,1,0.03,0.3,0,50,804.6930,5,0.5,2,0,550,45.80900,5,1,8,0,300,2.996500,6,0.5,1,0,100,0,0,0,0,na,na
A36053,2.255500,1,0.03,0.3,0,50,613.6565,5,0.5,2,0,550,102.8255,5,1,8,0,300,10.05750,6,0.5,1,0,100,0,0,0,0,na,na
A36065,1.258500,1,0.03,0.3,0,50,802.1720,5,0.5,2,0,550,47.34850,5,1,8,0,300,5.322000,6,0.5,1,0,100,0,0,0,0,na,na
A36067,2.763500,1,0.03,0.3,0,50,585.3345,5,0.5,2,0,550,77.90200,5,1,8,0,300,8.942500,6,0.5,1,0,100,0,0,0,0,na,na
A36069,5.230000,1,0.03,0.3,0,50,660.1245,5,0.5,2,0,550,39.17500,5,1,8,0,300,2.659000,6,0.5,1,0,100,0,0,0,0,na,na
A36077,0.756500,1,0.03,0.3,0,50,703.9196,5,0.5,2,0,550,48.77250,5,1,8,0,300,5.269000,6,0.5,1,0,100,0,0,0,0,na,na
A36095,1.857500,1,0.03,0.3,0,50,693.5795,5,0.5,2,0,550,66.20250,5,1,8,0,300,7.489500,6,0.5,1,0,100,0,0,0,0,na,na
A36097,3.819000,1,0.03,0.3,0,50,704.5950,5,0.5,2,0,550,9.149500,5,1,8,0,300,0.800000,6,0.5,1,0,100,0,0,0,0,na,na
A36101,1.057500,1,0.03,0.3,0,50,539.6630,5,0.5,2,0,550,8.022000,5,1,8,0,300,0.634500,6,0.5,1,0,100,0,0,0,0,na,na
A36107,0.,1,0.03,0.3,0,50,586.2360,5,0.5,2,0,550,13.91250,5,1,8,0,300,1.086500,6,0.5,1,0,100,0,0,0,0,na,na
A36109,0.,1,0.03,0.3,0,50,771.3685,5,0.5,2,0,550,5.084500,5,1,8,0,300,0.608000,6,0.5,1,0,100,0,0,0,0,na,na
A36123,2.890500,1,0.03,0.3,0,50,742.2400,5,0.5,2,0,550,18.12650,5,1,8,0,300,1.246500,6,0.5,1,0,100,0,0,0,0,na,na
A37001,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37005,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37009,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37033,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37067,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37077,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37081,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37131,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37135,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37145,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37157,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37169,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37171,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37181,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37185,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37189,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A42001,0.,1,0.03,0.3,0,50,313.3225,5,0.5,2,0,550,10.32300,5,1,8,0,300,0.740000,6,0.5,1,0,100,0,0,0,0,na,na
A42009,3.475500,1,0.03,0.3,0,50,595.4535,5,0.5,2,0,550,28.61050,5,1,8,0,300,2.682000,6,0.5,1,0,100,0,0,0,0,na,na
A42011,0.004500,1,0.03,0.3,0,50,589.5190,5,0.5,2,0,550,21.46250,5,1,8,0,300,1.741500,6,0.5,1,0,100,0,0,0,0,na,na
A42013,3.547000,1,0.03,0.3,0,50,611.7435,5,0.5,2,0,550,58.37150,5,1,8,0,300,4.930500,6,0.5,1,0,100,0,0,0,0,na,na
A42015,0.389000,1,0.03,0.3,0,50,577.5935,5,0.5,2,0,550,22.85700,5,1,8,0,300,1.968000,6,0.5,1,0,100,0,0,0,0,na,na
A42021,5.566000,1,0.03,0.3,0,50,475.8405,5,0.5,2,0,550,11.63100,5,1,8,0,300,0.921500,6,0.5,1,0,100,0,0,0,0,na,na
A42023,0.016500,1,0.03,0.3,0,50,1119.057,5,0.5,2,0,550,6.754000,5,1,8,0,300,0.571500,6,0.5,1,0,100,0,0,0,0,na,na
A42025,2.727500,1,0.03,0.3,0,50,496.1670,5,0.5,2,0,550,6.406000,5,1,8,0,300,0.760500,6,0.5,1,0,100,0,0,0,0,na,na
