TABLE->,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.007508,0.127879,0,0.000751,0.007508,0.500000,0.000128,0.044090
A10003,1,0,0,1,0,1,0,1,0,0.005357,0.091236,0,0.000536,0.005357,0.500000,0.000091,0.033414
A10005,1,0,0,1,0,1,0,1,0,0.018039,0.307235,0,0.001803,0.018039,0.500000,0.000307,0.029121
A11001,1,0,0,1,0,1,0,1,0,0.016738,0.285078,0,0.001673,0.016738,0.500000,0.000285,0.068594
A24001,1,0,0,1,0,1,0,1,0,0.005647,0.096182,0,0.000565,0.005647,0.500000,0.000096,0.083420
A24003,1,0,0,1,0,1,0,1,0,0.002531,0.043110,0,0.000253,0.002531,0.500000,0.000043,0.038863
A24005,1,0,0,1,0,1,0,1,0,0.002115,0.036019,0,0.000211,0.002115,0.500000,0.000036,0.036933
A24009,1,0,0,1,0,1,0,1,0,0.001130,0.019248,0,0.000113,0.001130,0.500000,0.000019,0.044538
A24011,1,0,0,1,0,1,0,1,0,0.008808,0.150009,0,0.000881,0.008808,0.500000,0.000150,0.035933
A24013,1,0,0,1,0,1,0,1,0,0.005813,0.099005,0,0.000581,0.005813,0.500000,0.000099,0.048967
A24015,1,0,0,1,0,1,0,1,0,0.003604,0.061383,0,0.000360,0.003604,0.500000,0.000061,0.046943
A24017,1,0,0,1,0,1,0,1,0,0.001711,0.029138,0,0.000171,0.001711,0.500000,0.000029,0.063534
A24019,1,0,0,1,0,1,0,1,0,0.008832,0.150420,0,0.000883,0.008832,0.500000,0.000150,0.044039
A24021,1,0,0,1,0,1,0,1,0,0.002619,0.044603,0,0.000262,0.002619,0.500000,0.000045,0.050404
A24023,1,0,0,1,0,1,0,1,0,0.005386,0.091731,0,0.000538,0.005386,0.500000,0.000092,0.033966
A24025,1,0,0,1,0,1,0,1,0,0.003632,0.061859,0,0.000363,0.003632,0.500000,0.000062,0.032377
A24027,1,0,0,1,0,1,0,1,0,0.003199,0.054488,0,0.000320,0.003199,0.500000,0.000054,0.043422
A24029,1,0,0,1,0,1,0,1,0,0.004357,0.074202,0,0.000436,0.004357,0.500000,0.000074,0.032543
A24031,1,0,0,1,0,1,0,1,0,0.002373,0.040415,0,0.000237,0.002373,0.500000,0.000040,0.048573
