TABLE->,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.011476,0.307168,0,0.001147,0.011476,0.500000,0.000307,0.024707
A10003,1,0,0,1,0,1,0,1,0,0.007975,0.213465,0,0.000798,0.007975,0.500000,0.000213,0.018477
A10005,1,0,0,1,0,1,0,1,0,0.026610,0.712258,0,0.002660,0.026610,0.500000,0.000712,0.016488
A11001,1,0,0,1,0,1,0,1,0,0.022917,0.613410,0,0.002291,0.022917,0.500000,0.000613,0.036543
A24001,1,0,0,1,0,1,0,1,0,0.007882,0.210969,0,0.000788,0.007882,0.500000,0.000211,0.043978
A24003,1,0,0,1,0,1,0,1,0,0.003730,0.099839,0,0.000373,0.003730,0.500000,0.000100,0.021301
A24005,1,0,0,1,0,1,0,1,0,0.003133,0.083858,0,0.000314,0.003133,0.500000,0.000084,0.020542
A24009,1,0,0,1,0,1,0,1,0,0.001760,0.047116,0,0.000176,0.001760,0.500000,0.000047,0.024533
A24011,1,0,0,1,0,1,0,1,0,0.012838,0.343637,0,0.001283,0.012838,0.500000,0.000344,0.019849
A24013,1,0,0,1,0,1,0,1,0,0.008574,0.229508,0,0.000857,0.008574,0.500000,0.000229,0.026645
A24015,1,0,0,1,0,1,0,1,0,0.005576,0.149262,0,0.000557,0.005576,0.500000,0.000149,0.025688
A24017,1,0,0,1,0,1,0,1,0,0.002658,0.071160,0,0.000266,0.002658,0.500000,0.000071,0.032895
A24019,1,0,0,1,0,1,0,1,0,0.012476,0.333947,0,0.001247,0.012476,0.500000,0.000334,0.023812
A24021,1,0,0,1,0,1,0,1,0,0.003859,0.103303,0,0.000385,0.003859,0.500000,0.000103,0.027665
A24023,1,0,0,1,0,1,0,1,0,0.007667,0.205222,0,0.000766,0.007667,0.500000,0.000205,0.018414
A24025,1,0,0,1,0,1,0,1,0,0.005565,0.148953,0,0.000556,0.005565,0.500000,0.000148,0.018156
A24027,1,0,0,1,0,1,0,1,0,0.004756,0.127312,0,0.000475,0.004756,0.500000,0.000127,0.023665
A24029,1,0,0,1,0,1,0,1,0,0.006651,0.178033,0,0.000665,0.006651,0.500000,0.000178,0.018326
A24031,1,0,0,1,0,1,0,1,0,0.003543,0.094844,0,0.000354,0.003543,0.500000,0.000095,0.026393
A24033,1,0,0,1,0,1,0,1,0,0.001757,0.047046,0,0.000175,0.001757,0.500000,0.000047,0.032025
