TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.033704,0.100000,0.,10.00000,0.033704,na,na,0.015779,0.041204,0.,10.00000,0.015779,na,na,0.001577,0.049772,0.000010,2.231797,0.001577,na,na,0.000100,0.049772,0.000010,2.066078,0.000100,0.100000,1361.699,0.0001,1.07,50000.00,6609.389,0.0001,1.07,0.616009,26.80493,0.0001,1.07,0.616009,26.80493,0.0001,1.07,0.247113,0.049423,0,0,1.07,20
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.000100,0.,10.00000,0.000100,na,na,0.000100,0.000100,0.,9.558656,0.000100,na,na,0.000100,0.100000,0.100E-04,1.423751,0.000100,na,na,0.000100,0.100000,0.100E-04,1.423751,0.000100,0.100000,563.2865,0.0001,1.07,50000.00,15977.66,0.0001,1.07,0.338627,49.63176,0.0001,1.07,0.338627,49.63176,0.0001,1.07,7.363498,1.472697,0,0,1.07,20
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.091108,0.096963,0.,10.00000,0.091108,na,na,0.045374,0.032964,0.,10.00000,0.045374,na,na,0.004537,0.002734,0.000265,1.633381,0.004537,na,na,0.000100,0.002734,0.000265,0.590541,0.000100,0.100000,45287.43,0.0001,1.07,50000.00,198.7307,0.0001,1.07,6.930285,37.28727,0.0001,1.07,6.930285,37.28727,0.0001,1.07,0.241838,0.048368,0,0,1.07,20
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.000100,0.,1.436354,1.000000,na,na,0.000100,0.000100,0.,0.718178,1.000000,na,na,0.000100,0.001214,0.000739,0.299342,0.200000,na,na,0.000100,0.001214,0.000739,0.201111,0.000100,1585.550,7021.271,0.0001,1.07,630.6954,1281.820,0.0001,1.07,3.889965,28.19996,0.0001,1.07,3.889965,28.19996,0.0001,1.07,13.16073,2.632151,0,0,1.07,20
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.171022,0.030229,0.,10.00000,0.171022,na,na,0.171022,0.001821,0.,10.00000,0.171022,na,na,0.026789,0.100000,0.100E-04,1.724630,0.026789,na,na,0.000100,0.100000,0.100E-04,1.034236,0.000100,241.0105,2235.502,0.0001,1.07,4149.197,4025.945,0.0001,1.07,0.230988,18.76509,0.0001,1.07,0.230988,18.76509,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000149,0.000405,0.,10.00000,0.000149,na,na,0.000111,0.000100,0.,10.00000,0.000111,na,na,0.000100,0.100000,0.100E-04,1.057356,0.000100,na,na,0.000100,0.100000,0.100E-04,0.313095,0.000100,0.100000,405.3635,0.0001,1.07,50000.00,22202.30,0.0001,1.07,0.273325,39.96314,0.0001,1.07,0.273325,39.96314,0.0001,1.07,0.943589,0.188718,0,0,1.07,20
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.140630,0.000462,0.,10.00000,0.140630,na,na,0.140630,0.000100,0.,10.00000,0.140630,na,na,0.021843,0.028206,0.000020,2.497018,0.021843,na,na,0.000100,0.028206,0.000020,0.819386,0.000100,61.58398,596.1284,0.0001,1.07,16237.99,15097.40,0.0001,1.07,1.559570,26.41699,0.0001,1.07,1.559570,26.41699,0.0001,1.07,0.893174,0.178635,0,0,1.07,20
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000936,0.044683,0.,10.00000,0.000936,na,na,0.000748,0.002673,0.,10.00000,0.000748,na,na,0.000100,0.100000,0.100E-04,1.392731,0.000100,na,na,0.000100,0.100000,0.100E-04,1.300922,0.000100,16.90386,190.5317,0.0001,1.07,33202.16,47236.23,0.0001,1.07,0.229947,26.60425,0.0001,1.07,0.229947,26.60425,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000168,0.056624,0.,10.00000,0.000168,na,na,0.000100,0.003390,0.,10.00000,0.000100,na,na,0.000100,0.100000,0.100E-04,1.306905,0.000100,na,na,0.000100,0.100000,0.100E-04,0.816346,0.000100,0.100000,3494.668,0.0001,1.07,50000.00,2575.352,0.0001,1.07,0.240229,29.37059,0.0001,1.07,0.240229,29.37059,0.0001,1.07,0.5,0.1,0,0,1.07,20
