TABLE->,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.085465,0.371363,0,0.008549,0.085465,0.500000,0.000371,0.009480
A10003,1,0,0,1,0,1,0,1,0,0.051845,0.225277,0,0.005186,0.051845,0.500000,0.000225,0.007050
A10005,1,0,0,1,0,1,0,1,0,0.148518,0.645337,0,0.014856,0.148518,0.500000,0.000645,0.006348
A11001,1,0,0,1,0,1,0,1,0,0.091202,0.396288,0,0.009123,0.091202,0.500000,0.000396,0.014061
A24001,1,0,0,1,0,1,0,1,0,0.036620,0.159118,0,0.003663,0.036620,0.500000,0.000159,0.016792
A24003,1,0,0,1,0,1,0,1,0,0.026496,0.115128,0,0.002650,0.026496,0.500000,0.000115,0.008205
A24005,1,0,0,1,0,1,0,1,0,0.027080,0.117669,0,0.002708,0.027080,0.500000,0.000118,0.007936
A24009,1,0,0,1,0,1,0,1,0,0.015809,0.068697,0,0.001581,0.015809,0.500000,0.000069,0.009421
A24011,1,0,0,1,0,1,0,1,0,0.067951,0.295259,0,0.006797,0.067951,0.500000,0.000295,0.007647
A24013,1,0,0,1,0,1,0,1,0,0.053155,0.230969,0,0.005317,0.053155,0.500000,0.000231,0.010220
A24015,1,0,0,1,0,1,0,1,0,0.040748,0.177056,0,0.004076,0.040748,0.500000,0.000177,0.009848
A24017,1,0,0,1,0,1,0,1,0,0.021959,0.095418,0,0.002196,0.021959,0.500000,0.000095,0.012692
A24019,1,0,0,1,0,1,0,1,0,0.058740,0.255237,0,0.005876,0.058740,0.500000,0.000255,0.009177
A24021,1,0,0,1,0,1,0,1,0,0.028849,0.125353,0,0.002885,0.028849,0.500000,0.000126,0.010498
A24023,1,0,0,1,0,1,0,1,0,0.038636,0.167881,0,0.003865,0.038636,0.500000,0.000168,0.007019
A24025,1,0,0,1,0,1,0,1,0,0.042029,0.182621,0,0.004204,0.042029,0.500000,0.000182,0.007060
A24027,1,0,0,1,0,1,0,1,0,0.035891,0.155954,0,0.003590,0.035891,0.500000,0.000156,0.009158
A24029,1,0,0,1,0,1,0,1,0,0.047984,0.208498,0,0.004800,0.047984,0.500000,0.000208,0.007023
A24031,1,0,0,1,0,1,0,1,0,0.030070,0.130660,0,0.003007,0.030070,0.500000,0.000131,0.010315
A24033,1,0,0,1,0,1,0,1,0,0.014471,0.062877,0,0.001447,0.014471,0.500000,0.000063,0.012281
A24035,1,0,0,1,0,1,0,1,0,0.067352,0.292657,0,0.006737,0.067352,0.500000,0.000293,0.007338
A24037,1,0,0,1,0,1,0,1,0,0.032888,0.142905,0,0.003290,0.032888,0.500000,0.000143,0.012794
A24039,1,0,0,1,0,1,0,1,0,0.056430,0.245199,0,0.005644,0.056430,0.500000,0.000245,0.009324
A24041,1,0,0,1,0,1,0,1,0,0.074254,0.322647,0,0.007427,0.074254,0.500000,0.000323,0.007469
A24043,1,0,0,1,0,1,0,1,0,0.055380,0.240636,0,0.005539,0.055380,0.500000,0.000241,0.007474
A24045,1,0,0,1,0,1,0,1,0,0.062191,0.270231,0,0.006221,0.062191,0.500000,0.000270,0.011085
A24047,1,0,0,1,0,1,0,1,0,0.058808,0.255532,0,0.005882,0.058808,0.500000,0.000256,0.010646
A24510,1,0,0,1,0,1,0,1,0,0.064064,0.278371,0,0.006408,0.064064,0.500000,0.000278,0.007013
A36003,1,0,0,1,0,1,0,1,0,0.040188,0.174626,0,0.004020,0.040188,0.500000,0.000175,0.014286
A36007,1,0,0,1,0,1,0,1,0,0.055740,0.242200,0,0.005575,0.055740,0.500000,0.000242,0.008201
A36011,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A36015,1,0,0,1,0,1,0,1,0,0.037443,0.162695,0,0.003745,0.037443,0.500000,0.000163,0.014943
A36017,1,0,0,1,0,1,0,1,0,0.042078,0.182837,0,0.004209,0.042078,0.500000,0.000183,0.006630
A36023,1,0,0,1,0,1,0,1,0,0.054815,0.238181,0,0.005483,0.054815,0.500000,0.000238,0.006022
A36025,1,0,0,1,0,1,0,1,0,0.057060,0.247936,0,0.005707,0.057060,0.500000,0.000248,0.007829
A36043,1,0,0,1,0,1,0,1,0,0.041613,0.180816,0,0.004162,0.041613,0.500000,0.000181,0.006884
A36051,1,0,0,1,0,1,0,1,0,0.050413,0.219053,0,0.005043,0.050413,0.500000,0.000219,0.009749
A36053,1,0,0,1,0,1,0,1,0,0.056611,0.245983,0,0.005663,0.056611,0.500000,0.000246,0.006404
A36065,1,0,0,1,0,1,0,1,0,0.060791,0.264146,0,0.006081,0.060791,0.500000,0.000264,0.006540
A36067,1,0,0,1,0,1,0,1,0,0.060324,0.262117,0,0.006034,0.060324,0.500000,0.000262,0.006076
A36069,1,0,0,1,0,1,0,1,0,0.069123,0.300354,0,0.006914,0.069123,0.500000,0.000300,0.010387
A36077,1,0,0,1,0,1,0,1,0,0.052859,0.229681,0,0.005287,0.052859,0.500000,0.000230,0.007123
A36095,1,0,0,1,0,1,0,1,0,0.060510,0.262928,0,0.006053,0.060510,0.500000,0.000263,0.007082
A36097,1,0,0,1,0,1,0,1,0,0.077252,0.335673,0,0.007727,0.077252,0.500000,0.000336,0.011012
A36101,1,0,0,1,0,1,0,1,0,0.056254,0.244434,0,0.005627,0.056254,0.500000,0.000244,0.012944
A36107,1,0,0,1,0,1,0,1,0,0.052648,0.228764,0,0.005266,0.052648,0.500000,0.000229,0.010010
A36109,1,0,0,1,0,1,0,1,0,0.045993,0.199847,0,0.004600,0.045993,0.500000,0.000200,0.009668
A36123,1,0,0,1,0,1,0,1,0,0.059362,0.257938,0,0.005938,0.059362,0.500000,0.000258,0.010356
A37001,1,0,0,1,0,1,0,1,0,0.007555,0.020870,0,0.000755,0.007555,0.500000,0.000021,0.592E-05
A37005,1,0,0,1,0,1,0,1,0,0.007260,0.020984,0,0.000726,0.007260,0.500000,0.000021,0.263E-05
A37009,1,0,0,1,0,1,0,1,0,0.006380,0.021290,0,0.000638,0.006380,0.500000,0.000021,0.201E-05
A37033,1,0,0,1,0,1,0,1,0,0.009932,0.031030,0,0.000993,0.009932,0.500000,0.000031,0.659E-05
A37067,1,0,0,1,0,1,0,1,0,0.011735,0.035202,0,0.001174,0.011735,0.500000,0.000035,0.512E-05
A37077,1,0,0,1,0,1,0,1,0,0.006370,0.018819,0,0.000637,0.006370,0.500000,0.000019,0.530E-05
A37081,1,0,0,1,0,1,0,1,0,0.011806,0.038161,0,0.001181,0.011806,0.500000,0.000039,0.478E-05
A37131,1,0,0,1,0,1,0,1,0,0.006870,0.023983,0,0.000687,0.006870,0.500000,0.000024,0.677E-05
A37135,1,0,0,1,0,1,0,1,0,0.008468,0.023277,0,0.000847,0.008468,0.500000,0.000024,0.592E-05
A37145,1,0,0,1,0,1,0,1,0,0.008476,0.026842,0,0.000848,0.008476,0.500000,0.000027,0.612E-05
A37157,1,0,0,1,0,1,0,1,0,0.010413,0.033457,0,0.001041,0.010413,0.500000,0.000033,0.528E-05
A37169,1,0,0,1,0,1,0,1,0,0.008508,0.026674,0,0.000850,0.008508,0.500000,0.000027,0.417E-05
A37171,1,0,0,1,0,1,0,1,0,0.006132,0.019660,0,0.000613,0.006132,0.500000,0.000020,0.279E-05
A37181,1,0,0,1,0,1,0,1,0,0.006356,0.020060,0,0.000636,0.006356,0.500000,0.000020,0.530E-05
A37185,1,0,0,1,0,1,0,1,0,0.005810,0.019172,0,0.000581,0.005810,0.500000,0.000019,0.511E-05
A37189,1,0,0,1,0,1,0,1,0,0.004968,0.014957,0,0.000497,0.004968,0.500000,0.000015,0.212E-05
A42001,1,0,0,1,0,1,0,1,0,0.031006,0.134725,0,0.003101,0.031006,0.500000,0.000135,0.015777
A42009,1,0,0,1,0,1,0,1,0,0.044148,0.191829,0,0.004416,0.044148,0.500000,0.000192,0.009276
A42011,1,0,0,1,0,1,0,1,0,0.023104,0.100393,0,0.002311,0.023104,0.500000,0.000101,0.008556
A42013,1,0,0,1,0,1,0,1,0,0.047538,0.206561,0,0.004755,0.047538,0.500000,0.000207,0.007923
A42015,1,0,0,1,0,1,0,1,0,0.034401,0.149477,0,0.003441,0.034401,0.500000,0.000149,0.011531
A42021,1,0,0,1,0,1,0,1,0,0.044853,0.194895,0,0.004486,0.044853,0.500000,0.000195,0.007291
