TABLE->,IWT-PARM1,IWT-PARM1,IWT-PARM2,IWT-PARM2,IWT-PARM2
VARS->,WTFV,CSNO,ELEV,AWTF,BWTF
A10001,0,0,40.9,35,0.65
A10003,0,0,85,35,0.65
A10005,0,0,30.6,35,0.65
A11001,0,0,115.25,35,0.65
A24001,0,0,847.27,35,0.65
A24003,0,0,99.57,35,0.65
A24005,0,0,283.36,35,0.65
A24009,0,0,94.47,35,0.65
A24011,0,0,44.95,35,0.65
A24013,0,0,687.17,35,0.65
A24015,0,0,184.85,35,0.65
A24017,0,0,143.58,35,0.65
A24019,0,0,20.43,35,0.65
A24021,0,0,404.29,35,0.65
A24023,0,0,2453.84,35,0.65
A24025,0,0,247.97,35,0.65
A24027,0,0,376.49,35,0.65
A24029,0,0,48.73,35,0.65
A24031,0,0,415.91,35,0.65
A24033,0,0,165.37,35,0.65
A24035,0,0,44.84,35,0.65
A24037,0,0,75.67,35,0.65
A24039,0,0,11.95,35,0.65
A24041,0,0,31.47,35,0.65
A24043,0,0,580.59,35,0.65
A24045,0,0,35.28,35,0.65
A24047,0,0,20.38,35,0.65
A24510,0,0,136.76,35,0.65
A36003,0,0,1658.89,35,0.65
A36007,0,0,1037.88,35,0.65
A36015,0,0,966.4,35,0.65
A36017,0,0,1255.58,35,0.65
A36023,0,0,1256.78,35,0.65
A36025,0,0,1467.35,35,0.65
A36043,0,0,1000,35,0.65
A36051,0,0,891.31,35,0.65
A36053,0,0,1049.29,35,0.65
A36065,0,0,718.43,35,0.65
A36067,0,0,557,35,0.65
A36069,0,0,784.79,35,0.65
A36077,0,0,1347.87,35,0.65
A36095,0,0,1190.7,35,0.65
A36097,0,0,1127.2,35,0.65
A36101,0,0,1376,35,0.65
A36107,0,0,1002.15,35,0.65
A36109,0,0,937.28,35,0.65
A36123,0,0,958.34,35,0.65
A37001,0,0,726.90376,35,0.65
A37005,0,0,3231.59048,35,0.65
A37009,0,0,3392.0448,35,0.65
A37033,0,0,577.55552,35,0.65
A37067,0,0,854.27272,35,0.65
A37077,0,0,439.23136,35,0.65
A37081,0,0,877.21304,35,0.65
A37131,0,0,150.068528,35,0.65
A37135,0,0,690.13168,35,0.65
A37145,0,0,537.3296,35,0.65
A37157,0,0,714.86616,35,0.65
A37169,0,0,959.63944,35,0.65
A37171,0,0,1429.16488,35,0.65
A37181,0,0,382.21184,35,0.65
A37185,0,0,343.41928,35,0.65
A37189,0,0,3587.4344,35,0.65
A42001,0,0,565.92,35,0.65
A42009,0,0,1239.05,35,0.65
A42011,0,0,436.04,35,0.65
A42013,0,0,1210.99,35,0.65
A42015,0,0,1108.05,35,0.65
A42021,0,0,1838.72,35,0.65
A42023,0,0,1088.23,35,0.65
A42025,0,0,1022.08,35,0.65
A42027,0,0,1102.85,35,0.65
A42029,0,0,413.31,35,0.65
A42033,0,0,1510.83,35,0.65
A42035,0,0,1182.2,35,0.65
A42037,0,0,771.02,35,0.65
A42041,0,0,505.29,35,0.65
A42043,0,0,588.45,35,0.65
A42047,0,0,1676.39,35,0.65
A42055,0,0,696.41,35,0.65
A42057,0,0,1018.88,35,0.65
A42061,0,0,916.13,35,0.65
A42063,0,0,1332.11,35,0.65
A42065,0,0,1520.36,35,0.65
A42067,0,0,643.66,35,0.65
A42069,0,0,1074.86,35,0.65
A42071,0,0,434.51,35,0.65
A42075,0,0,513.74,35,0.65
A42079,0,0,950.46,35,0.65
A42081,0,0,1190.46,35,0.65
A42083,0,0,1743.62,35,0.65
A42087,0,0,715.19,35,0.65
A42093,0,0,601.45,35,0.65
A42097,0,0,687.32,35,0.65
A42099,0,0,605.94,35,0.65
A42105,0,0,1827.64,35,0.65
A42107,0,0,968.34,35,0.65
A42109,0,0,618.5,35,0.65
A42111,0,0,2114.02,35,0.65
A42113,0,0,1591.59,35,0.65
A42115,0,0,1309.98,35,0.65
A42117,0,0,1493.82,35,0.65
A42119,0,0,871.77,35,0.65
A42127,0,0,1402.44,35,0.65
A42131,0,0,901.7,35,0.65
A42133,0,0,572.07,35,0.65
A47091,0,0,3120.13608,35,0.65
A47163,0,0,2972.61808,35,0.65
A51001,0,0,26.93,35,0.65
A51003,0,0,550.05,35,0.65
A51005,0,0,1527.44,35,0.65
A51007,0,0,342.57,35,0.65
A51009,0,0,778.54,35,0.65
A51011,0,0,742.32,35,0.65
A51013,0,0,149.82,35,0.65
A51015,0,0,1469.45,35,0.65
A51017,0,0,2403.86,35,0.65
A51019,0,0,1596.4,35,0.65
A51021,0,0,2426.45,35,0.65
A51023,0,0,1187.66,35,0.65
A51025,0,0,312.67,35,0.65
A51027,0,0,1904.38768,35,0.65
A51029,0,0,527.08,35,0.65
A51031,0,0,759.99,35,0.65
A51033,0,0,192.98,35,0.65
A51035,0,0,2542.50184,35,0.65
A51036,0,0,68.29,35,0.65
A51037,0,0,545.85,35,0.65
A51041,0,0,200.48,35,0.65
A51043,0,0,637.42,35,0.65
A51045,0,0,1872.66,35,0.65
A51047,0,0,409.68,35,0.65
A51049,0,0,399.16,35,0.65
A51051,0,0,1942.2028,35,0.65
A51053,0,0,240.22,35,0.65
A51057,0,0,96.27,35,0.65
A51059,0,0,289.9,35,0.65
A51061,0,0,468.47,35,0.65
A51063,0,0,2566.7,35,0.65
A51065,0,0,413.48,35,0.65
A51067,0,0,1107.62,35,0.65
A51069,0,0,787.27,35,0.65
A51071,0,0,2091.1,35,0.65
A51073,0,0,53.96,35,0.65
A51075,0,0,295.58,35,0.65
A51077,0,0,2626.99136,35,0.65
A51079,0,0,620.34,35,0.65
A51081,0,0,155.94,35,0.65
A51083,0,0,499.3,35,0.65
A51085,0,0,191.12,35,0.65
A51087,0,0,191.95,35,0.65
A51089,0,0,873.7,35,0.65
A51091,0,0,2801.63,35,0.65
A51093,0,0,56.27,35,0.65
A51095,0,0,81.54,35,0.65
A51097,0,0,116.06,35,0.65
A51099,0,0,103.04,35,0.65
A51101,0,0,105.71,35,0.65
A51103,0,0,54.93,35,0.65
A51105,0,0,1667.41752,35,0.65
A51107,0,0,364.9,35,0.65
A51109,0,0,413.07,35,0.65
A51111,0,0,473.86,35,0.65
A51113,0,0,550.77,35,0.65
A51115,0,0,13.34,35,0.65
A51117,0,0,390.22,35,0.65
A51119,0,0,66.38,35,0.65
A51121,0,0,1952.91,35,0.65
A51125,0,0,711.94,35,0.65
A51127,0,0,85.43,35,0.65
A51131,0,0,24.09,35,0.65
A51133,0,0,58.48,35,0.65
A51135,0,0,423.51,35,0.65
A51137,0,0,449.54,35,0.65
A51139,0,0,935.08,35,0.65
A51141,0,0,1293.32,35,0.65
A51143,0,0,745.13,35,0.65
A51145,0,0,326.29,35,0.65
A51147,0,0,491.05,35,0.65
A51149,0,0,112.19,35,0.65
A51153,0,0,232.46,35,0.65
A51155,0,0,2026.77,35,0.65
A51157,0,0,624.57,35,0.65
A51159,0,0,116.22,35,0.65
A51161,0,0,1209.12,35,0.65
A51163,0,0,1318.26,35,0.65
A51165,0,0,1230.5,35,0.65
A51167,0,0,1688.28816,35,0.65
A51169,0,0,1089.64224,35,0.65
A51171,0,0,918.73,35,0.65
A51173,0,0,62.956648,35,0.65
A51175,0,0,70.08,35,0.65
A51177,0,0,273.84,35,0.65
A51179,0,0,203.31,35,0.65
A51181,0,0,90.46,35,0.65
A51183,0,0,109.15,35,0.65
A51185,0,0,658.95528,35,0.65
A51187,0,0,603.59,35,0.65
A51191,0,0,76.017936,35,0.65
A51193,0,0,87.51,35,0.65
A51195,0,0,2438.47992,35,0.65
A51197,0,0,2297.48,35,0.65
A51199,0,0,56.72,35,0.65
A51510,0,0,93.07,35,0.65
A51515,0,0,956.93,35,0.65
A51520,0,0,977.44,35,0.65
A51530,0,0,881.68,35,0.65
A51540,0,0,468.1,35,0.65
A51550,0,0,13.89,35,0.65
A51570,0,0,46.26,35,0.65
A51580,0,0,1287.36,35,0.65
A51590,0,0,538.55,35,0.65
A51595,0,0,119.45,35,0.65
A51600,0,0,392.08,35,0.65
A51610,0,0,335.25,35,0.65
A51620,0,0,146.543512,35,0.65
A51630,0,0,140.03,35,0.65
A51640,0,0,7.8097784,35,0.65
A51650,0,0,10.06,35,0.65
A51660,0,0,1351.74,35,0.65
A51670,0,0,54.69,35,0.65
A51678,0,0,1050.06,35,0.65
A51680,0,0,770.06,35,0.65
A51683,0,0,256.55,35,0.65
A51685,0,0,254.46,35,0.65
A51690,0,0,935.37,35,0.65
A51700,0,0,29.65,35,0.65
A51710,0,0,11.24,35,0.65
A51720,0,0,124.240496,35,0.65
A51730,0,0,103.64,35,0.65
A51735,0,0,5.62,35,0.65
A51740,0,0,9.03,35,0.65
A51750,0,0,1841.38,35,0.65
A51760,0,0,153.06,35,0.65
A51770,0,0,1024.37,35,0.65
A51775,0,0,1056.88,35,0.65
A51790,0,0,1471.18,35,0.65
A51800,0,0,44.44,35,0.65
A51810,0,0,13.4,35,0.65
A51820,0,0,1327.68,35,0.65
A51830,0,0,90.73,35,0.65
