TABLE->,SLD-PARM1,SLD-PARM1,SLD-PARM1,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-STOR
VARS->,VASD,VRSD,SDOP,KEIM,JEIM,ACCSDP,REMSDP,SLDS
A10001,0,0,0,0.656928,2,0.1,0.07675,1
A10003,0,0,0,0.771692,2,0.1,0.07675,1
A10005,0,0,0,0.593488,2,0.1,0.07675,1
A11001,0,0,0,0.596492,2,0.1,0.07675,1
A24001,0,0,0,0.626414,2,0.1,0.07675,1
A24003,0,0,0,0.710307,2,0.1,0.07675,1
A24005,0,0,0,0.868100,2,0.1,0.07675,1
A24009,0,0,0,0.491731,2,0.1,0.07675,1
A24011,0,0,0,0.574160,2,0.1,0.07675,1
A24013,0,0,0,0.750448,2,0.1,0.07675,1
A24015,0,0,0,0.636108,2,0.1,0.07675,1
A24017,0,0,0,0.752332,2,0.1,0.07675,1
A24019,0,0,0,0.633354,2,0.1,0.07675,1
A24021,0,0,0,0.802986,2,0.1,0.07675,1
A24023,0,0,0,0.601955,2,0.1,0.07675,1
A24025,0,0,0,0.614705,2,0.1,0.07675,1
A24027,0,0,0,0.847116,2,0.1,0.07675,1
A24029,0,0,0,0.697911,2,0.1,0.07675,1
A24031,0,0,0,0.969396,2,0.1,0.07675,1
A24033,0,0,0,0.562215,2,0.1,0.07675,1
A24035,0,0,0,0.770073,2,0.1,0.07675,1
A24037,0,0,0,0.691120,2,0.1,0.07675,1
A24039,0,0,0,0.493267,2,0.1,0.07675,1
A24041,0,0,0,0.654056,2,0.1,0.07675,1
A24043,0,0,0,0.860146,2,0.1,0.07675,1
A24045,0,0,0,0.512168,2,0.1,0.07675,1
A24047,0,0,0,0.560449,2,0.1,0.07675,1
A24510,0,0,0,0.724545,2,0.1,0.07675,1
A36003,0,0,0,0.747670,2,0.1,0.07675,1
A36007,0,0,0,1.227858,2,0.1,0.07675,1
A36015,0,0,0,0.882936,2,0.1,0.07675,1
A36017,0,0,0,0.826428,2,0.1,0.07675,1
A36023,0,0,0,0.692455,2,0.1,0.07675,1
A36025,0,0,0,0.570929,2,0.1,0.07675,1
A36043,0,0,0,0.529984,2,0.1,0.07675,1
A36051,0,0,0,0.712185,2,0.1,0.07675,1
A36053,0,0,0,0.655668,2,0.1,0.07675,1
A36065,0,0,0,0.502136,2,0.1,0.07675,1
A36067,0,0,0,0.620848,2,0.1,0.07675,1
A36069,0,0,0,0.727813,2,0.1,0.07675,1
A36077,0,0,0,0.670083,2,0.1,0.07675,1
A36095,0,0,0,0.704078,2,0.1,0.07675,1
A36097,0,0,0,0.864614,2,0.1,0.07675,1
A36101,0,0,0,1.302038,2,0.1,0.07675,1
A36107,0,0,0,0.962028,2,0.1,0.07675,1
A36109,0,0,0,0.761440,2,0.1,0.07675,1
A36123,0,0,0,0.717143,2,0.1,0.07675,1
A37001,0,0,0,2.5,2,0.1,0.07675,1
A37005,0,0,0,2.5,2,0.1,0.07675,1
A37009,0,0,0,2.5,2,0.1,0.07675,1
A37033,0,0,0,2.5,2,0.1,0.07675,1
A37067,0,0,0,2.5,2,0.1,0.07675,1
A37077,0,0,0,2.5,2,0.1,0.07675,1
A37081,0,0,0,2.5,2,0.1,0.07675,1
A37131,0,0,0,2.5,2,0.1,0.07675,1
A37135,0,0,0,2.5,2,0.1,0.07675,1
A37145,0,0,0,2.5,2,0.1,0.07675,1
A37157,0,0,0,2.5,2,0.1,0.07675,1
A37169,0,0,0,2.5,2,0.1,0.07675,1
A37171,0,0,0,2.5,2,0.1,0.07675,1
A37181,0,0,0,2.5,2,0.1,0.07675,1
A37185,0,0,0,2.5,2,0.1,0.07675,1
A37189,0,0,0,2.5,2,0.1,0.07675,1
A42001,0,0,0,0.510842,2,0.1,0.07675,1
A42009,0,0,0,0.765077,2,0.1,0.07675,1
A42011,0,0,0,0.512929,2,0.1,0.07675,1
A42013,0,0,0,0.835262,2,0.1,0.07675,1
A42015,0,0,0,0.841300,2,0.1,0.07675,1
A42021,0,0,0,0.646431,2,0.1,0.07675,1
