TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.306048,0.100000,0.,10.00000,0.306048,na,na,0.306048,0.030507,0.,10.00000,0.306048,na,na,0.033568,0.001734,0.001046,4.853393,0.033568,na,na,0.000100,0.001734,0.001046,0.808900,0.000100,267.2490,41688.41,0.0001,1.07,3741.827,33.17370,0.0001,1.07,3.310555,2.229954,0.0001,1.07,3.310555,2.229954,0.0001,1.07,0.5,0.1,0,0,1.07,20
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.037900,0.001256,0.,10.00000,0.037900,na,na,0.037900,0.000251,0.,10.00000,0.037900,na,na,0.005168,0.012001,0.000155,8.069994,0.005168,na,na,0.000100,0.012001,0.000169,1.344999,0.000100,241.2671,48947.55,0.0001,1.07,4144.787,109.2886,0.0001,1.07,1.020460,3.560193,0.0001,1.07,1.020460,3.560193,0.0001,1.07,0.5,0.1,0,0,1.07,20
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.255762,0.100000,0.,10.00000,0.255762,na,na,0.240363,0.045802,0.,10.00000,0.240363,na,na,0.024035,0.000100,0.010000,0.329397,0.024035,na,na,0.000100,0.000100,0.010000,0.054900,0.000100,3820.834,21755.44,0.0001,1.07,261.7230,21.15208,0.0001,1.07,7.937727,2.599233,0.0001,1.07,7.937727,2.599233,0.0001,1.07,0.5,0.1,0,0,1.07,20
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.001464,0.,7.231401,1.000000,na,na,0.000100,0.000292,0.,3.615699,1.000000,na,na,0.000100,0.000324,0.005874,0.186720,0.200000,na,na,0.000100,0.000324,0.005874,0.031121,0.000100,8797.693,39825.31,0.0001,1.07,113.6661,39.63315,0.0001,1.07,3.096533,2.138746,0.0001,1.07,3.096533,2.138746,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,1.000000,0.100000,0.,10.00000,1.000000,na,na,1.000000,0.020280,0.,10.00000,1.000000,na,na,0.225712,0.100000,0.100E-04,10.00000,0.225712,na,na,0.000100,0.100000,0.000014,2.640636,0.000100,34.10804,46690.13,0.0001,1.07,29318.59,28.17125,0.0001,1.07,0.267616,1.902052,0.0001,1.07,0.267616,1.902052,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.071704,0.005088,0.,10.00000,0.071704,na,na,0.071704,0.001016,0.,10.00000,0.071704,na,na,0.010127,0.012957,0.000166,2.319551,0.010127,na,na,0.000100,0.012957,0.000197,0.386591,0.000100,214.0122,50000.00,0.0001,1.07,4672.632,145.5639,0.0001,1.07,1.102467,3.745867,0.0001,1.07,1.102467,3.745867,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.070510,0.018919,0.,6.770849,0.070510,na,na,0.070510,0.003790,0.,6.770849,0.070510,na,na,0.009584,0.001152,0.001449,1.998715,0.009584,na,na,0.000100,0.001152,0.001449,0.333121,0.000100,406.6973,50000.00,0.0001,1.07,2458.830,61.75219,0.0001,1.07,4.720641,3.259810,0.0001,1.07,4.720641,3.259810,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.908367,0.100000,0.,10.00000,0.908367,na,na,0.908367,0.049631,0.,10.00000,0.908367,na,na,0.140131,0.009197,0.000193,10.00000,0.140131,na,na,0.000100,0.009197,0.000193,2.274772,0.000100,4283.890,50000.00,0.0001,1.07,233.4326,81.91490,0.0001,1.07,1.585626,2.489903,0.0001,1.07,1.585626,2.489903,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.077493,0.003296,0.,10.00000,0.077493,na,na,0.077493,0.000660,0.,10.00000,0.077493,na,na,0.009908,0.010950,0.000183,5.578360,0.009908,na,na,0.000100,0.010950,0.000201,0.929727,0.000100,11.21914,44533.01,0.0001,1.07,50000.00,64.81759,0.0001,1.07,1.061991,2.926795,0.0001,1.07,1.061991,2.926795,0.0001,1.07,0.5,0.1,0,0,1.07,20
