TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A10001,7.544000,1,0.03,0.3,0,50,70.20700,5,0.5,2,0,550,122.8315,5,1,8,0,300,10.09850,6,0.5,1,0,100,0,0,0,0,na,na
A10003,5.511000,1,0.03,0.3,0,50,309.6490,5,0.5,2,0,550,26.55550,5,1,8,0,300,2.423500,6,0.5,1,0,100,0,0,0,0,na,na
A10005,14.99500,1,0.03,0.3,0,50,50.25550,5,0.5,2,0,550,162.6990,5,1,8,0,300,16.79900,6,0.5,1,0,100,0,0,0,0,na,na
A11001,10.20450,1,0.03,0.3,0,50,115.2095,5,0.5,2,0,550,134.5840,5,1,8,0,300,12.08150,6,0.5,1,0,100,0,0,0,0,na,na
A24001,2.771500,1,0.03,0.3,0,50,316.3725,5,0.5,2,0,550,15.96050,5,1,8,0,300,0.959000,6,0.5,1,0,100,0,0,0,0,na,na
A24003,2.411500,1,0.03,0.3,0,50,235.9435,5,0.5,2,0,550,26.43450,5,1,8,0,300,2.526500,6,0.5,1,0,100,0,0,0,0,na,na
A24009,1.181500,1,0.03,0.3,0,50,61.17650,5,0.5,2,0,550,71.57300,5,1,8,0,300,4.956000,6,0.5,1,0,100,0,0,0,0,na,na
A24005,3.521000,1,0.03,0.3,0,50,177.5755,5,0.5,2,0,550,121.0375,5,1,8,0,300,12.04850,6,0.5,1,0,100,0,0,0,0,na,na
A24011,0.868000,1,0.03,0.3,0,50,408.3690,5,0.5,2,0,550,34.34750,5,1,8,0,300,3.210500,6,0.5,1,0,100,0,0,0,0,na,na
A24013,6.567000,1,0.03,0.3,0,50,372.5820,5,0.5,2,0,550,45.58900,5,1,8,0,300,3.786500,6,0.5,1,0,100,0,0,0,0,na,na
A24015,2.476500,1,0.03,0.3,0,50,279.2705,5,0.5,2,0,550,78.90350,5,1,8,0,300,7.327000,6,0.5,1,0,100,0,0,0,0,na,na
A24017,1.678500,1,0.03,0.3,0,50,171.6820,5,0.5,2,0,550,33.59750,5,1,8,0,300,2.826000,6,0.5,1,0,100,0,0,0,0,na,na
A24019,0.170500,1,0.03,0.3,0,50,358.1235,5,0.5,2,0,550,52.02950,5,1,8,0,300,5.048000,6,0.5,1,0,100,0,0,0,0,na,na
A24021,2.856500,1,0.03,0.3,0,50,376.5480,5,0.5,2,0,550,37.48450,5,1,8,0,300,2.646000,6,0.5,1,0,100,0,0,0,0,na,na
A24023,4.176500,1,0.03,0.3,0,50,622.6021,5,0.5,2,0,550,27.66750,5,1,8,0,300,2.900500,6,0.5,1,0,100,0,0,0,0,na,na
A24025,4.595500,1,0.03,0.3,0,50,308.1740,5,0.5,2,0,550,99.27250,5,1,8,0,300,9.879499,6,0.5,1,0,100,0,0,0,0,na,na
A24027,3.655500,1,0.03,0.3,0,50,323.7785,5,0.5,2,0,550,70.87550,5,1,8,0,300,6.780500,6,0.5,1,0,100,0,0,0,0,na,na
A24029,3.656500,1,0.03,0.3,0,50,249.2625,5,0.5,2,0,550,31.19000,5,1,8,0,300,2.245500,6,0.5,1,0,100,0,0,0,0,na,na
A24031,2.858500,1,0.03,0.3,0,50,224.8705,5,0.5,2,0,550,91.11450,5,1,8,0,300,8.829500,6,0.5,1,0,100,0,0,0,0,na,na
A24033,1.500500,1,0.03,0.3,0,50,61.04600,5,0.5,2,0,550,72.44800,5,1,8,0,300,3.589000,6,0.5,1,0,100,0,0,0,0,na,na
A24035,5.619500,1,0.03,0.3,0,50,114.6965,5,0.5,2,0,550,111.3745,5,1,8,0,300,8.464001,6,0.5,1,0,100,0,0,0,0,na,na
A24037,3.301500,1,0.03,0.3,0,50,121.5000,5,0.5,2,0,550,23.83050,5,1,8,0,300,1.229000,6,0.5,1,0,100,0,0,0,0,na,na
A24039,0.078000,1,0.03,0.3,0,50,320.8010,5,0.5,2,0,550,47.87250,5,1,8,0,300,4.379500,6,0.5,1,0,100,0,0,0,0,na,na
A24041,6.840000,1,0.03,0.3,0,50,291.5160,5,0.5,2,0,550,44.31950,5,1,8,0,300,3.785500,6,0.5,1,0,100,0,0,0,0,na,na
A24043,6.136000,1,0.03,0.3,0,50,43.97600,5,0.5,2,0,550,279.7895,5,1,8,0,300,18.49150,6,0.5,1,0,100,0,0,0,0,na,na
