TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A10001,50,1.000000,100.0000,1.5,20.00000,0.167379,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10003,50,1.000000,1.334457,1.5,20.00000,18.73422,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10005,50,1.000000,100.0000,1.5,20.00000,0.197047,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A11001,50,1.000000,0.969078,1.5,20.00000,25.79771,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24001,50,1.000000,5.447305,1.5,20.00000,4.589425,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24003,50,1.000000,1.640029,1.5,20.00000,15.24363,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24009,50,1.000000,27.97362,1.5,20.00000,0.893699,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24005,50,1.000000,20.94669,1.5,20.00000,1.193506,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24011,50,1.000000,2.741807,1.5,20.00000,9.118076,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24013,50,1.000000,4.724491,1.5,20.00000,5.291574,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24015,50,1.000000,2.811504,1.5,20.00000,8.892035,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24017,50,1.000000,4.293668,1.5,20.00000,5.822530,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24019,50,1.000000,0.604721,1.5,20.00000,41.34135,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24021,50,1.000000,5.159901,1.5,20.00000,4.845054,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24023,50,1.000000,0.820391,1.5,20.00000,30.47328,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24025,50,1.000000,1.308664,1.5,20.00000,19.10342,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24027,50,1.000000,2.185198,1.5,20.00000,11.44062,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24029,50,1.000000,7.628796,1.5,20.00000,3.277058,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24031,50,1.000000,20.85598,1.5,20.00000,1.198696,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24033,50,1.000000,17.21758,1.5,20.00000,1.452003,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24035,50,1.000000,39.39725,1.5,20.00000,0.634563,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24037,50,1.000000,18.52629,1.5,20.00000,1.349432,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
