TABLE->,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.055021,0.212961,0,0.005503,0.055021,0.500000,0.000213,0.030443
A10003,1,0,0,1,0,1,0,1,0,0.035429,0.137131,0,0.003543,0.035429,0.500000,0.000137,0.022870
A10005,1,0,0,1,0,1,0,1,0,0.114589,0.443526,0,0.011461,0.114589,0.500000,0.000444,0.020636
A11001,1,0,0,1,0,1,0,1,0,0.081133,0.314032,0,0.008115,0.081133,0.500000,0.000314,0.045341
A24001,1,0,0,1,0,1,0,1,0,0.030063,0.116359,0,0.003007,0.030063,0.500000,0.000116,0.053384
A24003,1,0,0,1,0,1,0,1,0,0.017177,0.066484,0,0.001718,0.017177,0.500000,0.000066,0.026391
A24005,1,0,0,1,0,1,0,1,0,0.022332,0.086438,0,0.002234,0.022332,0.500000,0.000086,0.025573
A24009,1,0,0,1,0,1,0,1,0,0.010604,0.041043,0,0.001061,0.010604,0.500000,0.000041,0.030602
A24011,1,0,0,1,0,1,0,1,0,0.051756,0.200324,0,0.005176,0.051756,0.500000,0.000200,0.024730
A24013,1,0,0,1,0,1,0,1,0,0.037361,0.144609,0,0.003737,0.037361,0.500000,0.000145,0.032800
A24015,1,0,0,1,0,1,0,1,0,0.025527,0.098804,0,0.002553,0.025527,0.500000,0.000099,0.031631
A24017,1,0,0,1,0,1,0,1,0,0.012971,0.050206,0,0.001297,0.012971,0.500000,0.000050,0.040578
A24019,1,0,0,1,0,1,0,1,0,0.047755,0.184839,0,0.004776,0.047755,0.500000,0.000185,0.029490
A24021,1,0,0,1,0,1,0,1,0,0.018517,0.071670,0,0.001852,0.018517,0.500000,0.000072,0.034122
A24023,1,0,0,1,0,1,0,1,0,0.030015,0.116175,0,0.003002,0.030015,0.500000,0.000116,0.022804
A24025,1,0,0,1,0,1,0,1,0,0.026005,0.100656,0,0.002601,0.026005,0.500000,0.000101,0.022543
A24027,1,0,0,1,0,1,0,1,0,0.022665,0.087725,0,0.002267,0.022665,0.500000,0.000088,0.029438
A24029,1,0,0,1,0,1,0,1,0,0.030343,0.117445,0,0.003035,0.030343,0.500000,0.000117,0.022581
A24031,1,0,0,1,0,1,0,1,0,0.017889,0.069241,0,0.001789,0.017889,0.500000,0.000069,0.032891
A24033,1,0,0,1,0,1,0,1,0,0.008464,0.032761,0,0.000847,0.008464,0.500000,0.000033,0.039605
A24035,1,0,0,1,0,1,0,1,0,0.041640,0.161172,0,0.004165,0.041640,0.500000,0.000161,0.023905
A24037,1,0,0,1,0,1,0,1,0,0.021271,0.082332,0,0.002127,0.021271,0.500000,0.000082,0.040433
