TABLE->,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.004687,0.097206,0,0.000469,0.004687,0.500000,0.000097,0.011843
A10003,1,0,0,1,0,1,0,1,0,0.003236,0.067114,0,0.000324,0.003236,0.500000,0.000067,0.008943
A10005,1,0,0,1,0,1,0,1,0,0.010662,0.221114,0,0.001066,0.010662,0.500000,0.000221,0.007981
A11001,1,0,0,1,0,1,0,1,0,0.008904,0.184654,0,0.000890,0.008904,0.500000,0.000185,0.017687
A24001,1,0,0,1,0,1,0,1,0,0.003116,0.064620,0,0.000312,0.003116,0.500000,0.000064,0.021286
A24003,1,0,0,1,0,1,0,1,0,0.001523,0.031596,0,0.000152,0.001523,0.500000,0.000032,0.010310
A24005,1,0,0,1,0,1,0,1,0,0.001296,0.026875,0,0.000130,0.001296,0.500000,0.000027,0.009942
A24009,1,0,0,1,0,1,0,1,0,0.000732,0.015197,0,0.000073,0.000732,0.500000,0.000016,0.011874
A24011,1,0,0,1,0,1,0,1,0,0.005114,0.106056,0,0.000511,0.005114,0.500000,0.000106,0.009607
A24013,1,0,0,1,0,1,0,1,0,0.003465,0.071871,0,0.000346,0.003465,0.500000,0.000072,0.012896
A24015,1,0,0,1,0,1,0,1,0,0.002290,0.047482,0,0.000229,0.002290,0.500000,0.000048,0.012433
A24017,1,0,0,1,0,1,0,1,0,0.001099,0.022798,0,0.000110,0.001099,0.500000,0.000023,0.015921
A24019,1,0,0,1,0,1,0,1,0,0.004914,0.101900,0,0.000491,0.004914,0.500000,0.000102,0.011526
A24021,1,0,0,1,0,1,0,1,0,0.001587,0.032904,0,0.000158,0.001587,0.500000,0.000033,0.013390
A24023,1,0,0,1,0,1,0,1,0,0.003048,0.063212,0,0.000305,0.003048,0.500000,0.000063,0.008912
A24025,1,0,0,1,0,1,0,1,0,0.002293,0.047543,0,0.000229,0.002293,0.500000,0.000048,0.008788
A24027,1,0,0,1,0,1,0,1,0,0.001951,0.040475,0,0.000196,0.001951,0.500000,0.000041,0.011454
A24029,1,0,0,1,0,1,0,1,0,0.002718,0.056381,0,0.000271,0.002718,0.500000,0.000056,0.008870
A24031,1,0,0,1,0,1,0,1,0,0.001464,0.030361,0,0.000146,0.001464,0.500000,0.000031,0.012774
A24033,1,0,0,1,0,1,0,1,0,0.000725,0.015040,0,0.000072,0.000725,0.500000,0.000015,0.015500
A24035,1,0,0,1,0,1,0,1,0,0.003610,0.074850,0,0.000361,0.003610,0.500000,0.000075,0.009390
A24037,1,0,0,1,0,1,0,1,0,0.001918,0.039773,0,0.000192,0.001918,0.500000,0.000040,0.016015
A24039,1,0,0,1,0,1,0,1,0,0.005378,0.111537,0,0.000538,0.005378,0.500000,0.000112,0.011748
A24041,1,0,0,1,0,1,0,1,0,0.005846,0.121245,0,0.000584,0.005846,0.500000,0.000121,0.009393
A24043,1,0,0,1,0,1,0,1,0,0.002526,0.052377,0,0.000252,0.002526,0.500000,0.000052,0.009489
A24045,1,0,0,1,0,1,0,1,0,0.004705,0.097567,0,0.000470,0.004705,0.500000,0.000098,0.013928
A24047,1,0,0,1,0,1,0,1,0,0.004308,0.089337,0,0.000431,0.004308,0.500000,0.000089,0.013382
A24510,1,0,0,1,0,1,0,1,0,0.004420,0.091670,0,0.000442,0.004420,0.500000,0.000092,0.008834
A36003,1,0,0,1,0,1,0,1,0,0.004101,0.085044,0,0.000410,0.004101,0.500000,0.000085,0.018249
A36007,1,0,0,1,0,1,0,1,0,0.004798,0.099494,0,0.000480,0.004798,0.500000,0.000099,0.010499
A36011,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A36015,1,0,0,1,0,1,0,1,0,0.003111,0.064520,0,0.000311,0.003111,0.500000,0.000064,0.019191
A36017,1,0,0,1,0,1,0,1,0,0.003128,0.064865,0,0.000313,0.003128,0.500000,0.000065,0.008659
A36023,1,0,0,1,0,1,0,1,0,0.004319,0.089578,0,0.000432,0.004319,0.500000,0.000090,0.007767
A36025,1,0,0,1,0,1,0,1,0,0.004008,0.083127,0,0.000401,0.004008,0.500000,0.000083,0.009896
A36043,1,0,0,1,0,1,0,1,0,0.002569,0.053272,0,0.000257,0.002569,0.500000,0.000053,0.008754
A36051,1,0,0,1,0,1,0,1,0,0.003069,0.063635,0,0.000307,0.003069,0.500000,0.000063,0.012496
A36053,1,0,0,1,0,1,0,1,0,0.003485,0.072277,0,0.000348,0.003485,0.500000,0.000072,0.008136
A36065,1,0,0,1,0,1,0,1,0,0.003669,0.076086,0,0.000367,0.003669,0.500000,0.000076,0.008218
A36067,1,0,0,1,0,1,0,1,0,0.004095,0.084930,0,0.000409,0.004095,0.500000,0.000085,0.007676
A36069,1,0,0,1,0,1,0,1,0,0.004536,0.094067,0,0.000453,0.004536,0.500000,0.000094,0.013129
A36077,1,0,0,1,0,1,0,1,0,0.003512,0.072834,0,0.000351,0.003512,0.500000,0.000073,0.009082
A36095,1,0,0,1,0,1,0,1,0,0.003756,0.077895,0,0.000375,0.003756,0.500000,0.000078,0.009018
A36097,1,0,0,1,0,1,0,1,0,0.006319,0.131053,0,0.000632,0.006319,0.500000,0.000131,0.013905
A36101,1,0,0,1,0,1,0,1,0,0.003788,0.078563,0,0.000378,0.003788,0.500000,0.000078,0.016407
A36107,1,0,0,1,0,1,0,1,0,0.005322,0.110374,0,0.000532,0.005322,0.500000,0.000110,0.012718
A36109,1,0,0,1,0,1,0,1,0,0.004774,0.098998,0,0.000477,0.004774,0.500000,0.000099,0.012191
A36123,1,0,0,1,0,1,0,1,0,0.003674,0.076193,0,0.000367,0.003674,0.500000,0.000076,0.013210
A37001,1,0,0,1,0,1,0,1,0,0.000528,0.005845,0,0.000053,0.000528,0.500000,0.585E-05,0.887E-05
A37005,1,0,0,1,0,1,0,1,0,0.000507,0.005610,0,0.000051,0.000507,0.500000,0.561E-05,0.412E-05
A37009,1,0,0,1,0,1,0,1,0,0.000586,0.006483,0,0.000058,0.000586,0.500000,0.648E-05,0.363E-05
A37033,1,0,0,1,0,1,0,1,0,0.000875,0.009673,0,0.000088,0.000875,0.500000,0.963E-05,0.000011
A37067,1,0,0,1,0,1,0,1,0,0.000918,0.010154,0,0.000091,0.000918,0.500000,0.983E-05,0.832E-05
A37077,1,0,0,1,0,1,0,1,0,0.000501,0.005547,0,0.000050,0.000501,0.500000,0.554E-05,0.849E-05
A37081,1,0,0,1,0,1,0,1,0,0.001085,0.012000,0,0.000108,0.001085,0.500000,0.000012,0.838E-05
