TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A10001,50,1.000000,100.0000,1.5,20.00000,0.103052,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10003,50,1.000000,3.207865,1.5,20.00000,7.793342,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10005,50,1.000000,100.0000,1.5,20.00000,0.133486,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A11001,50,1.000000,1.745748,1.5,20.00000,14.32052,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24001,50,1.000000,24.94005,1.5,20.00000,1.002404,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24003,50,1.000000,7.990786,1.5,20.00000,3.128605,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24009,50,1.000000,26.69233,1.5,20.00000,0.936598,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24005,50,1.000000,21.49398,1.5,20.00000,1.163116,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24011,50,1.000000,11.13559,1.5,20.00000,2.245054,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24013,50,1.000000,20.71506,1.5,20.00000,1.206852,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24015,50,1.000000,12.53081,1.5,20.00000,1.995082,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24017,50,1.000000,19.07183,1.5,20.00000,1.310834,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24019,50,1.000000,1.030362,1.5,20.00000,24.26336,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24021,50,1.000000,13.39500,1.5,20.00000,1.866368,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24023,50,1.000000,1.872197,1.5,20.00000,13.35329,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24025,50,1.000000,3.139915,1.5,20.00000,7.962001,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24027,50,1.000000,7.605285,1.5,20.00000,3.287186,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24029,50,1.000000,29.06087,1.5,20.00000,0.860264,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24031,50,1.000000,23.91258,1.5,20.00000,1.045475,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24033,50,1.000000,20.20843,1.5,20.00000,1.237109,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24035,50,1.000000,56.35205,1.5,20.00000,0.443639,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24037,50,1.000000,39.11246,1.5,20.00000,0.639182,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24039,50,1.000000,1.012050,1.5,20.00000,24.70231,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24041,50,1.000000,18.30133,1.5,20.00000,1.366021,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24043,50,1.000000,97.81815,1.5,20.00000,0.255576,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24045,50,1.000000,12.42750,1.5,20.00000,2.011669,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24047,50,1.000000,3.545084,1.5,20.00000,7.052017,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24510,50,1.000000,2.546744,1.5,20.00000,9.816453,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36003,50,1.000000,2.047100,1.5,20.00000,12.21240,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36007,50,1.000000,1.005313,1.5,20.00000,24.86787,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36015,50,1.000000,2.389983,1.5,20.00000,10.46033,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36017,50,1.000000,0.694721,1.5,20.00000,35.98567,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36023,50,1.000000,0.994036,1.5,20.00000,25.14999,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36025,50,1.000000,0.681891,1.5,20.00000,36.66272,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36043,50,1.000000,2.612320,1.5,20.00000,9.570032,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36051,50,1.000000,0.727896,1.5,20.00000,34.34555,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36053,50,1.000000,12.16124,1.5,20.00000,2.055710,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36065,50,1.000000,2.253663,1.5,20.00000,11.09306,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36067,50,1.000000,4.248494,1.5,20.00000,5.884436,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36069,50,1.000000,1.066442,1.5,20.00000,23.44245,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
