TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.928030,1.193048,0,0.092801,0.928030,0.500000,0.001193,0.030718
A10003,1,0,0,1,0,1,0,1,0,0.531573,0.683375,0,0.053156,0.531573,0.500000,0.000683,0.023061
A10005,1,0,0,1,0,1,0,1,0,1.419387,1.824722,0,0.141936,1.419387,0.500000,0.001825,0.020278
A11001,1,0,0,1,0,1,0,1,0,1.012079,1.301099,0,0.101206,1.012079,0.500000,0.001301,0.047822
A24001,1,0,0,1,0,1,0,1,0,0.440716,0.566571,0,0.044071,0.440716,0.500000,0.000567,0.058054
A24003,1,0,0,1,0,1,0,1,0,0.295647,0.380075,0,0.029565,0.295647,0.500000,0.000380,0.027136
A24005,1,0,0,1,0,1,0,1,0,0.302472,0.388848,0,0.030246,0.302472,0.500000,0.000389,0.025928
A24009,1,0,0,1,0,1,0,1,0,0.178995,0.230111,0,0.017899,0.178995,0.500000,0.000230,0.030603
A24011,1,0,0,1,0,1,0,1,0,0.708362,0.910649,0,0.070835,0.708362,0.500000,0.000911,0.025297
A24013,1,0,0,1,0,1,0,1,0,0.579498,0.744985,0,0.057949,0.579498,0.500000,0.000745,0.034436
A24015,1,0,0,1,0,1,0,1,0,0.428405,0.550744,0,0.042840,0.428405,0.500000,0.000551,0.032327
A24017,1,0,0,1,0,1,0,1,0,0.247660,0.318385,0,0.024766,0.247660,0.500000,0.000318,0.044294
A24019,1,0,0,1,0,1,0,1,0,0.624426,0.802743,0,0.062441,0.624426,0.500000,0.000803,0.031133
A24021,1,0,0,1,0,1,0,1,0,0.320549,0.412089,0,0.032054,0.320549,0.500000,0.000412,0.034484
A24023,1,0,0,1,0,1,0,1,0,0.436991,0.561783,0,0.043698,0.436991,0.500000,0.000562,0.023814
A24025,1,0,0,1,0,1,0,1,0,0.446564,0.574090,0,0.044656,0.446564,0.500000,0.000574,0.022473
A24027,1,0,0,1,0,1,0,1,0,0.396780,0.510088,0,0.039677,0.396780,0.500000,0.000510,0.030325
A24029,1,0,0,1,0,1,0,1,0,0.496853,0.638739,0,0.049684,0.496853,0.500000,0.000639,0.022594
A24031,1,0,0,1,0,1,0,1,0,0.329267,0.423296,0,0.032926,0.329267,0.500000,0.000423,0.034219
A24033,1,0,0,1,0,1,0,1,0,0.166240,0.213712,0,0.016624,0.166240,0.500000,0.000214,0.040995
A24035,1,0,0,1,0,1,0,1,0,0.705044,0.906383,0,0.070503,0.705044,0.500000,0.000906,0.023818
A24037,1,0,0,1,0,1,0,1,0,0.370058,0.475735,0,0.037005,0.370058,0.500000,0.000476,0.043270
A24039,1,0,0,1,0,1,0,1,0,0.634084,0.815159,0,0.063407,0.634084,0.500000,0.000815,0.030904
A24041,1,0,0,1,0,1,0,1,0,0.743404,0.955698,0,0.074339,0.743404,0.500000,0.000956,0.024213
A24043,1,0,0,1,0,1,0,1,0,0.611862,0.786592,0,0.061185,0.611862,0.500000,0.000787,0.023720
A24045,1,0,0,1,0,1,0,1,0,0.730593,0.939229,0,0.073058,0.730593,0.500000,0.000939,0.037963
A24047,1,0,0,1,0,1,0,1,0,0.653269,0.839824,0,0.065326,0.653269,0.500000,0.000840,0.036087
A24510,1,0,0,1,0,1,0,1,0,0.658878,0.847034,0,0.065887,0.658878,0.500000,0.000847,0.022983
A36003,1,0,0,1,0,1,0,1,0,0.468969,0.602893,0,0.046896,0.468969,0.500000,0.000603,0.048753
A36007,1,0,0,1,0,1,0,1,0,0.587600,0.755401,0,0.058759,0.587600,0.500000,0.000755,0.027861
A36011,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A36015,1,0,0,1,0,1,0,1,0,0.441957,0.568167,0,0.044195,0.441957,0.500000,0.000568,0.051907
A36017,1,0,0,1,0,1,0,1,0,0.459417,0.590613,0,0.045941,0.459417,0.500000,0.000591,0.022547
A36023,1,0,0,1,0,1,0,1,0,0.575922,0.740388,0,0.057591,0.575922,0.500000,0.000740,0.019775
A36025,1,0,0,1,0,1,0,1,0,0.611115,0.785631,0,0.061110,0.611115,0.500000,0.000786,0.025800
A36043,1,0,0,1,0,1,0,1,0,0.449327,0.577642,0,0.044932,0.449327,0.500000,0.000578,0.022571
A36051,1,0,0,1,0,1,0,1,0,0.571094,0.734182,0,0.057108,0.571094,0.500000,0.000734,0.032363
A36053,1,0,0,1,0,1,0,1,0,0.592845,0.762144,0,0.059283,0.592845,0.500000,0.000762,0.020634
A36065,1,0,0,1,0,1,0,1,0,0.643630,0.827431,0,0.064362,0.643630,0.500000,0.000827,0.021218
A36067,1,0,0,1,0,1,0,1,0,0.649124,0.834494,0,0.064911,0.649124,0.500000,0.000834,0.019695
A36069,1,0,0,1,0,1,0,1,0,0.779572,1.002195,0,0.077956,0.779572,0.500000,0.001002,0.034037
A36077,1,0,0,1,0,1,0,1,0,0.559536,0.719323,0,0.055953,0.559536,0.500000,0.000719,0.023263
A36095,1,0,0,1,0,1,0,1,0,0.632613,0.813268,0,0.063260,0.632613,0.500000,0.000813,0.023240
A36097,1,0,0,1,0,1,0,1,0,0.816584,1.049776,0,0.081657,0.816584,0.500000,0.001050,0.036165
A36101,1,0,0,1,0,1,0,1,0,0.615718,0.791549,0,0.061571,0.615718,0.500000,0.000792,0.042785
A36107,1,0,0,1,0,1,0,1,0,0.569729,0.732427,0,0.056972,0.569729,0.500000,0.000732,0.034019
A36109,1,0,0,1,0,1,0,1,0,0.510197,0.655894,0,0.051019,0.510197,0.500000,0.000656,0.032101
A36123,1,0,0,1,0,1,0,1,0,0.645606,0.829972,0,0.064559,0.645606,0.500000,0.000830,0.034014
A37001,1,0,0,1,0,1,0,1,0,0.004590,0.028644,0,0.000459,0.004590,0.500000,0.000028,0.258E-05
A37005,1,0,0,1,0,1,0,1,0,0.011135,0.045152,0,0.001113,0.011135,0.500000,0.000045,0.180E-05
A37009,1,0,0,1,0,1,0,1,0,0.017269,0.059201,0,0.001727,0.017269,0.500000,0.000059,0.185E-05
A37033,1,0,0,1,0,1,0,1,0,0.008269,0.050077,0,0.000827,0.008269,0.500000,0.000050,0.345E-05
A37067,1,0,0,1,0,1,0,1,0,0.008896,0.045539,0,0.000889,0.008896,0.500000,0.000045,0.303E-05
A37077,1,0,0,1,0,1,0,1,0,0.004981,0.030951,0,0.000498,0.004981,0.500000,0.000031,0.248E-05
A37081,1,0,0,1,0,1,0,1,0,0.011374,0.062804,0,0.001137,0.011374,0.500000,0.000063,0.280E-05
A37131,1,0,0,1,0,1,0,1,0,0.068626,0.139171,0,0.006862,0.068626,0.500000,0.000139,0.000012
A37135,1,0,0,1,0,1,0,1,0,0.005276,0.035563,0,0.000527,0.005276,0.500000,0.000036,0.237E-05
A37145,1,0,0,1,0,1,0,1,0,0.007462,0.043172,0,0.000746,0.007462,0.500000,0.000043,0.338E-05
A37157,1,0,0,1,0,1,0,1,0,0.009529,0.053130,0,0.000952,0.009529,0.500000,0.000053,0.303E-05
A37169,1,0,0,1,0,1,0,1,0,0.005575,0.031691,0,0.000557,0.005575,0.500000,0.000031,0.228E-05
A37171,1,0,0,1,0,1,0,1,0,0.011679,0.044965,0,0.001168,0.011679,0.500000,0.000045,0.225E-05
A37181,1,0,0,1,0,1,0,1,0,0.006148,0.036346,0,0.000614,0.006148,0.500000,0.000036,0.277E-05
A37185,1,0,0,1,0,1,0,1,0,0.014903,0.053348,0,0.001491,0.014903,0.500000,0.000053,0.461E-05
A37189,1,0,0,1,0,1,0,1,0,0.005225,0.025224,0,0.000523,0.005225,0.500000,0.000025,0.128E-05
A42001,1,0,0,1,0,1,0,1,0,0.365298,0.469616,0,0.036529,0.365298,0.500000,0.000470,0.054695
A42009,1,0,0,1,0,1,0,1,0,0.470950,0.605439,0,0.047094,0.470950,0.500000,0.000605,0.030277
A42011,1,0,0,1,0,1,0,1,0,0.264809,0.340431,0,0.026480,0.264809,0.500000,0.000340,0.028509
A42013,1,0,0,1,0,1,0,1,0,0.507275,0.652137,0,0.050726,0.507275,0.500000,0.000652,0.025960
A42015,1,0,0,1,0,1,0,1,0,0.377749,0.485623,0,0.037774,0.377749,0.500000,0.000486,0.038283
A42021,1,0,0,1,0,1,0,1,0,0.500704,0.643691,0,0.050069,0.500704,0.500000,0.000644,0.024355
A42023,1,0,0,1,0,1,0,1,0,0.487576,0.626813,0,0.048757,0.487576,0.500000,0.000627,0.027704
