TABLE->,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1
VARS->,CSNO,RTOP,UZFG,VCS,VUZ,VNN,VIFW,VIRC,VLE,FOREST,LZSN,INFILT,LSUR,SLSUR,KVARY,AGWR,PETMAX,PETMIN,INFEXP,INFILD,DEEPFR,BASETPR,AGWETP,CEPSC,UZSN,NSUR,INTFW,IRC,LZETP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,CEPS,SURS,UZS,IFWS,LZS,AGWS,GWVS
A10001,1,1,0,1,1,1,0,0,1,0,12.00000,0.051241,523,0.008,0.,0.925911,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.110834,0.313344,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.208546621,0.214929923,0.211963519,0.219145268,0.239330708,0.27753959,0.285690384,0.27818796,0.260020863,0.210593485,0.20293449,0.204791738,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A10003,1,1,0,1,1,1,0,0,1,0,12.00000,0.051241,431,0.019,0.,0.925911,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.110834,0.313344,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.215845939,0.223315052,0.220161143,0.229725127,0.272086821,0.335537774,0.342617975,0.328667988,0.299008935,0.216063533,0.209011814,0.211452344,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A10005,1,1,0,1,1,1,0,0,1,0,8.019775,0.113856,567,0.005,0.,0.969468,40,35,2,2,0,0,0.024668,NA,0.7,NA,1.318482,0.560250,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.673661,0.673661,0.673661,0.673661,0.673661,0.785938,1.066630,1.122769,1.122769,0.898215,0.785938,0.729800,0.225752279,0.236328637,0.233683944,0.240027711,0.242087363,0.274009673,0.2801707,0.272510621,0.257208058,0.218979108,0.214137509,0.219530892,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A11001,1,1,0,1,1,1,0,0,1,0,12.00000,0.029338,275,0.076,0.,0.963073,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.725749,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.247568461,0.257117498,0.251606205,0.26456891,0.304733463,0.371860002,0.387828123,0.375579376,0.343610612,0.255597533,0.240256641,0.241951381,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24001,1,1,0,1,1,1,0,0,1,0,12.00000,0.017857,239,0.105,0.,0.920000,40,35,2,2,0,0,0.008331,NA,0.7,NA,2.000000,0.438164,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.212431656,0.222869909,0.221673816,0.230156185,0.280491984,0.360300498,0.357607333,0.335891061,0.299291086,0.197192529,0.199690601,0.206291507,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24003,1,1,0,1,1,1,0,0,1,0,12.00000,0.041111,336,0.044,0.,0.980493,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.145451,0.437647,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.212924176,0.216338887,0.211367982,0.22302994,0.275106783,0.336825164,0.352472646,0.342737622,0.313452667,0.229350628,0.213361058,0.210915522,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24005,1,1,0,1,1,1,0,0,1,0,12.00000,0.060270,281,0.073,0.,0.956668,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.197956,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.206507788,0.206507788,0.204488881,0.202582771,0.190410331,0.253219083,0.30563719,0.292555081,0.269047421,0.201530749,0.199796071,0.200285276,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24009,1,1,0,1,1,1,0,0,1,0,12.00000,0.057581,321,0.050,0.,0.920000,40,35,2,2,0,0,0.001000,NA,0.7,NA,3.077707,0.332385,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.248813667,0.262776299,0.259402047,0.266891929,0.260847169,0.294226309,0.302422951,0.294359833,0.278155433,0.239581232,0.23334324,0.240600355,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24011,1,1,0,1,1,1,0,0,1,0,9.767185,0.055283,549,0.006,0.,0.946019,40,35,2,2,0,0,0.023216,NA,0.7,NA,2.000000,0.321404,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.820444,0.820444,0.820444,0.820444,0.820444,0.957184,1.299036,1.367406,1.367406,1.093925,0.957184,0.888814,0.244579909,0.259835417,0.257600826,0.263547154,0.25258761,0.284702444,0.287987913,0.278261499,0.262906056,0.227476116,0.226233703,0.23560608,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
